R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
26,0,0
28,0,0
24,0,0
22,0,0
25,0,0
26,0,0
27,0,0
29,0,0
29,0,0
27,0,0
27,0,0
25,0,0
25,0,0
29,0,0
29,0,0
29,0,0
29,0,0
29,0,0
29,0,0
29,0,0
29,0,0
29,0,0
29,0,0
30,0,0
30,0,0
30,0,0
30,0,0
30,0,0
30,0,0
30,0,0
30,0,0
30,0,0
30,0,0
30,0,0
30,0,0
30,0,0
30,0,0
30,0,0
30,0,0
29,0,0
29,0,0
29,0,0
29,0,0
29,0,0
29,0,0
29,0,0
29,0,0
30,0,0
29,0,0
29,0,0
29,0,0
30,0,0
30,0,0
29,0,0
28,0,0
28,0,0
27,0,0
27,0,0
28,0,0
29,0,0
30,0,0
32,0,0
31,0,0
31,0,0
32,0,0
32,0,0
33,0,0
34,0,0
35,0,0
37,0,0
40,0,0
42,0,0
45,0,0
47,0,0
48,0,0
50,0,0
50,0,0
51,0,0
53,0,0
57,0,0
59,0,0
60,0,0
64,0,0
66,0,0
69,0,0
73,0,0
74,0,0
78,0,0
82,0,0
87,0,0
90,0,0
92,0,0
93,0,0
94,0,0
94,0,0
94,0,0
93,0,0
92,0,0
90,0,0
91,0,0
92,0,0
94,0,0
93,0,0
93,0,0
93,0,0
92,0,0
91,0,0
91,0,0
90,0,0
89,0,0
87,0,0
86,0,0
86,0,0
84,0,0
82,0,0
81,0,0
81,0,0
79,0,0
78,0,0
76,0,0
75,0,0
72,0,0
68,0,0
64,0,0
61,0,0
53,0,0
53,0,0
54,0,0
53,0,0
51,0,0
50,0,0
48,0,0
48,0,0
47,0,0
45,0,0
45,0,0
45,0,0
45,0,0
45,0,0
45,0,0
42,0,0
47,0,0
47,0,0
47,0,0
47,0,0
47,0,0
47,0,0
47,0,0
47,0,0
47,0,0
47,0,0
48,0,0
49,0,0
49,0,0
49,0,0
49,0,0
49,0,0
50,0,0
50,0,0
50,0,0
50,0,0
50,0,0
50,0,0
50,0,0
50,0,0
