R,G,B
115,84,20
143,84,20
150,84,20
134,84,20
119,84,20
102,84,20
101,84,20
121,84,20
146,84,20
163,84,20
166,84,20
167,84,20
181,84,20
191,84,20
181,84,20
171,84,20
176,84,20
196,84,20
235,84,20
230,84,20
199,84,20
181,84,20
170,84,20
174,84,20
183,84,20
197,84,20
211,84,20
230,84,20
243,84,20
243,84,20
250,84,20
255,84,20
255,84,20
251,84,20
218,84,20
192,84,20
178,84,20
177,84,20
186,84,20
182,84,20
191,84,20
206,84,20
231,84,20
252,84,20
255,84,20
255,84,20
254,84,20
235,84,20
254,84,20
248,84,20
202,84,20
171,84,20
155,84,20
135,84,20
125,84,20
106,84,20
95,84,20
94,84,20
109,84,20
134,84,20
155,84,20
170,84,20
172,84,20
164,84,20
150,84,20
184,84,20
242,84,20
205,84,20
181,84,20
168,84,20
153,84,20
133,84,20
140,84,20
130,84,20
121,84,20
114,84,20
154,84,20
175,84,20
115,84,20
79,84,20
81,84,20
114,84,20
141,84,20
170,84,20
185,84,20
197,84,20
153,84,20
122,84,20
114,84,20
130,84,20
144,84,20
151,84,20
153,84,20
141,84,20
123,84,20
114,84,20
116,84,20
114,84,20
114,84,20
112,84,20
109,84,20
111,84,20
114,84,20
114,84,20
113,84,20
118,84,20
121,84,20
122,84,20
122,84,20
123,84,20
125,84,20
126,84,20
126,84,20
125,84,20
128,84,20
130,84,20
129,84,20
130,84,20
132,84,20
136,84,20
136,84,20
138,84,20
137,84,20
136,84,20
136,84,20
134,84,20
131,84,20
132,84,20
138,84,20
140,84,20
142,84,20
144,84,20
143,84,20
140,84,20
140,84,20
145,84,20
148,84,20
148,84,20
147,84,20
146,84,20
145,84,20
146,84,20
145,84,20
145,84,20
147,84,20
154,84,20
151,84,20
147,84,20
151,84,20
151,84,20
145,84,20
145,84,20
150,84,20
153,84,20
154,84,20
154,84,20
151,84,20
151,84,20
152,84,20
154,84,20
153,84,20
150,84,20
152,84,20
154,84,20
155,84,20
158,84,20
157,84,20
145,84,20
141,84,20
130,84,20
114,84,20
99,84,20
89,84,20
82,84,20
75,84,20
73,84,20
82,84,20
83,84,20
84,84,20
85,84,20
86,84,20
85,84,20
83,84,20
82,84,20
85,84,20
87,84,20
90,84,20
90,84,20
87,84,20
83,84,20
80,84,20
79,84,20
75,84,20
77,84,20
79,84,20
78,84,20
78,84,20
80,84,20
80,84,20
78,84,20
79,84,20
79,84,20
77,84,20
75,84,20
76,84,20
80,84,20
82,84,20
80,84,20
79,84,20
79,84,20
78,84,20
77,84,20
76,84,20
77,84,20
78,84,20
80,84,20
82,84,20
82,84,20
81,84,20
80,84,20
79,84,20
78,84,20
77,84,20
75,84,20
73,84,20
76,84,20
77,84,20
77,84,20
79,84,20
82,84,20
81,84,20
76,84,20
78,84,20
78,84,20
78,84,20
78,84,20
78,84,20
80,84,20
82,84,20
84,84,20
81,84,20
81,84,20
80,84,20
80,84,20
80,84,20
81,84,20
81,84,20
81,84,20
79,84,20
79,84,20
102,93,30
127,93,30
144,93,30
148,93,30
143,93,30
120,93,30
104,93,30
109,93,30
128,93,30
146,93,30
159,93,30
164,93,30
169,93,30
180,93,30
186,93,30
186,93,30
177,93,30
183,93,30
207,93,30
233,93,30
239,93,30
208,93,30
168,93,30
158,93,30
169,93,30
182,93,30
206,93,30
223,93,30
238,93,30
253,93,30
255,93,30
255,93,30
255,93,30
237,93,30
202,93,30
181,93,30
179,93,30
187,93,30
195,93,30
200,93,30
206,93,30
227,93,30
253,93,30
255,93,30
240,93,30
242,93,30
249,93,30
219,93,30
248,93,30
252,93,30
213,93,30
172,93,30
158,93,30
145,93,30
128,93,30
113,93,30
