R,G,B
3,3,5
3,3,5
3,3,5
2,3,5
2,3,5
3,3,5
3,3,5
3,3,5
3,3,5
3,3,5
3,3,5
2,3,5
3,3,5
2,3,5
2,3,5
2,3,5
5,3,5
6,3,5
5,3,5
5,3,5
4,3,5
2,3,5
0,3,5
0,3,5
3,3,5
0,3,5
0,3,5
1,3,5
1,3,5
1,3,5
5,3,5
9,3,5
12,3,5
10,3,5
0,3,5
15,3,5
34,3,5
79,3,5
118,3,5
148,3,5
157,3,5
137,3,5
139,3,5
157,3,5
165,3,5
165,3,5
162,3,5
154,3,5
160,3,5
166,3,5
168,3,5
168,3,5
165,3,5
161,3,5
158,3,5
159,3,5
150,3,5
147,3,5
146,3,5
151,3,5
160,3,5
165,3,5
164,3,5
161,3,5
157,3,5
159,3,5
162,3,5
159,3,5
146,3,5
128,3,5
116,3,5
112,3,5
111,3,5
110,3,5
108,3,5
105,3,5
101,3,5
96,3,5
93,3,5
90,3,5
92,3,5
95,3,5
96,3,5
94,3,5
88,3,5
87,3,5
89,3,5
91,3,5
98,3,5
102,3,5
105,3,5
107,3,5
112,3,5
123,3,5
139,3,5
155,3,5
172,3,5
176,3,5
179,3,5
176,3,5
165,3,5
153,3,5
148,3,5
148,3,5
148,3,5
150,3,5
153,3,5
156,3,5
158,3,5
158,3,5
158,3,5
157,3,5
156,3,5
156,3,5
157,3,5
164,3,5
169,3,5
165,3,5
158,3,5
155,3,5
155,3,5
161,3,5
168,3,5
176,3,5
184,3,5
190,3,5
192,3,5
188,3,5
181,3,5
173,3,5
166,3,5
161,3,5
159,3,5
162,3,5
164,3,5
163,3,5
167,3,5
172,3,5
177,3,5
180,3,5
180,3,5
180,3,5
177,3,5
174,3,5
176,3,5
167,3,5
161,3,5
166,3,5
173,3,5
179,3,5
183,3,5
186,3,5
195,3,5
198,3,5
198,3,5
193,3,5
187,3,5
185,3,5
185,3,5
186,3,5
179,3,5
173,3,5
168,3,5
166,3,5
164,3,5
163,3,5
165,3,5
169,3,5
171,3,5
174,3,5
173,3,5
169,3,5
164,3,5
156,3,5
153,3,5
158,3,5
168,3,5
177,3,5
186,3,5
188,3,5
182,3,5
178,3,5
178,3,5
180,3,5
182,3,5
177,3,5
170,3,5
159,3,5
145,3,5
132,3,5
120,3,5
111,3,5
109,3,5
105,3,5
104,3,5
109,3,5
118,3,5
129,3,5
140,3,5
149,3,5
156,3,5
163,3,5
175,3,5
190,3,5
205,3,5
213,3,5
215,3,5
217,3,5
213,3,5
215,3,5
220,3,5
225,3,5
229,3,5
229,3,5
227,3,5
225,3,5
229,3,5
232,3,5
234,3,5
239,3,5
242,3,5
240,3,5
232,3,5
225,3,5
222,3,5
228,3,5
234,3,5
230,3,5
222,3,5
214,3,5
212,3,5
225,3,5
230,3,5
229,3,5
222,3,5
217,3,5
199,3,5
176,3,5
188,3,5
231,3,5
245,3,5
255,3,5
227,3,5
202,3,5
213,3,5
225,3,5
234,3,5
246,3,5
242,3,5
241,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
5,3,5
6,3,5
5,3,5
5,3,5
4,3,5
2,3,5
