R,G,B
1,1,1
0,1,1
20,1,1
76,1,1
75,1,1
75,1,1
73,1,1
75,1,1
74,1,1
71,1,1
69,1,1
70,1,1
73,1,1
76,1,1
77,1,1
76,1,1
78,1,1
78,1,1
79,1,1
81,1,1
83,1,1
84,1,1
84,1,1
84,1,1
81,1,1
79,1,1
79,1,1
80,1,1
80,1,1
81,1,1
81,1,1
81,1,1
83,1,1
83,1,1
80,1,1
75,1,1
75,1,1
73,1,1
113,1,1
148,1,1
175,1,1
178,1,1
177,1,1
179,1,1
180,1,1
178,1,1
176,1,1
177,1,1
177,1,1
177,1,1
176,1,1
177,1,1
179,1,1
178,1,1
181,1,1
187,1,1
191,1,1
194,1,1
187,1,1
189,1,1
192,1,1
188,1,1
189,1,1
190,1,1
191,1,1
189,1,1
187,1,1
188,1,1
188,1,1
189,1,1
190,1,1
192,1,1
188,1,1
189,1,1
198,1,1
197,1,1
196,1,1
191,1,1
199,1,1
198,1,1
193,1,1
195,1,1
197,1,1
193,1,1
188,1,1
193,1,1
195,1,1
189,1,1
179,1,1
167,1,1
157,1,1
135,1,1
128,1,1
123,1,1
124,1,1
160,1,1
196,1,1
206,1,1
203,1,1
191,1,1
183,1,1
182,1,1
189,1,1
203,1,1
221,1,1
219,1,1
218,1,1
215,1,1
200,1,1
180,1,1
159,1,1
148,1,1
152,1,1
155,1,1
162,1,1
177,1,1
197,1,1
213,1,1
216,1,1
211,1,1
210,1,1
205,1,1
208,1,1
212,1,1
203,1,1
192,1,1
184,1,1
179,1,1
181,1,1
165,1,1
151,1,1
139,1,1
157,1,1
161,1,1
171,1,1
193,1,1
206,1,1
201,1,1
200,1,1
200,1,1
198,1,1
199,1,1
201,1,1
201,1,1
199,1,1
199,1,1
199,1,1
199,1,1
200,1,1
201,1,1
200,1,1
198,1,1
200,1,1
200,1,1
200,1,1
200,1,1
199,1,1
198,1,1
199,1,1
199,1,1
199,1,1
199,1,1
198,1,1
200,1,1
203,1,1
202,1,1
200,1,1
201,1,1
203,1,1
203,1,1
200,1,1
202,1,1
205,1,1
201,1,1
199,1,1
205,1,1
196,1,1
197,1,1
197,1,1
200,1,1
199,1,1
200,1,1
206,1,1
202,1,1
200,1,1
202,1,1
203,1,1
202,1,1
201,1,1
201,1,1
202,1,1
204,1,1
206,1,1
204,1,1
200,1,1
201,1,1
203,1,1
202,1,1
202,1,1
203,1,1
204,1,1
204,1,1
201,1,1
203,1,1
203,1,1
202,1,1
199,1,1
183,1,1
166,1,1
139,1,1
163,1,1
193,1,1
222,1,1
227,1,1
219,1,1
211,1,1
204,1,1
206,1,1
209,1,1
217,1,1
199,1,1
200,1,1
212,1,1
211,1,1
178,1,1
168,1,1
208,1,1
194,1,1
188,1,1
173,1,1
178,1,1
186,1,1
193,1,1
201,1,1
207,1,1
204,1,1
203,1,1
207,1,1
213,1,1
216,1,1
221,1,1
223,1,1
225,1,1
227,1,1
228,1,1
229,1,1
229,1,1
229,1,1
231,1,1
231,1,1
0,0,0
0,0,0
20,0,0
76,0,0
76,0,0
77,0,0
75,0,0
77,0,0
75,0,0
73,0,0
71,0,0
72,0,0
75,0,0
78,0,0
79,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
84,0,0
84,0,0
84,0,0
81,0,0
81,0,0
82,0,0
82,0,0
83,0,0
83,0,0
84,0,0
84,0,0
86,0,0
86,0,0
84,0,0
78,0,0
78,0,0
74,0,0
113,0,0
148,0,0
174,0,0
177,0,0
177,0,0
178,0,0
179,0,0
177,0,0
176,0,0
177,0,0
177,0,0
177,0,0
176,0,0
177,0,0
179,0,0
178,0,0
181,0,0
187,0,0
191,0,0
194,0,0
187,0,0
189,0,0
192,0,0
188,0,0
189,0,0
190,0,0
191,0,0
189,0,0
187,0,0
188,0,0
188,0,0
189,0,0
190,0,0
192,0,0
188,0,0
189,0,0
198,0,0
195,0,0
196,0,0
191,0,0
199,0,0
197,0,0
193,0,0
195,0,0
198,0,0
195,0,0
192,0,0
198,0,0
202,0,0
197,0,0
191,0,0
184,0,0
176,0,0
156,0,0
148,0,0
143,0,0
141,0,0
170,0,0
198,0,0
206,0,0
205,0,0
197,0,0
197,0,0
195,0,0
200,0,0
208,0,0
216,0,0
212,0,0
210,0,0
205,0,0
191,0,0
173,0,0
156,0,0
145,0,0
150,0,0
157,0,0
170,0,0
184,0,0
199,0,0
208,0,0
210,0,0
206,0,0
203,0,0
199,0,0
202,0,0
206,0,0
202,0,0
194,0,0
188,0,0
184,0,0
182,0,0
169,0,0
158,0,0
148,0,0
166,0,0
170,0,0
179,0,0
200,0,0
207,0,0
199,0,0
196,0,0
196,0,0
197,0,0
199,0,0
201,0,0
200,0,0
199,0,0
199,0,0
199,0,0
199,0,0
200,0,0
201,0,0
200,0,0
198,0,0
200,0,0
200,0,0
200,0,0
200,0,0
199,0,0
198,0,0
199,0,0
199,0,0
200,0,0
200,0,0
199,0,0
200,0,0
203,0,0
202,0,0
200,0,0
202,0,0
203,0,0
203,0,0
200,0,0
202,0,0
205,0,0
201,0,0
199,0,0
205,0,0
196,0,0
197,0,0
199,0,0
202,0,0
199,0,0
200,0,0
207,0,0
202,0,0
200,0,0
202,0,0
203,0,0
203,0,0
201,0,0
201,0,0
202,0,0
204,0,0
206,0,0
204,0,0
200,0,0
201,0,0
204,0,0
203,0,0
203,0,0
204,0,0
204,0,0
204,0,0
201,0,0
202,0,0
203,0,0
202,0,0
200,0,0
184,0,0
167,0,0
140,0,0
165,0,0
196,0,0
224,0,0
225,0,0
211,0,0
198,0,0
186,0,0
187,0,0
193,0,0
201,0,0
188,0,0
193,0,0
206,0,0
206,0,0
176,0,0
169,0,0
213,0,0
196,0,0
185,0,0
173,0,0
178,0,0
186,0,0
194,0,0
200,0,0
205,0,0
203,0,0
203,0,0
208,0,0
214,0,0
218,0,0
222,0,0
223,0,0
226,0,0
229,0,0
229,0,0
229,0,0
228,0,0
228,0,0
231,0,0
231,0,0
0,21,21
0,21,21
21,21,21
77,21,21
78,21,21
79,21,21
77,21,21
80,21,21
79,21,21
77,21,21
76,21,21
77,21,21
80,21,21
82,21,21
83,21,21
83,21,21
84,21,21
85,21,21
85,21,21
85,21,21
85,21,21
85,21,21
84,21,21
84,21,21
83,21,21
83,21,21
84,21,21
85,21,21
85,21,21
85,21,21
86,21,21
86,21,21
89,21,21
90,21,21
87,21,21
82,21,21
81,21,21
76,21,21
113,21,21
148,21,21
174,21,21
177,21,21
177,21,21
178,21,21
178,21,21
177,21,21
176,21,21
178,21,21
177,21,21
177,21,21
176,21,21
177,21,21
179,21,21
178,21,21
180,21,21
187,21,21
191,21,21
194,21,21
187,21,21
189,21,21
