R,G,B
9,13,0
8,13,0
9,13,0
10,13,0
11,13,0
12,13,0
12,13,0
11,13,0
11,13,0
11,13,0
11,13,0
11,13,0
11,13,0
12,13,0
12,13,0
12,13,0
11,13,0
11,13,0
12,13,0
12,13,0
13,13,0
12,13,0
12,13,0
11,13,0
12,13,0
13,13,0
14,13,0
12,13,0
11,13,0
11,13,0
11,13,0
11,13,0
13,13,0
13,13,0
12,13,0
12,13,0
11,13,0
12,13,0
13,13,0
14,13,0
16,13,0
16,13,0
17,13,0
17,13,0
18,13,0
19,13,0
21,13,0
22,13,0
22,13,0
22,13,0
22,13,0
25,13,0
27,13,0
28,13,0
30,13,0
32,13,0
32,13,0
31,13,0
33,13,0
33,13,0
33,13,0
34,13,0
33,13,0
33,13,0
30,13,0
29,13,0
29,13,0
30,13,0
33,13,0
35,13,0
36,13,0
35,13,0
38,13,0
38,13,0
39,13,0
40,13,0
41,13,0
41,13,0
41,13,0
40,13,0
41,13,0
42,13,0
43,13,0
43,13,0
44,13,0
43,13,0
43,13,0
43,13,0
44,13,0
43,13,0
40,13,0
38,13,0
36,13,0
35,13,0
35,13,0
35,13,0
33,13,0
32,13,0
29,13,0
27,13,0
25,13,0
23,13,0
20,13,0
18,13,0
14,13,0
13,13,0
12,13,0
12,13,0
13,13,0
14,13,0
14,13,0
14,13,0
16,13,0
15,13,0
14,13,0
14,13,0
14,13,0
15,13,0
17,13,0
19,13,0
18,13,0
19,13,0
19,13,0
19,13,0
22,13,0
22,13,0
24,13,0
25,13,0
22,13,0
22,13,0
22,13,0
22,13,0
22,13,0
21,13,0
21,13,0
20,13,0
20,13,0
20,13,0
22,13,0
22,13,0
21,13,0
21,13,0
21,13,0
21,13,0
17,13,0
17,13,0
15,13,0
14,13,0
13,13,0
12,13,0
11,13,0
11,13,0
9,13,0
11,13,0
16,13,0
23,13,0
30,13,0
35,13,0
45,13,0
53,13,0
66,13,0
74,13,0
82,13,0
87,13,0
92,13,0
98,13,0
103,13,0
107,13,0
111,13,0
112,13,0
115,13,0
117,13,0
122,13,0
126,13,0
126,13,0
122,13,0
117,13,0
115,13,0
113,13,0
113,13,0
111,13,0
110,13,0
106,13,0
101,13,0
98,13,0
97,13,0
91,13,0
85,13,0
81,13,0
76,13,0
73,13,0
70,13,0
70,13,0
68,13,0
61,13,0
62,13,0
51,13,0
40,13,0
54,13,0
112,13,0
166,13,0
193,13,0
193,13,0
173,13,0
149,13,0
119,13,0
93,13,0
75,13,0
57,13,0
51,13,0
52,13,0
61,13,0
63,13,0
57,13,0
57,13,0
64,13,0
55,13,0
50,13,0
43,13,0
40,13,0
42,13,0
48,13,0
54,13,0
57,13,0
58,13,0
83,13,0
105,13,0
116,13,0
133,13,0
149,13,0
152,13,0
149,13,0
139,13,0
122,13,0
104,13,0
85,13,0
63,13,0
54,13,0
52,13,0
47,13,0
45,13,0
46,13,0
52,13,0
59,13,0
64,13,0
64,13,0
60,13,0
59,13,0
60,13,0
65,13,0
8,16,0
9,16,0
10,16,0
11,16,0
12,16,0
12,16,0
10,16,0
10,16,0
11,16,0
11,16,0
11,16,0
10,16,0
10,16,0
10,16,0
11,16,0
11,16,0
10,16,0
10,16,0
11,16,0
11,16,0
10,16,0
10,16,0
9,16,0
9,16,0
10,16,0
11,16,0
12,16,0
11,16,0
10,16,0
10,16,0
10,16,0
10,16,0
12,16,0
12,16,0
12,16,0
12,16,0
12,16,0
13,16,0
14,16,0
16,16,0
15,16,0
16,16,0
17,16,0
18,16,0
18,16,0
20,16,0
21,16,0
23,16,0
23,16,0
23,16,0
26,16,0
26,16,0
28,16,0
29,16,0
30,16,0
32,16,0
32,16,0
31,16,0
30,16,0
30,16,0
33,16,0
33,16,0
33,16,0
32,16,0
31,16,0
30,16,0
29,16,0
31,16,0
33,16,0
35,16,0
35,16,0
35,16,0
35,16,0
37,16,0
37,16,0
38,16,0
38,16,0
38,16,0
38,16,0
38,16,0
40,16,0
40,16,0
41,16,0
42,16,0
43,16,0
43,16,0
43,16,0
42,16,0
44,16,0
42,16,0
40,16,0
38,16,0
36,16,0
35,16,0
35,16,0
35,16,0
34,16,0
32,16,0
30,16,0
27,16,0
25,16,0
22,16,0
20,16,0
18,16,0
15,16,0
14,16,0
13,16,0
13,16,0
13,16,0
14,16,0
15,16,0
15,16,0
15,16,0
15,16,0
14,16,0
14,16,0
14,16,0
15,16,0
17,16,0
19,16,0
18,16,0
18,16,0
19,16,0
19,16,0
21,16,0
22,16,0
23,16,0
24,16,0
22,16,0
23,16,0
23,16,0
23,16,0
22,16,0
22,16,0
21,16,0
21,16,0
21,16,0
20,16,0
22,16,0
22,16,0
21,16,0
21,16,0
21,16,0
21,16,0
18,16,0
17,16,0
15,16,0
14,16,0
13,16,0
12,16,0
12,16,0
11,16,0
9,16,0
12,16,0
18,16,0
24,16,0
31,16,0
37,16,0
47,16,0
54,16,0
69,16,0
76,16,0
83,16,0
88,16,0
92,16,0
97,16,0
102,16,0
107,16,0
112,16,0
113,16,0
115,16,0
117,16,0
121,16,0
125,16,0
126,16,0
123,16,0
120,16,0
116,16,0
115,16,0
113,16,0
110,16,0
109,16,0
107,16,0
102,16,0
98,16,0
94,16,0
89,16,0
85,16,0
81,16,0
78,16,0
74,16,0
72,16,0
70,16,0
69,16,0
65,16,0
68,16,0
55,16,0
43,16,0
62,16,0
126,16,0
196,16,0
226,16,0
229,16,0
213,16,0
194,16,0
171,16,0
145,16,0
121,16,0
111,16,0
106,16,0
105,16,0
110,16,0
113,16,0
105,16,0
92,16,0
83,16,0
79,16,0
73,16,0
69,16,0
71,16,0
79,16,0
91,16,0
104,16,0
113,16,0
121,16,0
141,16,0
156,16,0
166,16,0
180,16,0
191,16,0
192,16,0
189,16,0
170,16,0
153,16,0
136,16,0
115,16,0
93,16,0
80,16,0
74,16,0
65,16,0
57,16,0
57,16,0
57,16,0
60,16,0
59,16,0
58,16,0
56,16,0
55,16,0
60,16,0
63,16,0
10,17,3
10,17,3
11,17,3
11,17,3
12,17,3
11,17,3
11,17,3
10,17,3
12,17,3
11,17,3
11,17,3
10,17,3
10,17,3
10,17,3
10,17,3
11,17,3
10,17,3
10,17,3
10,17,3
9,17,3
9,17,3
8,17,3
8,17,3
7,17,3
7,17,3
8,17,3
10,17,3
11,17,3
9,17,3
9,17,3
9,17,3
9,17,3
11,17,3
12,17,3
12,17,3
12,17,3
12,17,3
13,17,3
15,17,3
16,17,3
15,17,3
16,17,3
18,17,3
18,17,3
19,17,3
21,17,3
23,17,3
24,17,3
25,17,3
27,17,3
27,17,3
28,17,3
29,17,3
30,17,3
31,17,3
31,17,3
31,17,3
31,17,3
30,17,3
29,17,3
30,17,3
30,17,3
30,17,3
30,17,3
28,17,3
27,17,3
27,17,3
28,17,3
32,17,3
33,17,3
34,17,3
33,17,3
33,17,3
33,17,3
34,17,3
34,17,3
35,17,3
35,17,3
35,17,3
35,17,3
37,17,3
38,17,3
40,17,3
41,17,3
42,17,3
42,17,3
42,17,3
42,17,3
43,17,3
41,17,3
39,17,3
37,17,3
35,17,3
35,17,3
35,17,3
35,17,3
34,17,3
32,17,3
30,17,3
28,17,3
25,17,3
22,17,3
20,17,3
18,17,3
15,17,3
14,17,3
13,17,3
13,17,3
14,17,3
15,17,3
15,17,3
15,17,3
16,17,3
16,17,3
14,17,3
14,17,3
15,17,3
16,17,3
18,17,3
19,17,3
19,17,3
19,17,3
19,17,3
20,17,3
20,17,3
23,17,3
24,17,3
24,17,3
23,17,3
23,17,3
23,17,3
23,17,3
23,17,3
23,17,3
22,17,3
22,17,3
21,17,3
21,17,3
23,17,3
22,17,3
22,17,3
21,17,3
21,17,3
21,17,3
18,17,3
18,17,3
15,17,3
14,17,3
14,17,3
12,17,3
11,17,3
11,17,3
10,17,3
14,17,3
20,17,3
27,17,3
33,17,3
40,17,3
51,17,3
58,17,3
72,17,3
80,17,3
85,17,3
89,17,3
94,17,3
98,17,3
102,17,3
107,17,3
111,17,3
114,17,3
115,17,3
116,17,3
118,17,3
123,17,3
124,17,3
123,17,3
119,17,3
118,17,3
117,17,3
112,17,3
107,17,3
105,17,3
104,17,3
100,17,3
97,17,3
95,17,3
90,17,3
87,17,3
84,17,3
81,17,3
79,17,3
76,17,3
74,17,3
69,17,3
64,17,3
70,17,3
60,17,3
55,17,3
82,17,3
152,17,3
218,17,3
247,17,3
252,17,3
241,17,3
233,17,3
221,17,3
201,17,3
179,17,3
170,17,3
168,17,3
167,17,3
170,17,3
172,17,3
166,17,3
149,17,3
134,17,3
129,17,3
123,17,3
118,17,3
122,17,3
130,17,3
142,17,3
158,17,3
171,17,3
182,17,3
192,17,3
199,17,3
202,17,3
211,17,3
215,17,3
213,17,3
210,17,3
198,17,3
187,17,3
174,17,3
158,17,3
138,17,3
124,17,3
110,17,3
94,17,3
82,17,3
76,17,3
69,17,3
60,17,3
56,17,3
52,17,3
52,17,3
54,17,3
57,17,3
60,17,3
9,20,7
10,20,7
11,20,7
12,20,7
12,20,7
12,20,7
10,20,7
10,20,7
10,20,7
10,20,7
9,20,7
9,20,7
8,20,7
8,20,7
8,20,7
9,20,7
11,20,7
11,20,7
10,20,7
10,20,7
9,20,7
8,20,7
8,20,7
7,20,7
5,20,7
6,20,7
9,20,7
10,20,7
11,20,7
9,20,7
9,20,7
9,20,7
11,20,7
12,20,7
12,20,7
12,20,7
12,20,7
13,20,7
14,20,7
15,20,7
16,20,7
17,20,7
18,20,7
19,20,7
20,20,7
22,20,7
24,20,7
25,20,7
28,20,7
28,20,7
28,20,7
28,20,7
29,20,7
30,20,7
30,20,7
31,20,7
31,20,7
30,20,7
29,20,7
28,20,7
28,20,7
29,20,7
29,20,7
29,20,7
27,20,7
26,20,7
26,20,7
26,20,7
28,20,7
