R,G,B
95,150,131
94,150,131
93,150,131
93,150,131
93,150,131
94,150,131
96,150,131
96,150,131
96,150,131
96,150,131
96,150,131
96,150,131
96,150,131
96,150,131
96,150,131
96,150,131
97,150,131
97,150,131
97,150,131
97,150,131
97,150,131
97,150,131
97,150,131
97,150,131
96,150,131
96,150,131
96,150,131
97,150,131
97,150,131
97,150,131
98,150,131
98,150,131
98,150,131
98,150,131
98,150,131
98,150,131
98,150,131
98,150,131
98,150,131
98,150,131
97,150,131
97,150,131
97,150,131
98,150,131
98,150,131
98,150,131
98,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
100,150,131
99,150,131
100,150,131
100,150,131
100,150,131
100,150,131
101,150,131
101,150,131
101,150,131
101,150,131
100,150,131
100,150,131
99,150,131
99,150,131
99,150,131
99,150,131
100,150,131
100,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
99,150,131
100,150,131
100,150,131
100,150,131
101,150,131
101,150,131
101,150,131
99,150,131
100,150,131
101,150,131
102,150,131
102,150,131
102,150,131
101,150,131
101,150,131
103,150,131
101,150,131
99,150,131
99,150,131
100,150,131
101,150,131
100,150,131
99,150,131
96,150,131
98,150,131
99,150,131
101,150,131
100,150,131
101,150,131
101,150,131
101,150,131
100,150,131
96,150,131
102,150,131
102,150,131
100,150,131
98,150,131
107,150,131
89,150,131
77,150,131
108,150,131
191,150,131
