R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
56,0,0
131,0,0
126,0,0
126,0,0
124,0,0
126,0,0
125,0,0
127,0,0
127,0,0
127,0,0
127,0,0
127,0,0
127,0,0
127,0,0
127,0,0
127,0,0
128,0,0
128,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
127,0,0
127,0,0
128,0,0
128,0,0
129,0,0
130,0,0
130,0,0
130,0,0
133,0,0
132,0,0
134,0,0
136,0,0
134,0,0
133,0,0
140,0,0
148,0,0
145,0,0
145,0,0
155,0,0
171,0,0
191,0,0
205,0,0
197,0,0
179,0,0
151,0,0
132,0,0
130,0,0
147,0,0
157,0,0
155,0,0
149,0,0
141,0,0
133,0,0
134,0,0
143,0,0
144,0,0
143,0,0
143,0,0
149,0,0
167,0,0
190,0,0
206,0,0
226,0,0
239,0,0
248,0,0
255,0,0
255,0,0
254,0,0
252,0,0
252,0,0
254,0,0
253,0,0
248,0,0
246,0,0
231,0,0
204,0,0
161,0,0
166,0,0
193,0,0
206,0,0
205,0,0
207,0,0
202,0,0
209,0,0
205,0,0
184,0,0
165,0,0
162,0,0
162,0,0
153,0,0
143,0,0
142,0,0
141,0,0
138,0,0
134,0,0
131,0,0
129,0,0
130,0,0
130,0,0
132,0,0
126,0,0
126,0,0
125,0,0
126,0,0
127,0,0
127,0,0
128,0,0
128,0,0
130,0,0
132,0,0
133,0,0
132,0,0
132,0,0
131,0,0
131,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
129,0,0
128,0,0
128,0,0
128,0,0
129,0,0
129,0,0
130,0,0
130,0,0
131,0,0
130,0,0
129,0,0
128,0,0
128,0,0
128,0,0
128,0,0
129,0,0
129,0,0
130,0,0
131,0,0
131,0,0
131,0,0
131,0,0
132,0,0
132,0,0
132,0,0
