R,G,B
57,38,21
57,38,21
57,38,21
58,38,21
59,38,21
61,38,21
62,38,21
63,38,21
66,38,21
66,38,21
67,38,21
69,38,21
69,38,21
70,38,21
70,38,21
70,38,21
67,38,21
67,38,21
70,38,21
70,38,21
72,38,21
73,38,21
73,38,21
70,38,21
68,38,21
69,38,21
69,38,21
69,38,21
70,38,21
68,38,21
66,38,21
65,38,21
66,38,21
66,38,21
66,38,21
66,38,21
67,38,21
70,38,21
71,38,21
71,38,21
73,38,21
74,38,21
75,38,21
77,38,21
79,38,21
81,38,21
83,38,21
84,38,21
85,38,21
86,38,21
87,38,21
86,38,21
86,38,21
85,38,21
85,38,21
83,38,21
85,38,21
82,38,21
81,38,21
79,38,21
79,38,21
76,38,21
75,38,21
74,38,21
75,38,21
73,38,21
71,38,21
69,38,21
66,38,21
66,38,21
65,38,21
64,38,21
64,38,21
63,38,21
63,38,21
63,38,21
65,38,21
65,38,21
65,38,21
64,38,21
62,38,21
60,38,21
58,38,21
57,38,21
55,38,21
54,38,21
53,38,21
54,38,21
54,38,21
53,38,21
53,38,21
53,38,21
51,38,21
51,38,21
51,38,21
51,38,21
51,38,21
52,38,21
53,38,21
54,38,21
54,38,21
53,38,21
53,38,21
53,38,21
54,38,21
56,38,21
57,38,21
56,38,21
54,38,21
52,38,21
53,38,21
55,38,21
57,38,21
56,38,21
56,38,21
55,38,21
54,38,21
54,38,21
54,38,21
54,38,21
54,38,21
54,38,21
54,38,21
54,38,21
52,38,21
50,38,21
49,38,21
49,38,21
49,38,21
49,38,21
49,38,21
48,38,21
46,38,21
45,38,21
46,38,21
47,38,21
46,38,21
46,38,21
45,38,21
46,38,21
47,38,21
47,38,21
45,38,21
43,38,21
43,38,21
43,38,21
44,38,21
44,38,21
45,38,21
45,38,21
46,38,21
47,38,21
45,38,21
45,38,21
44,38,21
45,38,21
46,38,21
46,38,21
47,38,21
47,38,21
48,38,21
48,38,21
50,38,21
50,38,21
51,38,21
51,38,21
52,38,21
53,38,21
56,38,21
56,38,21
55,38,21
52,38,21
49,38,21
46,38,21
46,38,21
47,38,21
46,38,21
48,38,21
50,38,21
48,38,21
44,38,21
40,38,21
38,38,21
38,38,21
38,38,21
35,38,21
31,38,21
29,38,21
39,38,21
59,38,21
82,38,21
111,38,21
151,38,21
180,38,21
202,38,21
218,38,21
229,38,21
229,38,21
235,38,21
237,38,21
235,38,21
226,38,21
214,38,21
196,38,21
172,38,21
156,38,21
155,38,21
162,38,21
165,38,21
170,38,21
171,38,21
171,38,21
170,38,21
171,38,21
171,38,21
170,38,21
170,38,21
170,38,21
169,38,21
169,38,21
172,38,21
174,38,21
179,38,21
183,38,21
177,38,21
176,38,21
175,38,21
174,38,21
176,38,21
178,38,21
181,38,21
182,38,21
180,38,21
174,38,21
168,38,21
164,38,21
168,38,21
179,38,21
207,38,21
242,38,21
251,38,21
255,38,21
238,38,21
242,38,21
251,38,21
247,38,21
251,38,21
243,38,21
243,38,21
242,38,21
57,40,20
58,40,20
58,40,20
59,40,20
60,40,20
62,40,20
63,40,20
64,40,20
66,40,20
67,40,20
68,40,20
69,40,20
70,40,20
71,40,20
71,40,20
71,40,20
69,40,20
69,40,20
69,40,20
70,40,20
71,40,20
73,40,20
72,40,20
69,40,20
69,40,20
69,40,20
69,40,20
69,40,20
69,40,20
68,40,20
66,40,20
65,40,20
66,40,20
66,40,20
66,40,20
66,40,20
67,40,20
68,40,20
71,40,20
71,40,20
71,40,20
73,40,20
75,40,20
76,40,20
78,40,20
80,40,20
82,40,20
84,40,20
85,40,20
86,40,20
86,40,20
86,40,20
87,40,20
86,40,20
85,40,20
84,40,20
85,40,20
83,40,20
82,40,20
81,40,20
80,40,20
79,40,20
75,40,20
74,40,20
76,40,20
75,40,20
72,40,20
70,40,20
67,40,20
66,40,20
65,40,20
64,40,20
63,40,20
62,40,20
62,40,20
62,40,20
64,40,20
64,40,20
63,40,20
63,40,20
60,40,20
58,40,20
56,40,20
55,40,20
53,40,20
51,40,20
50,40,20
51,40,20
55,40,20
53,40,20
52,40,20
51,40,20
49,40,20
48,40,20
48,40,20
47,40,20
48,40,20
49,40,20
50,40,20
50,40,20
51,40,20
50,40,20
51,40,20
51,40,20
53,40,20
55,40,20
57,40,20
