R,G,B
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
6,5,5
6,5,5
6,5,5
6,5,5
7,5,5
6,5,5
6,5,5
6,5,5
5,5,5
5,5,5
4,5,5
4,5,5
4,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
4,5,5
4,5,5
5,5,5
5,5,5
5,5,5
5,5,5
6,5,5
6,5,5
6,5,5
6,5,5
6,5,5
6,5,5
6,5,5
6,5,5
6,5,5
6,5,5
6,5,5
6,5,5
5,5,5
5,5,5
5,5,5
5,5,5
4,5,5
4,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
6,5,5
6,5,5
6,5,5
6,5,5
6,5,5
6,5,5
6,5,5
6,5,5
5,5,5
6,5,5
6,5,5
4,5,5
4,5,5
5,5,5
5,5,5
4,5,5
3,5,5
2,5,5
2,5,5
4,5,5
8,5,5
11,5,5
15,5,5
19,5,5
19,5,5
19,5,5
19,5,5
20,5,5
22,5,5
23,5,5
24,5,5
25,5,5
27,5,5
27,5,5
28,5,5
27,5,5
26,5,5
24,5,5
21,5,5
20,5,5
21,5,5
21,5,5
20,5,5
20,5,5
19,5,5
19,5,5
18,5,5
18,5,5
23,5,5
25,5,5
28,5,5
30,5,5
30,5,5
31,5,5
32,5,5
34,5,5
34,5,5
34,5,5
34,5,5
31,5,5
36,5,5
60,5,5
76,5,5
73,5,5
67,5,5
60,5,5
50,5,5
41,5,5
37,5,5
36,5,5
34,5,5
32,5,5
27,5,5
28,5,5
28,5,5
29,5,5
30,5,5
32,5,5
33,5,5
34,5,5
32,5,5
31,5,5
28,5,5
26,5,5
24,5,5
23,5,5
24,5,5
25,5,5
26,5,5
27,5,5
29,5,5
31,5,5
33,5,5
35,5,5
36,5,5
37,5,5
38,5,5
37,5,5
37,5,5
36,5,5
35,5,5
34,5,5
34,5,5
33,5,5
32,5,5
34,5,5
34,5,5
34,5,5
36,5,5
37,5,5
36,5,5
33,5,5
31,5,5
31,5,5
30,5,5
30,5,5
29,5,5
29,5,5
28,5,5
28,5,5
27,5,5
27,5,5
27,5,5
26,5,5
25,5,5
25,5,5
25,5,5
24,5,5
25,5,5
25,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
