R,G,B
67,85,89
66,85,89
65,85,89
66,85,89
64,85,89
63,85,89
63,85,89
63,85,89
61,85,89
62,85,89
60,85,89
59,85,89
57,85,89
56,85,89
54,85,89
54,85,89
54,85,89
53,85,89
51,85,89
50,85,89
49,85,89
48,85,89
47,85,89
46,85,89
46,85,89
45,85,89
43,85,89
41,85,89
40,85,89
39,85,89
38,85,89
37,85,89
33,85,89
35,85,89
35,85,89
36,85,89
35,85,89
37,85,89
36,85,89
37,85,89
35,85,89
34,85,89
33,85,89
32,85,89
30,85,89
30,85,89
30,85,89
30,85,89
29,85,89
28,85,89
28,85,89
27,85,89
26,85,89
25,85,89
24,85,89
24,85,89
23,85,89
23,85,89
24,85,89
25,85,89
25,85,89
25,85,89
25,85,89
25,85,89
27,85,89
28,85,89
28,85,89
28,85,89
27,85,89
26,85,89
25,85,89
24,85,89
24,85,89
24,85,89
23,85,89
22,85,89
22,85,89
21,85,89
20,85,89
20,85,89
16,85,89
16,85,89
15,85,89
14,85,89
14,85,89
14,85,89
14,85,89
13,85,89
11,85,89
11,85,89
11,85,89
12,85,89
11,85,89
11,85,89
11,85,89
11,85,89
11,85,89
10,85,89
8,85,89
7,85,89
7,85,89
10,85,89
12,85,89
13,85,89
12,85,89
12,85,89
12,85,89
12,85,89
11,85,89
11,85,89
11,85,89
10,85,89
11,85,89
11,85,89
10,85,89
12,85,89
11,85,89
11,85,89
11,85,89
12,85,89
11,85,89
12,85,89
12,85,89
11,85,89
11,85,89
11,85,89
14,85,89
14,85,89
14,85,89
14,85,89
14,85,89
13,85,89
13,85,89
12,85,89
12,85,89
10,85,89
9,85,89
9,85,89
9,85,89
9,85,89
8,85,89
8,85,89
8,85,89
8,85,89
11,85,89
11,85,89
11,85,89
11,85,89
11,85,89
10,85,89
10,85,89
9,85,89
10,85,89
10,85,89
9,85,89
9,85,89
9,85,89
10,85,89
11,85,89
12,85,89
10,85,89
9,85,89
8,85,89
7,85,89
7,85,89
7,85,89
7,85,89
7,85,89
8,85,89
9,85,89
11,85,89
11,85,89
10,85,89
10,85,89
12,85,89
14,85,89
23,85,89
25,85,89
29,85,89
39,85,89
57,85,89
73,85,89
82,85,89
81,85,89
74,85,89
72,85,89
67,85,89
66,85,89
69,85,89
73,85,89
74,85,89
71,85,89
70,85,89
73,85,89
74,85,89
75,85,89
73,85,89
72,85,89
69,85,89
67,85,89
65,85,89
63,85,89
59,85,89
54,85,89
53,85,89
55,85,89
57,85,89
60,85,89
68,85,89
69,85,89
67,85,89
61,85,89
59,85,89
58,85,89
57,85,89
56,85,89
57,85,89
57,85,89
57,85,89
59,85,89
61,85,89
64,85,89
64,85,89
64,85,89
63,85,89
64,85,89
65,85,89
69,85,89
70,85,89
71,85,89
71,85,89
72,85,89
76,85,89
78,85,89
79,85,89
78,85,89
77,85,89
77,85,89
79,85,89
82,85,89
87,85,89
89,85,89
91,85,89
92,85,89
93,85,89
95,85,89
95,85,89
93,85,89
95,85,89
94,85,89
68,83,88
68,83,88
67,83,88
66,83,88
65,83,88
65,83,88
66,83,88
66,83,88
64,83,88
64,83,88
62,83,88
61,83,88
62,83,88
60,83,88
59,83,88
59,83,88
55,83,88
54,83,88
52,83,88
51,83,88
51,83,88
50,83,88
49,83,88
48,83,88
49,83,88
47,83,88
45,83,88
44,83,88
43,83,88
42,83,88
40,83,88
39,83,88
37,83,88
37,83,88
38,83,88
38,83,88
40,83,88
39,83,88
40,83,88
39,83,88
38,83,88
38,83,88
36,83,88
34,83,88
33,83,88
31,83,88
31,83,88
31,83,88
31,83,88
30,83,88
30,83,88
29,83,88
28,83,88
28,83,88
27,83,88
27,83,88
26,83,88
26,83,88
26,83,88
27,83,88
27,83,88
27,83,88
26,83,88
26,83,88
29,83,88
29,83,88
29,83,88
28,83,88
28,83,88
28,83,88
27,83,88
27,83,88
26,83,88
26,83,88
25,83,88
24,83,88
24,83,88
23,83,88
22,83,88
22,83,88
18,83,88
18,83,88
18,83,88
18,83,88
17,83,88
16,83,88
16,83,88
16,83,88
15,83,88
15,83,88
13,83,88
12,83,88
12,83,88
11,83,88
11,83,88
11,83,88
12,83,88
11,83,88
10,83,88
9,83,88
10,83,88
11,83,88
12,83,88
14,83,88
13,83,88
13,83,88
13,83,88
12,83,88
12,83,88
12,83,88
12,83,88
12,83,88
11,83,88
11,83,88
11,83,88
10,83,88
10,83,88
9,83,88
10,83,88
10,83,88
9,83,88
10,83,88
10,83,88
10,83,88
12,83,88
12,83,88
12,83,88
12,83,88
12,83,88
12,83,88
12,83,88
12,83,88
12,83,88
12,83,88
12,83,88
12,83,88
11,83,88
11,83,88
11,83,88
10,83,88
10,83,88
10,83,88
8,83,88
8,83,88
10,83,88
10,83,88
10,83,88
10,83,88
10,83,88
9,83,88
9,83,88
8,83,88
9,83,88
9,83,88
8,83,88
8,83,88
8,83,88
9,83,88
10,83,88
11,83,88
10,83,88
10,83,88
9,83,88
8,83,88
7,83,88
7,83,88
7,83,88
6,83,88
7,83,88
9,83,88
11,83,88
11,83,88
9,83,88
9,83,88
11,83,88
13,83,88
21,83,88
22,83,88
26,83,88
37,83,88
55,83,88
72,83,88
81,83,88
81,83,88
75,83,88
73,83,88
69,83,88
67,83,88
67,83,88
72,83,88
73,83,88
70,83,88
72,83,88
74,83,88
75,83,88
74,83,88
72,83,88
72,83,88
72,83,88
71,83,88
66,83,88
65,83,88
61,83,88
56,83,88
54,83,88
56,83,88
58,83,88
61,83,88
67,83,88
68,83,88
66,83,88
61,83,88
59,83,88
58,83,88
58,83,88
55,83,88
56,83,88
57,83,88
58,83,88
61,83,88
63,83,88
65,83,88
65,83,88
64,83,88
63,83,88
63,83,88
64,83,88
67,83,88
68,83,88
69,83,88
69,83,88
70,83,88
75,83,88
77,83,88
79,83,88
78,83,88
79,83,88
79,83,88
82,83,88
85,83,88
87,83,88
89,83,88
91,83,88
92,83,88
93,83,88
94,83,88
94,83,88
92,83,88
93,83,88
93,83,88
67,80,83
66,80,83
66,80,83
66,80,83
66,80,83
66,80,83
68,80,83
69,80,83
67,80,83
66,80,83
66,80,83
65,80,83
64,80,83
64,80,83
63,80,83
63,80,83
57,80,83
56,80,83
56,80,83
55,80,83
55,80,83
54,80,83
53,80,83
53,80,83
54,80,83
52,80,83
50,80,83
49,80,83
48,80,83
47,80,83
45,80,83
45,80,83
41,80,83
41,80,83
44,80,83
44,80,83
45,80,83
44,80,83
44,80,83
44,80,83
43,80,83
42,80,83
41,80,83
39,80,83
37,80,83
35,80,83
34,80,83
34,80,83
35,80,83
35,80,83
34,80,83
34,80,83
34,80,83
33,80,83
33,80,83
33,80,83
32,80,83
32,80,83
32,80,83
32,80,83
32,80,83
31,80,83
31,80,83
30,80,83
31,80,83
30,80,83
30,80,83
29,80,83
29,80,83
29,80,83
29,80,83
29,80,83
27,80,83
27,80,83
27,80,83
26,80,83
26,80,83
25,80,83
24,80,83
24,80,83
22,80,83
22,80,83
22,80,83
22,80,83
21,80,83
21,80,83
21,80,83
21,80,83
20,80,83
19,80,83
18,80,83
17,80,83
16,80,83
15,80,83
14,80,83
14,80,83
14,80,83
13,80,83
13,80,83
13,80,83
13,80,83
14,80,83
15,80,83
15,80,83
15,80,83
15,80,83
15,80,83
15,80,83
14,80,83
14,80,83
14,80,83
14,80,83
11,80,83
11,80,83
10,80,83
11,80,83
11,80,83
10,80,83
10,80,83
11,80,83
10,80,83
10,80,83
13,80,83
13,80,83
13,80,83
13,80,83
13,80,83
14,80,83
12,80,83
12,80,83
12,80,83
12,80,83
12,80,83
12,80,83
12,80,83
12,80,83
12,80,83
12,80,83
11,80,83
11,80,83
11,80,83
11,80,83
10,80,83
10,80,83
10,80,83
10,80,83
10,80,83
10,80,83
10,80,83
9,80,83
9,80,83
8,80,83
9,80,83
9,80,83
8,80,83
8,80,83
8,80,83
9,80,83
10,80,83
10,80,83
9,80,83
9,80,83
9,80,83
8,80,83
7,80,83
6,80,83
5,80,83
4,80,83
5,80,83
7,80,83
9,80,83
9,80,83
7,80,83
7,80,83
9,80,83
10,80,83
18,80,83
19,80,83
23,80,83
34,80,83
53,80,83
71,80,83
80,80,83
81,80,83
76,80,83
75,80,83
71,80,83
66,80,83
66,80,83
69,80,83
70,80,83
70,80,83
73,80,83
76,80,83
78,80,83
74,80,83
71,80,83
71,80,83
73,80,83
74,80,83
68,80,83
67,80,83
63,80,83
59,80,83
57,80,83
58,80,83
59,80,83
61,80,83
67,80,83
67,80,83
66,80,83
62,80,83
60,80,83
59,80,83
58,80,83
54,80,83
55,80,83
57,80,83
59,80,83
62,80,83
65,80,83
66,80,83
65,80,83
64,80,83
62,80,83
62,80,83
62,80,83
65,80,83
66,80,83
67,80,83
67,80,83
69,80,83
74,80,83
76,80,83
78,80,83
79,80,83
80,80,83
82,80,83
85,80,83
87,80,83
87,80,83
89,80,83
90,80,83
90,80,83
91,80,83
91,80,83
91,80,83
90,80,83
90,80,83
90,80,83
64,75,77
64,75,77
64,75,77
64,75,77
65,75,77
65,75,77
66,75,77
66,75,77
65,75,77
64,75,77
64,75,77
65,75,77
64,75,77
63,75,77
63,75,77
63,75,77
58,75,77
58,75,77
57,75,77
58,75,77
58,75,77
58,75,77
57,75,77
56,75,77
57,75,77
56,75,77
54,75,77
52,75,77
51,75,77
50,75,77
49,75,77
48,75,77
46,75,77
