R,G,B
202,176,127
202,176,127
202,176,127
202,176,127
203,176,127
203,176,127
203,176,127
203,176,127
203,176,127
203,176,127
203,176,127
203,176,127
203,176,127
203,176,127
203,176,127
203,176,127
204,176,127
204,176,127
204,176,127
203,176,127
203,176,127
203,176,127
203,176,127
203,176,127
204,176,127
204,176,127
203,176,127
201,176,127
201,176,127
202,176,127
202,176,127
202,176,127
202,176,127
201,176,127
201,176,127
200,176,127
199,176,127
198,176,127
197,176,127
197,176,127
197,176,127
196,176,127
195,176,127
194,176,127
193,176,127
192,176,127
192,176,127
193,176,127
192,176,127
192,176,127
191,176,127
191,176,127
190,176,127
190,176,127
190,176,127
189,176,127
191,176,127
192,176,127
192,176,127
192,176,127
192,176,127
192,176,127
192,176,127
192,176,127
194,176,127
193,176,127
193,176,127
193,176,127
193,176,127
193,176,127
194,176,127
194,176,127
194,176,127
194,176,127
194,176,127
194,176,127
194,176,127
194,176,127
194,176,127
194,176,127
193,176,127
194,176,127
195,176,127
195,176,127
194,176,127
194,176,127
194,176,127
194,176,127
193,176,127
193,176,127
193,176,127
192,176,127
191,176,127
192,176,127
193,176,127
195,176,127
194,176,127
194,176,127
194,176,127
195,176,127
195,176,127
195,176,127
195,176,127
195,176,127
196,176,127
196,176,127
196,176,127
195,176,127
195,176,127
195,176,127
195,176,127
195,176,127
196,176,127
196,176,127
196,176,127
196,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
196,176,127
196,176,127
196,176,127
196,176,127
196,176,127
196,176,127
196,176,127
196,176,127
196,176,127
196,176,127
196,176,127
196,176,127
196,176,127
197,176,127
197,176,127
197,176,127
197,176,127
197,176,127
198,176,127
198,176,127
199,176,127
199,176,127
199,176,127
198,176,127
198,176,127
197,176,127
192,176,127
193,176,127
193,176,127
195,176,127
197,176,127
199,176,127
200,176,127
201,176,127
204,176,127
201,176,127
201,176,127
199,176,127
192,176,127
191,176,127
193,176,127
196,176,127
196,176,127
194,176,127
173,176,127
133,176,127
91,176,127
65,176,127
53,176,127
49,176,127
50,176,127
47,176,127
42,176,127
41,176,127
41,176,127
41,176,127
43,176,127
44,176,127
44,176,127
43,176,127
44,176,127
46,176,127
46,176,127
45,176,127
44,176,127
44,176,127
44,176,127
44,176,127
44,176,127
44,176,127
44,176,127
44,176,127
44,176,127
44,176,127
45,176,127
44,176,127
44,176,127
43,176,127
42,176,127
