R,G,B
209,206,175
204,206,175
198,206,175
194,206,175
191,206,175
187,206,175
185,206,175
184,206,175
185,206,175
185,206,175
185,206,175
186,206,175
187,206,175
189,206,175
191,206,175
192,206,175
194,206,175
197,206,175
200,206,175
202,206,175
203,206,175
204,206,175
207,206,175
209,206,175
211,206,175
214,206,175
215,206,175
213,206,175
215,206,175
218,206,175
218,206,175
216,206,175
218,206,175
219,206,175
220,206,175
219,206,175
218,206,175
219,206,175
220,206,175
222,206,175
222,206,175
223,206,175
224,206,175
225,206,175
226,206,175
227,206,175
227,206,175
227,206,175
228,206,175
229,206,175
228,206,175
227,206,175
228,206,175
227,206,175
224,206,175
221,206,175
218,206,175
215,206,175
211,206,175
209,206,175
205,206,175
201,206,175
198,206,175
196,206,175
196,206,175
194,206,175
192,206,175
192,206,175
193,206,175
195,206,175
198,206,175
201,206,175
207,206,175
210,206,175
211,206,175
214,206,175
215,206,175
218,206,175
218,206,175
217,206,175
219,206,175
221,206,175
222,206,175
224,206,175
224,206,175
225,206,175
225,206,175
224,206,175
224,206,175
223,206,175
215,206,175
211,206,175
219,206,175
222,206,175
214,206,175
210,206,175
227,206,175
233,206,175
221,206,175
215,206,175
225,206,175
244,206,175
255,206,175
249,206,175
254,206,175
247,206,175
234,206,175
219,206,175
190,206,175
184,206,175
192,206,175
254,206,175
246,206,175
245,206,175
243,206,175
239,206,175
236,206,175
240,206,175
242,206,175
240,206,175
239,206,175
244,206,175
245,206,175
233,206,175
213,206,175
197,206,175
184,206,175
174,206,175
179,206,175
184,206,175
192,206,175
198,206,175
202,206,175
198,206,175
203,206,175
214,206,175
227,206,175
232,206,175
237,206,175
239,206,175
237,206,175
235,206,175
237,206,175
241,206,175
238,206,175
233,206,175
231,206,175
230,206,175
227,206,175
224,206,175
221,206,175
220,206,175
219,206,175
216,206,175
216,206,175
218,206,175
220,206,175
219,206,175
220,206,175
224,206,175
225,206,175
226,206,175
228,206,175
227,206,175
225,206,175
222,206,175
224,206,175
227,206,175
227,206,175
228,206,175
229,206,175
230,206,175
231,206,175
232,206,175
236,206,175
238,206,175
233,206,175
232,206,175
231,206,175
230,206,175
229,206,175
228,206,175
231,206,175
231,206,175
228,206,175
226,206,175
222,206,175
218,206,175
215,206,175
215,206,175
212,206,175
208,206,175
209,206,175
201,206,175
192,206,175
188,206,175
187,206,175
185,206,175
181,206,175
177,206,175
170,206,175
161,206,175
151,206,175
145,206,175
144,206,175
141,206,175
123,206,175
99,206,175
73,206,175
57,206,175
40,206,175
33,206,175
35,206,175
38,206,175
42,206,175
47,206,175
49,206,175
41,206,175
36,206,175
37,206,175
42,206,175
44,206,175
44,206,175
46,206,175
43,206,175
44,206,175
44,206,175
43,206,175
45,206,175
48,206,175
47,206,175
42,206,175
42,206,175
44,206,175
47,206,175
55,206,175
59,206,175
61,206,175
59,206,175
56,206,175
37,206,175
46,206,175
54,206,175
57,206,175
57,206,175
66,206,175
111,206,175
164,206,175
203,206,175
217,206,175
207,200,169
203,200,169
198,200,169
194,200,169
191,200,169
188,200,169
186,200,169
185,200,169
186,200,169
186,200,169
186,200,169
186,200,169
188,200,169
190,200,169
191,200,169
193,200,169
193,200,169
196,200,169
199,200,169
201,200,169
202,200,169
204,200,169
206,200,169
208,200,169
210,200,169
213,200,169
214,200,169
212,200,169
214,200,169
217,200,169
217,200,169
215,200,169
217,200,169
219,200,169
220,200,169
219,200,169
219,200,169
219,200,169
220,200,169
222,200,169
222,200,169
223,200,169
224,200,169
225,200,169
226,200,169
226,200,169
226,200,169
226,200,169
225,200,169
226,200,169
226,200,169
224,200,169
225,200,169
224,200,169
221,200,169
218,200,169
215,200,169
213,200,169
211,200,169
207,200,169
203,200,169
200,200,169
197,200,169
196,200,169
195,200,169
192,200,169
190,200,169
190,200,169
191,200,169
193,200,169
196,200,169
199,200,169
205,200,169
208,200,169
210,200,169
212,200,169
214,200,169
217,200,169
216,200,169
215,200,169
218,200,169
220,200,169
222,200,169
223,200,169
223,200,169
223,200,169
224,200,169
224,200,169
223,200,169
222,200,169
215,200,169
210,200,169
217,200,169
219,200,169
213,200,169
210,200,169
227,200,169
231,200,169
223,200,169
221,200,169
233,200,169
249,200,169
255,200,169
245,200,169
243,200,169
248,200,169
242,200,169
222,200,169
188,200,169
176,200,169
180,200,169
236,200,169
239,200,169
238,200,169
239,200,169
241,200,169
245,200,169
251,200,169
250,200,169
242,200,169
238,200,169
229,200,169
215,200,169
202,200,169
192,200,169
187,200,169
184,200,169
179,200,169
185,200,169
190,200,169
197,200,169
205,200,169
206,200,169
205,200,169
207,200,169
217,200,169
226,200,169
231,200,169
236,200,169
239,200,169
238,200,169
235,200,169
235,200,169
237,200,169
234,200,169
231,200,169
227,200,169
227,200,169
225,200,169
223,200,169
219,200,169
218,200,169
220,200,169
217,200,169
215,200,169
218,200,169
219,200,169
220,200,169
222,200,169
224,200,169
226,200,169
226,200,169
227,200,169
227,200,169
226,200,169
223,200,169
224,200,169
226,200,169
228,200,169
228,200,169
230,200,169
230,200,169
232,200,169
233,200,169
238,200,169
240,200,169
234,200,169
232,200,169
231,200,169
230,200,169
230,200,169
228,200,169
229,200,169
231,200,169
228,200,169
226,200,169
222,200,169
217,200,169
217,200,169
214,200,169
210,200,169
206,200,169
204,200,169
196,200,169
189,200,169
185,200,169
184,200,169
182,200,169
177,200,169
173,200,169
166,200,169
156,200,169
146,200,169
144,200,169
146,200,169
135,200,169
106,200,169
75,200,169
55,200,169
49,200,169
44,200,169
43,200,169
44,200,169
42,200,169
43,200,169
43,200,169
43,200,169
41,200,169
43,200,169
46,200,169
47,200,169
46,200,169
47,200,169
46,200,169
46,200,169
45,200,169
45,200,169
46,200,169
48,200,169
49,200,169
48,200,169
44,200,169
45,200,169
46,200,169
48,200,169
53,200,169
56,200,169
59,200,169
57,200,169
57,200,169
47,200,169
47,200,169
53,200,169
61,200,169
61,200,169
67,200,169
106,200,169
159,200,169
193,200,169
207,200,169
205,193,162
201,193,162
196,193,162
194,193,162
192,193,162
189,193,162
186,193,162
186,193,162
185,193,162
185,193,162
186,193,162
187,193,162
188,193,162
191,193,162
193,193,162
194,193,162
193,193,162
195,193,162
198,193,162
200,193,162
202,193,162
204,193,162
206,193,162
208,193,162
210,193,162
213,193,162
213,193,162
213,193,162
214,193,162
216,193,162
217,193,162
216,193,162
218,193,162
219,193,162
221,193,162
221,193,162
220,193,162
220,193,162
221,193,162
222,193,162
222,193,162
223,193,162
224,193,162
225,193,162
226,193,162
226,193,162
226,193,162
226,193,162
223,193,162
224,193,162
226,193,162
225,193,162
223,193,162
222,193,162
219,193,162
216,193,162
212,193,162
212,193,162
209,193,162
205,193,162
201,193,162
198,193,162
197,193,162
195,193,162
193,193,162
190,193,162
187,193,162
187,193,162
188,193,162
190,193,162
194,193,162
197,193,162
204,193,162
206,193,162
208,193,162
211,193,162
214,193,162
215,193,162
216,193,162
214,193,162
217,193,162
220,193,162
223,193,162
222,193,162
221,193,162
221,193,162
222,193,162
224,193,162
221,193,162
220,193,162
215,193,162
210,193,162
215,193,162
216,193,162
212,193,162
210,193,162
224,193,162
229,193,162
228,193,162
229,193,162
239,193,162
250,193,162
252,193,162
242,193,162
245,193,162
248,193,162
239,193,162
222,193,162
193,193,162
171,193,162
173,193,162
231,193,162
237,193,162
240,193,162
244,193,162
249,193,162
251,193,162
249,193,162
241,193,162
231,193,162
213,193,162
198,193,162
186,193,162
180,193,162
180,193,162
186,193,162
194,193,162
197,193,162
203,193,162
207,193,162
212,193,162
217,193,162
218,193,162
214,193,162
216,193,162
223,193,162
225,193,162
229,193,162
237,193,162
242,193,162
242,193,162
236,193,162
232,193,162
231,193,162
231,193,162
229,193,162
227,193,162
226,193,162
227,193,162
225,193,162
224,193,162
222,193,162
220,193,162
216,193,162
215,193,162
216,193,162
220,193,162
223,193,162
224,193,162
225,193,162
227,193,162
224,193,162
224,193,162
226,193,162
226,193,162
227,193,162
226,193,162
227,193,162
229,193,162
229,193,162
229,193,162
231,193,162
232,193,162
236,193,162
239,193,162
241,193,162
235,193,162
233,193,162
231,193,162
231,193,162
229,193,162
227,193,162
228,193,162
230,193,162
230,193,162
225,193,162
220,193,162
215,193,162
213,193,162
209,193,162
204,193,162
199,193,162
199,193,162
193,193,162
188,193,162
184,193,162
182,193,162
177,193,162
172,193,162
169,193,162
161,193,162
151,193,162
145,193,162
142,193,162
134,193,162
114,193,162
80,193,162
50,193,162
41,193,162
45,193,162
48,193,162
50,193,162
49,193,162
47,193,162
44,193,162
41,193,162
39,193,162
42,193,162
48,193,162
51,193,162
49,193,162
48,193,162
47,193,162
49,193,162
54,193,162
53,193,162
51,193,162
54,193,162
56,193,162
56,193,162
55,193,162
52,193,162
50,193,162
49,193,162
49,193,162
50,193,162
53,193,162
57,193,162
57,193,162
57,193,162
50,193,162
51,193,162
56,193,162
66,193,162
73,193,162
85,193,162
117,193,162
154,193,162
185,193,162
195,193,162
204,190,157
199,190,157
195,190,157
193,190,157
190,190,157
187,190,157
185,190,157
184,190,157
183,190,157
183,190,157
184,190,157
186,190,157
189,190,157
192,190,157
194,190,157
196,190,157
192,190,157
194,190,157
196,190,157
198,190,157
201,190,157
203,190,157
205,190,157
206,190,157
210,190,157
212,190,157
213,190,157
213,190,157
214,190,157
216,190,157
217,190,157
217,190,157
218,190,157
220,190,157
221,190,157
221,190,157
220,190,157
219,190,157
219,190,157
220,190,157
221,190,157
221,190,157
223,190,157
224,190,157
225,190,157
226,190,157
226,190,157
226,190,157
225,190,157
226,190,157
226,190,157
225,190,157
224,190,157
223,190,157
219,190,157
215,190,157
212,190,157
211,190,157
208,190,157
204,190,157
200,190,157
197,190,157
195,190,157
193,190,157
190,190,157
188,190,157
185,190,157
184,190,157
185,190,157
187,190,157
192,190,157
196,190,157
202,190,157
205,190,157
207,190,157
211,190,157
213,190,157
213,190,157
215,190,157
214,190,157
216,190,157
219,190,157
222,190,157
223,190,157
220,190,157
219,190,157
221,190,157
222,190,157
220,190,157
220,190,157
215,190,157
212,190,157
214,190,157
214,190,157
212,190,157
212,190,157
220,190,157
228,190,157
231,190,157
237,190,157
241,190,157
244,190,157
244,190,157
234,190,157
240,190,157
232,190,157
221,190,157
216,190,157
199,190,157
172,190,157
178,190,157
238,190,157
230,190,157
240,190,157
253,190,157
255,190,157
246,190,157
229,190,157
209,190,157
194,190,157
179,190,157
175,190,157
174,190,157
180,190,157
183,190,157
190,190,157
201,190,157
209,190,157
225,190,157
226,190,157
229,190,157
228,190,157
226,190,157
218,190,157
214,190,157
219,190,157
227,190,157
230,190,157
239,190,157
245,190,157
244,190,157
238,190,157
232,190,157
229,190,157
227,190,157
226,190,157
224,190,157
225,190,157
226,190,157
226,190,157
225,190,157
225,190,157
221,190,157
217,190,157
214,190,157
217,190,157
220,190,157
224,190,157
226,190,157
227,190,157
225,190,157
223,190,157
222,190,157
223,190,157
227,190,157
230,190,157
231,190,157
230,190,157
230,190,157
230,190,157
230,190,157
232,190,157
234,190,157
236,190,157
238,190,157
240,190,157
237,190,157
235,190,157
233,190,157
231,190,157
229,190,157
227,190,157
228,190,157
230,190,157
230,190,157
226,190,157
218,190,157
213,190,157
209,190,157
205,190,157
196,190,157
191,190,157
196,190,157
194,190,157
188,190,157
183,190,157
179,190,157
173,190,157
167,190,157
163,190,157
156,190,157
150,190,157
146,190,157
133,190,157
110,190,157
82,190,157
56,190,157
40,190,157
42,190,157
47,190,157
49,190,157
48,190,157
47,190,157
48,190,157
48,190,157
44,190,157
43,190,157
46,190,157
48,190,157
51,190,157
48,190,157
47,190,157
50,190,157
54,190,157
61,190,157
56,190,157
57,190,157
60,190,157
63,190,157
60,190,157
59,190,157
58,190,157
55,190,157
53,190,157
50,190,157
50,190,157
51,190,157
55,190,157
58,190,157
59,190,157
54,190,157
57,190,157
60,190,157
69,190,157
89,190,157
121,190,157
148,190,157
164,190,157
181,190,157
187,190,157
204,184,152
200,184,152
195,184,152
192,184,152
189,184,152
186,184,152
184,184,152
183,184,152
181,184,152
182,184,152
183,184,152
186,184,152
189,184,152
193,184,152
196,184,152
198,184,152
193,184,152
194,184,152
195,184,152
198,184,152
200,184,152
203,184,152
205,184,152
205,184,152
209,184,152
212,184,152
214,184,152
214,184,152
215,184,152
217,184,152
218,184,152
218,184,152
219,184,152
220,184,152
221,184,152
220,184,152
219,184,152
217,184,152
217,184,152
218,184,152
219,184,152
220,184,152
221,184,152
223,184,152
225,184,152
226,184,152
227,184,152
227,184,152
226,184,152
227,184,152
227,184,152
226,184,152
224,184,152
222,184,152
219,184,152
217,184,152
212,184,152
211,184,152
209,184,152
204,184,152
200,184,152
197,184,152
193,184,152
190,184,152
190,184,152
188,184,152
186,184,152
185,184,152
186,184,152
186,184,152
191,184,152
196,184,152
202,184,152
206,184,152
209,184,152
210,184,152
212,184,152
215,184,152
214,184,152
214,184,152
216,184,152
220,184,152
222,184,152
222,184,152
219,184,152
218,184,152
220,184,152
221,184,152
220,184,152
218,184,152
216,184,152
213,184,152
213,184,152
212,184,152
211,184,152
213,184,152
218,184,152
224,184,152
230,184,152
239,184,152
241,184,152
238,184,152
229,184,152
212,184,152
215,184,152
214,184,152
209,184,152
203,184,152
195,184,152
178,184,152
198,184,152
251,184,152
255,184,152
249,184,152
240,184,152
222,184,152
201,184,152
184,184,152
174,184,152
168,184,152
182,184,152
183,184,152
192,184,152
203,184,152
208,184,152
208,184,152
215,184,152
219,184,152
219,184,152
221,184,152
224,184,152
229,184,152
230,184,152
227,184,152
227,184,152
231,184,152
229,184,152
234,184,152
238,184,152
243,184,152
244,184,152
238,184,152
232,184,152
227,184,152
225,184,152
224,184,152
221,184,152
220,184,152
221,184,152
222,184,152
221,184,152
219,184,152
220,184,152
214,184,152
213,184,152
215,184,152
222,184,152
227,184,152
229,184,152
229,184,152
228,184,152
227,184,152
226,184,152
227,184,152
231,184,152
233,184,152
234,184,152
232,184,152
233,184,152
232,184,152
232,184,152
233,184,152
234,184,152
235,184,152
236,184,152
237,184,152
236,184,152
234,184,152
233,184,152
232,184,152
231,184,152
229,184,152
230,184,152
232,184,152
228,184,152
224,184,152
219,184,152
213,184,152
207,184,152
202,184,152
196,184,152
190,184,152
192,184,152
190,184,152
185,184,152
180,184,152
175,184,152
167,184,152
162,184,152
157,184,152
154,184,152
147,184,152
136,184,152
112,184,152
79,184,152
54,184,152
43,184,152
42,184,152
48,184,152
48,184,152
47,184,152
44,184,152
46,184,152
50,184,152
50,184,152
48,184,152
50,184,152
49,184,152
50,184,152
49,184,152
48,184,152
49,184,152
53,184,152
57,184,152
62,184,152
58,184,152
57,184,152
60,184,152
63,184,152
61,184,152
58,184,152
56,184,152
57,184,152
55,184,152
53,184,152
51,184,152
52,184,152
54,184,152
57,184,152
60,184,152
61,184,152
63,184,152
68,184,152
84,184,152
117,184,152
155,184,152
176,184,152
180,184,152
180,184,152
180,184,152
205,179,147
200,179,147
194,179,147
191,179,147
188,179,147
184,179,147
182,179,147
182,179,147
180,179,147
181,179,147
183,179,147
186,179,147
189,179,147
193,179,147
197,179,147
199,179,147
195,179,147
195,179,147
195,179,147
198,179,147
201,179,147
203,179,147
205,179,147
205,179,147
209,179,147
211,179,147
215,179,147
216,179,147
217,179,147
217,179,147
218,179,147
218,179,147
219,179,147
220,179,147
220,179,147
219,179,147
217,179,147
216,179,147
216,179,147
217,179,147
218,179,147
219,179,147
221,179,147
223,179,147
224,179,147
226,179,147
227,179,147
227,179,147
226,179,147
226,179,147
225,179,147
223,179,147
223,179,147
222,179,147
219,179,147
215,179,147
212,179,147
212,179,147
208,179,147
203,179,147
200,179,147
198,179,147
193,179,147
188,179,147
188,179,147
186,179,147
185,179,147
185,179,147
185,179,147
188,179,147
193,179,147
196,179,147
202,179,147
206,179,147
210,179,147
211,179,147
213,179,147
215,179,147
217,179,147
215,179,147
218,179,147
219,179,147
221,179,147
221,179,147
220,179,147
219,179,147
220,179,147
218,179,147
219,179,147
217,179,147
216,179,147
217,179,147
215,179,147
213,179,147
213,179,147
215,179,147
218,179,147
220,179,147
223,179,147
235,179,147
239,179,147
236,179,147
220,179,147
190,179,147
196,179,147
208,179,147
209,179,147
192,179,147
191,179,147
194,179,147
229,179,147
255,179,147
238,179,147
219,179,147
195,179,147
177,179,147
169,179,147
171,179,147
176,179,147
178,179,147
186,179,147
187,179,147
194,179,147
205,179,147
213,179,147
215,179,147
219,179,147
222,179,147
228,179,147
229,179,147
229,179,147
230,179,147
232,179,147
229,179,147
227,179,147
229,179,147
231,179,147
232,179,147
236,179,147
239,179,147
239,179,147
233,179,147
228,179,147
225,179,147
225,179,147
224,179,147
222,179,147
218,179,147
218,179,147
219,179,147
217,179,147
215,179,147
215,179,147
207,179,147
205,179,147
213,179,147
221,179,147
225,179,147
226,179,147
228,179,147
233,179,147
233,179,147
232,179,147
232,179,147
234,179,147
235,179,147
236,179,147
235,179,147
235,179,147
233,179,147
233,179,147
234,179,147
235,179,147
234,179,147
234,179,147
234,179,147
234,179,147
233,179,147
232,179,147
232,179,147
232,179,147
230,179,147
231,179,147
232,179,147
227,179,147
224,179,147
219,179,147
214,179,147
209,179,147
202,179,147
196,179,147
194,179,147
188,179,147
183,179,147
178,179,147
173,179,147
167,179,147
161,179,147
154,179,147
150,179,147
147,179,147
133,179,147
111,179,147
84,179,147
56,179,147
41,179,147
40,179,147
43,179,147
48,179,147
48,179,147
47,179,147
46,179,147
47,179,147
51,179,147
53,179,147
52,179,147
54,179,147
53,179,147
53,179,147
54,179,147
54,179,147
55,179,147
57,179,147
59,179,147
63,179,147
62,179,147
61,179,147
62,179,147
64,179,147
61,179,147
58,179,147
55,179,147
57,179,147
56,179,147
55,179,147
53,179,147
52,179,147
55,179,147
58,179,147
61,179,147
65,179,147
69,179,147
91,179,147
127,179,147
157,179,147
177,179,147
185,179,147
184,179,147
183,179,147
180,179,147
205,179,144
200,179,144
194,179,144
190,179,144
187,179,144
184,179,144
183,179,144
183,179,144
182,179,144
183,179,144
184,179,144
186,179,144
189,179,144
193,179,144
196,179,144
198,179,144
197,179,144
196,179,144
196,179,144
198,179,144
201,179,144
204,179,144
205,179,144
205,179,144
208,179,144
211,179,144
215,179,144
218,179,144
218,179,144
217,179,144
218,179,144
218,179,144
218,179,144
218,179,144
219,179,144
218,179,144
216,179,144
216,179,144
217,179,144
218,179,144
220,179,144
221,179,144
222,179,144
223,179,144
224,179,144
225,179,144
226,179,144
226,179,144
227,179,144
227,179,144
226,179,144
223,179,144
221,179,144
220,179,144
217,179,144
215,179,144
213,179,144
211,179,144
206,179,144
201,179,144
200,179,144
200,179,144
194,179,144
187,179,144
186,179,144
185,179,144
184,179,144
185,179,144
185,179,144
188,179,144
193,179,144
197,179,144
202,179,144
205,179,144
210,179,144
213,179,144
213,179,144
215,179,144
216,179,144
217,179,144
219,179,144
219,179,144
219,179,144
221,179,144
220,179,144
220,179,144
220,179,144
218,179,144
218,179,144
215,179,144
216,179,144
218,179,144
215,179,144
213,179,144
213,179,144
214,179,144
218,179,144
217,179,144
220,179,144
229,179,144
234,179,144
234,179,144
222,179,144
192,179,144
195,179,144
204,179,144
203,179,144
187,179,144
205,179,144
226,179,144
250,179,144
242,179,144
213,179,144
191,179,144
166,179,144
158,179,144
163,179,144
180,179,144
192,179,144
197,179,144
193,179,144
194,179,144
199,179,144
207,179,144
215,179,144
223,179,144
228,179,144
230,179,144
232,179,144
232,179,144
231,179,144
231,179,144
233,179,144
231,179,144
229,179,144
230,179,144
228,179,144
228,179,144
228,179,144
229,179,144
229,179,144
224,179,144
221,179,144
219,179,144
219,179,144
218,179,144
214,179,144
213,179,144
213,179,144
215,179,144
213,179,144
211,179,144
204,179,144
194,179,144
193,179,144
205,179,144
215,179,144
216,179,144
217,179,144
222,179,144
229,179,144
232,179,144
233,179,144
232,179,144
233,179,144
236,179,144
237,179,144
237,179,144
235,179,144
235,179,144
235,179,144
236,179,144
237,179,144
235,179,144
234,179,144
233,179,144
232,179,144
231,179,144
231,179,144
231,179,144
230,179,144
228,179,144
229,179,144
230,179,144
227,179,144
224,179,144
221,179,144
216,179,144
207,179,144
200,179,144
195,179,144
193,179,144
189,179,144
182,179,144
174,179,144
168,179,144
160,179,144
152,179,144
146,179,144
141,179,144
132,179,144
110,179,144
84,179,144
59,179,144
43,179,144
40,179,144
43,179,144
41,179,144
47,179,144
48,179,144
49,179,144
49,179,144
50,179,144
51,179,144
51,179,144
51,179,144
54,179,144
53,179,144
55,179,144
58,179,144
59,179,144
58,179,144
59,179,144
60,179,144
66,179,144
67,179,144
68,179,144
67,179,144
65,179,144
64,179,144
60,179,144
55,179,144
54,179,144
54,179,144
55,179,144
56,179,144
55,179,144
57,179,144
60,179,144
61,179,144
74,179,144
89,179,144
125,179,144
167,179,144
185,179,144
187,179,144
186,179,144
184,179,144
187,179,144
181,179,144
206,180,145
200,180,145
194,180,145
190,180,145
187,180,145
185,180,145
184,180,145
184,180,145
184,180,145
184,180,145
185,180,145
187,180,145
190,180,145
193,180,145
195,180,145
197,180,145
201,180,145
199,180,145
199,180,145
201,180,145
204,180,145
206,180,145
207,180,145
207,180,145
209,180,145
212,180,145
217,180,145
220,180,145
220,180,145
219,180,145
219,180,145
220,180,145
218,180,145
219,180,145
219,180,145
219,180,145
218,180,145
218,180,145
219,180,145
221,180,145
223,180,145
224,180,145
225,180,145
226,180,145
226,180,145
227,180,145
227,180,145
227,180,145
228,180,145
227,180,145
225,180,145
222,180,145
220,180,145
220,180,145
218,180,145
215,180,145
212,180,145
209,180,145
204,180,145
200,180,145
201,180,145
201,180,145
195,180,145
187,180,145
184,180,145
184,180,145
184,180,145
184,180,145
185,180,145
188,180,145
193,180,145
198,180,145
201,180,145
205,180,145
210,180,145
212,180,145
213,180,145
214,180,145
216,180,145
217,180,145
219,180,145
218,180,145
219,180,145
220,180,145
220,180,145
220,180,145
220,180,145
218,180,145
218,180,145
213,180,145
215,180,145
219,180,145
216,180,145
213,180,145
213,180,145
216,180,145
216,180,145
219,180,145
221,180,145
224,180,145
226,180,145
230,180,145
228,180,145
206,180,145
196,180,145
189,180,145
189,180,145
194,180,145
234,180,145
253,180,145
251,180,145
208,180,145
184,180,145
174,180,145
168,180,145
173,180,145
187,180,145
197,180,145
201,180,145
198,180,145
198,180,145
201,180,145
207,180,145
213,180,145
215,180,145
