R,G,B
29,51,109
31,51,109
34,51,109
38,51,109
35,51,109
29,51,109
27,51,109
30,51,109
44,51,109
51,51,109
52,51,109
47,51,109
49,51,109
55,51,109
73,51,109
95,51,109
112,51,109
123,51,109
132,51,109
126,51,109
114,51,109
110,51,109
115,51,109
118,51,109
131,51,109
139,51,109
139,51,109
130,51,109
120,51,109
110,51,109
105,51,109
109,51,109
117,51,109
121,51,109
117,51,109
108,51,109
98,51,109
90,51,109
93,51,109
104,51,109
117,51,109
124,51,109
125,51,109
119,51,109
110,51,109
101,51,109
97,51,109
98,51,109
104,51,109
111,51,109
121,51,109
130,51,109
130,51,109
129,51,109
122,51,109
114,51,109
111,51,109
111,51,109
107,51,109
102,51,109
106,51,109
118,51,109
131,51,109
139,51,109
125,51,109
109,51,109
97,51,109
93,51,109
91,51,109
87,51,109
87,51,109
87,51,109
95,51,109
105,51,109
117,51,109
131,51,109
142,51,109
132,51,109
113,51,109
104,51,109
101,51,109
99,51,109
102,51,109
105,51,109
100,51,109
92,51,109
93,51,109
100,51,109
104,51,109
105,51,109
110,51,109
121,51,109
139,51,109
154,51,109
171,51,109
186,51,109
188,51,109
199,51,109
192,51,109
177,51,109
153,51,109
119,51,109
84,51,109
50,51,109
30,51,109
35,51,109
63,51,109
102,51,109
131,51,109
142,51,109
144,51,109
145,51,109
153,51,109
156,51,109
158,51,109
158,51,109
159,51,109
161,51,109
165,51,109
171,51,109
174,51,109
180,51,109
184,51,109
185,51,109
186,51,109
186,51,109
186,51,109
186,51,109
179,51,109
181,51,109
182,51,109
177,51,109
174,51,109
175,51,109
181,51,109
188,51,109
185,51,109
186,51,109
186,51,109
188,51,109
191,51,109
189,51,109
188,51,109
189,51,109
178,51,109
174,51,109
173,51,109
175,51,109
176,51,109
180,51,109
182,51,109
180,51,109
178,51,109
173,51,109
166,51,109
156,51,109
141,51,109
126,51,109
105,51,109
83,51,109
76,51,109
83,51,109
108,51,109
132,51,109
132,51,109
110,51,109
73,51,109
39,51,109
16,51,109
1,51,109
1,51,109
5,51,109
4,51,109
5,51,109
7,51,109
2,51,109
0,51,109
0,51,109
13,51,109
52,51,109
124,51,109
174,51,109
198,51,109
184,51,109
148,51,109
102,51,109
64,51,109
63,51,109
99,51,109
155,51,109
192,51,109
199,51,109
178,51,109
170,51,109
185,51,109
231,51,109
249,51,109
250,51,109
240,51,109
243,51,109
252,51,109
254,51,109
254,51,109
254,51,109
255,51,109
255,51,109
255,51,109
254,51,109
254,51,109
254,51,109
254,51,109
252,51,109
248,51,109
245,51,109
243,51,109
243,51,109
245,51,109
249,51,109
250,51,109
251,51,109
252,51,109
249,51,109
244,51,109
243,51,109
250,51,109
250,51,109
249,51,109
250,51,109
251,51,109
248,51,109
248,51,109
250,51,109
255,51,109
255,51,109
255,51,109
255,51,109
255,51,109
255,51,109
255,51,109
255,51,109
255,51,109
255,51,109
248,51,109
243,51,109
238,51,109
229,51,109
225,51,109
228,51,109
232,51,109
238,51,109
37,61,118
39,61,118
41,61,118
42,61,118
37,61,118
28,61,118
25,61,118
29,61,118
38,61,118
45,61,118
48,61,118
48,61,118
54,61,118
62,61,118
77,61,118
95,61,118
114,61,118
123,61,118
129,61,118
126,61,118
120,61,118
114,61,118
110,61,118
111,61,118
124,61,118
133,61,118
134,61,118
124,61,118
111,61,118
99,61,118
95,61,118
99,61,118
107,61,118
114,61,118
117,61,118
114,61,118
108,61,118
102,61,118
104,61,118
113,61,118
123,61,118
132,61,118
138,61,118
134,61,118
125,61,118
113,61,118
104,61,118
100,61,118
104,61,118
111,61,118
121,61,118
129,61,118
132,61,118
132,61,118
123,61,118
112,61,118
102,61,118
100,61,118
97,61,118
91,61,118
91,61,118
98,61,118
110,61,118
120,61,118
118,61,118
111,61,118
108,61,118
103,61,118
97,61,118
92,61,118
94,61,118
96,61,118
97,61,118
106,61,118
117,61,118
132,61,118
144,61,118
140,61,118
128,61,118
120,61,118
115,61,118
114,61,118
120,61,118
120,61,118
113,61,118
103,61,118
98,61,118
96,61,118
93,61,118
95,61,118
97,61,118
105,61,118
116,61,118
129,61,118
145,61,118
162,61,118
172,61,118
190,61,118
195,61,118
188,61,118
170,61,118
137,61,118
100,61,118
62,61,118
32,61,118
28,61,118
49,61,118
89,61,118
123,61,118
138,61,118
142,61,118
141,61,118
151,61,118
153,61,118
154,61,118
154,61,118
156,61,118
158,61,118
161,61,118
167,61,118
171,61,118
178,61,118
181,61,118
182,61,118
182,61,118
182,61,118
183,61,118
183,61,118
181,61,118
181,61,118
179,61,118
177,61,118
176,61,118
177,61,118
180,61,118
184,61,118
183,61,118
183,61,118
182,61,118
184,61,118
187,61,118
186,61,118
185,61,118
188,61,118
182,61,118
178,61,118
176,61,118
175,61,118
174,61,118
173,61,118
165,61,118
158,61,118
156,61,118
151,61,118
140,61,118
119,61,118
93,61,118
73,61,118
55,61,118
42,61,118
52,61,118
82,61,118
129,61,118
163,61,118
165,61,118
140,61,118
95,61,118
54,61,118
23,61,118
5,61,118
0,61,118
3,61,118
0,61,118
0,61,118
2,61,118
0,61,118
1,61,118
2,61,118
14,61,118
49,61,118
115,61,118
156,61,118
172,61,118
156,61,118
116,61,118
75,61,118
41,61,118
42,61,118
78,61,118
130,61,118
171,61,118
183,61,118
165,61,118
153,61,118
162,61,118
206,61,118
231,61,118
244,61,118
243,61,118
244,61,118
246,61,118
247,61,118
247,61,118
250,61,118
252,61,118
253,61,118
253,61,118
253,61,118
252,61,118
252,61,118
252,61,118
252,61,118
251,61,118
250,61,118
249,61,118
249,61,118
247,61,118
250,61,118
251,61,118
251,61,118
251,61,118
249,61,118
247,61,118
249,61,118
252,61,118
251,61,118
249,61,118
248,61,118
247,61,118
243,61,118
241,61,118
246,61,118
255,61,118
255,61,118
255,61,118
255,61,118
255,61,118
250,61,118
249,61,118
247,61,118
253,61,118
248,61,118
238,61,118
233,61,118
232,61,118
230,61,118
227,61,118
229,61,118
234,61,118
238,61,118
51,76,132
51,76,132
51,76,132
49,76,132
40,76,132
29,76,132
26,76,132
32,76,132
37,76,132
45,76,132
48,76,132
51,76,132
60,76,132
68,76,132
77,76,132
88,76,132
98,76,132
109,76,132
114,76,132
117,76,132
119,76,132
110,76,132
101,76,132
104,76,132
112,76,132
125,76,132
131,76,132
124,76,132
111,76,132
99,76,132
93,76,132
95,76,132
102,76,132
113,76,132
123,76,132
125,76,132
120,76,132
111,76,132
109,76,132
113,76,132
121,76,132
131,76,132
139,76,132
140,76,132
131,76,132
120,76,132
109,76,132
103,76,132
102,76,132
107,76,132
116,76,132
125,76,132
130,76,132
133,76,132
124,76,132
109,76,132
99,76,132
97,76,132
93,76,132
90,76,132
85,76,132
87,76,132
97,76,132
109,76,132
116,76,132
116,76,132
116,76,132
109,76,132
100,76,132
97,76,132
98,76,132
101,76,132
110,76,132
114,76,132
118,76,132
127,76,132
137,76,132
136,76,132
129,76,132
127,76,132
129,76,132
133,76,132
138,76,132
139,76,132
128,76,132
114,76,132
100,76,132
89,76,132
88,76,132
89,76,132
89,76,132
92,76,132
96,76,132
105,76,132
121,76,132
138,76,132
158,76,132
181,76,132
194,76,132
197,76,132
186,76,132
160,76,132
126,76,132
87,76,132
44,76,132
28,76,132
35,76,132
69,76,132
108,76,132
131,76,132
137,76,132
137,76,132
145,76,132
148,76,132
150,76,132
149,76,132
151,76,132
153,76,132
157,76,132
163,76,132
169,76,132
172,76,132
175,76,132
175,76,132
176,76,132
177,76,132
178,76,132
177,76,132
177,76,132
176,76,132
175,76,132
176,76,132
179,76,132
182,76,132
185,76,132
186,76,132
182,76,132
180,76,132
179,76,132
180,76,132
182,76,132
184,76,132
184,76,132
185,76,132
177,76,132
174,76,132
174,76,132
170,76,132
167,76,132
161,76,132
150,76,132
136,76,132
116,76,132
109,76,132
91,76,132
65,76,132
40,76,132
24,76,132
16,76,132
10,76,132
33,76,132
80,76,132
144,76,132
182,76,132
179,76,132
148,76,132
99,76,132
55,76,132
21,76,132
5,76,132
0,76,132
4,76,132
1,76,132
0,76,132
5,76,132
6,76,132
6,76,132
6,76,132
11,76,132
39,76,132
93,76,132
123,76,132
131,76,132
115,76,132
79,76,132
47,76,132
22,76,132
24,76,132
55,76,132
102,76,132
144,76,132
163,76,132
149,76,132
135,76,132
136,76,132
176,76,132
209,76,132
238,76,132
243,76,132
246,76,132
243,76,132
243,76,132
245,76,132
247,76,132
248,76,132
250,76,132
251,76,132
251,76,132
249,76,132
249,76,132
250,76,132
250,76,132
250,76,132
249,76,132
247,76,132
245,76,132
245,76,132
246,76,132
244,76,132
241,76,132
240,76,132
237,76,132
237,76,132
239,76,132
238,76,132
235,76,132
231,76,132
227,76,132
223,76,132
216,76,132
215,76,132
222,76,132
233,76,132
236,76,132
234,76,132
239,76,132
240,76,132
235,76,132
237,76,132
238,76,132
244,76,132
241,76,132
234,76,132
231,76,132
233,76,132
236,76,132
234,76,132
233,76,132
236,76,132
240,76,132
65,83,136
64,83,136
61,83,136
56,83,136
45,83,136
34,83,136
33,83,136
42,83,136
47,83,136
53,83,136
54,83,136
55,83,136
59,83,136
62,83,136
65,83,136
70,83,136
80,83,136
93,83,136
100,83,136
107,83,136
113,83,136
100,83,136
88,83,136
94,83,136
102,83,136
116,83,136
129,83,136
130,83,136
122,83,136
111,83,136
102,83,136
98,83,136
116,83,136
128,83,136
140,83,136
144,83,136
137,83,136
126,83,136
117,83,136
114,83,136
110,83,136
116,83,136
125,83,136
129,83,136
125,83,136
118,83,136
112,83,136
106,83,136
97,83,136
101,83,136
107,83,136
116,83,136
126,83,136
130,83,136
122,83,136
108,83,136
95,83,136
91,83,136
91,83,136
96,83,136
96,83,136
98,83,136
108,83,136
121,83,136
136,83,136
138,83,136
135,83,136
125,83,136
118,83,136
116,83,136
115,83,136
113,83,136
115,83,136
113,83,136
110,83,136
112,83,136
121,83,136
124,83,136
126,83,136
130,83,136
136,83,136
146,83,136
156,83,136
155,83,136
141,83,136
124,83,136
104,83,136
87,83,136
80,83,136
81,83,136
84,83,136
89,83,136
96,83,136
103,83,136
119,83,136
135,83,136
161,83,136
183,83,136
197,83,136
205,83,136
198,83,136
180,83,136
151,83,136
113,83,136
68,83,136
39,83,136
31,83,136
56,83,136
90,83,136
116,83,136
129,83,136
132,83,136
140,83,136
145,83,136
147,83,136
147,83,136
146,83,136
149,83,136
153,83,136
158,83,136
163,83,136
167,83,136
168,83,136
168,83,136
169,83,136
170,83,136
171,83,136
172,83,136
170,83,136
169,83,136
169,83,136
171,83,136
175,83,136
179,83,136
180,83,136
182,83,136
178,83,136
177,83,136
177,83,136
178,83,136
181,83,136
183,83,136
183,83,136
180,83,136
