R,G,B
0,0,4
0,0,4
0,0,4
0,0,4
1,0,4
1,0,4
1,0,4
0,0,4
32,0,4
214,0,4
225,0,4
213,0,4
191,0,4
152,0,4
112,0,4
101,0,4
106,0,4
121,0,4
139,0,4
153,0,4
145,0,4
124,0,4
123,0,4
133,0,4
142,0,4
142,0,4
138,0,4
131,0,4
122,0,4
111,0,4
106,0,4
112,0,4
119,0,4
120,0,4
111,0,4
101,0,4
104,0,4
105,0,4
96,0,4
85,0,4
85,0,4
80,0,4
81,0,4
85,0,4
85,0,4
86,0,4
96,0,4
112,0,4
120,0,4
112,0,4
113,0,4
119,0,4
121,0,4
113,0,4
95,0,4
82,0,4
71,0,4
70,0,4
87,0,4
113,0,4
123,0,4
122,0,4
115,0,4
105,0,4
114,0,4
119,0,4
129,0,4
138,0,4
144,0,4
149,0,4
157,0,4
163,0,4
162,0,4
168,0,4
174,0,4
181,0,4
189,0,4
199,0,4
213,0,4
224,0,4
224,0,4
223,0,4
217,0,4
210,0,4
208,0,4
212,0,4
215,0,4
214,0,4
205,0,4
193,0,4
173,0,4
144,0,4
109,0,4
84,0,4
74,0,4
73,0,4
79,0,4
91,0,4
110,0,4
120,0,4
115,0,4
99,0,4
93,0,4
96,0,4
88,0,4
92,0,4
101,0,4
117,0,4
129,0,4
131,0,4
132,0,4
141,0,4
164,0,4
167,0,4
173,0,4
177,0,4
182,0,4
194,0,4
201,0,4
198,0,4
187,0,4
171,0,4
168,0,4
185,0,4
208,0,4
233,0,4
252,0,4
255,0,4
252,0,4
234,0,4
209,0,4
191,0,4
161,0,4
158,0,4
157,0,4
158,0,4
158,0,4
161,0,4
167,0,4
172,0,4
174,0,4
173,0,4
169,0,4
166,0,4
172,0,4
166,0,4
162,0,4
157,0,4
147,0,4
140,0,4
130,0,4
123,0,4
142,0,4
157,0,4
168,0,4
176,0,4
182,0,4
181,0,4
179,0,4
185,0,4
174,0,4
171,0,4
162,0,4
158,0,4
159,0,4
159,0,4
160,0,4
162,0,4
174,0,4
177,0,4
174,0,4
170,0,4
168,0,4
169,0,4
169,0,4
169,0,4
164,0,4
168,0,4
165,0,4
160,0,4
150,0,4
142,0,4
132,0,4
120,0,4
113,0,4
107,0,4
101,0,4
108,0,4
125,0,4
144,0,4
152,0,4
153,0,4
163,0,4
155,0,4
147,0,4
133,0,4
131,0,4
162,0,4
195,0,4
199,0,4
206,0,4
204,0,4
209,0,4
216,0,4
228,0,4
199,0,4
151,0,4
105,0,4
83,0,4
60,0,4
82,0,4
121,0,4
163,0,4
195,0,4
196,0,4
204,0,4
206,0,4
204,0,4
201,0,4
201,0,4
203,0,4
208,0,4
209,0,4
209,0,4
193,0,4
194,0,4
193,0,4
196,0,4
202,0,4
205,0,4
208,0,4
213,0,4
215,0,4
216,0,4
221,0,4
227,0,4
229,0,4
224,0,4
216,0,4
213,0,4
211,0,4
