R,G,B
34,24,14
34,24,14
35,24,14
35,24,14
38,24,14
39,24,14
39,24,14
41,24,14
44,24,14
44,24,14
46,24,14
47,24,14
46,24,14
44,24,14
46,24,14
47,24,14
45,24,14
48,24,14
51,24,14
56,24,14
59,24,14
60,24,14
60,24,14
59,24,14
57,24,14
44,24,14
35,24,14
34,24,14
35,24,14
38,24,14
44,24,14
51,24,14
51,24,14
58,24,14
63,24,14
66,24,14
68,24,14
68,24,14
65,24,14
62,24,14
55,24,14
51,24,14
43,24,14
36,24,14
32,24,14
30,24,14
28,24,14
28,24,14
32,24,14
31,24,14
27,24,14
25,24,14
23,24,14
21,24,14
20,24,14
17,24,14
15,24,14
14,24,14
10,24,14
9,24,14
6,24,14
4,24,14
4,24,14
6,24,14
7,24,14
8,24,14
10,24,14
14,24,14
19,24,14
27,24,14
38,24,14
47,24,14
53,24,14
57,24,14
56,24,14
59,24,14
67,24,14
63,24,14
53,24,14
51,24,14
45,24,14
43,24,14
39,24,14
30,24,14
18,24,14
9,24,14
6,24,14
8,24,14
10,24,14
12,24,14
14,24,14
14,24,14
17,24,14
21,24,14
28,24,14
33,24,14
29,24,14
29,24,14
33,24,14
39,24,14
55,24,14
83,24,14
101,24,14
102,24,14
72,24,14
44,24,14
30,24,14
34,24,14
32,24,14
28,24,14
32,24,14
41,24,14
31,24,14
26,24,14
24,24,14
26,24,14
27,24,14
26,24,14
27,24,14
30,24,14
29,24,14
30,24,14
30,24,14
30,24,14
31,24,14
30,24,14
33,24,14
36,24,14
35,24,14
33,24,14
32,24,14
32,24,14
33,24,14
32,24,14
32,24,14
30,24,14
28,24,14
26,24,14
26,24,14
24,24,14
21,24,14
19,24,14
19,24,14
20,24,14
26,24,14
31,24,14
35,24,14
35,24,14
34,24,14
33,24,14
33,24,14
33,24,14
37,24,14
34,24,14
33,24,14
33,24,14
32,24,14
32,24,14
35,24,14
39,24,14
42,24,14
47,24,14
50,24,14
51,24,14
57,24,14
60,24,14
61,24,14
63,24,14
66,24,14
67,24,14
69,24,14
69,24,14
71,24,14
73,24,14
76,24,14
78,24,14
81,24,14
84,24,14
86,24,14
88,24,14
89,24,14
91,24,14
92,24,14
92,24,14
90,24,14
90,24,14
90,24,14
91,24,14
92,24,14
89,24,14
87,24,14
88,24,14
91,24,14
93,24,14
94,24,14
93,24,14
92,24,14
91,24,14
91,24,14
92,24,14
90,24,14
91,24,14
94,24,14
95,24,14
95,24,14
94,24,14
93,24,14
92,24,14
94,24,14
94,24,14
96,24,14
98,24,14
98,24,14
100,24,14
103,24,14
100,24,14
100,24,14
102,24,14
103,24,14
104,24,14
105,24,14
106,24,14
106,24,14
107,24,14
102,24,14
102,24,14
101,24,14
101,24,14
99,24,14
97,24,14
93,24,14
89,24,14
92,24,14
97,24,14
107,24,14
116,24,14
126,24,14
141,24,14
153,24,14
158,24,14
166,24,14
160,24,14
170,24,14
162,24,14
137,24,14
113,24,14
91,24,14
90,24,14
91,24,14
95,24,14
31,24,13
32,24,13
32,24,13
33,24,13
34,24,13
36,24,13
37,24,13
38,24,13
41,24,13
42,24,13
42,24,13
43,24,13
43,24,13
40,24,13
39,24,13
40,24,13
41,24,13
43,24,13
47,24,13
51,24,13
55,24,13
56,24,13
56,24,13
54,24,13
51,24,13
39,24,13
29,24,13
26,24,13
28,24,13
30,24,13
34,24,13
42,24,13
44,24,13
50,24,13
56,24,13
58,24,13
58,24,13
61,24,13
59,24,13
55,24,13
50,24,13
47,24,13
41,24,13
37,24,13
32,24,13
31,24,13
29,24,13
29,24,13
31,24,13
30,24,13
29,24,13
27,24,13
24,24,13
22,24,13
19,24,13
16,24,13
14,24,13
13,24,13
9,24,13
8,24,13
6,24,13
4,24,13
4,24,13
6,24,13
8,24,13
7,24,13
8,24,13
12,24,13
19,24,13
28,24,13
39,24,13
48,24,13
53,24,13
54,24,13
53,24,13
57,24,13
66,24,13
64,24,13
54,24,13
51,24,13
44,24,13
42,24,13
37,24,13
28,24,13
17,24,13
9,24,13
7,24,13
9,24,13
11,24,13
12,24,13
14,24,13
14,24,13
16,24,13
21,24,13
28,24,13
33,24,13
31,24,13
33,24,13
36,24,13
43,24,13
59,24,13
86,24,13
103,24,13
100,24,13
70,24,13
45,24,13
29,24,13
33,24,13
32,24,13
29,24,13
33,24,13
40,24,13
31,24,13
26,24,13
24,24,13
26,24,13
27,24,13
26,24,13
27,24,13
30,24,13
29,24,13
30,24,13
30,24,13
30,24,13
31,24,13
31,24,13
33,24,13
36,24,13
34,24,13
33,24,13
32,24,13
32,24,13
32,24,13
32,24,13
30,24,13
30,24,13
27,24,13
26,24,13
25,24,13
23,24,13
20,24,13
19,24,13
19,24,13
20,24,13
26,24,13
31,24,13
35,24,13
36,24,13
34,24,13
33,24,13
34,24,13
34,24,13
37,24,13
36,24,13
33,24,13
33,24,13
32,24,13
32,24,13
35,24,13
39,24,13
42,24,13
47,24,13
50,24,13
51,24,13
57,24,13
60,24,13
62,24,13
63,24,13
66,24,13
68,24,13
69,24,13
69,24,13
71,24,13
72,24,13
76,24,13
78,24,13
81,24,13
84,24,13
86,24,13
88,24,13
88,24,13
91,24,13
92,24,13
92,24,13
90,24,13
90,24,13
89,24,13
91,24,13
91,24,13
89,24,13
87,24,13
88,24,13
91,24,13
93,24,13
94,24,13
93,24,13
92,24,13
91,24,13
91,24,13
92,24,13
90,24,13
93,24,13
94,24,13
95,24,13
95,24,13
94,24,13
93,24,13
93,24,13
95,24,13
94,24,13
96,24,13
97,24,13
98,24,13
100,24,13
102,24,13
99,24,13
99,24,13
102,24,13
102,24,13
104,24,13
104,24,13
104,24,13
106,24,13
106,24,13
102,24,13
101,24,13
100,24,13
101,24,13
100,24,13
96,24,13
94,24,13
89,24,13
91,24,13
95,24,13
100,24,13
107,24,13
119,24,13
135,24,13
150,24,13
160,24,13
165,24,13
161,24,13
168,24,13
155,24,13
129,24,13
105,24,13
86,24,13
89,24,13
90,24,13
94,24,13
26,23,11
27,23,11
27,23,11
28,23,11
30,23,11
32,23,11
32,23,11
33,23,11
37,23,11
36,23,11
37,23,11
39,23,11
37,23,11
34,23,11
32,23,11
32,23,11
34,23,11
35,23,11
38,23,11
41,23,11
45,23,11
48,23,11
47,23,11
47,23,11
43,23,11
33,23,11
23,23,11
19,23,11
18,23,11
18,23,11
24,23,11
30,23,11
32,23,11
38,23,11
42,23,11
44,23,11
45,23,11
48,23,11
47,23,11
47,23,11
44,23,11
42,23,11
38,23,11
34,23,11
34,23,11
32,23,11
31,23,11
29,23,11
33,23,11
31,23,11
30,23,11
27,23,11
25,23,11
22,23,11
17,23,11
16,23,11
13,23,11
11,23,11
7,23,11
6,23,11
4,23,11
3,23,11
4,23,11
6,23,11
9,23,11
7,23,11
7,23,11
11,23,11
19,23,11
29,23,11
40,23,11
48,23,11
51,23,11
51,23,11
49,23,11
53,23,11
64,23,11
64,23,11
55,23,11
50,23,11
44,23,11
41,23,11
34,23,11
26,23,11
16,23,11
9,23,11
8,23,11
11,23,11
12,23,11
13,23,11
15,23,11
16,23,11
16,23,11
21,23,11
28,23,11
33,23,11
33,23,11
34,23,11
39,23,11
48,23,11
64,23,11
90,23,11
103,23,11
96,23,11
67,23,11
43,23,11
28,23,11
31,23,11
32,23,11
31,23,11
34,23,11
39,23,11
30,23,11
27,23,11
25,23,11
26,23,11
27,23,11
27,23,11
28,23,11
30,23,11
30,23,11
29,23,11
31,23,11
31,23,11
32,23,11
31,23,11
32,23,11
36,23,11
34,23,11
32,23,11
31,23,11
32,23,11
32,23,11
32,23,11
30,23,11
30,23,11
27,23,11
26,23,11
23,23,11
23,23,11
20,23,11
18,23,11
18,23,11
20,23,11
27,23,11
32,23,11
35,23,11
35,23,11
35,23,11
34,23,11
34,23,11
33,23,11
37,23,11
36,23,11
35,23,11
32,23,11
32,23,11
32,23,11
35,23,11
38,23,11
41,23,11
47,23,11
50,23,11
51,23,11
56,23,11
59,23,11
61,23,11
62,23,11
65,23,11
67,23,11
68,23,11
71,23,11
70,23,11
73,23,11
76,23,11
78,23,11
81,23,11
83,23,11
86,23,11
88,23,11
88,23,11
91,23,11
92,23,11
