R,G,B
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
48,59,50
48,59,50
49,59,50
49,59,50
49,59,50
48,59,50
48,59,50
48,59,50
48,59,50
48,59,50
48,59,50
48,59,50
47,59,50
47,59,50
48,59,50
48,59,50
48,59,50
48,59,50
47,59,50
47,59,50
47,59,50
47,59,50
47,59,50
47,59,50
47,59,50
47,59,50
48,59,50
48,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
48,59,50
48,59,50
47,59,50
47,59,50
47,59,50
48,59,50
48,59,50
49,59,50
50,59,50
50,59,50
50,59,50
51,59,50
52,59,50
53,59,50
54,59,50
55,59,50
57,59,50
57,59,50
60,59,50
66,59,50
71,59,50
72,59,50
74,59,50
79,59,50
81,59,50
88,59,50
92,59,50
98,59,50
110,59,50
117,59,50
125,59,50
135,59,50
152,59,50
161,59,50
168,59,50
170,59,50
171,59,50
173,59,50
175,59,50
178,59,50
182,59,50
185,59,50
189,59,50
195,59,50
202,59,50
207,59,50
212,59,50
219,59,50
225,59,50
230,59,50
236,59,50
239,59,50
241,59,50
241,59,50
242,59,50
244,59,50
245,59,50
247,59,50
249,59,50
251,59,50
252,59,50
252,59,50
253,59,50
253,59,50
247,59,50
245,59,50
245,59,50
242,59,50
241,59,50
241,59,50
237,59,50
233,59,50
227,59,50
218,59,50
210,59,50
202,59,50
192,59,50
178,59,50
163,59,50
149,59,50
136,59,50
125,59,50
111,59,50
96,59,50
82,59,50
69,59,50
65,59,50
62,59,50
55,59,50
53,59,50
51,59,50
52,59,50
58,59,50
65,59,50
67,59,50
68,59,50
81,59,50
84,59,50
88,59,50
93,59,50
99,59,50
108,59,50
113,59,50
118,59,50
120,59,50
121,59,50
122,59,50
124,59,50
130,59,50
137,59,50
142,59,50
145,59,50
141,59,50
141,59,50
141,59,50
142,59,50
143,59,50
143,59,50
146,59,50
149,59,50
152,59,50
157,59,50
160,59,50
162,59,50
165,59,50
171,59,50
174,59,50
177,59,50
188,59,50
184,59,50
177,59,50
170,59,50
163,59,50
158,59,50
155,59,50
156,59,50
161,59,50
159,59,50
158,59,50
156,59,50
143,59,50
129,59,50
117,59,50
107,59,50
93,59,50
75,59,50
47,59,50
43,59,50
40,59,50
53,59,50
100,59,50
133,59,50
156,59,50
166,59,50
152,59,50
105,59,50
61,59,50
27,59,50
3,59,50
9,59,50
41,59,50
79,59,50
114,59,50
123,59,50
127,59,50
136,59,50
132,59,50
115,59,50
99,59,50
78,59,50
57,59,50
40,59,50
25,59,50
9,59,50
6,59,50
12,59,50
22,59,50
22,59,50
24,59,50
32,59,50
47,59,50
71,59,50
96,59,50
114,59,50
125,59,50
126,59,50
134,59,50
106,59,50
73,59,50
116,59,50
195,59,50
226,59,50
233,59,50
247,59,50
237,59,50
229,59,50
226,59,50
221,59,50
225,59,50
219,59,50
217,59,50
216,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
48,59,50
49,59,50
50,59,50
49,59,50
49,59,50
49,59,50
49,59,50
49,59,50
48,59,50
48,59,50
48,59,50
47,59,50
47,59,50
47,59,50
48,59,50
48,59,50
48,59,50
48,59,50
48,59,50
49,59,50
49,59,50
48,59,50
48,59,50
48,59,50
47,59,50
47,59,50
47,59,50
47,59,50
47,59,50
47,59,50
48,59,50
48,59,50
50,59,50
50,59,50
50,59,50
50,59,50
50,59,50
50,59,50
50,59,50
50,59,50
49,59,50
48,59,50
48,59,50
48,59,50
48,59,50
49,59,50
49,59,50
50,59,50
50,59,50
50,59,50
50,59,50
51,59,50
52,59,50
53,59,50
54,59,50
55,59,50
58,59,50
58,59,50
60,59,50
66,59,50
69,59,50
71,59,50
73,59,50
77,59,50
81,59,50
88,59,50
92,59,50
97,59,50
106,59,50
114,59,50
122,59,50
133,59,50
150,59,50
159,59,50
165,59,50
166,59,50
167,59,50
169,59,50
172,59,50
176,59,50
176,59,50
182,59,50
187,59,50
193,59,50
201,59,50
206,59,50
213,59,50
219,59,50
225,59,50
230,59,50
236,59,50
239,59,50
240,59,50
241,59,50
242,59,50
243,59,50
245,59,50
247,59,50
249,59,50
251,59,50
252,59,50
252,59,50
252,59,50
253,59,50
246,59,50
247,59,50
245,59,50
242,59,50
241,59,50
240,59,50
236,59,50
232,59,50
225,59,50
217,59,50
208,59,50
200,59,50
190,59,50
176,59,50
162,59,50
147,59,50
133,59,50
120,59,50
108,59,50
95,59,50
81,59,50
69,59,50
65,59,50
63,59,50
58,59,50
56,59,50
54,59,50
55,59,50
61,59,50
67,59,50
69,59,50
70,59,50
77,59,50
80,59,50
82,59,50
90,59,50
97,59,50
105,59,50
114,59,50
121,59,50
121,59,50
121,59,50
121,59,50
123,59,50
127,59,50
135,59,50
141,59,50
143,59,50
145,59,50
146,59,50
145,59,50
146,59,50
147,59,50
148,59,50
149,59,50
151,59,50
154,59,50
159,59,50
160,59,50
165,59,50
169,59,50
173,59,50
176,59,50
178,59,50
187,59,50
183,59,50
177,59,50
168,59,50
159,59,50
153,59,50
152,59,50
152,59,50
156,59,50
155,59,50
153,59,50
145,59,50
130,59,50
119,59,50
113,59,50
106,59,50
81,59,50
67,59,50
46,59,50
43,59,50
52,59,50
78,59,50
120,59,50
144,59,50
157,59,50
149,59,50
118,59,50
66,59,50
33,59,50
21,59,50
25,59,50
47,59,50
74,59,50
103,59,50
128,59,50
135,59,50
133,59,50
129,59,50
107,59,50
81,59,50
52,59,50
38,59,50
26,59,50
21,59,50
21,59,50
23,59,50
29,59,50
36,59,50
60,59,50
75,59,50
89,59,50
96,59,50
100,59,50
111,59,50
124,59,50
131,59,50
132,59,50
121,59,50
102,59,50
77,59,50
57,59,50
64,59,50
110,59,50
157,59,50
212,59,50
233,59,50
233,59,50
230,59,50
229,59,50
227,59,50
226,59,50
219,59,50
219,59,50
216,59,50
48,60,50
48,60,50
48,60,50
47,60,50
47,60,50
47,60,50
47,60,50
47,60,50
46,60,50
47,60,50
49,60,50
49,60,50
49,60,50
48,60,50
48,60,50
48,60,50
47,60,50
47,60,50
47,60,50
47,60,50
47,60,50
47,60,50
47,60,50
48,60,50
48,60,50
48,60,50
49,60,50
49,60,50
49,60,50
49,60,50
48,60,50
48,60,50
48,60,50
48,60,50
48,60,50
48,60,50
48,60,50
49,60,50
49,60,50
49,60,50
50,60,50
50,60,50
50,60,50
52,60,50
52,60,50
52,60,50
52,60,50
52,60,50
52,60,50
51,60,50
51,60,50
51,60,50
51,60,50
51,60,50
50,60,50
50,60,50
50,60,50
50,60,50
50,60,50
51,60,50
52,60,50
54,60,50
55,60,50
55,60,50
59,60,50
59,60,50
61,60,50
66,60,50
68,60,50
69,60,50
71,60,50
74,60,50
77,60,50
83,60,50
88,60,50
93,60,50
100,60,50
107,60,50
116,60,50
128,60,50
145,60,50
154,60,50
161,60,50
164,60,50
164,60,50
164,60,50
166,60,50
171,60,50
173,60,50
178,60,50
183,60,50
192,60,50
201,60,50
207,60,50
213,60,50
220,60,50
226,60,50
230,60,50
235,60,50
239,60,50
241,60,50
241,60,50
242,60,50
244,60,50
245,60,50
246,60,50
249,60,50
251,60,50
251,60,50
251,60,50
251,60,50
251,60,50
248,60,50
247,60,50
246,60,50
243,60,50
240,60,50
239,60,50
235,60,50
230,60,50
224,60,50
215,60,50
206,60,50
198,60,50
187,60,50
174,60,50
159,60,50
145,60,50
130,60,50
120,60,50
108,60,50
96,60,50
82,60,50
72,60,50
66,60,50
64,60,50
62,60,50
60,60,50
58,60,50
59,60,50
64,60,50
68,60,50
72,60,50
72,60,50
76,60,50
77,60,50
82,60,50
88,60,50
95,60,50
104,60,50
115,60,50
124,60,50
125,60,50
124,60,50
122,60,50
122,60,50
129,60,50
135,60,50
141,60,50
144,60,50
153,60,50
152,60,50
152,60,50
151,60,50
152,60,50
153,60,50
153,60,50
156,60,50
157,60,50
159,60,50
163,60,50
168,60,50
173,60,50
176,60,50
179,60,50
179,60,50
180,60,50
178,60,50
173,60,50
164,60,50
154,60,50
149,60,50
148,60,50
150,60,50
153,60,50
155,60,50
154,60,50
144,60,50
131,60,50
123,60,50
113,60,50
104,60,50
70,60,50
55,60,50
44,60,50
39,60,50
61,60,50
105,60,50
136,60,50
149,60,50
143,60,50
124,60,50
85,60,50
36,60,50
12,60,50
17,60,50
40,60,50
76,60,50
116,60,50
125,60,50
136,60,50
138,60,50
125,60,50
97,60,50
61,60,50
36,60,50
28,60,50
20,60,50
15,60,50
17,60,50
31,60,50
53,60,50
79,60,50
98,60,50
110,60,50
120,60,50
132,60,50
138,60,50
140,60,50
141,60,50
135,60,50
122,60,50
104,60,50
83,60,50
52,60,50
40,60,50
35,60,50
24,60,50
44,60,50
89,60,50
141,60,50
186,60,50
220,60,50
235,60,50
237,60,50
233,60,50
232,60,50
228,60,50
227,60,50
224,60,50
48,59,49
48,59,49
48,59,49
47,59,49
47,59,49
47,59,49
46,59,49
46,59,49
45,59,49
47,59,49
49,59,49
50,59,49
50,59,49
49,59,49
48,59,49
48,59,49
47,59,49
47,59,49
46,59,49
46,59,49
46,59,49
46,59,49
47,59,49
47,59,49
48,59,49
48,59,49
49,59,49
49,59,49
49,59,49
49,59,49
49,59,49
48,59,49
48,59,49
48,59,49
48,59,49
48,59,49
48,59,49
49,59,49
49,59,49
49,59,49
50,59,49
52,59,49
52,59,49
52,59,49
52,59,49
52,59,49
52,59,49
53,59,49
52,59,49
52,59,49
51,59,49
51,59,49
51,59,49
52,59,49
52,59,49
52,59,49
51,59,49
49,59,49
50,59,49
51,59,49
52,59,49
54,59,49
55,59,49
56,59,49
59,59,49
60,59,49
61,59,49
63,59,49
66,59,49
67,59,49
68,59,49
69,59,49
73,59,49
79,59,49
83,59,49
87,59,49
93,59,49
100,59,49
110,59,49
123,59,49
139,59,49
149,59,49
157,59,49
161,59,49
162,59,49
160,59,49
162,59,49
167,59,49
172,59,49
178,59,49
185,59,49
193,59,49
204,59,49
211,59,49
217,59,49
223,59,49
227,59,49
231,59,49
236,59,49
240,59,49
242,59,49
242,59,49
243,59,49
244,59,49
246,59,49
246,59,49
248,59,49
249,59,49
250,59,49
251,59,49
250,59,49
250,59,49
247,59,49
247,59,49
246,59,49
243,59,49
241,59,49
237,59,49
233,59,49
228,59,49
222,59,49
213,59,49
203,59,49
195,59,49
184,59,49
171,59,49
157,59,49
143,59,49
129,59,49
119,59,49
110,59,49
97,59,49
85,59,49
74,59,49
70,59,49
67,59,49
65,59,49
63,59,49
62,59,49
63,59,49
67,59,49
70,59,49
74,59,49
75,59,49
79,59,49
81,59,49
84,59,49
88,59,49
95,59,49
105,59,49
117,59,49
127,59,49
127,59,49
126,59,49
123,59,49
126,59,49
130,59,49
137,59,49
143,59,49
149,59,49
160,59,49
161,59,49
160,59,49
160,59,49
160,59,49
162,59,49
163,59,49
165,59,49
163,59,49
165,59,49
167,59,49
171,59,49
175,59,49
177,59,49
177,59,49
176,59,49
171,59,49
170,59,49
166,59,49
161,59,49
155,59,49
152,59,49
151,59,49
153,59,49
153,59,49
154,59,49
149,59,49
139,59,49
131,59,49
126,59,49
110,59,49
93,59,49
60,59,49
42,59,49
36,59,49
38,59,49
74,59,49
125,59,49
144,59,49
148,59,49
134,59,49
107,59,49
68,59,49
27,59,49
10,59,49
21,59,49
53,59,49
91,59,49
136,59,49
133,59,49
130,59,49
124,59,49
98,59,49
58,59,49
27,59,49
17,59,49
21,59,49
17,59,49
23,59,49
40,59,49
67,59,49
93,59,49
115,59,49
126,59,49
140,59,49
144,59,49
147,59,49
141,59,49
136,59,49
129,59,49
110,59,49
87,59,49
64,59,49
45,59,49
27,59,49
21,59,49
16,59,49
12,59,49
21,59,49
36,59,49
72,59,49
119,59,49
168,59,49
201,59,49
222,59,49
231,59,49
232,59,49
230,59,49
228,59,49
226,59,49
49,59,49
49,59,49
48,59,49
48,59,49
47,59,49
47,59,49
46,59,49
46,59,49
45,59,49
47,59,49
49,59,49
50,59,49
50,59,49
49,59,49
48,59,49
48,59,49
46,59,49
46,59,49
46,59,49
46,59,49
46,59,49
46,59,49
47,59,49
47,59,49
48,59,49
48,59,49
49,59,49
49,59,49
49,59,49
49,59,49
49,59,49
49,59,49
48,59,49
48,59,49
48,59,49
48,59,49
49,59,49
49,59,49
49,59,49
49,59,49
52,59,49
52,59,49
52,59,49
52,59,49
53,59,49
53,59,49
53,59,49
53,59,49
53,59,49
53,59,49
52,59,49
52,59,49
51,59,49
51,59,49
52,59,49
52,59,49
51,59,49
51,59,49
52,59,49
51,59,49
52,59,49
53,59,49
54,59,49
55,59,49
58,59,49
59,59,49
61,59,49
62,59,49
63,59,49
65,59,49
67,59,49
66,59,49
68,59,49
75,59,49
79,59,49
82,59,49
88,59,49
94,59,49
107,59,49
120,59,49
136,59,49
144,59,49
150,59,49
152,59,49
153,59,49
154,59,49
160,59,49
168,59,49
175,59,49
182,59,49
189,59,49
198,59,49
207,59,49
214,59,49
222,59,49
227,59,49
231,59,49
234,59,49
238,59,49
242,59,49
241,59,49
242,59,49
242,59,49
245,59,49
246,59,49
246,59,49
247,59,49
248,59,49
250,59,49
249,59,49
249,59,49
248,59,49
246,59,49
247,59,49
245,59,49
242,59,49
239,59,49
235,59,49
230,59,49
225,59,49
220,59,49
210,59,49
200,59,49
191,59,49
180,59,49
167,59,49
153,59,49
140,59,49
126,59,49
119,59,49
108,59,49
98,59,49
84,59,49
76,59,49
72,59,49
69,59,49
66,59,49
65,59,49
64,59,49
66,59,49
69,59,49
72,59,49
76,59,49
77,59,49
83,59,49
85,59,49
87,59,49
89,59,49
95,59,49
106,59,49
118,59,49
129,59,49
130,59,49
129,59,49
127,59,49
128,59,49
133,59,49
139,59,49
146,59,49
153,59,49
169,59,49
169,59,49
169,59,49
169,59,49
170,59,49
171,59,49
173,59,49
173,59,49
172,59,49
172,59,49
171,59,49
173,59,49
172,59,49
172,59,49
170,59,49
168,59,49
161,59,49
159,59,49
158,59,49
158,59,49
159,59,49
160,59,49
159,59,49
157,59,49
153,59,49
146,59,49
133,59,49
124,59,49
121,59,49
112,59,49
91,59,49
71,59,49
39,59,49
28,59,49
38,59,49
55,59,49
100,59,49
148,59,49
156,59,49
151,59,49
135,59,49
92,59,49
46,59,49
14,59,49
13,59,49
40,59,49
77,59,49
113,59,49
138,59,49
138,59,49
126,59,49
98,59,49
65,59,49
34,59,49
18,59,49
19,59,49
17,59,49
26,59,49
50,59,49
89,59,49
121,59,49
133,59,49
127,59,49
120,59,49
139,59,49
139,59,49
136,59,49
116,59,49
90,59,49
72,59,49
58,59,49
42,59,49
29,59,49
23,59,49
21,59,49
19,59,49
13,59,49
17,59,49
18,59,49
12,59,49
28,59,49
49,59,49
78,59,49
114,59,49
161,59,49
201,59,49
221,59,49
230,59,49
223,59,49
224,59,49
50,60,50
50,60,50
49,60,50
49,60,50
48,60,50
48,60,50
47,60,50
47,60,50
46,60,50
47,60,50
49,60,50
50,60,50
50,60,50
49,60,50
48,60,50
48,60,50
47,60,50
46,60,50
46,60,50
46,60,50
46,60,50
47,60,50
47,60,50
48,60,50
48,60,50
48,60,50
49,60,50
49,60,50
50,60,50
50,60,50
49,60,50
49,60,50
49,60,50
49,60,50
49,60,50
49,60,50
50,60,50
50,60,50
50,60,50
52,60,50
52,60,50
52,60,50
53,60,50
53,60,50
53,60,50
53,60,50
55,60,50
55,60,50
53,60,50
53,60,50
52,60,50
52,60,50
52,60,50
51,60,50
51,60,50
51,60,50
51,60,50
51,60,50
52,60,50
50,60,50
51,60,50
52,60,50
54,60,50
54,60,50
57,60,50
59,60,50
60,60,50
