R,G,B
0,1,4
0,1,4
1,1,4
4,1,4
51,1,4
159,1,4
159,1,4
160,1,4
159,1,4
159,1,4
159,1,4
159,1,4
158,1,4
159,1,4
159,1,4
161,1,4
161,1,4
159,1,4
163,1,4
161,1,4
158,1,4
167,1,4
155,1,4
119,1,4
68,1,4
29,1,4
36,1,4
73,1,4
97,1,4
114,1,4
119,1,4
115,1,4
122,1,4
113,1,4
94,1,4
64,1,4
38,1,4
29,1,4
29,1,4
29,1,4
25,1,4
30,1,4
29,1,4
29,1,4
36,1,4
33,1,4
30,1,4
35,1,4
35,1,4
32,1,4
26,1,4
17,1,4
21,1,4
25,1,4
23,1,4
32,1,4
37,1,4
45,1,4
63,1,4
80,1,4
97,1,4
116,1,4
125,1,4
121,1,4
124,1,4
125,1,4
126,1,4
127,1,4
128,1,4
129,1,4
129,1,4
129,1,4
128,1,4
128,1,4
128,1,4
129,1,4
129,1,4
130,1,4
130,1,4
130,1,4
130,1,4
130,1,4
131,1,4
132,1,4
132,1,4
133,1,4
132,1,4
132,1,4
132,1,4
132,1,4
133,1,4
134,1,4
134,1,4
134,1,4
134,1,4
133,1,4
135,1,4
135,1,4
134,1,4
134,1,4
133,1,4
135,1,4
137,1,4
139,1,4
138,1,4
138,1,4
138,1,4
137,1,4
137,1,4
136,1,4
136,1,4
136,1,4
138,1,4
138,1,4
138,1,4
138,1,4
139,1,4
138,1,4
139,1,4
138,1,4
137,1,4
137,1,4
137,1,4
137,1,4
137,1,4
135,1,4
136,1,4
136,1,4
142,1,4
141,1,4
140,1,4
137,1,4
138,1,4
138,1,4
140,1,4
141,1,4
142,1,4
137,1,4
134,1,4
138,1,4
140,1,4
140,1,4
140,1,4
142,1,4
139,1,4
126,1,4
100,1,4
66,1,4
41,1,4
33,1,4
38,1,4
43,1,4
33,1,4
35,1,4
32,1,4
23,1,4
17,1,4
14,1,4
12,1,4
12,1,4
17,1,4
12,1,4
13,1,4
18,1,4
22,1,4
37,1,4
59,1,4
72,1,4
84,1,4
95,1,4
107,1,4
117,1,4
125,1,4
125,1,4
124,1,4
127,1,4
129,1,4
130,1,4
130,1,4
131,1,4
130,1,4
133,1,4
136,1,4
138,1,4
138,1,4
141,1,4
144,1,4
142,1,4
141,1,4
138,1,4
134,1,4
130,1,4
122,1,4
76,1,4
62,1,4
78,1,4
104,1,4
133,1,4
142,1,4
137,1,4
127,1,4
96,1,4
66,1,4
33,1,4
28,1,4
39,1,4
35,1,4
51,1,4
74,1,4
109,1,4
113,1,4
114,1,4
114,1,4
127,1,4
135,1,4
146,1,4
148,1,4
150,1,4
152,1,4
156,1,4
155,1,4
154,1,4
154,1,4
156,1,4
158,1,4
152,1,4
148,1,4
144,1,4
139,1,4
134,1,4
129,1,4
123,1,4
113,1,4
118,1,4
123,1,4
127,1,4
130,1,4
140,1,4
147,1,4
149,1,4
161,1,4
163,1,4
164,1,4
155,1,4
140,1,4
132,1,4
127,1,4
116,1,4
107,1,4
107,1,4
0,0,4
0,0,4
1,0,4
4,0,4
51,0,4
159,0,4
159,0,4
160,0,4
159,0,4
159,0,4
159,0,4
158,0,4
157,0,4
158,0,4
159,0,4
161,0,4
160,0,4
159,0,4
164,0,4
162,0,4
158,0,4
167,0,4
161,0,4
136,0,4
85,0,4
40,0,4
33,0,4
62,0,4
89,0,4
112,0,4
118,0,4
111,0,4
121,0,4
121,0,4
115,0,4
101,0,4
85,0,4
73,0,4
67,0,4
60,0,4
60,0,4
65,0,4
67,0,4
68,0,4
72,0,4
69,0,4
65,0,4
70,0,4
75,0,4
76,0,4
68,0,4
44,0,4
28,0,4
23,0,4
22,0,4
34,0,4
41,0,4
39,0,4
43,0,4
53,0,4
72,0,4
101,0,4
121,0,4
126,0,4
122,0,4
123,0,4
124,0,4
125,0,4
126,0,4
127,0,4
127,0,4
127,0,4
127,0,4
127,0,4
128,0,4
128,0,4
128,0,4
129,0,4
129,0,4
129,0,4
127,0,4
127,0,4
128,0,4
129,0,4
129,0,4
129,0,4
129,0,4
129,0,4
128,0,4
129,0,4
130,0,4
131,0,4
132,0,4
133,0,4
133,0,4
133,0,4
134,0,4
134,0,4
134,0,4
133,0,4
133,0,4
134,0,4
136,0,4
138,0,4
137,0,4
137,0,4
137,0,4
137,0,4
138,0,4
138,0,4
138,0,4
138,0,4
139,0,4
138,0,4
138,0,4
138,0,4
137,0,4
138,0,4
138,0,4
136,0,4
136,0,4
136,0,4
135,0,4
134,0,4
134,0,4
132,0,4
132,0,4
132,0,4
141,0,4
140,0,4
139,0,4
137,0,4
137,0,4
137,0,4
138,0,4
139,0,4
142,0,4
137,0,4
137,0,4
141,0,4
143,0,4
140,0,4
140,0,4
142,0,4
132,0,4
119,0,4
88,0,4
51,0,4
33,0,4
34,0,4
34,0,4
31,0,4
31,0,4
33,0,4
32,0,4
23,0,4
18,0,4
15,0,4
13,0,4
13,0,4
16,0,4
12,0,4
13,0,4
17,0,4
22,0,4
36,0,4
60,0,4
76,0,4
88,0,4
99,0,4
111,0,4
119,0,4
126,0,4
127,0,4
127,0,4
129,0,4
132,0,4
132,0,4
133,0,4
133,0,4
132,0,4
134,0,4
137,0,4
139,0,4
138,0,4
140,0,4
142,0,4
140,0,4
139,0,4
138,0,4
135,0,4
132,0,4
119,0,4
74,0,4
58,0,4
69,0,4
93,0,4
124,0,4
138,0,4
137,0,4
122,0,4
91,0,4
60,0,4
29,0,4
30,0,4
50,0,4
44,0,4
54,0,4
79,0,4
109,0,4
113,0,4
114,0,4
109,0,4
124,0,4
136,0,4
145,0,4
146,0,4
149,0,4
152,0,4
156,0,4
156,0,4
158,0,4
161,0,4
165,0,4
165,0,4
157,0,4
150,0,4
143,0,4
137,0,4
131,0,4
123,0,4
117,0,4
120,0,4
123,0,4
128,0,4
128,0,4
127,0,4
134,0,4
147,0,4
157,0,4
165,0,4
164,0,4
165,0,4
159,0,4
147,0,4
141,0,4
133,0,4
124,0,4
117,0,4
117,0,4
0,0,4
0,0,4
1,0,4
4,0,4
51,0,4
159,0,4
159,0,4
160,0,4
158,0,4
159,0,4
159,0,4
158,0,4
157,0,4
158,0,4
159,0,4
161,0,4
160,0,4
160,0,4
165,0,4
163,0,4
158,0,4
164,0,4
164,0,4
151,0,4
114,0,4
61,0,4
34,0,4
44,0,4
71,0,4
104,0,4
116,0,4
115,0,4
123,0,4
125,0,4
126,0,4
124,0,4
117,0,4
111,0,4
106,0,4
102,0,4
103,0,4
107,0,4
107,0,4
109,0,4
112,0,4
110,0,4
106,0,4
110,0,4
107,0,4
110,0,4
100,0,4
64,0,4
33,0,4
22,0,4
24,0,4
36,0,4
41,0,4
36,0,4
34,0,4
41,0,4
61,0,4
89,0,4
108,0,4
