R,G,B
57,118,87
57,118,87
58,118,87
60,118,87
61,118,87
62,118,87
62,118,87
61,118,87
61,118,87
62,118,87
62,118,87
63,118,87
64,118,87
65,118,87
66,118,87
66,118,87
64,118,87
65,118,87
66,118,87
67,118,87
68,118,87
69,118,87
69,118,87
70,118,87
71,118,87
72,118,87
69,118,87
65,118,87
60,118,87
59,118,87
56,118,87
54,118,87
55,118,87
53,118,87
50,118,87
49,118,87
49,118,87
49,118,87
51,118,87
51,118,87
52,118,87
52,118,87
55,118,87
56,118,87
57,118,87
58,118,87
59,118,87
59,118,87
58,118,87
59,118,87
59,118,87
60,118,87
60,118,87
61,118,87
62,118,87
62,118,87
63,118,87
63,118,87
65,118,87
66,118,87
66,118,87
65,118,87
65,118,87
64,118,87
65,118,87
65,118,87
63,118,87
62,118,87
62,118,87
60,118,87
60,118,87
58,118,87
58,118,87
58,118,87
58,118,87
57,118,87
59,118,87
59,118,87
59,118,87
59,118,87
55,118,87
55,118,87
57,118,87
56,118,87
56,118,87
56,118,87
56,118,87
58,118,87
57,118,87
58,118,87
59,118,87
60,118,87
60,118,87
59,118,87
57,118,87
57,118,87
55,118,87
53,118,87
51,118,87
51,118,87
51,118,87
50,118,87
50,118,87
51,118,87
51,118,87
51,118,87
51,118,87
51,118,87
51,118,87
52,118,87
52,118,87
53,118,87
54,118,87
54,118,87
53,118,87
53,118,87
52,118,87
52,118,87
51,118,87
51,118,87
50,118,87
51,118,87
53,118,87
53,118,87
52,118,87
52,118,87
52,118,87
52,118,87
51,118,87
51,118,87
51,118,87
51,118,87
51,118,87
51,118,87
51,118,87
51,118,87
50,118,87
50,118,87
49,118,87
49,118,87
48,118,87
47,118,87
48,118,87
48,118,87
49,118,87
50,118,87
50,118,87
51,118,87
52,118,87
53,118,87
54,118,87
55,118,87
54,118,87
51,118,87
49,118,87
48,118,87
49,118,87
50,118,87
50,118,87
49,118,87
49,118,87
49,118,87
49,118,87
51,118,87
53,118,87
53,118,87
53,118,87
53,118,87
52,118,87
51,118,87
49,118,87
49,118,87
49,118,87
48,118,87
47,118,87
46,118,87
45,118,87
46,118,87
47,118,87
51,118,87
53,118,87
52,118,87
50,118,87
46,118,87
41,118,87
34,118,87
26,118,87
16,118,87
7,118,87
6,118,87
7,118,87
5,118,87
9,118,87
4,118,87
0,118,87
2,118,87
3,118,87
5,118,87
6,118,87
8,118,87
8,118,87
11,118,87
11,118,87
11,118,87
11,118,87
10,118,87
9,118,87
6,118,87
5,118,87
5,118,87
5,118,87
6,118,87
6,118,87
6,118,87
8,118,87
8,118,87
14,118,87
20,118,87
23,118,87
13,118,87
1,118,87
0,118,87
11,118,87
21,118,87
5,118,87
0,118,87
0,118,87
7,118,87
7,118,87
5,118,87
5,118,87
2,118,87
0,118,87
1,118,87
5,118,87
5,118,87
5,118,87
3,118,87
3,118,87
3,118,87
5,118,87
6,118,87
7,118,87
7,118,87
7,118,87
8,118,87
8,118,87
9,118,87
10,118,87
10,118,87
57,119,88
58,119,88
58,119,88
60,119,88
61,119,88
62,119,88
62,119,88
62,119,88
62,119,88
62,119,88
63,119,88
64,119,88
65,119,88
66,119,88
67,119,88
67,119,88
64,119,88
66,119,88
67,119,88
69,119,88
69,119,88
69,119,88
69,119,88
69,119,88
70,119,88
71,119,88
67,119,88
64,119,88
60,119,88
58,119,88
56,119,88
54,119,88
54,119,88
53,119,88
50,119,88
49,119,88
49,119,88
49,119,88
51,119,88
51,119,88
53,119,88
53,119,88
55,119,88
56,119,88
56,119,88
57,119,88
58,119,88
58,119,88
58,119,88
58,119,88
