R,G,B
56,68,66
54,68,66
52,68,66
56,68,66
59,68,66
59,68,66
63,68,66
66,68,66
59,68,66
55,68,66
53,68,66
56,68,66
58,68,66
59,68,66
55,68,66
50,68,66
46,68,66
49,68,66
59,68,66
68,68,66
72,68,66
79,68,66
84,68,66
82,68,66
76,68,66
72,68,66
67,68,66
60,68,66
56,68,66
59,68,66
60,68,66
52,68,66
49,68,66
45,68,66
43,68,66
43,68,66
47,68,66
51,68,66
51,68,66
50,68,66
52,68,66
55,68,66
57,68,66
58,68,66
60,68,66
60,68,66
56,68,66
57,68,66
55,68,66
49,68,66
40,68,66
40,68,66
47,68,66
54,68,66
59,68,66
64,68,66
70,68,66
80,68,66
86,68,66
85,68,66
87,68,66
87,68,66
85,68,66
81,68,66
75,68,66
70,68,66
62,68,66
53,68,66
48,68,66
47,68,66
57,68,66
73,68,66
86,68,66
88,68,66
90,68,66
93,68,66
101,68,66
104,68,66
104,68,66
104,68,66
109,68,66
108,68,66
110,68,66
109,68,66
107,68,66
111,68,66
118,68,66
120,68,66
122,68,66
127,68,66
122,68,66
131,68,66
148,68,66
175,68,66
163,68,66
140,68,66
119,68,66
119,68,66
127,68,66
137,68,66
139,68,66
123,68,66
109,68,66
104,68,66
117,68,66
125,68,66
132,68,66
131,68,66
127,68,66
127,68,66
133,68,66
141,68,66
139,68,66
133,68,66
127,68,66
127,68,66
125,68,66
114,68,66
115,68,66
126,68,66
135,68,66
141,68,66
144,68,66
141,68,66
133,68,66
126,68,66
124,68,66
124,68,66
125,68,66
127,68,66
130,68,66
128,68,66
124,68,66
119,68,66
118,68,66
118,68,66
122,68,66
130,68,66
139,68,66
150,68,66
147,68,66
163,68,66
180,68,66
195,68,66
204,68,66
210,68,66
217,68,66
217,68,66
216,68,66
216,68,66
214,68,66
206,68,66
196,68,66
190,68,66
181,68,66
177,68,66
177,68,66
177,68,66
180,68,66
185,68,66
183,68,66
185,68,66
184,68,66
184,68,66
188,68,66
190,68,66
185,68,66
181,68,66
174,68,66
172,68,66
164,68,66
142,68,66
116,68,66
110,68,66
122,68,66
134,68,66
152,68,66
168,68,66
183,68,66
194,68,66
204,68,66
214,68,66
223,68,66
229,68,66
204,68,66
155,68,66
154,68,66
168,68,66
