R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
8,0,0
131,0,0
153,0,0
155,0,0
153,0,0
154,0,0
153,0,0
157,0,0
159,0,0
157,0,0
156,0,0
156,0,0
157,0,0
158,0,0
158,0,0
158,0,0
159,0,0
152,0,0
153,0,0
159,0,0
159,0,0
160,0,0
159,0,0
156,0,0
158,0,0
157,0,0
156,0,0
156,0,0
155,0,0
158,0,0
162,0,0
165,0,0
162,0,0
161,0,0
162,0,0
162,0,0
160,0,0
162,0,0
164,0,0
163,0,0
164,0,0
164,0,0
161,0,0
159,0,0
161,0,0
161,0,0
159,0,0
157,0,0
155,0,0
153,0,0
154,0,0
160,0,0
158,0,0
152,0,0
149,0,0
151,0,0
155,0,0
145,0,0
142,0,0
134,0,0
150,0,0
158,0,0
138,0,0
144,0,0
147,0,0
147,0,0
96,0,0
43,0,0
23,0,0
29,0,0
23,0,0
29,0,0
37,0,0
72,0,0
109,0,0
126,0,0
121,0,0
121,0,0
109,0,0
108,0,0
124,0,0
127,0,0
123,0,0
118,0,0
110,0,0
111,0,0
125,0,0
128,0,0
107,0,0
91,0,0
94,0,0
103,0,0
92,0,0
74,0,0
75,0,0
89,0,0
73,0,0
78,0,0
81,0,0
116,0,0
141,0,0
115,0,0
87,0,0
73,0,0
54,0,0
49,0,0
55,0,0
61,0,0
59,0,0
60,0,0
71,0,0
84,0,0
102,0,0
110,0,0
147,0,0
172,0,0
175,0,0
181,0,0
191,0,0
197,0,0
198,0,0
187,0,0
189,0,0
183,0,0
139,0,0
65,0,0
38,0,0
31,0,0
21,0,0
12,0,0
12,0,0
13,0,0
16,0,0
50,0,0
106,0,0
142,0,0
148,0,0
163,0,0
176,0,0
178,0,0
175,0,0
168,0,0
161,0,0
156,0,0
154,0,0
150,0,0
142,0,0
133,0,0
125,0,0
123,0,0
122,0,0
119,0,0
119,0,0
119,0,0
112,0,0
104,0,0
109,0,0
121,0,0
127,0,0
128,0,0
114,0,0
49,0,0
26,0,0
41,0,0
30,0,0
11,0,0
7,0,0
0,0,0
