R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
45,0,0
71,0,0
76,0,0
76,0,0
77,0,0
77,0,0
77,0,0
77,0,0
75,0,0
74,0,0
72,0,0
68,0,0
69,0,0
72,0,0
71,0,0
69,0,0
67,0,0
66,0,0
67,0,0
67,0,0
63,0,0
60,0,0
55,0,0
54,0,0
55,0,0
57,0,0
56,0,0
55,0,0
57,0,0
56,0,0
56,0,0
56,0,0
57,0,0
58,0,0
60,0,0
64,0,0
66,0,0
68,0,0
68,0,0
70,0,0
71,0,0
76,0,0
79,0,0
80,0,0
80,0,0
80,0,0
80,0,0
81,0,0
83,0,0
84,0,0
86,0,0
86,0,0
88,0,0
89,0,0
90,0,0
92,0,0
95,0,0
98,0,0
102,0,0
103,0,0
100,0,0
100,0,0
100,0,0
102,0,0
104,0,0
110,0,0
114,0,0
113,0,0
117,0,0
121,0,0
125,0,0
126,0,0
129,0,0
129,0,0
135,0,0
141,0,0
145,0,0
146,0,0
151,0,0
156,0,0
160,0,0
162,0,0
165,0,0
166,0,0
168,0,0
169,0,0
171,0,0
175,0,0
178,0,0
181,0,0
184,0,0
187,0,0
189,0,0
189,0,0
189,0,0
190,0,0
191,0,0
193,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
194,0,0
192,0,0
190,0,0
187,0,0
185,0,0
182,0,0
180,0,0
177,0,0
175,0,0
172,0,0
170,0,0
167,0,0
167,0,0
162,0,0
159,0,0
157,0,0
154,0,0
152,0,0
148,0,0
143,0,0
141,0,0
140,0,0
138,0,0
137,0,0
136,0,0
137,0,0
138,0,0
138,0,0
136,0,0
135,0,0
133,0,0
132,0,0
131,0,0
130,0,0
130,0,0
129,0,0
126,0,0
127,0,0
125,0,0
121,0,0
119,0,0
118,0,0
117,0,0
115,0,0
110,0,0
110,0,0
107,0,0
104,0,0
102,0,0
101,0,0
99,0,0
95,0,0
