R,G,B
198,215,223
205,215,223
212,215,223
216,215,223
218,215,223
222,215,223
227,215,223
232,215,223
237,215,223
239,215,223
241,215,223
241,215,223
240,215,223
241,215,223
241,215,223
240,215,223
244,215,223
245,215,223
246,215,223
247,215,223
246,215,223
245,215,223
246,215,223
247,215,223
249,215,223
245,215,223
246,215,223
249,215,223
248,215,223
245,215,223
248,215,223
252,215,223
252,215,223
250,215,223
231,215,223
209,215,223
158,215,223
131,215,223
108,215,223
103,215,223
100,215,223
97,215,223
91,215,223
93,215,223
105,215,223
107,215,223
103,215,223
105,215,223
110,215,223
126,215,223
128,215,223
113,215,223
98,215,223
85,215,223
77,215,223
81,215,223
92,215,223
116,215,223
132,215,223
134,215,223
131,215,223
125,215,223
123,215,223
127,215,223
126,215,223
125,215,223
134,215,223
144,215,223
147,215,223
142,215,223
141,215,223
139,215,223
133,215,223
138,215,223
140,215,223
140,215,223
138,215,223
138,215,223
133,215,223
126,215,223
115,215,223
118,215,223
126,215,223
136,215,223
139,215,223
133,215,223
126,215,223
123,215,223
123,215,223
126,215,223
128,215,223
132,215,223
134,215,223
131,215,223
124,215,223
117,215,223
114,215,223
137,215,223
169,215,223
199,215,223
223,215,223
231,215,223
213,215,223
189,215,223
166,215,223
148,215,223
130,215,223
117,215,223
101,215,223
94,215,223
94,215,223
77,215,223
77,215,223
87,215,223
96,215,223
94,215,223
84,215,223
81,215,223
83,215,223
83,215,223
85,215,223
87,215,223
91,215,223
90,215,223
84,215,223
78,215,223
77,215,223
77,215,223
71,215,223
76,215,223
96,215,223
125,215,223
156,215,223
185,215,223
182,215,223
157,215,223
123,215,223
102,215,223
80,215,223
73,215,223
72,215,223
67,215,223
60,215,223
53,215,223
49,215,223
54,215,223
50,215,223
38,215,223
37,215,223
43,215,223
53,215,223
62,215,223
84,215,223
113,215,223
139,215,223
149,215,223
149,215,223
144,215,223
136,215,223
128,215,223
126,215,223
125,215,223
118,215,223
108,215,223
96,215,223
95,215,223
102,215,223
111,215,223
120,215,223
123,215,223
120,215,223
112,215,223
112,215,223
109,215,223
102,215,223
95,215,223
95,215,223
106,215,223
118,215,223
113,215,223
105,215,223
165,215,223
204,215,223
223,215,223
231,215,223
218,215,223
191,215,223
156,215,223
134,215,223
120,215,223
117,215,223
120,215,223
117,215,223
117,215,223
114,215,223
107,215,223
100,215,223
94,215,223
91,215,223
94,215,223
99,215,223
102,215,223
100,215,223
97,215,223
93,215,223
92,215,223
94,215,223
100,215,223
100,215,223
96,215,223
90,215,223
85,215,223
85,215,223
87,215,223
87,215,223
86,215,223
84,215,223
85,215,223
87,215,223
89,215,223
87,215,223
82,215,223
79,215,223
78,215,223
80,215,223
83,215,223
83,215,223
79,215,223
76,215,223
77,215,223
77,215,223
77,215,223
77,215,223
77,215,223
78,215,223
79,215,223
80,215,223
81,215,223
81,215,223
80,215,223
80,215,223
80,215,223
81,215,223
81,215,223
81,215,223
81,215,223
81,215,223
81,215,223
80,215,223
80,215,223
203,222,229
207,222,229
213,222,229
216,222,229
218,222,229
221,222,229
226,222,229
231,222,229
236,222,229
238,222,229
239,222,229
238,222,229
238,222,229
238,222,229
238,222,229
238,222,229
243,222,229
244,222,229
245,222,229
245,222,229
245,222,229
245,222,229
245,222,229
247,222,229
251,222,229
246,222,229
239,222,229
229,222,229
213,222,229
207,222,229
215,222,229
225,222,229
235,222,229
238,222,229
223,222,229
200,222,229
145,222,229
117,222,229
96,222,229
94,222,229
105,222,229
107,222,229
100,222,229
96,222,229
105,222,229
108,222,229
103,222,229
98,222,229
100,222,229
117,222,229
124,222,229
115,222,229
103,222,229
92,222,229
86,222,229
89,222,229
97,222,229
118,222,229
131,222,229
132,222,229
130,222,229
123,222,229
122,222,229
128,222,229
125,222,229
125,222,229
130,222,229
137,222,229
139,222,229
137,222,229
136,222,229
135,222,229
126,222,229
127,222,229
129,222,229
127,222,229
131,222,229
135,222,229
137,222,229
135,222,229
123,222,229
123,222,229
124,222,229
127,222,229
128,222,229
128,222,229
130,222,229
131,222,229
129,222,229
128,222,229
127,222,229
127,222,229
126,222,229
123,222,229
119,222,229
116,222,229
113,222,229
127,222,229
149,222,229
174,222,229
202,222,229
218,222,229
216,222,229
205,222,229
182,222,229
165,222,229
144,222,229
129,222,229
113,222,229
99,222,229
96,222,229
83,222,229
82,222,229
85,222,229
88,222,229
87,222,229
86,222,229
89,222,229
91,222,229
91,222,229
87,222,229
86,222,229
84,222,229
83,222,229
82,222,229
80,222,229
80,222,229
78,222,229
80,222,229
74,222,229
81,222,229
96,222,229
116,222,229
133,222,229
138,222,229
129,222,229
120,222,229
107,222,229
92,222,229
82,222,229
74,222,229
65,222,229
60,222,229
58,222,229
60,222,229
63,222,229
56,222,229
46,222,229
45,222,229
47,222,229
50,222,229
53,222,229
66,222,229
89,222,229
117,222,229
134,222,229
140,222,229
140,222,229
136,222,229
132,222,229
128,222,229
127,222,229
122,222,229
113,222,229
105,222,229
102,222,229
106,222,229
113,222,229
120,222,229
123,222,229
120,222,229
117,222,229
116,222,229
112,222,229
105,222,229
97,222,229
96,222,229
104,222,229
114,222,229
110,222,229
107,222,229
171,222,229
210,222,229
227,222,229
231,222,229
215,222,229
185,222,229
149,222,229
128,222,229
117,222,229
115,222,229
118,222,229
120,222,229
119,222,229
115,222,229
107,222,229
100,222,229
93,222,229
90,222,229
93,222,229
98,222,229
100,222,229
98,222,229
95,222,229
91,222,229
90,222,229
94,222,229
100,222,229
99,222,229
95,222,229
89,222,229
85,222,229
84,222,229
86,222,229
86,222,229
85,222,229
83,222,229
84,222,229
87,222,229
89,222,229
87,222,229
83,222,229
80,222,229
79,222,229
82,222,229
85,222,229
85,222,229
81,222,229
79,222,229
79,222,229
79,222,229
78,222,229
79,222,229
79,222,229
79,222,229
80,222,229
81,222,229
82,222,229
81,222,229
81,222,229
80,222,229
81,222,229
81,222,229
81,222,229
81,222,229
81,222,229
81,222,229
80,222,229
80,222,229
80,222,229
211,232,238
215,232,238
219,232,238
221,232,238
222,232,238
225,232,238
231,232,238
236,232,238
238,232,238
240,232,238
241,232,238
240,232,238
240,232,238
241,232,238
241,232,238
241,232,238
244,232,238
245,232,238
246,232,238
247,232,238
249,232,238
248,232,238
247,232,238
248,232,238
249,232,238
244,232,238
230,232,238
205,232,238
175,232,238
160,232,238
168,232,238
181,232,238
201,232,238
208,232,238
202,232,238
181,232,238
134,232,238
108,232,238
98,232,238
101,232,238
112,232,238
118,232,238
111,232,238
100,232,238
102,232,238
109,232,238
103,232,238
93,232,238
91,232,238
107,232,238
114,232,238
110,232,238
106,232,238
102,232,238
97,232,238
99,232,238
104,232,238
122,232,238
133,232,238
133,232,238
130,232,238
123,232,238
125,232,238
135,232,238
128,232,238
124,232,238
126,232,238
129,232,238
130,232,238
132,232,238
133,232,238
131,232,238
122,232,238
122,232,238
121,232,238
122,232,238
127,232,238
136,232,238
142,232,238
143,232,238
135,232,238
135,232,238
132,232,238
128,232,238
127,232,238
131,232,238
136,232,238
140,232,238
133,232,238
131,232,238
129,232,238
126,232,238
125,232,238
124,232,238
124,232,238
125,232,238
125,232,238
127,232,238
137,232,238
156,232,238
180,232,238
201,232,238
211,232,238
216,232,238
207,232,238
194,232,238
169,232,238
148,232,238
129,232,238
110,232,238
102,232,238
95,232,238
92,232,238
85,232,238
81,232,238
79,232,238
81,232,238
88,232,238
95,232,238
96,232,238
92,232,238
90,232,238
89,232,238
85,232,238
82,232,238
82,232,238
85,232,238
88,232,238
85,232,238
77,232,238
69,232,238
71,232,238
76,232,238
81,232,238
88,232,238
96,232,238
110,232,238
105,232,238
98,232,238
86,232,238
73,232,238
66,232,238
66,232,238
70,232,238
77,232,238
76,232,238
70,232,238
65,232,238
62,232,238
59,232,238
51,232,238
47,232,238
53,232,238
69,232,238
94,232,238
118,232,238
133,232,238
136,232,238
136,232,238
136,232,238
131,232,238
130,232,238
127,232,238
121,232,238
115,232,238
111,232,238
111,232,238
115,232,238
120,232,238
122,232,238
121,232,238
122,232,238
121,232,238
116,232,238
109,232,238
102,232,238
98,232,238
101,232,238
107,232,238
106,232,238
110,232,238
181,232,238
219,232,238
231,232,238
228,232,238
208,232,238
175,232,238
140,232,238
121,232,238
113,232,238
113,232,238
117,232,238
120,232,238
119,232,238
115,232,238
107,232,238
100,232,238
93,232,238
90,232,238
92,232,238
96,232,238
98,232,238
96,232,238
93,232,238
90,232,238
89,232,238
92,232,238
98,232,238
97,232,238
93,232,238
88,232,238
84,232,238
84,232,238
86,232,238
86,232,238
84,232,238
83,232,238
84,232,238
86,232,238
89,232,238
87,232,238
84,232,238
81,232,238
80,232,238
84,232,238
87,232,238
87,232,238
84,232,238
82,232,238
82,232,238
81,232,238
81,232,238
81,232,238
81,232,238
81,232,238
82,232,238
83,232,238
83,232,238
82,232,238
82,232,238
81,232,238
81,232,238
81,232,238
81,232,238
81,232,238
81,232,238
80,232,238
80,232,238
79,232,238
79,232,238
218,236,237
221,236,237
224,236,237
226,236,237
227,236,237
230,236,237
234,236,237
238,236,237
240,236,237
242,236,237
243,236,237
243,236,237
243,236,237
245,236,237
245,236,237
245,236,237
247,236,237
248,236,237
249,236,237
249,236,237
249,236,237
251,236,237
250,236,237
250,236,237
254,236,237
249,236,237
233,236,237
197,236,237
153,236,237
128,236,237
124,236,237
129,236,237
143,236,237
152,236,237
152,236,237
138,236,237
111,236,237
95,236,237
93,236,237
98,236,237
113,236,237
119,236,237
113,236,237
101,236,237
100,236,237
104,236,237
101,236,237
95,236,237
84,236,237
92,236,237
97,236,237
96,236,237
99,236,237
102,236,237
103,236,237
106,236,237
112,236,237
123,236,237
132,236,237
134,236,237
130,236,237
128,236,237
133,236,237
144,236,237
136,236,237
130,236,237
129,236,237
129,236,237
130,236,237
133,236,237
137,236,237
136,236,237
133,236,237
134,236,237
134,236,237
137,236,237
141,236,237
148,236,237
153,236,237
157,236,237
150,236,237
152,236,237
151,236,237
146,236,237
145,236,237
149,236,237
154,236,237
155,236,237
159,236,237
159,236,237
159,236,237
157,236,237
155,236,237
156,236,237
158,236,237
161,236,237
158,236,237
150,236,237
146,236,237
150,236,237
161,236,237
177,236,237
198,236,237
214,236,237
226,236,237
226,236,237
204,236,237
177,236,237
157,236,237
135,236,237
122,236,237
115,236,237
103,236,237
92,236,237
82,236,237
78,236,237
79,236,237
84,236,237
91,236,237
93,236,237
91,236,237
94,236,237
96,236,237
90,236,237
84,236,237
82,236,237
88,236,237
94,236,237
94,236,237
90,236,237
82,236,237
78,236,237
77,236,237
75,236,237
78,236,237
85,236,237
80,236,237
82,236,237
81,236,237
80,236,237
77,236,237
80,236,237
89,236,237
98,236,237
101,236,237
98,236,237
94,236,237
92,236,237
90,236,237
83,236,237
71,236,237
60,236,237
58,236,237
61,236,237
80,236,237
109,236,237
131,236,237
139,236,237
137,236,237
136,236,237
132,236,237
130,236,237
129,236,237
126,236,237
124,236,237
119,236,237
