R,G,B
215,216,174
214,216,174
215,216,174
216,216,174
215,216,174
214,216,174
215,216,174
216,216,174
216,216,174
215,216,174
215,216,174
215,216,174
215,216,174
215,216,174
215,216,174
215,216,174
216,216,174
216,216,174
215,216,174
215,216,174
215,216,174
213,216,174
213,216,174
213,216,174
213,216,174
215,216,174
215,216,174
215,216,174
217,216,174
216,216,174
216,216,174
215,216,174
214,216,174
215,216,174
214,216,174
213,216,174
213,216,174
213,216,174
213,216,174
212,216,174
211,216,174
211,216,174
212,216,174
211,216,174
211,216,174
210,216,174
212,216,174
212,216,174
212,216,174
212,216,174
212,216,174
212,216,174
211,216,174
211,216,174
211,216,174
211,216,174
211,216,174
210,216,174
208,216,174
207,216,174
209,216,174
209,216,174
211,216,174
212,216,174
209,216,174
209,216,174
211,216,174
210,216,174
210,216,174
211,216,174
209,216,174
209,216,174
206,216,174
207,216,174
208,216,174
208,216,174
207,216,174
208,216,174
207,216,174
207,216,174
209,216,174
209,216,174
210,216,174
209,216,174
209,216,174
208,216,174
208,216,174
208,216,174
207,216,174
207,216,174
206,216,174
206,216,174
206,216,174
206,216,174
206,216,174
206,216,174
207,216,174
207,216,174
207,216,174
207,216,174
207,216,174
207,216,174
207,216,174
207,216,174
206,216,174
205,216,174
205,216,174
206,216,174
207,216,174
206,216,174
207,216,174
208,216,174
208,216,174
209,216,174
207,216,174
206,216,174
207,216,174
207,216,174
207,216,174
208,216,174
207,216,174
207,216,174
207,216,174
207,216,174
206,216,174
205,216,174
204,216,174
204,216,174
203,216,174
204,216,174
204,216,174
203,216,174
199,216,174
194,216,174
189,216,174
185,216,174
181,216,174
176,216,174
173,216,174
171,216,174
166,216,174
161,216,174
157,216,174
153,216,174
153,216,174
152,216,174
151,216,174
152,216,174
157,216,174
161,216,174
165,216,174
171,216,174
180,216,174
185,216,174
192,216,174
196,216,174
200,216,174
201,216,174
203,216,174
203,216,174
207,216,174
206,216,174
206,216,174
205,216,174
203,216,174
203,216,174
203,216,174
203,216,174
202,216,174
205,216,174
203,216,174
210,216,174
211,216,174
206,216,174
205,216,174
203,216,174
207,216,174
216,216,174
206,216,174
170,216,174
102,216,174
32,216,174
6,216,174
8,216,174
16,216,174
20,216,174
13,216,174
19,216,174
22,216,174
12,216,174
8,216,174
11,216,174
15,216,174
14,216,174
14,216,174
13,216,174
13,216,174
11,216,174
11,216,174
12,216,174
12,216,174
11,216,174
13,216,174
12,216,174
12,216,174
12,216,174
14,216,174
13,216,174
11,216,174
10,216,174
10,216,174
9,216,174
9,216,174
9,216,174
9,216,174
9,216,174
9,216,174
9,216,174
9,216,174
9,216,174
9,216,174
9,216,174
9,216,174
9,216,174
11,216,174
11,216,174
11,216,174
11,216,174
11,216,174
11,216,174
11,216,174
11,216,174
11,216,174
11,216,174
11,216,174
11,216,174
8,216,174
6,216,174
7,216,174
9,216,174
14,216,174
16,216,174
13,216,174
10,216,174
7,216,174
10,216,174
23,216,174
137,216,174
214,216,174
255,216,174
215,215,173
214,215,173
215,215,173
216,215,173
215,215,173
214,215,173
214,215,173
216,215,173
216,215,173
215,215,173
215,215,173
215,215,173
215,215,173
215,215,173
215,215,173
215,215,173
216,215,173
216,215,173
215,215,173
215,215,173
215,215,173
213,215,173
213,215,173
213,215,173
213,215,173
215,215,173
215,215,173
215,215,173
217,215,173
216,215,173
215,215,173
215,215,173
214,215,173
214,215,173
214,215,173
214,215,173
213,215,173
213,215,173
213,215,173
213,215,173
212,215,173
212,215,173
212,215,173
212,215,173
211,215,173
211,215,173
212,215,173
212,215,173
213,215,173
212,215,173
212,215,173
212,215,173
212,215,173
211,215,173
211,215,173
212,215,173
211,215,173
211,215,173
208,215,173
207,215,173
209,215,173
209,215,173
211,215,173
212,215,173
209,215,173
210,215,173
210,215,173
210,215,173
210,215,173
210,215,173
209,215,173
209,215,173
206,215,173
207,215,173
207,215,173
208,215,173
207,215,173
208,215,173
208,215,173
207,215,173
210,215,173
210,215,173
210,215,173
209,215,173
209,215,173
208,215,173
208,215,173
208,215,173
208,215,173
207,215,173
207,215,173
206,215,173
206,215,173
206,215,173
206,215,173
206,215,173
206,215,173
207,215,173
207,215,173
207,215,173
207,215,173
207,215,173
208,215,173
208,215,173
205,215,173
204,215,173
206,215,173
207,215,173
207,215,173
207,215,173
208,215,173
209,215,173
209,215,173
207,215,173
208,215,173
207,215,173
206,215,173
206,215,173
207,215,173
208,215,173
207,215,173
207,215,173
207,215,173
207,215,173
206,215,173
205,215,173
204,215,173
204,215,173
204,215,173
205,215,173
205,215,173
204,215,173
201,215,173
197,215,173
192,215,173
189,215,173
185,215,173
179,215,173
176,215,173
173,215,173
169,215,173
164,215,173
160,215,173
155,215,173
154,215,173
153,215,173
150,215,173
151,215,173
156,215,173
160,215,173
165,215,173
171,215,173
180,215,173
185,215,173
192,215,173
196,215,173
200,215,173
202,215,173
204,215,173
204,215,173
208,215,173
