R,G,B
133,119,106
132,119,106
132,119,106
133,119,106
131,119,106
127,119,106
127,119,106
129,119,106
129,119,106
128,119,106
127,119,106
125,119,106
124,119,106
124,119,106
124,119,106
124,119,106
122,119,106
122,119,106
121,119,106
120,119,106
119,119,106
119,119,106
118,119,106
118,119,106
116,119,106
114,119,106
113,119,106
113,119,106
113,119,106
112,119,106
108,119,106
104,119,106
97,119,106
88,119,106
87,119,106
96,119,106
103,119,106
102,119,106
100,119,106
101,119,106
95,119,106
95,119,106
93,119,106
89,119,106
81,119,106
72,119,106
65,119,106
60,119,106
56,119,106
59,119,106
62,119,106
64,119,106
64,119,106
63,119,106
63,119,106
63,119,106
64,119,106
66,119,106
67,119,106
70,119,106
70,119,106
69,119,106
70,119,106
70,119,106
72,119,106
76,119,106
77,119,106
74,119,106
72,119,106
70,119,106
72,119,106
78,119,106
80,119,106
80,119,106
83,119,106
94,119,106
107,119,106
117,119,106
124,119,106
129,119,106
138,119,106
148,119,106
156,119,106
155,119,106
153,119,106
150,119,106
140,119,106
131,119,106
136,119,106
145,119,106
153,119,106
159,119,106
161,119,106
164,119,106
166,119,106
164,119,106
160,119,106
164,119,106
163,119,106
160,119,106
161,119,106
165,119,106
169,119,106
170,119,106
168,119,106
161,119,106
156,119,106
157,119,106
160,119,106
163,119,106
163,119,106
162,119,106
150,119,106
152,119,106
157,119,106
161,119,106
157,119,106
148,119,106
132,119,106
115,119,106
101,119,106
94,119,106
93,119,106
93,119,106
89,119,106
84,119,106
83,119,106
81,119,106
83,119,106
84,119,106
83,119,106
81,119,106
82,119,106
82,119,106
82,119,106
79,119,106
80,119,106
77,119,106
77,119,106
79,119,106
82,119,106
83,119,106
83,119,106
84,119,106
88,119,106
89,119,106
81,119,106
83,119,106
80,119,106
96,119,106
114,119,106
138,119,106
139,119,106
138,119,106
139,119,106
142,119,106
146,119,106
150,119,106
152,119,106
152,119,106
155,119,106
157,119,106
159,119,106
160,119,106
159,119,106
154,119,106
148,119,106
144,119,106
141,119,106
141,119,106
142,119,106
142,119,106
141,119,106
138,119,106
132,119,106
129,119,106
132,119,106
132,119,106
133,119,106
135,119,106
136,119,106
136,119,106
136,119,106
136,119,106
137,119,106
136,119,106
137,119,106
138,119,106
138,119,106
137,119,106
137,119,106
137,119,106
138,119,106
138,119,106
139,119,106
139,119,106
139,119,106
139,119,106
139,119,106
139,119,106
138,119,106
138,119,106
139,119,106
139,119,106
138,119,106
138,119,106
137,119,106
136,119,106
137,119,106
137,119,106
137,119,106
137,119,106
136,119,106
136,119,106
137,119,106
136,119,106
137,119,106
136,119,106
142,119,106
145,119,106
137,119,106
137,119,106
143,119,106
143,119,106
146,119,106
139,119,106
137,119,106
147,119,106
152,119,106
148,119,106
144,119,106
146,119,106
144,119,106
145,119,106
141,119,106
135,119,106
128,119,106
119,119,106
109,119,106
104,119,106
99,119,106
94,119,106
94,119,106
79,119,106
80,119,106
74,119,106
69,119,106
67,119,106
51,119,106
45,119,106
128,118,105
132,118,105
134,118,105
131,118,105
129,118,105
130,118,105
129,118,105
126,118,105
128,118,105
127,118,105
126,118,105
125,118,105
125,118,105
124,118,105
124,118,105
124,118,105
122,118,105
122,118,105
121,118,105
120,118,105
119,118,105
119,118,105
118,118,105
118,118,105
116,118,105
115,118,105
113,118,105
112,118,105
113,118,105
112,118,105
108,118,105
105,118,105
100,118,105
92,118,105
90,118,105
98,118,105
103,118,105
101,118,105
99,118,105
99,118,105
97,118,105
96,118,105
93,118,105
87,118,105
79,118,105
70,118,105
62,118,105
57,118,105
56,118,105
58,118,105
62,118,105
65,118,105
66,118,105
66,118,105
66,118,105
66,118,105
66,118,105
68,118,105
69,118,105
68,118,105
69,118,105
68,118,105
69,118,105
70,118,105
75,118,105
79,118,105
81,118,105
81,118,105
83,118,105
83,118,105
85,118,105
90,118,105
96,118,105
105,118,105
120,118,105
137,118,105
146,118,105
152,118,105
157,118,105
162,118,105
168,118,105
174,118,105
179,118,105
174,118,105
171,118,105
166,118,105
155,118,105
144,118,105
141,118,105
141,118,105
144,118,105
149,118,105
152,118,105
157,118,105
157,118,105
154,118,105
152,118,105
153,118,105
154,118,105
156,118,105
159,118,105
164,118,105
167,118,105
169,118,105
165,118,105
159,118,105
154,118,105
153,118,105
158,118,105
162,118,105
162,118,105
161,118,105
146,118,105
146,118,105
152,118,105
158,118,105
160,118,105
150,118,105
133,118,105
115,118,105
105,118,105
96,118,105
93,118,105
90,118,105
86,118,105
83,118,105
83,118,105
82,118,105
81,118,105
83,118,105
82,118,105
82,118,105
80,118,105
81,118,105
79,118,105
77,118,105
80,118,105
79,118,105
81,118,105
84,118,105
85,118,105
85,118,105
84,118,105
84,118,105
86,118,105
85,118,105
77,118,105
81,118,105
79,118,105
96,118,105
114,118,105
139,118,105
142,118,105
143,118,105
145,118,105
149,118,105
152,118,105
154,118,105
155,118,105
156,118,105
160,118,105
160,118,105
159,118,105
158,118,105
157,118,105
154,118,105
150,118,105
147,118,105
143,118,105
142,118,105
141,118,105
140,118,105
139,118,105
138,118,105
134,118,105
132,118,105
133,118,105
135,118,105
136,118,105
136,118,105
136,118,105
136,118,105
136,118,105
136,118,105
138,118,105
137,118,105
137,118,105
138,118,105
138,118,105
137,118,105
138,118,105
139,118,105
139,118,105
139,118,105
139,118,105
139,118,105
138,118,105
138,118,105
139,118,105
139,118,105
139,118,105
139,118,105
138,118,105
138,118,105
138,118,105
138,118,105
138,118,105
138,118,105
138,118,105
138,118,105
138,118,105
139,118,105
140,118,105
140,118,105
138,118,105
137,118,105
141,118,105
142,118,105
140,118,105
137,118,105
138,118,105
139,118,105
142,118,105
145,118,105
144,118,105
137,118,105
132,118,105
132,118,105
136,118,105
134,118,105
129,118,105
125,118,105
122,118,105
124,118,105
119,118,105
110,118,105
104,118,105
96,118,105
89,118,105
87,118,105
84,118,105
80,118,105
84,118,105
75,118,105
80,118,105
77,118,105
78,118,105
81,118,105
77,118,105
77,118,105
120,117,104
127,117,104
131,117,104
129,117,104
128,117,104
130,117,104
129,117,104
127,117,104
126,117,104
126,117,104
126,117,104
125,117,104
125,117,104
124,117,104
123,117,104
123,117,104
121,117,104
121,117,104
121,117,104
119,117,104
119,117,104
118,117,104
118,117,104
118,117,104
116,117,104
115,117,104
113,117,104
112,117,104
112,117,104
111,117,104
108,117,104
106,117,104
103,117,104
97,117,104
96,117,104
101,117,104
104,117,104
100,117,104
97,117,104
97,117,104
100,117,104
98,117,104
93,117,104
85,117,104
75,117,104
65,117,104
58,117,104
54,117,104
56,117,104
59,117,104
62,117,104
65,117,104
65,117,104
66,117,104
66,117,104
66,117,104
68,117,104
69,117,104
70,117,104
69,117,104
67,117,104
70,117,104
71,117,104
73,117,104
77,117,104
83,117,104
87,117,104
91,117,104
96,117,104
101,117,104
104,117,104
109,117,104
115,117,104
135,117,104
160,117,104
177,117,104
186,117,104
193,117,104
201,117,104
207,117,104
210,117,104
210,117,104
205,117,104
198,117,104
191,117,104
185,117,104
173,117,104
165,117,104
151,117,104
140,117,104
134,117,104
137,117,104
144,117,104
149,117,104
148,117,104
144,117,104
149,117,104
147,117,104
149,117,104
153,117,104
159,117,104
163,117,104
166,117,104
168,117,104
163,117,104
158,117,104
152,117,104
151,117,104
154,117,104
158,117,104
159,117,104
157,117,104
144,117,104
144,117,104
148,117,104
155,117,104
158,117,104
151,117,104
133,117,104
116,117,104
106,117,104
97,117,104
93,117,104
89,117,104
84,117,104
83,117,104
84,117,104
85,117,104
85,117,104
86,117,104
85,117,104
84,117,104
83,117,104
83,117,104
83,117,104
83,117,104
80,117,104
81,117,104
84,117,104
87,117,104
87,117,104
86,117,104
84,117,104
83,117,104
87,117,104
85,117,104
78,117,104
81,117,104
82,117,104
97,117,104
117,117,104
144,117,104
145,117,104
149,117,104
154,117,104
157,117,104
159,117,104
159,117,104
159,117,104
160,117,104
163,117,104
160,117,104
156,117,104
154,117,104
154,117,104
153,117,104
152,117,104
150,117,104
146,117,104
144,117,104
141,117,104
138,117,104
137,117,104
137,117,104
135,117,104
135,117,104
137,117,104
137,117,104
137,117,104
136,117,104
136,117,104
136,117,104
136,117,104
137,117,104
138,117,104
137,117,104
137,117,104
138,117,104
138,117,104
138,117,104
138,117,104
139,117,104
139,117,104
139,117,104
138,117,104
137,117,104
137,117,104
138,117,104
139,117,104
139,117,104
138,117,104
137,117,104
136,117,104
136,117,104
136,117,104
137,117,104
138,117,104
139,117,104
139,117,104
138,117,104
137,117,104
137,117,104
138,117,104
137,117,104
136,117,104
134,117,104
136,117,104
142,117,104
138,117,104
133,117,104
138,117,104
139,117,104
138,117,104
143,117,104
139,117,104
135,117,104
128,117,104
119,117,104
113,117,104
109,117,104
103,117,104
97,117,104
97,117,104
98,117,104
91,117,104
79,117,104
70,117,104
66,117,104
65,117,104
67,117,104
73,117,104
72,117,104
86,117,104
85,117,104
88,117,104
83,117,104
90,117,104
101,117,104
111,117,104
118,117,104
113,116,103
120,116,103
127,116,103
130,116,103
128,116,103
126,116,103
128,116,103
130,116,103
124,116,103
124,116,103
125,116,103
125,116,103
125,116,103
124,116,103
123,116,103
122,116,103
121,116,103
121,116,103
120,116,103
119,116,103
118,116,103
118,116,103
118,116,103
117,116,103
116,116,103
115,116,103
113,116,103
111,116,103
111,116,103
111,116,103
109,116,103
107,116,103
105,116,103
101,116,103
101,116,103
104,116,103
104,116,103
100,116,103
97,116,103
97,116,103
99,116,103
99,116,103
94,116,103
84,116,103
70,116,103
60,116,103
55,116,103
55,116,103
59,116,103
60,116,103
62,116,103
63,116,103
63,116,103
64,116,103
65,116,103
66,116,103
70,116,103
70,116,103
70,116,103
70,116,103
70,116,103
73,116,103
79,116,103
81,116,103
89,116,103
98,116,103
105,116,103
111,116,103
118,116,103
125,116,103
132,116,103
139,116,103
146,116,103
161,116,103
176,116,103
181,116,103
180,116,103
184,116,103
189,116,103
193,116,103
197,116,103
194,116,103
188,116,103
183,116,103
181,116,103
183,116,103
180,116,103
177,116,103
162,116,103
146,116,103
134,116,103
137,116,103
142,116,103
145,116,103
144,116,103
141,116,103
135,116,103
133,116,103
137,116,103
147,116,103
160,116,103
168,116,103
174,116,103
179,116,103
172,116,103
163,116,103
155,116,103
151,116,103
153,116,103
156,116,103
157,116,103
154,116,103
143,116,103
143,116,103
147,116,103
152,116,103
153,116,103
147,116,103
133,116,103
116,116,103
104,116,103
97,116,103
92,116,103
89,116,103
87,116,103
84,116,103
87,116,103
86,116,103
82,116,103
82,116,103
82,116,103
80,116,103
79,116,103
78,116,103
79,116,103
80,116,103
79,116,103
78,116,103
81,116,103
82,116,103
83,116,103
81,116,103
78,116,103
75,116,103
74,116,103
74,116,103
66,116,103
66,116,103
65,116,103
83,116,103
110,116,103
143,116,103
150,116,103
155,116,103
161,116,103
164,116,103
165,116,103
163,116,103
163,116,103
163,116,103
163,116,103
159,116,103
154,116,103
152,116,103
152,116,103
153,116,103
152,116,103
150,116,103
147,116,103
144,116,103
140,116,103
136,116,103
135,116,103
136,116,103
134,116,103
134,116,103
136,116,103
136,116,103
136,116,103
136,116,103
136,116,103
136,116,103
136,116,103
137,116,103
137,116,103
137,116,103
138,116,103
139,116,103
139,116,103
137,116,103
137,116,103
138,116,103
138,116,103
138,116,103
137,116,103
137,116,103
138,116,103
138,116,103
138,116,103
138,116,103
138,116,103
138,116,103
138,116,103
137,116,103
138,116,103
138,116,103
138,116,103
138,116,103
138,116,103
138,116,103
138,116,103
137,116,103
137,116,103
137,116,103
137,116,103
135,116,103
134,116,103
141,116,103
140,116,103
136,116,103
138,116,103
140,116,103
142,116,103
145,116,103
136,116,103
131,116,103
121,116,103
109,116,103
96,116,103
85,116,103
80,116,103
77,116,103
78,116,103
78,116,103
73,116,103
66,116,103
65,116,103
70,116,103
79,116,103
91,116,103
96,116,103
97,116,103
116,116,103
117,116,103
113,116,103
98,116,103
102,116,103
115,116,103
138,116,103
149,116,103
109,111,98
121,111,98
130,111,98
128,111,98
125,111,98
127,111,98
129,111,98
129,111,98
122,111,98
123,111,98
124,111,98
125,111,98
125,111,98
124,111,98
123,111,98
122,111,98
121,111,98
120,111,98
120,111,98
119,111,98
118,111,98
118,111,98
117,111,98
117,111,98
116,111,98
114,111,98
112,111,98
111,111,98
110,111,98
110,111,98
108,111,98
107,111,98
105,111,98
104,111,98
104,111,98
105,111,98
104,111,98
100,111,98
97,111,98
97,111,98
97,111,98
98,111,98
95,111,98
82,111,98
65,111,98
55,111,98
54,111,98
58,111,98
62,111,98
63,111,98
63,111,98
63,111,98
63,111,98
66,111,98
69,111,98
71,111,98
71,111,98
74,111,98
73,111,98
71,111,98
73,111,98
80,111,98
85,111,98
87,111,98
98,111,98
109,111,98
118,111,98
122,111,98
128,111,98
134,111,98
144,111,98
153,111,98
156,111,98
162,111,98
167,111,98
166,111,98
166,111,98
171,111,98
176,111,98
178,111,98
178,111,98
177,111,98
173,111,98
173,111,98
175,111,98
180,111,98
182,111,98
180,111,98
167,111,98
154,111,98
147,111,98
149,111,98
152,111,98
148,111,98
143,111,98
138,111,98
134,111,98
131,111,98
134,111,98
142,111,98
153,111,98
161,111,98
168,111,98
173,111,98
167,111,98
160,111,98
150,111,98
144,111,98
144,111,98
143,111,98
143,111,98
142,111,98
139,111,98
142,111,98
147,111,98
152,111,98
149,111,98
141,111,98
128,111,98
113,111,98
102,111,98
95,111,98
89,111,98
85,111,98
84,111,98
84,111,98
86,111,98
86,111,98
79,111,98
79,111,98
80,111,98
79,111,98
78,111,98
75,111,98
74,111,98
73,111,98
75,111,98
72,111,98
68,111,98
68,111,98
68,111,98
66,111,98
61,111,98
56,111,98
62,111,98
62,111,98
51,111,98
48,111,98
48,111,98
77,111,98
116,111,98
157,111,98
159,111,98
163,111,98
168,111,98
170,111,98
170,111,98
168,111,98
166,111,98
166,111,98
162,111,98
159,111,98
158,111,98
156,111,98
155,111,98
154,111,98
150,111,98
147,111,98
144,111,98
142,111,98
140,111,98
137,111,98
136,111,98
135,111,98
135,111,98
132,111,98
133,111,98
133,111,98
133,111,98
134,111,98
134,111,98
134,111,98
134,111,98
134,111,98
136,111,98
136,111,98
138,111,98
140,111,98
139,111,98
136,111,98
135,111,98
136,111,98
137,111,98
137,111,98
136,111,98
136,111,98
136,111,98
135,111,98
134,111,98
132,111,98
137,111,98
138,111,98
138,111,98
138,111,98
138,111,98
136,111,98
135,111,98
134,111,98
136,111,98
138,111,98
138,111,98
139,111,98
140,111,98
142,111,98
146,111,98
150,111,98
147,111,98
147,111,98
151,111,98
153,111,98
151,111,98
154,111,98
154,111,98
147,111,98
137,111,98
121,111,98
104,111,98
97,111,98
88,111,98
76,111,98
68,111,98
70,111,98
70,111,98
71,111,98
69,111,98
66,111,98
69,111,98
79,111,98
94,111,98
109,111,98
100,111,98
94,111,98
114,111,98
126,111,98
132,111,98
122,111,98
126,111,98
136,111,98
156,111,98
165,111,98
110,116,103
126,116,103
133,116,103
125,116,103
122,116,103
130,116,103
131,116,103
124,116,103
122,116,103
123,116,103
124,116,103
124,116,103
124,116,103
123,116,103
122,116,103
122,116,103
120,116,103
120,116,103
120,116,103
118,116,103
118,116,103
117,116,103
117,116,103
117,116,103
115,116,103
114,116,103
112,116,103
110,116,103
110,116,103
109,116,103
108,116,103
107,116,103
105,116,103
104,116,103
104,116,103
104,116,103
103,116,103
100,116,103
98,116,103
97,116,103
94,116,103
97,116,103
93,116,103
79,116,103
61,116,103
51,116,103
54,116,103
60,116,103
63,116,103
64,116,103
65,116,103
66,116,103
67,116,103
71,116,103
75,116,103
76,116,103
75,116,103
75,116,103
74,116,103
74,116,103
78,116,103
85,116,103
90,116,103
93,116,103
102,116,103
114,116,103
123,116,103
123,116,103
123,116,103
127,116,103
136,116,103
148,116,103
148,116,103
148,116,103
147,116,103
146,116,103
146,116,103
149,116,103
151,116,103
152,116,103
161,116,103
162,116,103
161,116,103
162,116,103
165,116,103
164,116,103
163,116,103
164,116,103
165,116,103
161,116,103
162,116,103
166,116,103
164,116,103
158,116,103
148,116,103
141,116,103
137,116,103
135,116,103
133,116,103
136,116,103
138,116,103
142,116,103
146,116,103
149,116,103
148,116,103
143,116,103
135,116,103
128,116,103
124,116,103
124,116,103
124,116,103
124,116,103
141,116,103
146,116,103
154,116,103
155,116,103
148,116,103
139,116,103
127,116,103
115,116,103
105,116,103
97,116,103
92,116,103
87,116,103
84,116,103
83,116,103
84,116,103
81,116,103
76,116,103
75,116,103
76,116,103
77,116,103
75,116,103
69,116,103
64,116,103
61,116,103
62,116,103
59,116,103
52,116,103
50,116,103
48,116,103
48,116,103
43,116,103
38,116,103
42,116,103
41,116,103
26,116,103
26,116,103
35,116,103
78,116,103
127,116,103
169,116,103
172,116,103
173,116,103
174,116,103
174,116,103
172,116,103
171,116,103
168,116,103
166,116,103
164,116,103
162,116,103
159,116,103
158,116,103
155,116,103
151,116,103
146,116,103
142,116,103
140,116,103
139,116,103
138,116,103
137,116,103
137,116,103
136,116,103
134,116,103
131,116,103
131,116,103
131,116,103
132,116,103
132,116,103
132,116,103
132,116,103
131,116,103
131,116,103
133,116,103
134,116,103
136,116,103
138,116,103
137,116,103
135,116,103
134,116,103
136,116,103
137,116,103
136,116,103
135,116,103
134,116,103
134,116,103
132,116,103
130,116,103
128,116,103
133,116,103
134,116,103
136,116,103
137,116,103
137,116,103
136,116,103
134,116,103
133,116,103
134,116,103
137,116,103
142,116,103
146,116,103
151,116,103
156,116,103
164,116,103
169,116,103
165,116,103
165,116,103
179,116,103
192,116,103
193,116,103
190,116,103
181,116,103
164,116,103
132,116,103
106,116,103
85,116,103
85,116,103
86,116,103
78,116,103
69,116,103
69,116,103
82,116,103
87,116,103
88,116,103
87,116,103
88,116,103
94,116,103
108,116,103
124,116,103
85,116,103
70,116,103
89,116,103
114,116,103
140,116,103
146,116,103
152,116,103
158,116,103
164,116,103
170,116,103
116,113,100
120,113,100
123,113,100
124,113,100
125,113,100
127,113,100
127,113,100
124,113,100
123,113,100
123,113,100
124,113,100
124,113,100
124,113,100
123,113,100
122,113,100
122,113,100
120,113,100
120,113,100
119,113,100
118,113,100
117,113,100
117,113,100
116,113,100
116,113,100
113,113,100
113,113,100
112,113,100
110,113,100
110,113,100
109,113,100
107,113,100
106,113,100
105,113,100
105,113,100
104,113,100
103,113,100
101,113,100
100,113,100
98,113,100
96,113,100
94,113,100
94,113,100
89,113,100
75,113,100
58,113,100
50,113,100
53,113,100
59,113,100
65,113,100
65,113,100
67,113,100
70,113,100
72,113,100
75,113,100
78,113,100
78,113,100
77,113,100
76,113,100
74,113,100
76,113,100
82,113,100
92,113,100
97,113,100
97,113,100
111,113,100
121,113,100
127,113,100
124,113,100
123,113,100
126,113,100
133,113,100
143,113,100
145,113,100
143,113,100
142,113,100
142,113,100
142,113,100
141,113,100
142,113,100
143,113,100
144,113,100
146,113,100
150,113,100
152,113,100
154,113,100
155,113,100
158,113,100
161,113,100
162,113,100
164,113,100
168,113,100
175,113,100
174,113,100
170,113,100
163,113,100
154,113,100
156,113,100
158,113,100
158,113,100
158,113,100
160,113,100
162,113,100
166,113,100
168,113,100
167,113,100
165,113,100
161,113,100
159,113,100
157,113,100
155,113,100
156,113,100
157,113,100
162,113,100
163,113,100
164,113,100
162,113,100
154,113,100
145,113,100
137,113,100
128,113,100
123,113,100
118,113,100
116,113,100
113,113,100
106,113,100
99,113,100
91,113,100
84,113,100
69,113,100
64,113,100
60,113,100
58,113,100
54,113,100
48,113,100
44,113,100
41,113,100
44,113,100
43,113,100
39,113,100
37,113,100
36,113,100
36,113,100
34,113,100
34,113,100
37,113,100
37,113,100
24,113,100
29,113,100
52,113,100
107,113,100
153,113,100
187,113,100
184,113,100
181,113,100
178,113,100
175,113,100
172,113,100
169,113,100
165,113,100
162,113,100
159,113,100
157,113,100
153,113,100
149,113,100
147,113,100
143,113,100
140,113,100
137,113,100
136,113,100
136,113,100
137,113,100
137,113,100
138,113,100
138,113,100
137,113,100
136,113,100
134,113,100
135,113,100
135,113,100
135,113,100
135,113,100
133,113,100
132,113,100
131,113,100
131,113,100
131,113,100
132,113,100
131,113,100
131,113,100
131,113,100
133,113,100
136,113,100
135,113,100
133,113,100
131,113,100
131,113,100
132,113,100
132,113,100
132,113,100
131,113,100
134,113,100
136,113,100
139,113,100
143,113,100
147,113,100
149,113,100
151,113,100
151,113,100
150,113,100
152,113,100
157,113,100
164,113,100
171,113,100
178,113,100
183,113,100
185,113,100
192,113,100
194,113,100
198,113,100
196,113,100
180,113,100
155,113,100
133,113,100
121,113,100
112,113,100
94,113,100
81,113,100
82,113,100
86,113,100
79,113,100
68,113,100
62,113,100
71,113,100
86,113,100
100,113,100
104,113,100
104,113,100
106,113,100
119,113,100
136,113,100
106,113,100
87,113,100
102,113,100
125,113,100
152,113,100
158,113,100
162,113,100
163,113,100
164,113,100
168,113,100
121,114,101
108,114,101
109,114,101
125,114,101
131,114,101
122,114,101
119,114,101
128,114,101
123,114,101
123,114,101
124,114,101
124,114,101
123,114,101
123,114,101
122,114,101
122,114,101
120,114,101
120,114,101
119,114,101
118,114,101
117,114,101
117,114,101
116,114,101
116,114,101
113,114,101
112,114,101
112,114,101
110,114,101
109,114,101
108,114,101
107,114,101
106,114,101
105,114,101
105,114,101
104,114,101
102,114,101
100,114,101
99,114,101
97,114,101
95,114,101
95,114,101
93,114,101
86,114,101
72,114,101
57,114,101
49,114,101
52,114,101
57,114,101
65,114,101
65,114,101
69,114,101
72,114,101
73,114,101
75,114,101
76,114,101
75,114,101
76,114,101
75,114,101
73,114,101
77,114,101
85,114,101
96,114,101
102,114,101
102,114,101
111,114,101
120,114,101
124,114,101
120,114,101
120,114,101
123,114,101
131,114,101
138,114,101
138,114,101
137,114,101
138,114,101
139,114,101
137,114,101
134,114,101
135,114,101
138,114,101
140,114,101
142,114,101
143,114,101
144,114,101
143,114,101
143,114,101
149,114,101
155,114,101
160,114,101
163,114,101
168,114,101
173,114,101
177,114,101
178,114,101
176,114,101
171,114,101
170,114,101
177,114,101
179,114,101
176,114,101
174,114,101
176,114,101
178,114,101
178,114,101
180,114,101
182,114,101
181,114,101
182,114,101
181,114,101
181,114,101
183,114,101
183,114,101
185,114,101
181,114,101
174,114,101
166,114,101
158,114,101
152,114,101
148,114,101
142,114,101
144,114,101
145,114,101
147,114,101
148,114,101
139,114,101
125,114,101
108,114,101
94,114,101
70,114,101
61,114,101
50,114,101
43,114,101
39,114,101
35,114,101
33,114,101
33,114,101
30,114,101
32,114,101
34,114,101
31,114,101
31,114,101
32,114,101
36,114,101
36,114,101
37,114,101
35,114,101
26,114,101
39,114,101
73,114,101
132,114,101
170,114,101
193,114,101
190,114,101
185,114,101
178,114,101
173,114,101
170,114,101
166,114,101
161,114,101
157,114,101
150,114,101
148,114,101
144,114,101
139,114,101
138,114,101
135,114,101
133,114,101
134,114,101
133,114,101
134,114,101
135,114,101
136,114,101
138,114,101
139,114,101
139,114,101
139,114,101
139,114,101
139,114,101
140,114,101
140,114,101
138,114,101
136,114,101
134,114,101
132,114,101
130,114,101
129,114,101
127,114,101
128,114,101
128,114,101
130,114,101
135,114,101
140,114,101
135,114,101
133,114,101
131,114,101
131,114,101
134,114,101
137,114,101
139,114,101
140,114,101
143,114,101
146,114,101
152,114,101
159,114,101
166,114,101
172,114,101
177,114,101
180,114,101
174,114,101
175,114,101
178,114,101
185,114,101
193,114,101
199,114,101
199,114,101
198,114,101
207,114,101
210,114,101
199,114,101
175,114,101
144,114,101
109,114,101
92,114,101
98,114,101
91,114,101
88,114,101
87,114,101
88,114,101
86,114,101
77,114,101
64,114,101
56,114,101
70,114,101
92,114,101
115,114,101
122,114,101
118,114,101
114,114,101
125,114,101
141,114,101
128,114,101
110,114,101
126,114,101
144,114,101
160,114,101
159,114,101
160,114,101
160,114,101
161,114,101
164,114,101
117,110,97
103,110,97
93,110,97
116,110,97
128,110,97
118,110,97
122,110,97
123,110,97
124,110,97
124,110,97
123,110,97
123,110,97
123,110,97
122,110,97
122,110,97
122,110,97
120,110,97
120,110,97
119,110,97
117,110,97
117,110,97
116,110,97
115,110,97
114,110,97
112,110,97
112,110,97
111,110,97
109,110,97
108,110,97
106,110,97
106,110,97
105,110,97
104,110,97
103,110,97
103,110,97
102,110,97
98,110,97
95,110,97
96,110,97
99,110,97
98,110,97
91,110,97
78,110,97
65,110,97
55,110,97
52,110,97
54,110,97
