R,G,B
96,114,114
97,114,114
101,114,114
104,114,114
102,114,114
96,114,114
89,114,114
88,114,114
87,114,114
85,114,114
86,114,114
89,114,114
87,114,114
84,114,114
84,114,114
86,114,114
81,114,114
82,114,114
82,114,114
83,114,114
84,114,114
85,114,114
87,114,114
87,114,114
86,114,114
86,114,114
83,114,114
79,114,114
78,114,114
81,114,114
82,114,114
82,114,114
79,114,114
78,114,114
78,114,114
79,114,114
81,114,114
82,114,114
82,114,114
80,114,114
79,114,114
76,114,114
75,114,114
77,114,114
79,114,114
79,114,114
78,114,114
77,114,114
81,114,114
82,114,114
82,114,114
80,114,114
81,114,114
83,114,114
84,114,114
82,114,114
80,114,114
82,114,114
84,114,114
84,114,114
80,114,114
79,114,114
79,114,114
80,114,114
81,114,114
84,114,114
85,114,114
83,114,114
80,114,114
79,114,114
78,114,114
76,114,114
76,114,114
77,114,114
79,114,114
81,114,114
82,114,114
79,114,114
78,114,114
81,114,114
77,114,114
91,114,114
102,114,114
108,114,114
111,114,114
109,114,114
104,114,114
103,114,114
111,114,114
110,114,114
109,114,114
112,114,114
112,114,114
108,114,114
96,114,114
87,114,114
85,114,114
82,114,114
82,114,114
86,114,114
89,114,114
91,114,114
87,114,114
86,114,114
81,114,114
91,114,114
98,114,114
98,114,114
100,114,114
105,114,114
106,114,114
99,114,114
98,114,114
99,114,114
97,114,114
91,114,114
81,114,114
72,114,114
66,114,114
62,114,114
60,114,114
55,114,114
51,114,114
51,114,114
51,114,114
47,114,114
44,114,114
43,114,114
40,114,114
39,114,114
39,114,114
42,114,114
42,114,114
38,114,114
34,114,114
31,114,114
35,114,114
38,114,114
38,114,114
37,114,114
37,114,114
41,114,114
44,114,114
44,114,114
42,114,114
42,114,114
39,114,114
37,114,114
35,114,114
34,114,114
33,114,114
33,114,114
34,114,114
33,114,114
31,114,114
27,114,114
24,114,114
23,114,114
25,114,114
29,114,114
29,114,114
28,114,114
29,114,114
32,114,114
32,114,114
32,114,114
31,114,114
31,114,114
31,114,114
35,114,114
38,114,114
36,114,114
33,114,114
34,114,114
37,114,114
38,114,114
43,114,114
40,114,114
42,114,114
34,114,114
34,114,114
34,114,114
29,114,114
39,114,114
37,114,114
31,114,114
31,114,114
34,114,114
31,114,114
31,114,114
32,114,114
29,114,114
30,114,114
29,114,114
27,114,114
25,114,114
23,114,114
22,114,114
22,114,114
23,114,114
21,114,114
21,114,114
20,114,114
18,114,114
16,114,114
17,114,114
21,114,114
24,114,114
28,114,114
22,114,114
19,114,114
18,114,114
19,114,114
17,114,114
15,114,114
15,114,114
12,114,114
13,114,114
13,114,114
16,114,114
17,114,114
18,114,114
18,114,114
20,114,114
20,114,114
19,114,114
20,114,114
23,114,114
21,114,114
17,114,114
19,114,114
24,114,114
20,114,114
19,114,114
18,114,114
20,114,114
24,114,114
29,114,114
34,114,114
37,114,114
44,114,114
49,114,114
54,114,114
57,114,114
51,114,114
41,114,114
37,114,114
41,114,114
51,114,114
46,114,114
98,116,116
98,116,116
99,116,116
101,116,116
103,116,116
100,116,116
93,116,116
90,116,116
87,116,116
87,116,116
88,116,116
88,116,116
86,116,116
83,116,116
83,116,116
84,116,116
83,116,116
83,116,116
84,116,116
84,116,116
85,116,116
85,116,116
85,116,116
85,116,116
85,116,116
85,116,116
83,116,116
80,116,116
79,116,116
80,116,116
81,116,116
80,116,116
81,116,116
80,116,116
80,116,116
81,116,116
82,116,116
82,116,116
81,116,116
79,116,116
77,116,116
76,116,116
77,116,116
79,116,116
79,116,116
78,116,116
77,116,116
78,116,116
80,116,116
80,116,116
81,116,116
79,116,116
80,116,116
82,116,116
84,116,116
82,116,116
80,116,116
82,116,116
83,116,116
83,116,116
80,116,116
79,116,116
80,116,116
82,116,116
82,116,116
84,116,116
83,116,116
80,116,116
79,116,116
80,116,116
79,116,116
78,116,116
77,116,116
78,116,116
78,116,116
80,116,116
82,116,116
79,116,116
79,116,116
84,116,116
87,116,116
