R,G,B
128,124,149
139,124,149
162,124,149
199,124,149
234,124,149
246,124,149
249,124,149
255,124,149
255,124,149
255,124,149
253,124,149
250,124,149
252,124,149
251,124,149
238,124,149
219,124,149
198,124,149
185,124,149
173,124,149
166,124,149
158,124,149
150,124,149
142,124,149
133,124,149
128,124,149
121,124,149
113,124,149
103,124,149
98,124,149
94,124,149
93,124,149
91,124,149
111,124,149
117,124,149
135,124,149
164,124,149
196,124,149
214,124,149
227,124,149
238,124,149
245,124,149
246,124,149
250,124,149
248,124,149
240,124,149
233,124,149
213,124,149
182,124,149
136,124,149
125,124,149
124,124,149
119,124,149
111,124,149
108,124,149
106,124,149
108,124,149
107,124,149
99,124,149
85,124,149
75,124,149
77,124,149
80,124,149
83,124,149
88,124,149
87,124,149
85,124,149
86,124,149
86,124,149
85,124,149
84,124,149
86,124,149
87,124,149
88,124,149
92,124,149
91,124,149
89,124,149
91,124,149
94,124,149
95,124,149
97,124,149
99,124,149
108,124,149
117,124,149
125,124,149
134,124,149
141,124,149
147,124,149
152,124,149
153,124,149
140,124,149
134,124,149
143,124,149
154,124,149
154,124,149
134,124,149
110,124,149
121,124,149
131,124,149
143,124,149
146,124,149
137,124,149
122,124,149
115,124,149
118,124,149
118,124,149
118,124,149
122,124,149
133,124,149
143,124,149
157,124,149
165,124,149
167,124,149
169,124,149
171,124,149
172,124,149
173,124,149
174,124,149
173,124,149
175,124,149
177,124,149
189,124,149
190,124,149
191,124,149
191,124,149
191,124,149
192,124,149
198,124,149
202,124,149
181,124,149
158,124,149
130,124,149
122,124,149
135,124,149
149,124,149
150,124,149
143,124,149
130,124,149
119,124,149
122,124,149
145,124,149
162,124,149
164,124,149
168,124,149
177,124,149
200,124,149
203,124,149
210,124,149
213,124,149
213,124,149
214,124,149
212,124,149
211,124,149
210,124,149
212,124,149
215,124,149
215,124,149
215,124,149
215,124,149
219,124,149
222,124,149
230,124,149
232,124,149
225,124,149
226,124,149
222,124,149
183,124,149
118,124,149
66,124,149
50,124,149
61,124,149
69,124,149
66,124,149
58,124,149
57,124,149
61,124,149
64,124,149
66,124,149
64,124,149
61,124,149
58,124,149
59,124,149
60,124,149
57,124,149
56,124,149
56,124,149
57,124,149
59,124,149
61,124,149
60,124,149
61,124,149
63,124,149
63,124,149
62,124,149
62,124,149
61,124,149
59,124,149
57,124,149
55,124,149
55,124,149
55,124,149
58,124,149
60,124,149
62,124,149
63,124,149
64,124,149
64,124,149
63,124,149
62,124,149
57,124,149
56,124,149
55,124,149
53,124,149
52,124,149
51,124,149
50,124,149
50,124,149
51,124,149
51,124,149
50,124,149
48,124,149
45,124,149
43,124,149
43,124,149
43,124,149
43,124,149
42,124,149
40,124,149
38,124,149
37,124,149
36,124,149
32,124,149
27,124,149
24,124,149
23,124,149
24,124,149
31,124,149
31,124,149
28,124,149
27,124,149
28,124,149
32,124,149
30,124,149
23,124,149
12,124,149
7,124,149
12,124,149
20,124,149
25,124,149
30,124,149
32,124,149
135,147,146
151,147,146
178,147,146
215,147,146
243,147,146
251,147,146
250,147,146
255,147,146
255,147,146
255,147,146
253,147,146
250,147,146
252,147,146
252,147,146
243,147,146
228,147,146
210,147,146
195,147,146
178,147,146
170,147,146
164,147,146
158,147,146
150,147,146
140,147,146
129,147,146
123,147,146
115,147,146
108,147,146
103,147,146
96,147,146
89,147,146
85,147,146
106,147,146
123,147,146
151,147,146
182,147,146
207,147,146
219,147,146
228,147,146
239,147,146
247,147,146
251,147,146
252,147,146
248,147,146
241,147,146
235,147,146
211,147,146
180,147,146
133,147,146
123,147,146
121,147,146
115,147,146
107,147,146
105,147,146
103,147,146
105,147,146
107,147,146
99,147,146
85,147,146
76,147,146
76,147,146
80,147,146
82,147,146
87,147,146
88,147,146
86,147,146
87,147,146
86,147,146
86,147,146
85,147,146
85,147,146
88,147,146
89,147,146
92,147,146
92,147,146
91,147,146
93,147,146
94,147,146
97,147,146
99,147,146
106,147,146
116,147,146
126,147,146
131,147,146
137,147,146
141,147,146
146,147,146
151,147,146
143,147,146
136,147,146
135,147,146
138,147,146
139,147,146
133,147,146
121,147,146
108,147,146
119,147,146
127,147,146
138,147,146
141,147,146
135,147,146
123,147,146
117,147,146
119,147,146
116,147,146
118,147,146
122,147,146
129,147,146
136,147,146
145,147,146
157,147,146
161,147,146
163,147,146
165,147,146
168,147,146
171,147,146
172,147,146
171,147,146
171,147,146
172,147,146
173,147,146
176,147,146
179,147,146
183,147,146
183,147,146
184,147,146
184,147,146
184,147,146
176,147,146
157,147,146
134,147,146
121,147,146
125,147,146
137,147,146
144,147,146
145,147,146
136,147,146
133,147,146
138,147,146
153,147,146
169,147,146
178,147,146
185,147,146
191,147,146
201,147,146
206,147,146
209,147,146
212,147,146
213,147,146
211,147,146
210,147,146
207,147,146
208,147,146
210,147,146
213,147,146
215,147,146
215,147,146
216,147,146
218,147,146
222,147,146
232,147,146
224,147,146
219,147,146
231,147,146
219,147,146
160,147,146
97,147,146
64,147,146
55,147,146
60,147,146
63,147,146
60,147,146
59,147,146
60,147,146
61,147,146
58,147,146
62,147,146
59,147,146
56,147,146
53,147,146
53,147,146
53,147,146
50,147,146
49,147,146
49,147,146
52,147,146
53,147,146
55,147,146
55,147,146
56,147,146
58,147,146
59,147,146
59,147,146
59,147,146
57,147,146
55,147,146
53,147,146
52,147,146
51,147,146
52,147,146
54,147,146
55,147,146
57,147,146
58,147,146
58,147,146
58,147,146
57,147,146
56,147,146
51,147,146
51,147,146
50,147,146
49,147,146
49,147,146
49,147,146
49,147,146
49,147,146
48,147,146
49,147,146
49,147,146
48,147,146
46,147,146
44,147,146
42,147,146
42,147,146
40,147,146
39,147,146
38,147,146
35,147,146
32,147,146
31,147,146
31,147,146
31,147,146
26,147,146
24,147,146
26,147,146
28,147,146
28,147,146
25,147,146
23,147,146
24,147,146
25,147,146
27,147,146
25,147,146
19,147,146
12,147,146
11,147,146
13,147,146
16,147,146
23,147,146
26,147,146
154,199,173
176,199,173
205,199,173
234,199,173
253,199,173
255,199,173
251,199,173
252,199,173
254,199,173
252,199,173
252,199,173
250,199,173
250,199,173
252,199,173
249,199,173
239,199,173
225,199,173
206,199,173
189,199,173
177,199,173
169,199,173
161,199,173
150,199,173
139,199,173
132,199,173
125,199,173
116,199,173
110,199,173
107,199,173
104,199,173
101,199,173
99,199,173
118,199,173
144,199,173
178,199,173
207,199,173
221,199,173
226,199,173
233,199,173
243,199,173
252,199,173
255,199,173
255,199,173
249,199,173
244,199,173
239,199,173
212,199,173
175,199,173
133,199,173
120,199,173
118,199,173
111,199,173
104,199,173
102,199,173
100,199,173
102,199,173
105,199,173
98,199,173
86,199,173
76,199,173
76,199,173
79,199,173
84,199,173
87,199,173
90,199,173
87,199,173
85,199,173
86,199,173
86,199,173
85,199,173
85,199,173
88,199,173
90,199,173
93,199,173
94,199,173
93,199,173
95,199,173
97,199,173
97,199,173
98,199,173
112,199,173
122,199,173
130,199,173
131,199,173
131,199,173
131,199,173
135,199,173
140,199,173
133,199,173
130,199,173
134,199,173
136,199,173
131,199,173
121,199,173
115,199,173
111,199,173
117,199,173
122,199,173
128,199,173
131,199,173
129,199,173
120,199,173
116,199,173
117,199,173
114,199,173
114,199,173
118,199,173
120,199,173
121,199,173
128,199,173
140,199,173
146,199,173
149,199,173
152,199,173
159,199,173
164,199,173
166,199,173
165,199,173
164,199,173
166,199,173
165,199,173
168,199,173
174,199,173
180,199,173
183,199,173
180,199,173
176,199,173
172,199,173
173,199,173
164,199,173
148,199,173
132,199,173
125,199,173
130,199,173
138,199,173
145,199,173
148,199,173
153,199,173
160,199,173
167,199,173
179,199,173
195,199,173
204,199,173
204,199,173
204,199,173
207,199,173
210,199,173
210,199,173
210,199,173
210,199,173
207,199,173
203,199,173
205,199,173
207,199,173
210,199,173
213,199,173
215,199,173
216,199,173
219,199,173
220,199,173
230,199,173
218,199,173
217,199,173
233,199,173
209,199,173
136,199,173
78,199,173
60,199,173
58,199,173
60,199,173
61,199,173
60,199,173
63,199,173
65,199,173
61,199,173
58,199,173
62,199,173
60,199,173
56,199,173
54,199,173
52,199,173
50,199,173
47,199,173
46,199,173
46,199,173
47,199,173
48,199,173
51,199,173
51,199,173
53,199,173
55,199,173
56,199,173
57,199,173
57,199,173
55,199,173
53,199,173
51,199,173
50,199,173
49,199,173
49,199,173
49,199,173
50,199,173
51,199,173
51,199,173
51,199,173
50,199,173
49,199,173
48,199,173
45,199,173
44,199,173
44,199,173
44,199,173
43,199,173
44,199,173
44,199,173
44,199,173
42,199,173
43,199,173
43,199,173
43,199,173
41,199,173
39,199,173
37,199,173
36,199,173
33,199,173
32,199,173
32,199,173
30,199,173
25,199,173
23,199,173
27,199,173
33,199,173
28,199,173
26,199,173
24,199,173
25,199,173
25,199,173
24,199,173
23,199,173
24,199,173
21,199,173
23,199,173
25,199,173
23,199,173
16,199,173
10,199,173
8,199,173
10,199,173
16,199,173
17,199,173
188,241,207
210,241,207
233,241,207
247,241,207
255,241,207
254,241,207
250,241,207
250,241,207
252,241,207
251,241,207
251,241,207
250,241,207
249,241,207
251,241,207
252,241,207
248,241,207
237,241,207
223,241,207
206,241,207
194,241,207
181,241,207
167,241,207
153,241,207
139,241,207
136,241,207
128,241,207
120,241,207
117,241,207
117,241,207
121,241,207
130,241,207
135,241,207
155,241,207
178,241,207
204,241,207
224,241,207
233,241,207
235,241,207
242,241,207
251,241,207
255,241,207
255,241,207
255,241,207
249,241,207
246,241,207
240,241,207
209,241,207
171,241,207
134,241,207
123,241,207
118,241,207
