R,G,B
68,70,65
68,70,65
72,70,65
75,70,65
77,70,65
81,70,65
85,70,65
84,70,65
84,70,65
85,70,65
89,70,65
93,70,65
99,70,65
103,70,65
105,70,65
105,70,65
114,70,65
115,70,65
116,70,65
115,70,65
116,70,65
116,70,65
118,70,65
119,70,65
115,70,65
120,70,65
124,70,65
126,70,65
127,70,65
130,70,65
132,70,65
132,70,65
138,70,65
133,70,65
130,70,65
128,70,65
126,70,65
128,70,65
130,70,65
132,70,65
135,70,65
135,70,65
133,70,65
124,70,65
121,70,65
131,70,65
136,70,65
131,70,65
129,70,65
133,70,65
139,70,65
141,70,65
143,70,65
140,70,65
140,70,65
140,70,65
132,70,65
127,70,65
122,70,65
120,70,65
118,70,65
112,70,65
105,70,65
101,70,65
113,70,65
115,70,65
113,70,65
110,70,65
107,70,65
100,70,65
97,70,65
104,70,65
119,70,65
126,70,65
140,70,65
153,70,65
160,70,65
162,70,65
157,70,65
148,70,65
153,70,65
144,70,65
143,70,65
147,70,65
145,70,65
143,70,65
148,70,65
152,70,65
158,70,65
158,70,65
155,70,65
146,70,65
141,70,65
133,70,65
124,70,65
120,70,65
120,70,65
125,70,65
127,70,65
123,70,65
117,70,65
119,70,65
126,70,65
131,70,65
133,70,65
143,70,65
147,70,65
145,70,65
146,70,65
144,70,65
140,70,65
139,70,65
161,70,65
163,70,65
166,70,65
164,70,65
159,70,65
152,70,65
151,70,65
156,70,65
157,70,65
166,70,65
156,70,65
144,70,65
139,70,65
126,70,65
120,70,65
133,70,65
126,70,65
138,70,65
146,70,65
145,70,65
144,70,65
152,70,65
160,70,65
164,70,65
164,70,65
159,70,65
155,70,65
155,70,65
160,70,65
169,70,65
173,70,65
176,70,65
158,70,65
155,70,65
149,70,65
147,70,65
154,70,65
154,70,65
142,70,65
129,70,65
135,70,65
143,70,65
150,70,65
153,70,65
153,70,65
147,70,65
144,70,65
146,70,65
140,70,65
141,70,65
140,70,65
140,70,65
142,70,65
144,70,65
142,70,65
140,70,65
148,70,65
150,70,65
149,70,65
147,70,65
139,70,65
135,70,65
136,70,65
141,70,65
145,70,65
145,70,65
143,70,65
142,70,65
145,70,65
153,70,65
156,70,65
157,70,65
152,70,65
