R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
13,0,0
147,0,0
168,0,0
170,0,0
164,0,0
168,0,0
172,0,0
172,0,0
170,0,0
165,0,0
165,0,0
170,0,0
174,0,0
175,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
177,0,0
176,0,0
176,0,0
175,0,0
176,0,0
175,0,0
175,0,0
175,0,0
174,0,0
173,0,0
173,0,0
173,0,0
175,0,0
174,0,0
174,0,0
174,0,0
173,0,0
173,0,0
172,0,0
172,0,0
173,0,0
173,0,0
173,0,0
174,0,0
174,0,0
175,0,0
175,0,0
174,0,0
169,0,0
169,0,0
169,0,0
170,0,0
169,0,0
167,0,0
163,0,0
162,0,0
161,0,0
156,0,0
155,0,0
153,0,0
151,0,0
147,0,0
144,0,0
145,0,0
142,0,0
142,0,0
141,0,0
140,0,0
138,0,0
139,0,0
140,0,0
142,0,0
143,0,0
144,0,0
145,0,0
145,0,0
145,0,0
144,0,0
144,0,0
145,0,0
141,0,0
141,0,0
141,0,0
141,0,0
139,0,0
137,0,0
138,0,0
141,0,0
141,0,0
142,0,0
143,0,0
143,0,0
143,0,0
143,0,0
146,0,0
147,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
142,0,0
140,0,0
140,0,0
138,0,0
138,0,0
137,0,0
136,0,0
136,0,0
136,0,0
137,0,0
137,0,0
138,0,0
139,0,0
140,0,0
140,0,0
138,0,0
138,0,0
138,0,0
138,0,0
138,0,0
141,0,0
142,0,0
142,0,0
143,0,0
143,0,0
146,0,0
152,0,0
152,0,0
152,0,0
152,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
157,0,0
158,0,0
159,0,0
159,0,0
159,0,0
159,0,0
159,0,0
160,0,0
159,0,0
158,0,0
159,0,0
159,0,0
159,0,0
157,0,0
157,0,0
156,0,0
154,0,0
155,0,0
155,0,0
153,0,0
153,0,0
152,0,0
153,0,0
153,0,0
146,0,0
143,0,0
143,0,0
143,0,0
145,0,0
126,0,0
73,0,0
25,0,0
