R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
6,0,0
29,0,0
30,0,0
30,0,0
32,0,0
32,0,0
32,0,0
29,0,0
27,0,0
28,0,0
27,0,0
27,0,0
27,0,0
27,0,0
27,0,0
27,0,0
26,0,0
27,0,0
27,0,0
27,0,0
26,0,0
27,0,0
27,0,0
27,0,0
28,0,0
29,0,0
28,0,0
27,0,0
27,0,0
27,0,0
28,0,0
27,0,0
27,0,0
22,0,0
25,0,0
27,0,0
26,0,0
24,0,0
24,0,0
24,0,0
24,0,0
25,0,0
24,0,0
24,0,0
25,0,0
27,0,0
27,0,0
27,0,0
26,0,0
24,0,0
25,0,0
26,0,0
27,0,0
27,0,0
29,0,0
29,0,0
29,0,0
25,0,0
24,0,0
24,0,0
22,0,0
24,0,0
25,0,0
24,0,0
23,0,0
24,0,0
24,0,0
23,0,0
23,0,0
24,0,0
25,0,0
24,0,0
23,0,0
23,0,0
24,0,0
24,0,0
25,0,0
24,0,0
23,0,0
21,0,0
20,0,0
20,0,0
22,0,0
24,0,0
25,0,0
23,0,0
21,0,0
20,0,0
21,0,0
24,0,0
24,0,0
23,0,0
22,0,0
22,0,0
22,0,0
22,0,0
22,0,0
20,0,0
20,0,0
20,0,0
22,0,0
23,0,0
23,0,0
23,0,0
22,0,0
24,0,0
23,0,0
22,0,0
24,0,0
26,0,0
26,0,0
24,0,0
22,0,0
21,0,0
22,0,0
24,0,0
25,0,0
26,0,0
25,0,0
24,0,0
23,0,0
21,0,0
22,0,0
23,0,0
24,0,0
26,0,0
27,0,0
27,0,0
28,0,0
25,0,0
25,0,0
24,0,0
23,0,0
21,0,0
21,0,0
21,0,0
19,0,0
25,0,0
22,0,0
21,0,0
23,0,0
24,0,0
23,0,0
23,0,0
25,0,0
20,0,0
19,0,0
20,0,0
22,0,0
22,0,0
21,0,0
20,0,0
19,0,0
21,0,0
20,0,0
21,0,0
21,0,0
22,0,0
23,0,0
25,0,0
25,0,0
15,0,0
15,0,0
15,0,0
13,0,0
12,0,0
12,0,0
12,0,0
12,0,0
