R,G,B
133,136,141
133,136,141
133,136,141
133,136,141
134,136,141
135,136,141
136,136,141
136,136,141
137,136,141
137,136,141
139,136,141
142,136,141
143,136,141
142,136,141
140,136,141
139,136,141
136,136,141
136,136,141
136,136,141
137,136,141
137,136,141
137,136,141
137,136,141
137,136,141
137,136,141
139,136,141
141,136,141
144,136,141
146,136,141
148,136,141
149,136,141
150,136,141
150,136,141
148,136,141
147,136,141
149,136,141
150,136,141
149,136,141
148,136,141
149,136,141
147,136,141
147,136,141
147,136,141
149,136,141
150,136,141
149,136,141
148,136,141
147,136,141
145,136,141
145,136,141
143,136,141
143,136,141
146,136,141
146,136,141
148,136,141
152,136,141
152,136,141
153,136,141
155,136,141
156,136,141
156,136,141
156,136,141
155,136,141
154,136,141
153,136,141
153,136,141
154,136,141
155,136,141
155,136,141
156,136,141
157,136,141
158,136,141
158,136,141
159,136,141
160,136,141
160,136,141
159,136,141
158,136,141
157,136,141
157,136,141
157,136,141
158,136,141
158,136,141
159,136,141
160,136,141
160,136,141
160,136,141
160,136,141
158,136,141
158,136,141
158,136,141
158,136,141
158,136,141
158,136,141
159,136,141
159,136,141
158,136,141
159,136,141
158,136,141
156,136,141
154,136,141
153,136,141
152,136,141
150,136,141
149,136,141
147,136,141
145,136,141
143,136,141
143,136,141
143,136,141
144,136,141
146,136,141
145,136,141
144,136,141
144,136,141
142,136,141
141,136,141
140,136,141
139,136,141
139,136,141
138,136,141
135,136,141
135,136,141
136,136,141
133,136,141
132,136,141
131,136,141
130,136,141
129,136,141
128,136,141
127,136,141
125,136,141
124,136,141
123,136,141
124,136,141
125,136,141
125,136,141
125,136,141
126,136,141
127,136,141
128,136,141
129,136,141
129,136,141
128,136,141
129,136,141
130,136,141
131,136,141
132,136,141
133,136,141
134,136,141
135,136,141
136,136,141
138,136,141
139,136,141
140,136,141
141,136,141
141,136,141
140,136,141
140,136,141
140,136,141
135,136,141
132,136,141
129,136,141
127,136,141
124,136,141
122,136,141
121,136,141
122,136,141
122,136,141
121,136,141
121,136,141
121,136,141
121,136,141
121,136,141
122,136,141
122,136,141
128,136,141
128,136,141
126,136,141
124,136,141
121,136,141
119,136,141
120,136,141
120,136,141
122,136,141
123,136,141
126,136,141
127,136,141
129,136,141
132,136,141
135,136,141
136,136,141
146,136,141
143,136,141
140,136,141
137,136,141
133,136,141
134,136,141
136,136,141
139,136,141
137,136,141
143,136,141
147,136,141
155,136,141
161,136,141
162,136,141
157,136,141
152,136,141
145,136,141
130,136,141
124,136,141
127,136,141
128,136,141
128,136,141
133,136,141
135,136,141
141,136,141
139,136,141
136,136,141
135,136,141
134,136,141
123,136,141
114,136,141
118,136,141
123,136,141
129,136,141
130,136,141
127,136,141
124,136,141
122,136,141
119,136,141
124,136,141
115,136,141
107,136,141
101,136,141
107,136,141
120,136,141
134,136,141
147,136,141
161,136,141
163,136,141
163,136,141
155,136,141
153,136,141
152,136,141
152,136,141
154,136,141
150,136,141
153,136,141
157,136,141
131,134,137
130,134,137
130,134,137
131,134,137
131,134,137
132,134,137
133,134,137
133,134,137
134,134,137
134,134,137
135,134,137
139,134,137
140,134,137
138,134,137
136,134,137
136,134,137
133,134,137
134,134,137
135,134,137
135,134,137
136,134,137
135,134,137
134,134,137
133,134,137
135,134,137
137,134,137
139,134,137
142,134,137
144,134,137
146,134,137
148,134,137
148,134,137
148,134,137
146,134,137
145,134,137
146,134,137
147,134,137
146,134,137
145,134,137
146,134,137
146,134,137
146,134,137
146,134,137
147,134,137
147,134,137
147,134,137
145,134,137
144,134,137
142,134,137
142,134,137
141,134,137
141,134,137
142,134,137
143,134,137
145,134,137
150,134,137
150,134,137
151,134,137
152,134,137
153,134,137
153,134,137
153,134,137
152,134,137
152,134,137
150,134,137
151,134,137
152,134,137
153,134,137
154,134,137
154,134,137
155,134,137
156,134,137
157,134,137
158,134,137
159,134,137
159,134,137
159,134,137
158,134,137
157,134,137
157,134,137
157,134,137
157,134,137
158,134,137
159,134,137
160,134,137
160,134,137
160,134,137
160,134,137
156,134,137
156,134,137
156,134,137
156,134,137
156,134,137
156,134,137
156,134,137
156,134,137
156,134,137
156,134,137
155,134,137
152,134,137
150,134,137
150,134,137
148,134,137
146,134,137
145,134,137
144,134,137
142,134,137
141,134,137
140,134,137
141,134,137
142,134,137
143,134,137
142,134,137
141,134,137
140,134,137
139,134,137
138,134,137
137,134,137
136,134,137
135,134,137
135,134,137
132,134,137
132,134,137
133,134,137
130,134,137
129,134,137
128,134,137
127,134,137
126,134,137
126,134,137
125,134,137
123,134,137
121,134,137
121,134,137
121,134,137
122,134,137
123,134,137
124,134,137
125,134,137
126,134,137
127,134,137
127,134,137
128,134,137
128,134,137
128,134,137
129,134,137
130,134,137
131,134,137
132,134,137
133,134,137
134,134,137
134,134,137
136,134,137
137,134,137
138,134,137
138,134,137
138,134,137
138,134,137
138,134,137
137,134,137
134,134,137
132,134,137
129,134,137
128,134,137
125,134,137
122,134,137
122,134,137
122,134,137
122,134,137
121,134,137
120,134,137
120,134,137
119,134,137
119,134,137
119,134,137
120,134,137
128,134,137
128,134,137
125,134,137
124,134,137
122,134,137
120,134,137
121,134,137
122,134,137
123,134,137
124,134,137
127,134,137
128,134,137
129,134,137
132,134,137
133,134,137
134,134,137
144,134,137
139,134,137
136,134,137
135,134,137
133,134,137
135,134,137
140,134,137
143,134,137
142,134,137
146,134,137
151,134,137
157,134,137
161,134,137
158,134,137
146,134,137
134,134,137
131,134,137
122,134,137
121,134,137
124,134,137
125,134,137
126,134,137
131,134,137
134,134,137
138,134,137
137,134,137
134,134,137
135,134,137
133,134,137
120,134,137
111,134,137
115,134,137
131,134,137
134,134,137
