R,G,B
21,19,6
21,19,6
21,19,6
22,19,6
22,19,6
21,19,6
22,19,6
23,19,6
23,19,6
23,19,6
24,19,6
24,19,6
24,19,6
24,19,6
24,19,6
24,19,6
28,19,6
28,19,6
28,19,6
28,19,6
27,19,6
27,19,6
28,19,6
26,19,6
28,19,6
28,19,6
28,19,6
27,19,6
27,19,6
27,19,6
27,19,6
27,19,6
27,19,6
27,19,6
27,19,6
27,19,6
27,19,6
28,19,6
30,19,6
31,19,6
31,19,6
34,19,6
34,19,6
34,19,6
35,19,6
35,19,6
35,19,6
35,19,6
36,19,6
36,19,6
36,19,6
36,19,6
35,19,6
35,19,6
34,19,6
32,19,6
33,19,6
33,19,6
33,19,6
33,19,6
33,19,6
34,19,6
34,19,6
35,19,6
34,19,6
34,19,6
34,19,6
35,19,6
35,19,6
36,19,6
36,19,6
36,19,6
36,19,6
38,19,6
38,19,6
38,19,6
39,19,6
38,19,6
38,19,6
38,19,6
37,19,6
37,19,6
38,19,6
38,19,6
38,19,6
38,19,6
38,19,6
37,19,6
37,19,6
37,19,6
37,19,6
37,19,6
37,19,6
37,19,6
37,19,6
37,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
34,19,6
31,19,6
29,19,6
31,19,6
32,19,6
31,19,6
30,19,6
31,19,6
27,19,6
26,19,6
25,19,6
23,19,6
22,19,6
22,19,6
22,19,6
22,19,6
22,19,6
22,19,6
22,19,6
22,19,6
23,19,6
23,19,6
24,19,6
25,19,6
24,19,6
24,19,6
24,19,6
24,19,6
24,19,6
24,19,6
24,19,6
24,19,6
23,19,6
24,19,6
25,19,6
25,19,6
25,19,6
23,19,6
21,19,6
20,19,6
19,19,6
18,19,6
18,19,6
18,19,6
19,19,6
19,19,6
20,19,6
20,19,6
20,19,6
18,19,6
16,19,6
15,19,6
