R,G,B
12,15,6
7,15,6
4,15,6
5,15,6
4,15,6
6,15,6
16,15,6
28,15,6
38,15,6
49,15,6
64,15,6
80,15,6
93,15,6
103,15,6
110,15,6
116,15,6
122,15,6
124,15,6
123,15,6
118,15,6
114,15,6
109,15,6
104,15,6
105,15,6
106,15,6
110,15,6
113,15,6
118,15,6
124,15,6
128,15,6
126,15,6
122,15,6
118,15,6
115,15,6
114,15,6
111,15,6
104,15,6
101,15,6
98,15,6
92,15,6
91,15,6
85,15,6
80,15,6
75,15,6
70,15,6
68,15,6
64,15,6
58,15,6
45,15,6
43,15,6
39,15,6
36,15,6
36,15,6
34,15,6
34,15,6
35,15,6
34,15,6
33,15,6
29,15,6
26,15,6
24,15,6
20,15,6
18,15,6
14,15,6
9,15,6
9,15,6
9,15,6
11,15,6
11,15,6
12,15,6
14,15,6
14,15,6
14,15,6
14,15,6
14,15,6
14,15,6
13,15,6
11,15,6
10,15,6
9,15,6
5,15,6
5,15,6
5,15,6
7,15,6
9,15,6
11,15,6
13,15,6
14,15,6
17,15,6
18,15,6
20,15,6
23,15,6
27,15,6
28,15,6
29,15,6
29,15,6
39,15,6
42,15,6
45,15,6
47,15,6
51,15,6
53,15,6
59,15,6
63,15,6
67,15,6
68,15,6
69,15,6
69,15,6
68,15,6
68,15,6
67,15,6
65,15,6
66,15,6
65,15,6
63,15,6
60,15,6
58,15,6
57,15,6
56,15,6
54,15,6
52,15,6
51,15,6
49,15,6
48,15,6
46,15,6
46,15,6
45,15,6
45,15,6
42,15,6
42,15,6
42,15,6
41,15,6
41,15,6
43,15,6
45,15,6
49,15,6
53,15,6
48,15,6
45,15,6
45,15,6
42,15,6
37,15,6
35,15,6
38,15,6
54,15,6
52,15,6
47,15,6
42,15,6
40,15,6
39,15,6
41,15,6
41,15,6
38,15,6
35,15,6
32,15,6
41,15,6
44,15,6
34,15,6
54,15,6
102,15,6
176,15,6
209,15,6
220,15,6
219,15,6
213,15,6
217,15,6
204,15,6
192,15,6
183,15,6
182,15,6
213,15,6
237,15,6
231,15,6
213,15,6
164,15,6
95,15,6
41,15,6
39,15,6
51,15,6
84,15,6
124,15,6
140,15,6
145,15,6
167,15,6
205,15,6
220,15,6
225,15,6
222,15,6
222,15,6
225,15,6
228,15,6
233,15,6
229,15,6
226,15,6
224,15,6
224,15,6
226,15,6
228,15,6
229,15,6
229,15,6
229,15,6
227,15,6
226,15,6
228,15,6
228,15,6
228,15,6
230,15,6
232,15,6
228,15,6
228,15,6
227,15,6
226,15,6
227,15,6
228,15,6
227,15,6
227,15,6
220,15,6
214,15,6
211,15,6
211,15,6
211,15,6
211,15,6
215,15,6
220,15,6
224,15,6
226,15,6
227,15,6
227,15,6
228,15,6
232,15,6
233,15,6
234,15,6
235,15,6
234,15,6
234,15,6
234,15,6
232,15,6
233,15,6
233,15,6
234,15,6
215,15,6
217,15,6
214,15,6
210,15,6
211,15,6
216,15,6
222,15,6
225,15,6
233,15,6
236,15,6
12,11,2
8,11,2
7,11,2
8,11,2
6,11,2
6,11,2
12,11,2
22,11,2
26,11,2
36,11,2
50,11,2
66,11,2
80,11,2
91,11,2
100,11,2
107,11,2
120,11,2
122,11,2
121,11,2
115,11,2
112,11,2
107,11,2
104,11,2
106,11,2
105,11,2
111,11,2
116,11,2
122,11,2
129,11,2
131,11,2
129,11,2
125,11,2
120,11,2
118,11,2
116,11,2
114,11,2
108,11,2
104,11,2
100,11,2
93,11,2
92,11,2
84,11,2
80,11,2
75,11,2
70,11,2
68,11,2
66,11,2
61,11,2
47,11,2
44,11,2
40,11,2
39,11,2
37,11,2
36,11,2
36,11,2
36,11,2
37,11,2
34,11,2
31,11,2
30,11,2
28,11,2
25,11,2
20,11,2
18,11,2
10,11,2
10,11,2
11,11,2
11,11,2
