R,G,B
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
8,3,4
8,3,4
8,3,4
7,3,4
7,3,4
6,3,4
6,3,4
6,3,4
6,3,4
7,3,4
8,3,4
8,3,4
9,3,4
9,3,4
9,3,4
10,3,4
9,3,4
8,3,4
10,3,4
11,3,4
11,3,4
13,3,4
15,3,4
27,3,4
43,3,4
64,3,4
93,3,4
116,3,4
125,3,4
124,3,4
104,3,4
92,3,4
82,3,4
76,3,4
71,3,4
69,3,4
70,3,4
72,3,4
76,3,4
78,3,4
77,3,4
73,3,4
67,3,4
62,3,4
59,3,4
58,3,4
53,3,4
52,3,4
50,3,4
47,3,4
45,3,4
44,3,4
42,3,4
42,3,4
37,3,4
40,3,4
43,3,4
44,3,4
46,3,4
52,3,4
62,3,4
71,3,4
83,3,4
89,3,4
95,3,4
98,3,4
99,3,4
104,3,4
108,3,4
112,3,4
114,3,4
115,3,4
118,3,4
119,3,4
122,3,4
123,3,4
125,3,4
126,3,4
124,3,4
129,3,4
153,3,4
180,3,4
204,3,4
230,3,4
220,3,4
183,3,4
149,3,4
134,3,4
124,3,4
120,3,4
111,3,4
102,3,4
96,3,4
95,3,4
107,3,4
120,3,4
126,3,4
132,3,4
139,3,4
142,3,4
138,3,4
137,3,4
138,3,4
137,3,4
147,3,4
179,3,4
222,3,4
246,3,4
215,3,4
166,3,4
136,3,4
120,3,4
119,3,4
135,3,4
137,3,4
124,3,4
109,3,4
104,3,4
110,3,4
117,3,4
120,3,4
116,3,4
113,3,4
119,3,4
122,3,4
118,3,4
125,3,4
129,3,4
134,3,4
138,3,4
142,3,4
145,3,4
144,3,4
141,3,4
147,3,4
150,3,4
151,3,4
150,3,4
150,3,4
152,3,4
148,3,4
144,3,4
144,3,4
140,3,4
134,3,4
128,3,4
122,3,4
116,3,4
113,3,4
116,3,4
114,3,4
120,3,4
125,3,4
126,3,4
128,3,4
129,3,4
128,3,4
127,3,4
125,3,4
124,3,4
121,3,4
117,3,4
114,3,4
114,3,4
119,3,4
122,3,4
121,3,4
124,3,4
127,3,4
129,3,4
131,3,4
130,3,4
123,3,4
118,3,4
112,3,4
100,3,4
90,3,4
87,3,4
81,3,4
75,3,4
70,3,4
67,3,4
63,3,4
61,3,4
60,3,4
61,3,4
63,3,4
65,3,4
64,3,4
62,3,4
66,3,4
67,3,4
67,3,4
65,3,4
63,3,4
64,3,4
65,3,4
66,3,4
62,3,4
54,3,4
44,3,4
40,3,4
38,3,4
35,3,4
35,3,4
34,3,4
43,3,4
44,3,4
46,3,4
49,3,4
49,3,4
48,3,4
47,3,4
46,3,4
47,3,4
44,3,4
43,3,4
43,3,4
45,3,4
45,3,4
44,3,4
41,3,4
44,3,4
43,3,4
40,3,4
38,3,4
36,3,4
36,3,4
38,3,4
40,3,4
40,3,4
40,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
8,3,4
8,3,4
8,3,4
7,3,4
7,3,4
6,3,4
6,3,4
6,3,4
7,3,4
7,3,4
7,3,4
8,3,4
8,3,4
8,3,4
8,3,4
10,3,4
9,3,4
8,3,4
10,3,4
11,3,4
12,3,4
14,3,4
18,3,4
31,3,4
48,3,4
69,3,4
94,3,4
115,3,4
122,3,4
121,3,4
103,3,4
91,3,4
80,3,4
74,3,4
70,3,4
71,3,4
74,3,4
77,3,4
81,3,4
81,3,4
78,3,4
73,3,4
68,3,4
63,3,4
61,3,4
60,3,4
55,3,4
54,3,4
52,3,4
50,3,4
46,3,4
45,3,4
43,3,4
42,3,4
40,3,4
40,3,4
44,3,4
48,3,4
56,3,4
65,3,4
76,3,4
83,3,4
94,3,4
99,3,4
103,3,4
104,3,4
104,3,4
107,3,4
109,3,4
112,3,4
115,3,4
115,3,4
118,3,4
120,3,4
122,3,4
123,3,4
124,3,4
126,3,4
121,3,4
118,3,4
123,3,4
137,3,4
156,3,4
191,3,4
219,3,4
220,3,4
198,3,4
164,3,4
140,3,4
131,3,4
117,3,4
101,3,4
97,3,4
104,3,4
108,3,4
113,3,4
121,3,4
131,3,4
137,3,4
135,3,4
132,3,4
132,3,4
130,3,4
137,3,4
154,3,4
183,3,4
220,3,4
242,3,4
238,3,4
223,3,4
198,3,4
171,3,4
140,3,4
123,3,4
117,3,4
120,3,4
120,3,4
115,3,4
111,3,4
109,3,4
113,3,4
120,3,4
119,3,4
115,3,4
113,3,4
115,3,4
123,3,4
127,3,4
131,3,4
136,3,4
141,3,4
144,3,4
143,3,4
140,3,4
144,3,4
