R,G,B
185,179,157
185,179,157
184,179,157
185,179,157
187,179,157
189,179,157
191,179,157
194,179,157
192,179,157
195,179,157
199,179,157
203,179,157
204,179,157
205,179,157
206,179,157
209,179,157
210,179,157
210,179,157
210,179,157
211,179,157
212,179,157
212,179,157
209,179,157
208,179,157
206,179,157
206,179,157
204,179,157
202,179,157
202,179,157
202,179,157
199,179,157
196,179,157
195,179,157
194,179,157
195,179,157
192,179,157
189,179,157
185,179,157
183,179,157
182,179,157
178,179,157
175,179,157
173,179,157
169,179,157
163,179,157
162,179,157
161,179,157
159,179,157
153,179,157
150,179,157
148,179,157
148,179,157
148,179,157
147,179,157
146,179,157
146,179,157
143,179,157
143,179,157
140,179,157
135,179,157
133,179,157
133,179,157
132,179,157
131,179,157
129,179,157
124,179,157
116,179,157
110,179,157
104,179,157
96,179,157
87,179,157
79,179,157
71,179,157
63,179,157
57,179,157
57,179,157
58,179,157
57,179,157
58,179,157
60,179,157
63,179,157
60,179,157
59,179,157
61,179,157
65,179,157
66,179,157
73,179,157
79,179,157
91,179,157
102,179,157
110,179,157
116,179,157
122,179,157
128,179,157
132,179,157
135,179,157
139,179,157
141,179,157
142,179,157
144,179,157
146,179,157
146,179,157
146,179,157
146,179,157
148,179,157
150,179,157
152,179,157
153,179,157
153,179,157
154,179,157
156,179,157
158,179,157
159,179,157
160,179,157
161,179,157
162,179,157
163,179,157
162,179,157
161,179,157
163,179,157
162,179,157
162,179,157
162,179,157
159,179,157
157,179,157
154,179,157
154,179,157
156,179,157
152,179,157
149,179,157
149,179,157
150,179,157
147,179,157
145,179,157
141,179,157
136,179,157
137,179,157
133,179,157
128,179,157
125,179,157
121,179,157
118,179,157
114,179,157
111,179,157
103,179,157
103,179,157
101,179,157
101,179,157
99,179,157
100,179,157
100,179,157
100,179,157
101,179,157
101,179,157
102,179,157
103,179,157
103,179,157
104,179,157
102,179,157
102,179,157
104,179,157
103,179,157
103,179,157
103,179,157
105,179,157
105,179,157
104,179,157
104,179,157
108,179,157
109,179,157
112,179,157
119,179,157
128,179,157
141,179,157
157,179,157
169,179,157
179,179,157
192,179,157
200,179,157
205,179,157
211,179,157
216,179,157
214,179,157
213,179,157
211,179,157
211,179,157
211,179,157
211,179,157
210,179,157
212,179,157
211,179,157
211,179,157
204,179,157
203,179,157
202,179,157
203,179,157
202,179,157
201,179,157
200,179,157
202,179,157
202,179,157
200,179,157
199,179,157
201,179,157
201,179,157
200,179,157
202,179,157
206,179,157
214,179,157
214,179,157
215,179,157
212,179,157
208,179,157
206,179,157
202,179,157
193,179,157
186,179,157
175,179,157
163,179,157
152,179,157
142,179,157
131,179,157
119,179,157
111,179,157
97,179,157
89,179,157
78,179,157
72,179,157
66,179,157
58,179,157
50,179,157
44,179,157
38,179,157
35,179,157
33,179,157
28,179,157
22,179,157
18,179,157
14,179,157
12,179,157
11,179,157
12,179,157
14,179,157
14,179,157
16,179,157
18,179,157
19,179,157
18,179,157
20,179,157
20,179,157
187,181,159
187,181,159
186,181,159
187,181,159
189,181,159
191,181,159
193,181,159
196,181,159
195,181,159
197,181,159
201,181,159
204,181,159
206,181,159
207,181,159
207,181,159
210,181,159
212,181,159
211,181,159
212,181,159
212,181,159
213,181,159
212,181,159
209,181,159
208,181,159
206,181,159
206,181,159
204,181,159
202,181,159
202,181,159
202,181,159
199,181,159
196,181,159
196,181,159
195,181,159
194,181,159
195,181,159
192,181,159
189,181,159
186,181,159
186,181,159
182,181,159
178,181,159
176,181,159
172,181,159
166,181,159
163,181,159
164,181,159
161,181,159
153,181,159
150,181,159
147,181,159
147,181,159
147,181,159
145,181,159
144,181,159
144,181,159
145,181,159
144,181,159
140,181,159
135,181,159
132,181,159
133,181,159
133,181,159
132,181,159
131,181,159
125,181,159
120,181,159
114,181,159
107,181,159
99,181,159
91,181,159
84,181,159
73,181,159
65,181,159
59,181,159
59,181,159
59,181,159
59,181,159
57,181,159
59,181,159
64,181,159
61,181,159
61,181,159
65,181,159
68,181,159
71,181,159
77,181,159
85,181,159
93,181,159
103,181,159
112,181,159
116,181,159
124,181,159
128,181,159
131,181,159
134,181,159
139,181,159
140,181,159
141,181,159
143,181,159
145,181,159
144,181,159
144,181,159
144,181,159
146,181,159
148,181,159
149,181,159
150,181,159
150,181,159
151,181,159
153,181,159
156,181,159
157,181,159
158,181,159
160,181,159
161,181,159
162,181,159
163,181,159
162,181,159
162,181,159
163,181,159
163,181,159
162,181,159
160,181,159
158,181,159
157,181,159
156,181,159
156,181,159
154,181,159
152,181,159
152,181,159
151,181,159
148,181,159
145,181,159
141,181,159
137,181,159
134,181,159
131,181,159
127,181,159
122,181,159
119,181,159
117,181,159
111,181,159
109,181,159
103,181,159
102,181,159
103,181,159
102,181,159
101,181,159
102,181,159
103,181,159
105,181,159
106,181,159
106,181,159
107,181,159
106,181,159
107,181,159
107,181,159
106,181,159
106,181,159
106,181,159
105,181,159
104,181,159
103,181,159
103,181,159
103,181,159
105,181,159
106,181,159
106,181,159
108,181,159
112,181,159
119,181,159
129,181,159
142,181,159
156,181,159
168,181,159
179,181,159
190,181,159
198,181,159
202,181,159
207,181,159
212,181,159
210,181,159
209,181,159
208,181,159
208,181,159
208,181,159
207,181,159
206,181,159
208,181,159
207,181,159
207,181,159
199,181,159
199,181,159
200,181,159
199,181,159
199,181,159
199,181,159
200,181,159
199,181,159
201,181,159
200,181,159
200,181,159
202,181,159
204,181,159
205,181,159
206,181,159
209,181,159
212,181,159
211,181,159
212,181,159
207,181,159
202,181,159
199,181,159
192,181,159
184,181,159
174,181,159
163,181,159
149,181,159
135,181,159
124,181,159
112,181,159
99,181,159
89,181,159
75,181,159
68,181,159
60,181,159
54,181,159
52,181,159
47,181,159
43,181,159
38,181,159
37,181,159
35,181,159
33,181,159
29,181,159
24,181,159
19,181,159
16,181,159
14,181,159
13,181,159
14,181,159
15,181,159
15,181,159
17,181,159
19,181,159
21,181,159
20,181,159
21,181,159
21,181,159
189,183,159
189,183,159
189,183,159
190,183,159
191,183,159
193,183,159
195,183,159
198,183,159
198,183,159
200,183,159
204,183,159
206,183,159
207,183,159
208,183,159
208,183,159
209,183,159
213,183,159
213,183,159
213,183,159
213,183,159
213,183,159
213,183,159
209,183,159
208,183,159
206,183,159
205,183,159
204,183,159
202,183,159
202,183,159
201,183,159
199,183,159
196,183,159
196,183,159
196,183,159
196,183,159
195,183,159
195,183,159
192,183,159
190,183,159
188,183,159
186,183,159
182,183,159
179,183,159
176,183,159
170,183,159
167,183,159
165,183,159
163,183,159
155,183,159
152,183,159
148,183,159
147,183,159
146,183,159
144,183,159
143,183,159
143,183,159
147,183,159
145,183,159
140,183,159
135,183,159
133,183,159
133,183,159
133,183,159
133,183,159
131,183,159
129,183,159
124,183,159
118,183,159
112,183,159
103,183,159
97,183,159
90,183,159
77,183,159
71,183,159
63,183,159
61,183,159
60,183,159
60,183,159
60,183,159
62,183,159
66,183,159
66,183,159
66,183,159
69,183,159
74,183,159
77,183,159
84,183,159
90,183,159
97,183,159
106,183,159
112,183,159
118,183,159
124,183,159
127,183,159
131,183,159
134,183,159
138,183,159
139,183,159
140,183,159
142,183,159
142,183,159
141,183,159
141,183,159
140,183,159
142,183,159
143,183,159
145,183,159
145,183,159
145,183,159
147,183,159
150,183,159
152,183,159
152,183,159
153,183,159
155,183,159
157,183,159
158,183,159
160,183,159
159,183,159
161,183,159
162,183,159
161,183,159
160,183,159
160,183,159
159,183,159
157,183,159
157,183,159
156,183,159
154,183,159
152,183,159
152,183,159
151,183,159
146,183,159
142,183,159
138,183,159
134,183,159
131,183,159
128,183,159
123,183,159
120,183,159
117,183,159
113,183,159
111,183,159
110,183,159
105,183,159
104,183,159
103,183,159
103,183,159
105,183,159
105,183,159
108,183,159
109,183,159
109,183,159
110,183,159
111,183,159
112,183,159
112,183,159
110,183,159
109,183,159
109,183,159
108,183,159
106,183,159
104,183,159
103,183,159
104,183,159
104,183,159
105,183,159
107,183,159
106,183,159
108,183,159
112,183,159
120,183,159
130,183,159
143,183,159
157,183,159
166,183,159
178,183,159
188,183,159
196,183,159
199,183,159
204,183,159
206,183,159
207,183,159
204,183,159
203,183,159
203,183,159
203,183,159
202,183,159
204,183,159
203,183,159
203,183,159
203,183,159
197,183,159
197,183,159
197,183,159
198,183,159
198,183,159
199,183,159
199,183,159
200,183,159
201,183,159
203,183,159
204,183,159
205,183,159
207,183,159
210,183,159
211,183,159
211,183,159
213,183,159
211,183,159
207,183,159
200,183,159
193,183,159
187,183,159
181,183,159
172,183,159
159,183,159
148,183,159
133,183,159
114,183,159
99,183,159
88,183,159
74,183,159
61,183,159
54,183,159
47,183,159
42,183,159
39,183,159
40,183,159
39,183,159
39,183,159
38,183,159
36,183,159
34,183,159
31,183,159
27,183,159
23,183,159
20,183,159
19,183,159
18,183,159
17,183,159
18,183,159
18,183,159
18,183,159
19,183,159
21,183,159
22,183,159
22,183,159
21,183,159
21,183,159
190,183,160
191,183,160
191,183,160
191,183,160
193,183,160
194,183,160
196,183,160
199,183,160
200,183,160
202,183,160
205,183,160
207,183,160
207,183,160
208,183,160
208,183,160
209,183,160
213,183,160
