R,G,B
144,164,165
141,164,165
135,164,165
127,164,165
119,164,165
112,164,165
103,164,165
97,164,165
92,164,165
86,164,165
82,164,165
83,164,165
79,164,165
79,164,165
83,164,165
88,164,165
92,164,165
100,164,165
110,164,165
125,164,165
135,164,165
117,164,165
119,164,165
117,164,165
119,164,165
135,164,165
148,164,165
139,164,165
142,164,165
129,164,165
129,164,165
107,164,165
102,164,165
144,164,165
184,164,165
178,164,165
129,164,165
93,164,165
92,164,165
90,164,165
111,164,165
180,164,165
184,164,165
121,164,165
129,164,165
137,164,165
109,164,165
104,164,165
115,164,165
127,164,165
111,164,165
82,164,165
86,164,165
87,164,165
73,164,165
78,164,165
78,164,165
86,164,165
95,164,165
102,164,165
104,164,165
102,164,165
103,164,165
105,164,165
108,164,165
123,164,165
136,164,165
151,164,165
173,164,165
189,164,165
197,164,165
205,164,165
222,164,165
225,164,165
227,164,165
225,164,165
226,164,165
230,164,165
231,164,165
228,164,165
234,164,165
234,164,165
235,164,165
237,164,165
238,164,165
241,164,165
241,164,165
241,164,165
242,164,165
243,164,165
244,164,165
240,164,165
239,164,165
236,164,165
234,164,165
230,164,165
235,164,165
233,164,165
233,164,165
229,164,165
226,164,165
224,164,165
221,164,165
217,164,165
214,164,165
211,164,165
210,164,165
207,164,165
202,164,165
200,164,165
198,164,165
194,164,165
192,164,165
189,164,165
185,164,165
186,164,165
186,164,165
185,164,165
184,164,165
185,164,165
184,164,165
185,164,165
186,164,165
188,164,165
190,164,165
190,164,165
190,164,165
191,164,165
188,164,165
186,164,165
180,164,165
176,164,165
174,164,165
172,164,165
171,164,165
173,164,165
175,164,165
176,164,165
173,164,165
171,164,165
173,164,165
175,164,165
173,164,165
175,164,165
176,164,165
175,164,165
173,164,165
170,164,165
169,164,165
164,164,165
158,164,165
152,164,165
149,164,165
148,164,165
149,164,165
153,164,165
153,164,165
151,164,165
150,164,165
154,164,165
146,164,165
147,164,165
145,164,165
141,164,165
138,164,165
135,164,165
130,164,165
124,164,165
120,164,165
113,164,165
116,164,165
121,164,165
115,164,165
113,164,165
115,164,165
114,164,165
100,164,165
78,164,165
67,164,165
87,164,165
123,164,165
151,164,165
165,164,165
169,164,165
169,164,165
174,164,165
187,164,165
198,164,165
200,164,165
205,164,165
210,164,165
208,164,165
209,164,165
215,164,165
225,164,165
233,164,165
232,164,165
224,164,165
214,164,165
206,164,165
202,164,165
202,164,165
204,164,165
204,164,165
197,164,165
193,164,165
192,164,165
188,164,165
185,164,165
171,164,165
149,164,165
127,164,165
115,164,165
115,164,165
127,164,165
138,164,165
147,164,165
155,164,165
168,164,165
185,164,165
207,164,165
220,164,165
227,164,165
231,164,165
223,164,165
212,164,165
204,164,165
204,164,165
205,164,165
202,164,165
200,164,165
202,164,165
200,164,165
200,164,165
200,164,165
203,164,165
208,164,165
205,164,165
195,164,165
186,164,165
183,164,165
193,164,165
183,164,165
163,164,165
158,164,165
163,164,165
163,164,165
158,164,165
152,164,165
161,164,165
141,157,158
137,157,158
130,157,158
122,157,158
115,157,158
108,157,158
101,157,158
96,157,158
92,157,158
87,157,158
83,157,158
81,157,158
79,157,158
78,157,158
82,157,158
86,157,158
90,157,158
101,157,158
112,157,158
121,157,158
131,157,158
118,157,158
123,157,158
121,157,158
135,157,158
