R,G,B
95,81,52
91,81,52
86,81,52
75,81,52
62,81,52
52,81,52
50,81,52
52,81,52
48,81,52
49,81,52
52,81,52
55,81,52
59,81,52
62,81,52
65,81,52
67,81,52
69,81,52
68,81,52
67,81,52
68,81,52
70,81,52
71,81,52
75,81,52
77,81,52
77,81,52
76,81,52
76,81,52
80,81,52
81,81,52
82,81,52
86,81,52
89,81,52
86,81,52
84,81,52
86,81,52
89,81,52
94,81,52
100,81,52
106,81,52
111,81,52
109,81,52
113,81,52
113,81,52
111,81,52
111,81,52
115,81,52
111,81,52
102,81,52
96,81,52
96,81,52
98,81,52
101,81,52
99,81,52
95,81,52
93,81,52
94,81,52
96,81,52
93,81,52
90,81,52
88,81,52
87,81,52
87,81,52
84,81,52
82,81,52
83,81,52
83,81,52
81,81,52
72,81,52
63,81,52
55,81,52
50,81,52
47,81,52
48,81,52
45,81,52
45,81,52
49,81,52
55,81,52
62,81,52
67,81,52
70,81,52
72,81,52
76,81,52
78,81,52
77,81,52
74,81,52
70,81,52
71,81,52
74,81,52
78,81,52
79,81,52
84,81,52
83,81,52
81,81,52
85,81,52
84,81,52
76,81,52
65,81,52
69,81,52
77,81,52
91,81,52
103,81,52
113,81,52
124,81,52
130,81,52
123,81,52
116,81,52
107,81,52
101,81,52
93,81,52
85,81,52
79,81,52
74,81,52
75,81,52
76,81,52
80,81,52
86,81,52
90,81,52
88,81,52
85,81,52
84,81,52
88,81,52
90,81,52
89,81,52
90,81,52
92,81,52
91,81,52
89,81,52
90,81,52
99,81,52
104,81,52
103,81,52
97,81,52
93,81,52
91,81,52
90,81,52
91,81,52
89,81,52
93,81,52
93,81,52
91,81,52
91,81,52
95,81,52
100,81,52
106,81,52
107,81,52
107,81,52
109,81,52
109,81,52
107,81,52
102,81,52
94,81,52
88,81,52
81,81,52
80,81,52
75,81,52
72,81,52
66,81,52
65,81,52
63,81,52
65,81,52
73,81,52
75,81,52
75,81,52
72,81,52
71,81,52
75,81,52
81,81,52
86,81,52
90,81,52
98,81,52
107,81,52
119,81,52
132,81,52
136,81,52
131,81,52
131,81,52
134,81,52
134,81,52
130,81,52
122,81,52
117,81,52
117,81,52
122,81,52
125,81,52
127,81,52
124,81,52
118,81,52
110,81,52
101,81,52
98,81,52
103,81,52
108,81,52
109,81,52
105,81,52
99,81,52
97,81,52
98,81,52
97,81,52
97,81,52
96,81,52
91,81,52
85,81,52
80,81,52
78,81,52
75,81,52
74,81,52
76,81,52
76,81,52
80,81,52
81,81,52
81,81,52
79,81,52
75,81,52
72,81,52
75,81,52
79,81,52
76,81,52
75,81,52
75,81,52
80,81,52
83,81,52
81,81,52
83,81,52
89,81,52
88,81,52
94,81,52
101,81,52
107,81,52
111,81,52
114,81,52
119,81,52
122,81,52
119,81,52
114,81,52
112,81,52
113,81,52
111,81,52
109,81,52
112,81,52
114,81,52
122,81,52
124,81,52
129,81,52
135,81,52
139,81,52
142,81,52
141,81,52
137,81,52
132,81,52
128,81,52
99,81,52
95,81,52
85,81,52
74,81,52
60,81,52
51,81,52
49,81,52
51,81,52
48,81,52
50,81,52
52,81,52
55,81,52
58,81,52
61,81,52
64,81,52
66,81,52
70,81,52
69,81,52
69,81,52
69,81,52
70,81,52
71,81,52
73,81,52
75,81,52
76,81,52
76,81,52
76,81,52
80,81,52
82,81,52
83,81,52
85,81,52
88,81,52
85,81,52
83,81,52
84,81,52
87,81,52
93,81,52
98,81,52
104,81,52
108,81,52
111,81,52
115,81,52
116,81,52
114,81,52
115,81,52
118,81,52
114,81,52
104,81,52
95,81,52
95,81,52
97,81,52
100,81,52
97,81,52
92,81,52
90,81,52
91,81,52
93,81,52
92,81,52
90,81,52
88,81,52
86,81,52
85,81,52
82,81,52
81,81,52
85,81,52
84,81,52
81,81,52
72,81,52
63,81,52
56,81,52
53,81,52
51,81,52
48,81,52
45,81,52
47,81,52
50,81,52
56,81,52
62,81,52
65,81,52
67,81,52
67,81,52
71,81,52
75,81,52
75,81,52
71,81,52
69,81,52
70,81,52
72,81,52
76,81,52
76,81,52
79,81,52
81,81,52
84,81,52
89,81,52
91,81,52
83,81,52
68,81,52
68,81,52
73,81,52
85,81,52
98,81,52
