R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
236,0,0
255,0,0
255,0,0
254,0,0
255,0,0
254,0,0
255,0,0
254,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
251,0,0
252,0,0
255,0,0
255,0,0
255,0,0
255,0,0
255,0,0
254,0,0
253,0,0
251,0,0
244,0,0
229,0,0
206,0,0
188,0,0
178,0,0
174,0,0
168,0,0
167,0,0
168,0,0
171,0,0
174,0,0
174,0,0
172,0,0
171,0,0
168,0,0
163,0,0
150,0,0
140,0,0
135,0,0
131,0,0
128,0,0
128,0,0
125,0,0
126,0,0
129,0,0
134,0,0
142,0,0
152,0,0
154,0,0
149,0,0
150,0,0
150,0,0
150,0,0
153,0,0
156,0,0
156,0,0
159,0,0
166,0,0
178,0,0
182,0,0
186,0,0
186,0,0
184,0,0
178,0,0
174,0,0
173,0,0
168,0,0
160,0,0
150,0,0
145,0,0
144,0,0
144,0,0
143,0,0
143,0,0
140,0,0
138,0,0
130,0,0
125,0,0
127,0,0
126,0,0
126,0,0
127,0,0
126,0,0
129,0,0
135,0,0
144,0,0
151,0,0
159,0,0
164,0,0
168,0,0
174,0,0
175,0,0
174,0,0
173,0,0
174,0,0
175,0,0
176,0,0
175,0,0
172,0,0
171,0,0
171,0,0
164,0,0
156,0,0
156,0,0
151,0,0
141,0,0
139,0,0
139,0,0
140,0,0
139,0,0
135,0,0
134,0,0
129,0,0
123,0,0
