R,G,B
0,1,4
0,1,4
0,1,4
4,1,4
19,1,4
60,1,4
73,1,4
77,1,4
83,1,4
86,1,4
88,1,4
89,1,4
91,1,4
94,1,4
97,1,4
99,1,4
105,1,4
107,1,4
109,1,4
111,1,4
113,1,4
114,1,4
119,1,4
120,1,4
122,1,4
124,1,4
125,1,4
127,1,4
128,1,4
128,1,4
127,1,4
126,1,4
125,1,4
125,1,4
126,1,4
126,1,4
124,1,4
123,1,4
122,1,4
122,1,4
119,1,4
117,1,4
115,1,4
114,1,4
112,1,4
110,1,4
108,1,4
107,1,4
102,1,4
99,1,4
95,1,4
93,1,4
90,1,4
88,1,4
84,1,4
80,1,4
75,1,4
72,1,4
68,1,4
63,1,4
63,1,4
59,1,4
57,1,4
56,1,4
56,1,4
57,1,4
59,1,4
59,1,4
60,1,4
60,1,4
61,1,4
62,1,4
60,1,4
60,1,4
60,1,4
60,1,4
60,1,4
60,1,4
60,1,4
60,1,4
62,1,4
59,1,4
59,1,4
59,1,4
58,1,4
57,1,4
55,1,4
54,1,4
53,1,4
54,1,4
54,1,4
55,1,4
56,1,4
57,1,4
59,1,4
60,1,4
59,1,4
60,1,4
61,1,4
62,1,4
63,1,4
63,1,4
63,1,4
63,1,4
64,1,4
63,1,4
64,1,4
65,1,4
65,1,4
65,1,4
68,1,4
72,1,4
73,1,4
74,1,4
77,1,4
81,1,4
83,1,4
85,1,4
86,1,4
87,1,4
87,1,4
88,1,4
88,1,4
91,1,4
90,1,4
89,1,4
87,1,4
87,1,4
87,1,4
86,1,4
85,1,4
85,1,4
85,1,4
85,1,4
84,1,4
83,1,4
82,1,4
79,1,4
76,1,4
78,1,4
81,1,4
82,1,4
81,1,4
81,1,4
83,1,4
82,1,4
82,1,4
83,1,4
84,1,4
88,1,4
93,1,4
99,1,4
104,1,4
108,1,4
112,1,4
117,1,4
119,1,4
123,1,4
126,1,4
128,1,4
133,1,4
136,1,4
140,1,4
145,1,4
146,1,4
146,1,4
147,1,4
148,1,4
152,1,4
153,1,4
153,1,4
154,1,4
156,1,4
157,1,4
157,1,4
158,1,4
157,1,4
157,1,4
156,1,4
155,1,4
155,1,4
156,1,4
156,1,4
156,1,4
155,1,4
155,1,4
153,1,4
152,1,4
150,1,4
148,1,4
143,1,4
138,1,4
145,1,4
142,1,4
133,1,4
126,1,4
128,1,4
131,1,4
122,1,4
104,1,4
114,1,4
131,1,4
178,1,4
215,1,4
239,1,4
252,1,4
246,1,4
250,1,4
254,1,4
255,1,4
255,1,4
254,1,4
253,1,4
254,1,4
254,1,4
254,1,4
255,1,4
255,1,4
255,1,4
255,1,4
255,1,4
254,1,4
252,1,4
250,1,4
250,1,4
248,1,4
245,1,4
243,1,4
243,1,4
244,1,4
244,1,4
243,1,4
243,1,4
241,1,4
238,1,4
235,1,4
233,1,4
233,1,4
233,1,4
234,1,4
232,1,4
232,1,4
229,1,4
222,1,4
217,1,4
215,1,4
215,1,4
215,1,4
216,1,4
216,1,4
0,2,3
0,2,3
0,2,3
4,2,3
19,2,3
60,2,3
74,2,3
78,2,3
84,2,3
87,2,3
89,2,3
92,2,3
92,2,3
95,2,3
99,2,3
101,2,3
106,2,3
108,2,3
110,2,3
113,2,3
114,2,3
116,2,3
120,2,3
121,2,3
123,2,3
126,2,3
127,2,3
128,2,3
129,2,3
129,2,3
128,2,3
127,2,3
126,2,3
126,2,3
126,2,3
127,2,3
124,2,3
124,2,3
123,2,3
122,2,3
120,2,3
118,2,3
115,2,3
115,2,3
113,2,3
111,2,3
109,2,3
108,2,3
103,2,3
101,2,3
96,2,3
95,2,3
92,2,3
90,2,3
86,2,3
82,2,3
77,2,3
73,2,3
69,2,3
65,2,3
64,2,3
61,2,3
59,2,3
58,2,3
57,2,3
58,2,3
59,2,3
60,2,3
61,2,3
61,2,3
62,2,3
62,2,3
62,2,3
62,2,3
62,2,3
61,2,3
62,2,3
62,2,3
61,2,3
61,2,3
63,2,3
60,2,3
60,2,3
60,2,3
59,2,3
58,2,3
56,2,3
55,2,3
54,2,3
55,2,3
55,2,3
56,2,3
58,2,3
59,2,3
60,2,3
61,2,3
60,2,3
61,2,3
62,2,3
63,2,3
63,2,3
63,2,3
63,2,3
63,2,3
63,2,3
63,2,3
63,2,3
64,2,3
65,2,3
66,2,3
69,2,3
73,2,3
76,2,3
77,2,3
80,2,3
84,2,3
87,2,3
88,2,3
89,2,3
90,2,3
91,2,3
91,2,3
91,2,3
94,2,3
93,2,3
92,2,3
91,2,3
90,2,3
90,2,3
90,2,3
88,2,3
88,2,3
88,2,3
88,2,3
87,2,3
86,2,3
85,2,3
82,2,3
81,2,3
81,2,3
83,2,3
83,2,3
83,2,3
83,2,3
84,2,3
83,2,3
83,2,3
85,2,3
86,2,3
90,2,3
95,2,3
100,2,3
104,2,3
108,2,3
113,2,3
117,2,3
119,2,3
123,2,3
126,2,3
127,2,3
133,2,3
136,2,3
142,2,3
144,2,3
146,2,3
146,2,3
148,2,3
150,2,3
152,2,3
152,2,3
153,2,3
154,2,3
155,2,3
156,2,3
157,2,3
157,2,3
157,2,3
157,2,3
156,2,3
155,2,3
156,2,3
156,2,3
156,2,3
156,2,3
156,2,3
155,2,3
155,2,3
152,2,3
150,2,3
149,2,3
144,2,3
140,2,3
147,2,3
139,2,3
131,2,3
126,2,3
127,2,3
129,2,3
120,2,3
107,2,3
125,2,3
153,2,3
202,2,3
231,2,3
245,2,3
253,2,3
248,2,3
252,2,3
254,2,3
255,2,3
255,2,3
254,2,3
253,2,3
254,2,3
254,2,3
254,2,3
254,2,3
254,2,3
254,2,3
255,2,3
254,2,3
254,2,3
252,2,3
251,2,3
250,2,3
248,2,3
245,2,3
244,2,3
244,2,3
244,2,3
243,2,3
242,2,3
242,2,3
240,2,3
237,2,3
235,2,3
233,2,3
232,2,3
233,2,3
233,2,3
231,2,3
231,2,3
227,2,3
222,2,3
216,2,3
214,2,3
214,2,3
215,2,3
216,2,3
216,2,3
0,0,0
0,0,0
0,0,0
4,0,0
20,0,0
60,0,0
74,0,0
79,0,0
85,0,0
88,0,0
90,0,0
93,0,0
94,0,0
97,0,0
101,0,0
103,0,0
107,0,0
110,0,0
112,0,0
115,0,0
116,0,0
118,0,0
122,0,0
123,0,0
126,0,0
128,0,0
130,0,0
129,0,0
130,0,0
129,0,0
129,0,0
128,0,0
127,0,0
127,0,0
127,0,0
127,0,0
125,0,0
125,0,0
123,0,0
123,0,0
120,0,0
118,0,0
116,0,0
116,0,0
114,0,0
112,0,0
110,0,0
109,0,0
105,0,0
102,0,0
98,0,0
96,0,0
94,0,0
92,0,0
88,0,0
84,0,0
79,0,0
75,0,0
71,0,0
67,0,0
67,0,0
64,0,0
61,0,0
