R,G,B
1,0,0
2,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
41,0,0
237,0,0
237,0,0
239,0,0
242,0,0
242,0,0
241,0,0
241,0,0
240,0,0
242,0,0
242,0,0
242,0,0
241,0,0
240,0,0
240,0,0
240,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
239,0,0
238,0,0
237,0,0
237,0,0
237,0,0
235,0,0
235,0,0
237,0,0
237,0,0
237,0,0
237,0,0
237,0,0
237,0,0
237,0,0
237,0,0
237,0,0
238,0,0
238,0,0
237,0,0
237,0,0
236,0,0
238,0,0
240,0,0
241,0,0
240,0,0
241,0,0
242,0,0
242,0,0
241,0,0
245,0,0
246,0,0
245,0,0
239,0,0
221,0,0
197,0,0
192,0,0
204,0,0
243,0,0
253,0,0
255,0,0
253,0,0
254,0,0
252,0,0
244,0,0
239,0,0
241,0,0
242,0,0
245,0,0
246,0,0
243,0,0
239,0,0
240,0,0
244,0,0
250,0,0
249,0,0
247,0,0
255,0,0
255,0,0
249,0,0
248,0,0
240,0,0
240,0,0
238,0,0
249,0,0
253,0,0
252,0,0
255,0,0
255,0,0
255,0,0
250,0,0
252,0,0
254,0,0
255,0,0
255,0,0
236,0,0
215,0,0
209,0,0
205,0,0
207,0,0
208,0,0
212,0,0
216,0,0
216,0,0
226,0,0
244,0,0
249,0,0
250,0,0
254,0,0
255,0,0
253,0,0
253,0,0
253,0,0
251,0,0
234,0,0
218,0,0
198,0,0
197,0,0
210,0,0
226,0,0
237,0,0
238,0,0
241,0,0
243,0,0
242,0,0
242,0,0
248,0,0
255,0,0
255,0,0
255,0,0
241,0,0
202,0,0
170,0,0
160,0,0
154,0,0
147,0,0
143,0,0
141,0,0
145,0,0
163,0,0
189,0,0
214,0,0
232,0,0
236,0,0
233,0,0
230,0,0
230,0,0
230,0,0
230,0,0
232,0,0
234,0,0
235,0,0
234,0,0
232,0,0
232,0,0
232,0,0
232,0,0
230,0,0
229,0,0
230,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
229,0,0
228,0,0
227,0,0
227,0,0
227,0,0
227,0,0
226,0,0
225,0,0
227,0,0
227,0,0
227,0,0
227,0,0
227,0,0
227,0,0
227,0,0
227,0,0
227,0,0
229,0,0
230,0,0
229,0,0
229,0,0
230,0,0
231,0,0
231,0,0
228,0,0
228,0,0
235,0,0
239,0,0
236,0,0
226,0,0
194,0,0
