R,G,B
43,49,65
24,49,65
19,49,65
30,49,65
35,49,65
30,49,65
29,49,65
36,49,65
40,49,65
50,49,65
61,49,65
70,49,65
80,49,65
88,49,65
93,49,65
98,49,65
95,49,65
95,49,65
92,49,65
87,49,65
87,49,65
89,49,65
91,49,65
94,49,65
96,49,65
96,49,65
93,49,65
89,49,65
86,49,65
85,49,65
85,49,65
84,49,65
75,49,65
80,49,65
86,49,65
87,49,65
90,49,65
97,49,65
118,49,65
156,49,65
192,49,65
217,49,65
226,49,65
227,49,65
229,49,65
226,49,65
229,49,65
230,49,65
235,49,65
237,49,65
242,49,65
246,49,65
246,49,65
247,49,65
247,49,65
249,49,65
243,49,65
234,49,65
227,49,65
223,49,65
225,49,65
231,49,65
239,49,65
238,49,65
215,49,65
184,49,65
134,49,65
110,49,65
113,49,65
122,49,65
130,49,65
135,49,65
129,49,65
125,49,65
126,49,65
132,49,65
137,49,65
133,49,65
84,49,65
15,49,65
63,49,65
175,49,65
201,49,65
189,49,65
220,49,65
252,49,65
81,49,65
19,49,65
5,49,65
1,49,65
14,49,65
13,49,65
11,49,65
12,49,65
1,49,65
2,49,65
7,49,65
6,49,65
3,49,65
3,49,65
3,49,65
6,49,65
15,49,65
25,49,65
33,49,65
41,49,65
46,49,65
50,49,65
56,49,65
61,49,65
66,49,65
72,49,65
81,49,65
89,49,65
96,49,65
102,49,65
107,49,65
109,49,65
112,49,65
117,49,65
124,49,65
125,49,65
127,49,65
128,49,65
131,49,65
136,49,65
142,49,65
147,49,65
147,49,65
150,49,65
152,49,65
152,49,65
154,49,65
160,49,65
164,49,65
167,49,65
170,49,65
171,49,65
170,49,65
169,49,65
166,49,65
163,49,65
158,49,65
154,49,65
151,49,65
146,49,65
141,49,65
136,49,65
132,49,65
124,49,65
120,49,65
118,49,65
118,49,65
114,49,65
111,49,65
113,49,65
114,49,65
109,49,65
106,49,65
110,49,65
109,49,65
110,49,65
108,49,65
106,49,65
104,49,65
105,49,65
109,49,65
113,49,65
120,49,65
129,49,65
139,49,65
148,49,65
156,49,65
164,49,65
174,49,65
181,49,65
187,49,65
192,49,65
195,49,65
196,49,65
196,49,65
198,49,65
197,49,65
198,49,65
197,49,65
198,49,65
196,49,65
197,49,65
195,49,65
194,49,65
193,49,65
193,49,65
185,49,65
187,49,65
188,49,65
191,49,65
191,49,65
188,49,65
180,49,65
170,49,65
167,49,65
152,49,65
122,49,65
91,49,65
78,49,65
75,49,65
71,49,65
70,49,65
73,49,65
75,49,65
77,49,65
78,49,65
80,49,65
86,49,65
90,49,65
92,49,65
90,49,65
92,49,65
92,49,65
88,49,65
85,49,65
85,49,65
86,49,65
86,49,65
86,49,65
72,49,65
66,49,65
65,49,65
62,49,65
66,49,65
71,49,65
70,49,65
68,49,65
65,49,65
63,49,65
66,49,65
71,49,65
72,49,65
68,49,65
62,49,65
54,49,65
54,49,65
63,49,65
68,49,65
61,49,65
59,49,65
68,49,65
76,49,65
86,49,65
94,49,65
62,47,63
40,47,63
27,47,63
31,47,63
32,47,63
30,47,63
33,47,63
36,47,63
41,47,63
47,47,63
55,47,63
63,47,63
73,47,63
80,47,63
87,47,63
93,47,63
93,47,63
95,47,63
93,47,63
90,47,63
90,47,63
91,47,63
92,47,63
93,47,63
98,47,63
98,47,63
96,47,63
92,47,63
88,47,63
87,47,63
86,47,63
85,47,63
77,47,63
79,47,63
82,47,63
83,47,63
87,47,63
95,47,63
116,47,63
153,47,63
188,47,63
214,47,63
224,47,63
227,47,63
229,47,63
229,47,63
231,47,63
231,47,63
234,47,63
236,47,63
242,47,63
247,47,63
247,47,63
247,47,63
247,47,63
248,47,63
241,47,63
234,47,63
227,47,63
221,47,63
220,47,63
226,47,63
236,47,63
239,47,63
220,47,63
190,47,63
136,47,63
109,47,63
110,47,63
119,47,63
130,47,63
136,47,63
123,47,63
120,47,63
125,47,63
133,47,63
137,47,63
132,47,63
84,47,63
19,47,63
59,47,63
172,47,63
200,47,63
184,47,63
213,47,63
254,47,63
98,47,63
21,47,63
4,47,63
5,47,63
11,47,63
11,47,63
13,47,63
12,47,63
5,47,63
3,47,63
7,47,63
7,47,63
4,47,63
3,47,63
1,47,63
5,47,63
15,47,63
25,47,63
34,47,63
41,47,63
46,47,63
49,47,63
55,47,63
59,47,63
65,47,63
71,47,63
81,47,63
88,47,63
95,47,63
101,47,63
106,47,63
109,47,63
112,47,63
117,47,63
124,47,63
126,47,63
129,47,63
132,47,63
135,47,63
139,47,63
145,47,63
149,47,63
149,47,63
151,47,63
154,47,63
154,47,63
156,47,63
161,47,63
165,47,63
168,47,63
170,47,63
171,47,63
170,47,63
169,47,63
165,47,63
161,47,63
157,47,63
153,47,63
147,47,63
141,47,63
135,47,63
130,47,63
126,47,63
122,47,63
119,47,63
118,47,63
116,47,63
117,47,63
116,47,63
118,47,63
119,47,63
115,47,63
113,47,63
117,47,63
117,47,63
120,47,63
119,47,63
119,47,63
122,47,63
124,47,63
129,47,63
135,47,63
145,47,63
153,47,63
161,47,63
165,47,63
169,47,63
175,47,63
181,47,63
186,47,63
189,47,63
192,47,63
194,47,63
195,47,63
197,47,63
197,47,63
199,47,63
198,47,63
198,47,63
198,47,63
198,47,63
197,47,63
195,47,63
194,47,63
193,47,63
192,47,63
183,47,63
186,47,63
187,47,63
191,47,63
192,47,63
189,47,63
181,47,63
170,47,63
166,47,63
153,47,63
125,47,63
94,47,63
80,47,63
76,47,63
71,47,63
68,47,63
73,47,63
75,47,63
76,47,63
77,47,63
79,47,63
85,47,63
88,47,63
91,47,63
91,47,63
92,47,63
91,47,63
88,47,63
86,47,63
86,47,63
87,47,63
86,47,63
81,47,63
71,47,63
67,47,63
67,47,63
64,47,63
65,47,63
71,47,63
72,47,63
69,47,63
66,47,63
65,47,63
68,47,63
72,47,63
72,47,63
67,47,63
62,47,63
54,47,63
56,47,63
65,47,63
70,47,63
64,47,63
62,47,63
66,47,63
69,47,63
79,47,63
89,47,63
80,44,60
58,44,60
37,44,60
30,44,60
29,44,60
31,44,60
34,44,60
34,44,60
40,44,60
43,44,60
47,44,60
56,44,60
65,44,60
72,44,60
80,44,60
89,44,60
93,44,60
95,44,60
94,44,60
92,44,60
92,44,60
93,44,60
93,44,60
94,44,60
97,44,60
99,44,60
98,44,60
94,44,60
90,44,60
89,44,60
88,44,60
88,44,60
78,44,60
79,44,60
81,44,60
82,44,60
88,44,60
95,44,60
111,44,60
144,44,60
182,44,60
210,44,60
223,44,60
226,44,60
230,44,60
230,44,60
233,44,60
234,44,60
234,44,60
239,44,60
244,44,60
249,44,60
248,44,60
248,44,60
246,44,60
246,44,60
241,44,60
235,44,60
228,44,60
219,44,60
217,44,60
223,44,60
233,44,60
241,44,60
225,44,60
194,44,60
141,44,60
111,44,60
110,44,60
118,44,60
127,44,60
132,44,60
118,44,60
116,44,60
123,44,60
133,44,60
138,44,60
128,44,60
82,44,60
21,44,60
53,44,60
156,44,60
193,44,60
183,44,60
208,44,60
254,44,60
125,44,60
30,44,60
3,44,60
10,44,60
9,44,60
10,44,60
15,44,60
11,44,60
7,44,60
3,44,60
8,44,60
7,44,60
4,44,60
2,44,60
1,44,60
5,44,60
15,44,60
24,44,60
34,44,60
41,44,60
46,44,60
49,44,60
54,44,60
58,44,60
64,44,60
71,44,60
81,44,60
88,44,60
94,44,60
100,44,60
106,44,60
109,44,60
112,44,60
116,44,60
123,44,60
127,44,60
131,44,60
136,44,60
138,44,60
142,44,60
147,44,60
151,44,60
150,44,60
153,44,60
155,44,60
155,44,60
157,44,60
162,44,60
165,44,60
168,44,60
167,44,60
169,44,60
167,44,60
164,44,60
162,44,60
158,44,60
152,44,60
148,44,60
143,44,60
137,44,60
130,44,60
125,44,60
121,44,60
118,44,60
117,44,60
116,44,60
112,44,60
116,44,60
118,44,60
119,44,60
121,44,60
120,44,60
120,44,60
122,44,60
126,44,60
129,44,60
130,44,60
130,44,60
135,44,60
