R,G,B
92,114,236
94,114,236
97,114,236
107,114,236
120,114,236
121,114,236
118,114,236
123,114,236
130,114,236
97,114,236
45,114,236
28,114,236
32,114,236
35,114,236
42,114,236
38,114,236
35,114,236
33,114,236
29,114,236
26,114,236
24,114,236
22,114,236
22,114,236
23,114,236
25,114,236
20,114,236
34,114,236
30,114,236
35,114,236
36,114,236
40,114,236
45,114,236
26,114,236
106,114,236
196,114,236
247,114,236
254,114,236
254,114,236
255,114,236
247,114,236
253,114,236
251,114,236
251,114,236
252,114,236
254,114,236
253,114,236
253,114,236
254,114,236
255,114,236
255,114,236
255,114,236
254,114,236
253,114,236
254,114,236
255,114,236
253,114,236
250,114,236
254,114,236
254,114,236
251,114,236
249,114,236
242,114,236
238,114,236
237,114,236
238,114,236
243,114,236
248,114,236
249,114,236
250,114,236
250,114,236
248,114,236
244,114,236
242,114,236
237,114,236
233,114,236
231,114,236
233,114,236
238,114,236
243,114,236
247,114,236
242,114,236
244,114,236
245,114,236
245,114,236
242,114,236
241,114,236
240,114,236
237,114,236
233,114,236
231,114,236
229,114,236
225,114,236
217,114,236
210,114,236
205,114,236
197,114,236
199,114,236
193,114,236
189,114,236
188,114,236
186,114,236
179,114,236
169,114,236
161,114,236
142,114,236
133,114,236
128,114,236
111,114,236
79,114,236
44,114,236
14,114,236
6,114,236
8,114,236
29,114,236
63,114,236
106,114,236
140,114,236
163,114,236
176,114,236
170,114,236
159,114,236
149,114,236
137,114,236
124,114,236
105,114,236
91,114,236
80,114,236
71,114,236
58,114,236
56,114,236
49,114,236
38,114,236
29,114,236
18,114,236
9,114,236
3,114,236
2,114,236
3,114,236
1,114,236
0,114,236
0,114,236
1,114,236
7,114,236
5,114,236
7,114,236
20,114,236
25,114,236
26,114,236
32,114,236
34,114,236
22,114,236
9,114,236
3,114,236
6,114,236
7,114,236
6,114,236
6,114,236
7,114,236
7,114,236
7,114,236
7,114,236
7,114,236
4,114,236
4,114,236
11,114,236
10,114,236
9,114,236
14,114,236
7,114,236
14,114,236
16,114,236
16,114,236
16,114,236
16,114,236
16,114,236
17,114,236
17,114,236
14,114,236
11,114,236
7,114,236
11,114,236
34,114,236
75,114,236
108,114,236
127,114,236
118,114,236
105,114,236
98,114,236
101,114,236
100,114,236
83,114,236
65,114,236
74,114,236
66,114,236
60,114,236
64,114,236
44,114,236
11,114,236
14,114,236
21,114,236
70,114,236
139,114,236
172,114,236
164,114,236
176,114,236
175,114,236
178,114,236
178,114,236
179,114,236
178,114,236
181,114,236
190,114,236
195,114,236
195,114,236
190,114,236
185,114,236
168,114,236
158,114,236
148,114,236
145,114,236
147,114,236
150,114,236
155,114,236
158,114,236
160,114,236
160,114,236
166,114,236
168,114,236
162,114,236
153,114,236
149,114,236
145,114,236
131,114,236
120,114,236
113,114,236
109,114,236
110,114,236
118,114,236
125,114,236
137,114,236
164,114,236
174,114,236
188,114,236
175,114,236
148,114,236
93,114,236
22,114,236
7,114,236
1,114,236
0,114,236
108,133,250
112,133,250
114,133,250
124,133,250
136,133,250
130,133,250
121,133,250
123,133,250
130,133,250
89,133,250
39,133,250
26,133,250
28,133,250
30,133,250
37,133,250
33,133,250
30,133,250
29,133,250
31,133,250
30,133,250
28,133,250
24,133,250
21,133,250
20,133,250
24,133,250
30,133,250
31,133,250
31,133,250
28,133,250
42,133,250
26,133,250
55,133,250
161,133,250
221,133,250
254,133,250
255,133,250
255,133,250
249,133,250
249,133,250
255,133,250
254,133,250
252,133,250
252,133,250
253,133,250
254,133,250
253,133,250
253,133,250
254,133,250
255,133,250
254,133,250
255,133,250
254,133,250
251,133,250
252,133,250
254,133,250
252,133,250
255,133,250
252,133,250
251,133,250
250,133,250
251,133,250
245,133,250
238,133,250
236,133,250
238,133,250
243,133,250
246,133,250
249,133,250
250,133,250
249,133,250
247,133,250
242,133,250
240,133,250
234,133,250
230,133,250
229,133,250
231,133,250
236,133,250
241,133,250
244,133,250
241,133,250
242,133,250
242,133,250
240,133,250
238,133,250
236,133,250
234,133,250
230,133,250
231,133,250
228,133,250
224,133,250
220,133,250
212,133,250
208,133,250
202,133,250
195,133,250
187,133,250
188,133,250
187,133,250
177,133,250
168,133,250
162,133,250
153,133,250
144,133,250
140,133,250
113,133,250
83,133,250
55,133,250
33,133,250
15,133,250
4,133,250
6,133,250
15,133,250
43,133,250
82,133,250
124,133,250
153,133,250
172,133,250
178,133,250
168,133,250
160,133,250
149,133,250
136,133,250
120,133,250
105,133,250
90,133,250
79,133,250
70,133,250
57,133,250
53,133,250
46,133,250
35,133,250
24,133,250
16,133,250
8,133,250
3,133,250
3,133,250
0,133,250
0,133,250
1,133,250
0,133,250
0,133,250
0,133,250
2,133,250
6,133,250
16,133,250
23,133,250
27,133,250
36,133,250
37,133,250
26,133,250
14,133,250
6,133,250
5,133,250
4,133,250
5,133,250
6,133,250
7,133,250
6,133,250
5,133,250
6,133,250
6,133,250
4,133,250
6,133,250
10,133,250
9,133,250
9,133,250
13,133,250
8,133,250
7,133,250
9,133,250
11,133,250
13,133,250
14,133,250
14,133,250
12,133,250
16,133,250
6,133,250
4,133,250
15,133,250
48,133,250
99,133,250
133,133,250
133,133,250
104,133,250
102,133,250
99,133,250
101,133,250
106,133,250
111,133,250
106,133,250
100,133,250
83,133,250
82,133,250
85,133,250
91,133,250
66,133,250
22,133,250
14,133,250
21,133,250
49,133,250
92,133,250
146,133,250
167,133,250
173,133,250
172,133,250
187,133,250
187,133,250
179,133,250
183,133,250
190,133,250
198,133,250
204,133,250
208,133,250
206,133,250
200,133,250
193,133,250
182,133,250
172,133,250
162,133,250
155,133,250
149,133,250
148,133,250
147,133,250
156,133,250
156,133,250
160,133,250
163,133,250
159,133,250
