R,G,B
148,151,144
116,151,144
85,151,144
66,151,144
57,151,144
57,151,144
60,151,144
57,151,144
59,151,144
58,151,144
57,151,144
56,151,144
55,151,144
54,151,144
54,151,144
54,151,144
56,151,144
56,151,144
56,151,144
57,151,144
57,151,144
57,151,144
57,151,144
57,151,144
57,151,144
57,151,144
56,151,144
56,151,144
56,151,144
56,151,144
56,151,144
57,151,144
56,151,144
57,151,144
58,151,144
58,151,144
58,151,144
58,151,144
59,151,144
60,151,144
61,151,144
61,151,144
61,151,144
61,151,144
61,151,144
61,151,144
61,151,144
61,151,144
66,151,144
67,151,144
67,151,144
67,151,144
68,151,144
72,151,144
74,151,144
74,151,144
73,151,144
74,151,144
76,151,144
76,151,144
75,151,144
73,151,144
73,151,144
73,151,144
72,151,144
71,151,144
71,151,144
73,151,144
74,151,144
75,151,144
77,151,144
79,151,144
80,151,144
79,151,144
79,151,144
81,151,144
82,151,144
81,151,144
82,151,144
84,151,144
84,151,144
84,151,144
84,151,144
83,151,144
83,151,144
82,151,144
83,151,144
83,151,144
84,151,144
84,151,144
84,151,144
86,151,144
87,151,144
88,151,144
87,151,144
87,151,144
88,151,144
89,151,144
91,151,144
94,151,144
97,151,144
101,151,144
105,151,144
109,151,144
114,151,144
116,151,144
120,151,144
123,151,144
124,151,144
126,151,144
129,151,144
133,151,144
138,151,144
146,151,144
153,151,144
158,151,144
162,151,144
164,151,144
168,151,144
169,151,144
169,151,144
176,151,144
186,151,144
190,151,144
192,151,144
196,151,144
200,151,144
202,151,144
204,151,144
204,151,144
205,151,144
207,151,144
207,151,144
203,151,144
200,151,144
200,151,144
204,151,144
204,151,144
205,151,144
205,151,144
207,151,144
210,151,144
213,151,144
215,151,144
218,151,144
219,151,144
222,151,144
224,151,144
227,151,144
230,151,144
233,151,144
235,151,144
233,151,144
233,151,144
230,151,144
226,151,144
223,151,144
221,151,144
215,151,144
207,151,144
197,151,144
184,151,144
166,151,144
144,151,144
120,151,144
100,151,144
88,151,144
78,151,144
76,151,144
84,151,144
96,151,144
107,151,144
114,151,144
119,151,144
125,151,144
130,151,144
136,151,144
138,151,144
142,151,144
143,151,144
145,151,144
147,151,144
150,151,144
149,151,144
149,151,144
151,151,144
153,151,144
153,151,144
149,151,144
145,151,144
143,151,144
143,151,144
135,151,144
134,151,144
132,151,144
134,151,144
139,151,144
143,151,144
146,151,144
151,151,144
156,151,144
160,151,144
163,151,144
164,151,144
163,151,144
163,151,144
163,151,144
163,151,144
164,151,144
165,151,144
166,151,144
166,151,144
167,151,144
167,151,144
168,151,144
170,151,144
168,151,144
168,151,144
168,151,144
168,151,144
167,151,144
166,151,144
164,151,144
164,151,144
162,151,144
161,151,144
162,151,144
161,151,144
163,151,144
164,151,144
166,151,144
167,151,144
166,151,144
165,151,144
165,151,144
163,151,144
163,151,144
161,151,144
160,151,144
159,151,144
162,151,144
158,151,144
156,151,144
156,151,144
156,151,144
154,151,144
152,151,144
151,151,144
148,151,144
147,151,144
169,144,137
141,144,137
109,144,137
83,144,137
65,144,137
59,144,137
61,144,137
61,144,137
59,144,137
59,144,137
57,144,137
56,144,137
56,144,137
55,144,137
54,144,137
55,144,137
56,144,137
56,144,137
56,144,137
56,144,137
56,144,137
56,144,137
56,144,137
57,144,137
55,144,137
55,144,137
54,144,137
54,144,137
54,144,137
54,144,137
54,144,137
55,144,137
54,144,137
55,144,137
56,144,137
56,144,137
56,144,137
56,144,137
57,144,137
58,144,137
60,144,137
60,144,137
61,144,137
61,144,137
61,144,137
61,144,137
61,144,137
61,144,137
64,144,137
66,144,137
66,144,137
66,144,137
68,144,137
71,144,137
73,144,137
73,144,137
73,144,137
74,144,137
75,144,137
75,144,137
74,144,137
73,144,137
72,144,137
72,144,137
72,144,137
71,144,137
71,144,137
72,144,137
73,144,137
73,144,137
75,144,137
77,144,137
79,144,137
79,144,137
80,144,137
82,144,137
83,144,137
82,144,137
82,144,137
82,144,137
84,144,137
84,144,137
84,144,137
83,144,137
83,144,137
82,144,137
82,144,137
82,144,137
84,144,137
84,144,137
84,144,137
87,144,137
88,144,137
89,144,137
89,144,137
88,144,137
87,144,137
87,144,137
87,144,137
89,144,137
90,144,137
89,144,137
90,144,137
93,144,137
95,144,137
98,144,137
101,144,137
104,144,137
106,144,137
110,144,137
113,144,137
116,144,137
125,144,137
132,144,137
141,144,137
145,144,137
150,144,137
153,144,137
158,144,137
159,144,137
160,144,137
166,144,137
176,144,137
181,144,137
183,144,137
188,144,137
193,144,137
195,144,137
195,144,137
196,144,137
198,144,137
200,144,137
200,144,137
197,144,137
197,144,137
198,144,137
201,144,137
202,144,137
203,144,137
204,144,137
205,144,137
208,144,137
211,144,137
213,144,137
217,144,137
218,144,137
220,144,137
221,144,137
224,144,137
226,144,137
228,144,137
229,144,137
230,144,137
230,144,137
228,144,137
222,144,137
218,144,137
216,144,137
209,144,137
202,144,137
195,144,137
184,144,137
169,144,137
150,144,137
129,144,137
115,144,137
103,144,137
94,144,137
88,144,137
94,144,137
103,144,137
113,144,137
120,144,137
124,144,137
129,144,137
133,144,137
139,144,137
142,144,137
145,144,137
146,144,137
148,144,137
149,144,137
149,144,137
149,144,137
146,144,137
147,144,137
147,144,137
146,144,137
141,144,137
136,144,137
134,144,137
134,144,137
128,144,137
129,144,137
128,144,137
130,144,137
135,144,137
139,144,137
144,144,137
150,144,137
155,144,137
160,144,137
163,144,137
164,144,137
163,144,137
163,144,137
164,144,137
163,144,137
164,144,137
165,144,137
167,144,137
167,144,137
168,144,137
168,144,137
169,144,137
170,144,137
169,144,137
169,144,137
169,144,137
169,144,137
168,144,137
167,144,137
166,144,137
165,144,137
162,144,137
163,144,137
162,144,137
162,144,137
164,144,137
165,144,137
167,144,137
168,144,137
168,144,137
167,144,137
166,144,137
165,144,137
164,144,137
162,144,137
161,144,137
160,144,137
162,144,137
159,144,137
156,144,137
156,144,137
156,144,137
155,144,137
152,144,137
151,144,137
151,144,137
150,144,137
189,142,135
166,142,135
137,142,135
108,142,135
78,142,135
64,142,135
61,142,135
60,142,135
59,142,135
59,142,135
58,142,135
57,142,135
57,142,135
57,142,135
56,142,135
55,142,135
56,142,135
56,142,135
56,142,135
56,142,135
55,142,135
55,142,135
55,142,135
55,142,135
55,142,135
54,142,135
54,142,135
54,142,135
54,142,135
54,142,135
54,142,135
54,142,135
54,142,135
54,142,135
55,142,135
55,142,135
55,142,135
56,142,135
57,142,135
58,142,135
