R,G,B
45,46,28
43,46,28
39,46,28
37,46,28
36,46,28
37,46,28
38,46,28
38,46,28
38,46,28
38,46,28
38,46,28
37,46,28
36,46,28
36,46,28
35,46,28
35,46,28
34,46,28
34,46,28
34,46,28
34,46,28
34,46,28
34,46,28
35,46,28
35,46,28
33,46,28
36,46,28
37,46,28
38,46,28
40,46,28
39,46,28
39,46,28
38,46,28
39,46,28
39,46,28
39,46,28
39,46,28
40,46,28
40,46,28
40,46,28
40,46,28
41,46,28
40,46,28
38,46,28
37,46,28
38,46,28
39,46,28
40,46,28
41,46,28
38,46,28
35,46,28
37,46,28
42,46,28
46,46,28
45,46,28
45,46,28
46,46,28
32,46,28
21,46,28
16,46,28
26,46,28
39,46,28
46,46,28
44,46,28
43,46,28
39,46,28
38,46,28
36,46,28
35,46,28
35,46,28
34,46,28
34,46,28
33,46,28
36,46,28
37,46,28
39,46,28
41,46,28
43,46,28
44,46,28
46,46,28
46,46,28
52,46,28
49,46,28
46,46,28
46,46,28
45,46,28
35,46,28
20,46,28
8,46,28
4,46,28
3,46,28
2,46,28
2,46,28
2,46,28
1,46,28
1,46,28
3,46,28
3,46,28
2,46,28
2,46,28
1,46,28
1,46,28
0,46,28
1,46,28
1,46,28
0,46,28
0,46,28
0,46,28
0,46,28
0,46,28
0,46,28
0,46,28
3,46,28
3,46,28
3,46,28
2,46,28
1,46,28
1,46,28
2,46,28
4,46,28
5,46,28
6,46,28
7,46,28
10,46,28
18,46,28
29,46,28
36,46,28
32,46,28
24,46,28
24,46,28
26,46,28
24,46,28
20,46,28
22,46,28
39,46,28
51,46,28
51,46,28
49,46,28
63,46,28
90,46,28
67,46,28
60,46,28
43,46,28
66,46,28
87,46,28
91,46,28
58,46,28
34,46,28
32,46,28
37,46,28
48,46,28
61,46,28
72,46,28
88,46,28
116,46,28
138,46,28
158,46,28
152,46,28
153,46,28
152,46,28
146,46,28
138,46,28
122,46,28
105,46,28
96,46,28
76,46,28
71,46,28
72,46,28
98,46,28
119,46,28
137,46,28
128,46,28
99,46,28
71,46,28
44,46,28
30,46,28
21,46,28
25,46,28
36,46,28
49,46,28
55,46,28
60,46,28
74,46,28
101,46,28
124,46,28
130,46,28
117,46,28
103,46,28
99,46,28
93,46,28
65,46,28
40,46,28
35,46,28
25,46,28
18,46,28
18,46,28
24,46,28
23,46,28
20,46,28
21,46,28
22,46,28
19,46,28
21,46,28
21,46,28
15,46,28
12,46,28
11,46,28
11,46,28
7,46,28
10,46,28
9,46,28
8,46,28
9,46,28
12,46,28
16,46,28
17,46,28
17,46,28
18,46,28
17,46,28
12,46,28
11,46,28
11,46,28
14,46,28
17,46,28
19,46,28
17,46,28
16,46,28
16,46,28
18,46,28
20,46,28
20,46,28
22,46,28
21,46,28
19,46,28
16,46,28
16,46,28
15,46,28
15,46,28
15,46,28
18,46,28
19,46,28
22,46,28
22,46,28
21,46,28
21,46,28
23,46,28
24,46,28
23,46,28
20,46,28
20,46,28
20,46,28
37,37,21
36,37,21
34,37,21
33,37,21
33,37,21
33,37,21
33,37,21
33,37,21
33,37,21
33,37,21
33,37,21
33,37,21
33,37,21
33,37,21
33,37,21
33,37,21
31,37,21
31,37,21
31,37,21
31,37,21
31,37,21
32,37,21
32,37,21
32,37,21
33,37,21
35,37,21
35,37,21
35,37,21
35,37,21
35,37,21
36,37,21
36,37,21
35,37,21
36,37,21
36,37,21
36,37,21
36,37,21
36,37,21
36,37,21
36,37,21
36,37,21
35,37,21
35,37,21
34,37,21
34,37,21
35,37,21
36,37,21
37,37,21
37,37,21
33,37,21
33,37,21
34,37,21
35,37,21
35,37,21
38,37,21
44,37,21
33,37,21
23,37,21
18,37,21
24,37,21
34,37,21
35,37,21
33,37,21
32,37,21
33,37,21
33,37,21
33,37,21
32,37,21
30,37,21
29,37,21
29,37,21
31,37,21
32,37,21
32,37,21
34,37,21
34,37,21
35,37,21
37,37,21
37,37,21
36,37,21
41,37,21
38,37,21
37,37,21
38,37,21
39,37,21
33,37,21
20,37,21
11,37,21
5,37,21
4,37,21
3,37,21
2,37,21
2,37,21
1,37,21
2,37,21
3,37,21
1,37,21
1,37,21
1,37,21
0,37,21
0,37,21
0,37,21
0,37,21
0,37,21
0,37,21
0,37,21
0,37,21
0,37,21
0,37,21
0,37,21
2,37,21
2,37,21
2,37,21
2,37,21
2,37,21
1,37,21
1,37,21
2,37,21
3,37,21
5,37,21
4,37,21
6,37,21
12,37,21
20,37,21
32,37,21
38,37,21
34,37,21
26,37,21
27,37,21
25,37,21
22,37,21
19,37,21
28,37,21
45,37,21
58,37,21
60,37,21
58,37,21
79,37,21
99,37,21
60,37,21
54,37,21
53,37,21
74,37,21
78,37,21
71,37,21
45,37,21
29,37,21
30,37,21
37,37,21
49,37,21
64,37,21
75,37,21
81,37,21
108,37,21
128,37,21
150,37,21
150,37,21
155,37,21
156,37,21
153,37,21
144,37,21
128,37,21
110,37,21
96,37,21
74,37,21
68,37,21
76,37,21
105,37,21
126,37,21
146,37,21
142,37,21
118,37,21
93,37,21
66,37,21
45,37,21
28,37,21
27,37,21
30,37,21
36,37,21
41,37,21
49,37,21
58,37,21
71,37,21
82,37,21
85,37,21
90,37,21
93,37,21
96,37,21
94,37,21
77,37,21
56,37,21
44,37,21
32,37,21
22,37,21
18,37,21
22,37,21
21,37,21
20,37,21
19,37,21
18,37,21
22,37,21
21,37,21
17,37,21
14,37,21
11,37,21
11,37,21
10,37,21
10,37,21
11,37,21
9,37,21
7,37,21
9,37,21
14,37,21
18,37,21
19,37,21
18,37,21
18,37,21
18,37,21
16,37,21
17,37,21
16,37,21
16,37,21
15,37,21
15,37,21
13,37,21
14,37,21
13,37,21
14,37,21
15,37,21
16,37,21
17,37,21
19,37,21
17,37,21
14,37,21
13,37,21
13,37,21
13,37,21
13,37,21
16,37,21
19,37,21
24,37,21
23,37,21
22,37,21
21,37,21
22,37,21
24,37,21
24,37,21
24,37,21
22,37,21
22,37,21
30,30,16
29,30,16
29,30,16
30,30,16
30,30,16
30,30,16
