R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
29,0,0
41,0,0
39,0,0
36,0,0
35,0,0
33,0,0
35,0,0
32,0,0
34,0,0
36,0,0
38,0,0
42,0,0
43,0,0
42,0,0
38,0,0
36,0,0
33,0,0
31,0,0
29,0,0
28,0,0
30,0,0
34,0,0
37,0,0
39,0,0
45,0,0
43,0,0
44,0,0
47,0,0
47,0,0
46,0,0
45,0,0
47,0,0
43,0,0
46,0,0
48,0,0
49,0,0
47,0,0
44,0,0
41,0,0
39,0,0
38,0,0
37,0,0
37,0,0
38,0,0
37,0,0
35,0,0
33,0,0
34,0,0
39,0,0
41,0,0
44,0,0
46,0,0
51,0,0
55,0,0
56,0,0
55,0,0
57,0,0
58,0,0
57,0,0
54,0,0
52,0,0
54,0,0
54,0,0
53,0,0
53,0,0
49,0,0
45,0,0
41,0,0
41,0,0
41,0,0
41,0,0
40,0,0
44,0,0
49,0,0
57,0,0
66,0,0
75,0,0
83,0,0
91,0,0
97,0,0
104,0,0
102,0,0
96,0,0
85,0,0
77,0,0
68,0,0
59,0,0
50,0,0
46,0,0
41,0,0
47,0,0
54,0,0
65,0,0
80,0,0
91,0,0
105,0,0
117,0,0
123,0,0
124,0,0
121,0,0
122,0,0
121,0,0
118,0,0
116,0,0
115,0,0
119,0,0
125,0,0
127,0,0
128,0,0
129,0,0
133,0,0
139,0,0
145,0,0
150,0,0
157,0,0
158,0,0
156,0,0
156,0,0
159,0,0
163,0,0
164,0,0
168,0,0
171,0,0
175,0,0
177,0,0
177,0,0
177,0,0
178,0,0
173,0,0
175,0,0
176,0,0
175,0,0
174,0,0
175,0,0
175,0,0
174,0,0
179,0,0
181,0,0
185,0,0
188,0,0
188,0,0
188,0,0
190,0,0
194,0,0
191,0,0
189,0,0
186,0,0
189,0,0
191,0,0
191,0,0
189,0,0
187,0,0
