R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
8,0,0
0,0,0
103,0,0
114,0,0
104,0,0
104,0,0
103,0,0
98,0,0
91,0,0
85,0,0
83,0,0
95,0,0
112,0,0
122,0,0
130,0,0
141,0,0
143,0,0
149,0,0
155,0,0
157,0,0
158,0,0
157,0,0
157,0,0
161,0,0
158,0,0
145,0,0
135,0,0
120,0,0
104,0,0
97,0,0
91,0,0
80,0,0
69,0,0
68,0,0
71,0,0
71,0,0
66,0,0
63,0,0
61,0,0
55,0,0
56,0,0
54,0,0
52,0,0
54,0,0
54,0,0
53,0,0
52,0,0
50,0,0
38,0,0
31,0,0
33,0,0
33,0,0
36,0,0
34,0,0
35,0,0
49,0,0
49,0,0
48,0,0
45,0,0
45,0,0
49,0,0
53,0,0
59,0,0
67,0,0
79,0,0
82,0,0
92,0,0
96,0,0
94,0,0
100,0,0
109,0,0
104,0,0
103,0,0
106,0,0
110,0,0
115,0,0
115,0,0
117,0,0
121,0,0
125,0,0
120,0,0
121,0,0
122,0,0
122,0,0
120,0,0
121,0,0
123,0,0
122,0,0
121,0,0
118,0,0
121,0,0
119,0,0
112,0,0
115,0,0
120,0,0
113,0,0
110,0,0
117,0,0
117,0,0
114,0,0
119,0,0
119,0,0
111,0,0
107,0,0
118,0,0
111,0,0
112,0,0
109,0,0
106,0,0
103,0,0
95,0,0
95,0,0
86,0,0
85,0,0
81,0,0
78,0,0
78,0,0
79,0,0
86,0,0
92,0,0
104,0,0
107,0,0
107,0,0
111,0,0
110,0,0
108,0,0
106,0,0
100,0,0
94,0,0
88,0,0
88,0,0
88,0,0
81,0,0
71,0,0
60,0,0
50,0,0
43,0,0
36,0,0
38,0,0
41,0,0
41,0,0
42,0,0
48,0,0
54,0,0
42,0,0
31,0,0
47,0,0
80,0,0
170,0,0
226,0,0
242,0,0
247,0,0
248,0,0
247,0,0
246,0,0
246,0,0
249,0,0
251,0,0
246,0,0
238,0,0
240,0,0
238,0,0
238,0,0
238,0,0
236,0,0
233,0,0
233,0,0
234,0,0
