R,G,B
241,252,254
243,252,254
244,252,254
244,252,254
245,252,254
245,252,254
247,252,254
247,252,254
249,252,254
249,252,254
250,252,254
250,252,254
252,252,254
252,252,254
253,252,254
254,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
255,252,254
254,252,254
255,252,254
255,252,254
255,252,254
255,252,254
253,252,254
252,252,254
251,252,254
243,252,254
244,252,254
241,252,254
235,252,254
230,252,254
221,252,254
207,252,254
194,252,254
183,252,254
178,252,254
175,252,254
174,252,254
171,252,254
167,252,254
162,252,254
156,252,254
147,252,254
143,252,254
147,252,254
162,252,254
169,252,254
153,252,254
135,252,254
133,252,254
141,252,254
164,252,254
166,252,254
147,252,254
126,252,254
113,252,254
115,252,254
115,252,254
122,252,254
136,252,254
136,252,254
138,252,254
138,252,254
122,252,254
119,252,254
127,252,254
133,252,254
134,252,254
134,252,254
136,252,254
139,252,254
140,252,254
135,252,254
128,252,254
127,252,254
119,252,254
109,252,254
102,252,254
97,252,254
97,252,254
106,252,254
115,252,254
118,252,254
121,252,254
122,252,254
123,252,254
126,252,254
127,252,254
124,252,254
118,252,254
115,252,254
114,252,254
113,252,254
115,252,254
118,252,254
120,252,254
120,252,254
119,252,254
122,252,254
125,252,254
125,252,254
124,252,254
119,252,254
119,252,254
123,252,254
129,252,254
123,252,254
120,252,254
116,252,254
114,252,254
113,252,254
110,252,254
103,252,254
98,252,254
97,252,254
100,252,254
103,252,254
105,252,254
106,252,254
108,252,254
108,252,254
107,252,254
104,252,254
102,252,254
100,252,254
101,252,254
103,252,254
101,252,254
102,252,254
104,252,254
102,252,254
104,252,254
100,252,254
96,252,254
94,252,254
94,252,254
92,252,254
89,252,254
86,252,254
84,252,254
81,252,254
77,252,254
74,252,254
75,252,254
78,252,254
80,252,254
76,252,254
68,252,254
61,252,254
52,252,254
44,252,254
40,252,254
37,252,254
33,252,254
34,252,254
33,252,254
31,252,254
29,252,254
28,252,254
27,252,254
27,252,254
27,252,254
28,252,254
27,252,254
27,252,254
26,252,254
25,252,254
25,252,254
25,252,254
26,252,254
24,252,254
24,252,254
24,252,254
23,252,254
23,252,254
23,252,254
22,252,254
22,252,254
21,252,254
21,252,254
240,253,253
241,253,253
243,253,253
245,253,253
245,253,253
245,253,253
247,253,253
248,253,253
250,253,253
250,253,253
250,253,253
250,253,253
252,253,253
252,253,253
253,253,253
254,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
255,253,253
