R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
24,0,0
188,0,0
253,0,0
251,0,0
252,0,0
252,0,0
252,0,0
252,0,0
252,0,0
252,0,0
252,0,0
252,0,0
252,0,0
253,0,0
253,0,0
253,0,0
253,0,0
253,0,0
253,0,0
253,0,0
253,0,0
252,0,0
253,0,0
252,0,0
252,0,0
254,0,0
249,0,0
245,0,0
246,0,0
249,0,0
251,0,0
252,0,0
250,0,0
249,0,0
251,0,0
253,0,0
250,0,0
244,0,0
234,0,0
224,0,0
208,0,0
196,0,0
191,0,0
187,0,0
190,0,0
188,0,0
189,0,0
189,0,0
188,0,0
187,0,0
188,0,0
190,0,0
191,0,0
194,0,0
193,0,0
191,0,0
188,0,0
184,0,0
181,0,0
182,0,0
185,0,0
195,0,0
193,0,0
181,0,0
179,0,0
215,0,0
77,0,0
14,0,0
23,0,0
23,0,0
15,0,0
1,0,0
7,0,0
15,0,0
11,0,0
15,0,0
15,0,0
17,0,0
17,0,0
18,0,0
19,0,0
20,0,0
20,0,0
21,0,0
21,0,0
20,0,0
18,0,0
17,0,0
16,0,0
16,0,0
17,0,0
16,0,0
16,0,0
14,0,0
14,0,0
15,0,0
15,0,0
13,0,0
10,0,0
9,0,0
9,0,0
10,0,0
10,0,0
11,0,0
11,0,0
12,0,0
12,0,0
12,0,0
13,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
9,0,0
8,0,0
8,0,0
7,0,0
6,0,0
5,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
9,0,0
10,0,0
10,0,0
9,0,0
9,0,0
6,0,0
12,0,0
12,0,0
6,0,0
7,0,0
11,0,0
15,0,0
24,0,0
11,0,0
6,0,0
5,0,0
22,0,0
23,0,0
12,0,0
8,0,0
3,0,0
18,0,0
70,0,0
136,0,0
184,0,0
214,0,0
236,0,0
247,0,0
247,0,0
238,0,0
236,0,0
235,0,0
211,0,0
157,0,0
99,0,0
