R,G,B
10,0,0
30,0,0
47,0,0
53,0,0
56,0,0
56,0,0
52,0,0
51,0,0
48,0,0
49,0,0
52,0,0
53,0,0
55,0,0
53,0,0
52,0,0
51,0,0
53,0,0
52,0,0
52,0,0
51,0,0
49,0,0
48,0,0
46,0,0
46,0,0
46,0,0
46,0,0
48,0,0
48,0,0
49,0,0
51,0,0
51,0,0
52,0,0
53,0,0
53,0,0
53,0,0
53,0,0
52,0,0
54,0,0
55,0,0
55,0,0
54,0,0
54,0,0
53,0,0
50,0,0
49,0,0
45,0,0
42,0,0
40,0,0
40,0,0
40,0,0
43,0,0
44,0,0
45,0,0
46,0,0
49,0,0
51,0,0
54,0,0
57,0,0
58,0,0
60,0,0
65,0,0
67,0,0
68,0,0
68,0,0
69,0,0
71,0,0
72,0,0
72,0,0
72,0,0
72,0,0
70,0,0
70,0,0
69,0,0
66,0,0
65,0,0
62,0,0
60,0,0
57,0,0
56,0,0
56,0,0
62,0,0
62,0,0
62,0,0
61,0,0
61,0,0
61,0,0
61,0,0
61,0,0
62,0,0
63,0,0
65,0,0
65,0,0
65,0,0
67,0,0
67,0,0
67,0,0
68,0,0
67,0,0
65,0,0
65,0,0
64,0,0
62,0,0
59,0,0
55,0,0
52,0,0
51,0,0
48,0,0
44,0,0
39,0,0
38,0,0
36,0,0
33,0,0
31,0,0
32,0,0
31,0,0
31,0,0
31,0,0
32,0,0
34,0,0
37,0,0
41,0,0
42,0,0
43,0,0
43,0,0
42,0,0
41,0,0
41,0,0
39,0,0
43,0,0
43,0,0
43,0,0
43,0,0
42,0,0
42,0,0
40,0,0
40,0,0
39,0,0
37,0,0
37,0,0
36,0,0
37,0,0
37,0,0
37,0,0
35,0,0
33,0,0
33,0,0
31,0,0
32,0,0
34,0,0
35,0,0
37,0,0
37,0,0
40,0,0
43,0,0
46,0,0
48,0,0
50,0,0
53,0,0
55,0,0
56,0,0
56,0,0
55,0,0
54,0,0
53,0,0
51,0,0
48,0,0
48,0,0
47,0,0
43,0,0
43,0,0
41,0,0
40,0,0
39,0,0
37,0,0
37,0,0
36,0,0
31,0,0
30,0,0
30,0,0
31,0,0
30,0,0
30,0,0
31,0,0
32,0,0
32,0,0
33,0,0
34,0,0
33,0,0
34,0,0
35,0,0
35,0,0
36,0,0
37,0,0
38,0,0
41,0,0
42,0,0
43,0,0
42,0,0
43,0,0
42,0,0
43,0,0
43,0,0
43,0,0
41,0,0
42,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
42,0,0
43,0,0
43,0,0
42,0,0
42,0,0
44,0,0
45,0,0
47,0,0
50,0,0
51,0,0
53,0,0
54,0,0
55,0,0
57,0,0
57,0,0
57,0,0
56,0,0
55,0,0
55,0,0
55,0,0
56,0,0
56,0,0
57,0,0
59,0,0
60,0,0
60,0,0
62,0,0
63,0,0
63,0,0
10,11,4
30,11,4
47,11,4
53,11,4
56,11,4
56,11,4
52,11,4
49,11,4
48,11,4
49,11,4
52,11,4
53,11,4
55,11,4
53,11,4
52,11,4
51,11,4
53,11,4
52,11,4
52,11,4
51,11,4
49,11,4
48,11,4
46,11,4
46,11,4
46,11,4
46,11,4
48,11,4
48,11,4
49,11,4
51,11,4
51,11,4
52,11,4
53,11,4
53,11,4
53,11,4
53,11,4
52,11,4
55,11,4
55,11,4
56,11,4
55,11,4
55,11,4
55,11,4
53,11,4
49,11,4
46,11,4
44,11,4
42,11,4
41,11,4
43,11,4
43,11,4
44,11,4
45,11,4
48,11,4
49,11,4
51,11,4
54,11,4
57,11,4
58,11,4
61,11,4
65,11,4
67,11,4
68,11,4
69,11,4
70,11,4
70,11,4
72,11,4
73,11,4
73,11,4
73,11,4
71,11,4
71,11,4
69,11,4
66,11,4
65,11,4
62,11,4
60,11,4
57,11,4
56,11,4
56,11,4
62,11,4
62,11,4
62,11,4
61,11,4
61,11,4
61,11,4
61,11,4
61,11,4
62,11,4
63,11,4
65,11,4
65,11,4
65,11,4
67,11,4
67,11,4
67,11,4
68,11,4
67,11,4
65,11,4
64,11,4
63,11,4
62,11,4
59,11,4
55,11,4
52,11,4
51,11,4
48,11,4
44,11,4
41,11,4
39,11,4
37,11,4
34,11,4
32,11,4
32,11,4
33,11,4
32,11,4
31,11,4
33,11,4
35,11,4
39,11,4
41,11,4
42,11,4
43,11,4
43,11,4
43,11,4
42,11,4
41,11,4
39,11,4
43,11,4
43,11,4
43,11,4
43,11,4
42,11,4
41,11,4
40,11,4
40,11,4
39,11,4
37,11,4
37,11,4
37,11,4
36,11,4
36,11,4
36,11,4
37,11,4
33,11,4
32,11,4
30,11,4
31,11,4
33,11,4
34,11,4
36,11,4
36,11,4
39,11,4
42,11,4
45,11,4
46,11,4
49,11,4
51,11,4
54,11,4
56,11,4
56,11,4
55,11,4
54,11,4
52,11,4
51,11,4
48,11,4
48,11,4
47,11,4
43,11,4
43,11,4
41,11,4
40,11,4
39,11,4
37,11,4
37,11,4
36,11,4
31,11,4
32,11,4
30,11,4
31,11,4
31,11,4
30,11,4
31,11,4
32,11,4
32,11,4
34,11,4
34,11,4
36,11,4
35,11,4
36,11,4
