R,G,B
34,56,95
54,56,95
99,56,95
127,56,95
94,56,95
43,56,95
16,56,95
10,56,95
17,56,95
30,56,95
29,56,95
23,56,95
26,56,95
28,56,95
27,56,95
35,56,95
40,56,95
39,56,95
33,56,95
23,56,95
19,56,95
28,56,95
36,56,95
39,56,95
40,56,95
37,56,95
23,56,95
30,56,95
69,56,95
117,56,95
127,56,95
86,56,95
61,56,95
62,56,95
89,56,95
137,56,95
164,56,95
152,56,95
127,56,95
113,56,95
122,56,95
144,56,95
157,56,95
144,56,95
132,56,95
140,56,95
158,56,95
170,56,95
159,56,95
138,56,95
135,56,95
137,56,95
156,56,95
157,56,95
161,56,95
133,56,95
135,56,95
142,56,95
156,56,95
166,56,95
163,56,95
152,56,95
144,56,95
144,56,95
157,56,95
160,56,95
169,56,95
164,56,95
149,56,95
133,56,95
129,56,95
145,56,95
169,56,95
177,56,95
143,56,95
124,56,95
131,56,95
129,56,95
138,56,95
154,56,95
165,56,95
156,56,95
116,56,95
99,56,95
102,56,95
132,56,95
188,56,95
199,56,95
179,56,95
173,56,95
185,56,95
209,56,95
224,56,95
225,56,95
224,56,95
221,56,95
204,56,95
222,56,95
224,56,95
201,56,95
164,56,95
141,56,95
130,56,95
109,56,95
88,56,95
70,56,95
55,56,95
32,56,95
20,56,95
26,56,95
36,56,95
44,56,95
37,56,95
32,56,95
29,56,95
26,56,95
21,56,95
20,56,95
17,56,95
8,56,95
5,56,95
11,56,95
18,56,95
21,56,95
19,56,95
15,56,95
16,56,95
19,56,95
10,56,95
8,56,95
6,56,95
4,56,95
3,56,95
6,56,95
12,56,95
17,56,95
18,56,95
19,56,95
25,56,95
22,56,95
17,56,95
21,56,95
23,56,95
15,56,95
39,56,95
48,56,95
47,56,95
40,56,95
47,56,95
49,56,95
44,56,95
52,56,95
78,56,95
109,56,95
126,56,95
121,56,95
112,56,95
106,56,95
110,56,95
120,56,95
113,56,95
91,56,95
84,56,95
91,56,95
125,56,95
134,56,95
122,56,95
109,56,95
95,56,95
105,56,95
125,56,95
127,56,95
106,56,95
97,56,95
104,56,95
105,56,95
105,56,95
101,56,95
104,56,95
110,56,95
110,56,95
106,56,95
101,56,95
98,56,95
94,56,95
89,56,95
87,56,95
91,56,95
90,56,95
82,56,95
71,56,95
69,56,95
62,56,95
63,56,95
64,56,95
60,56,95
54,56,95
52,56,95
54,56,95
57,56,95
59,56,95
49,56,95
40,56,95
29,56,95
22,56,95
16,56,95
20,56,95
41,56,95
59,56,95
105,56,95
158,56,95
192,56,95
196,56,95
193,56,95
196,56,95
187,56,95
181,56,95
180,56,95
176,56,95
177,56,95
184,56,95
194,56,95
201,56,95
203,56,95
208,56,95
206,56,95
197,56,95
186,56,95
178,56,95
180,56,95
189,56,95
196,56,95
202,56,95
202,56,95
204,56,95
210,56,95
215,56,95
213,56,95
198,56,95
184,56,95
170,56,95
168,56,95
176,56,95
193,56,95
203,56,95
206,56,95
206,56,95
205,56,95
192,56,95
178,56,95
31,44,82
26,44,82
67,44,82
116,44,82
118,44,82
86,44,82
52,44,82
24,44,82
31,44,82
43,44,82
55,44,82
49,44,82
33,44,82
22,44,82
23,44,82
29,44,82
36,44,82
35,44,82
28,44,82
19,44,82
14,44,82
14,44,82
14,44,82
12,44,82
15,44,82
18,44,82
10,44,82
12,44,82
35,44,82
