R,G,B
195,192,187
178,192,187
181,192,187
188,192,187
198,192,187
192,192,187
192,192,187
185,192,187
184,192,187
188,192,187
192,192,187
194,192,187
193,192,187
191,192,187
188,192,187
187,192,187
188,192,187
189,192,187
191,192,187
193,192,187
194,192,187
196,192,187
196,192,187
197,192,187
197,192,187
198,192,187
197,192,187
195,192,187
192,192,187
191,192,187
192,192,187
193,192,187
193,192,187
193,192,187
194,192,187
197,192,187
193,192,187
188,192,187
186,192,187
174,192,187
156,192,187
137,192,187
141,192,187
150,192,187
154,192,187
159,192,187
160,192,187
161,192,187
164,192,187
161,192,187
161,192,187
165,192,187
169,192,187
169,192,187
166,192,187
165,192,187
165,192,187
166,192,187
171,192,187
176,192,187
180,192,187
181,192,187
180,192,187
177,192,187
167,192,187
169,192,187
169,192,187
171,192,187
174,192,187
175,192,187
176,192,187
174,192,187
175,192,187
175,192,187
174,192,187
176,192,187
180,192,187
182,192,187
179,192,187
172,192,187
141,192,187
95,192,187
61,192,187
70,192,187
103,192,187
131,192,187
157,192,187
177,192,187
186,192,187
190,192,187
190,192,187
189,192,187
190,192,187
191,192,187
188,192,187
186,192,187
188,192,187
193,192,187
198,192,187
198,192,187
196,192,187
196,192,187
198,192,187
201,192,187
202,192,187
194,192,187
185,192,187
183,192,187
189,192,187
194,192,187
186,192,187
174,192,187
124,192,187
49,192,187
17,192,187
18,192,187
15,192,187
20,192,187
26,192,187
32,192,187
34,192,187
27,192,187
24,192,187
26,192,187
27,192,187
24,192,187
21,192,187
21,192,187
25,192,187
26,192,187
31,192,187
34,192,187
40,192,187
42,192,187
40,192,187
35,192,187
36,192,187
28,192,187
22,192,187
17,192,187
16,192,187
15,192,187
13,192,187
20,192,187
51,192,187
64,192,187
83,192,187
106,192,187
134,192,187
157,192,187
169,192,187
172,192,187
175,192,187
174,192,187
169,192,187
163,192,187
162,192,187
162,192,187
160,192,187
157,192,187
158,192,187
154,192,187
151,192,187
147,192,187
143,192,187
138,192,187
131,192,187
120,192,187
112,192,187
113,192,187
120,192,187
132,192,187
146,192,187
152,192,187
151,192,187
147,192,187
145,192,187
150,192,187
147,192,187
144,192,187
153,192,187
136,192,187
110,192,187
79,192,187
60,192,187
46,192,187
67,192,187
82,192,187
89,192,187
89,192,187
90,192,187
83,192,187
97,192,187
102,192,187
69,192,187
34,192,187
21,192,187
13,192,187
14,192,187
26,192,187
13,192,187
8,192,187
9,192,187
11,192,187
12,192,187
14,192,187
16,192,187
12,192,187
15,192,187
14,192,187
13,192,187
12,192,187
10,192,187
7,192,187
4,192,187
4,192,187
3,192,187
7,192,187
6,192,187
4,192,187
4,192,187
3,192,187
8,192,187
20,192,187
48,192,187
51,192,187
48,192,187
44,192,187
38,192,187
31,192,187
28,192,187
32,192,187
52,192,187
76,192,187
82,192,187
78,192,187
74,192,187
48,192,187
13,192,187
0,192,187
15,192,187
37,192,187
45,192,187
37,192,187
30,192,187
24,192,187
22,192,187
25,192,187
29,192,187
31,192,187
200,180,175
183,180,175
