R,G,B
0,2,2
0,2,2
3,2,2
4,2,2
1,2,2
0,2,2
3,2,2
53,2,2
115,2,2
122,2,2
122,2,2
116,2,2
110,2,2
107,2,2
108,2,2
109,2,2
105,2,2
104,2,2
103,2,2
101,2,2
99,2,2
96,2,2
94,2,2
92,2,2
97,2,2
100,2,2
103,2,2
103,2,2
101,2,2
99,2,2
102,2,2
103,2,2
101,2,2
100,2,2
100,2,2
100,2,2
100,2,2
100,2,2
101,2,2
101,2,2
102,2,2
102,2,2
103,2,2
103,2,2
103,2,2
102,2,2
100,2,2
99,2,2
98,2,2
98,2,2
98,2,2
99,2,2
99,2,2
100,2,2
102,2,2
103,2,2
105,2,2
107,2,2
107,2,2
109,2,2
111,2,2
111,2,2
112,2,2
111,2,2
112,2,2
110,2,2
110,2,2
109,2,2
108,2,2
107,2,2
108,2,2
109,2,2
110,2,2
110,2,2
107,2,2
102,2,2
97,2,2
92,2,2
90,2,2
90,2,2
89,2,2
88,2,2
86,2,2
84,2,2
82,2,2
79,2,2
76,2,2
76,2,2
74,2,2
73,2,2
74,2,2
74,2,2
75,2,2
77,2,2
77,2,2
78,2,2
78,2,2
77,2,2
75,2,2
73,2,2
69,2,2
69,2,2
68,2,2
69,2,2
69,2,2
65,2,2
60,2,2
57,2,2
51,2,2
46,2,2
43,2,2
42,2,2
38,2,2
34,2,2
30,2,2
27,2,2
24,2,2
22,2,2
23,2,2
26,2,2
29,2,2
31,2,2
34,2,2
40,2,2
42,2,2
45,2,2
47,2,2
50,2,2
47,2,2
48,2,2
51,2,2
52,2,2
55,2,2
54,2,2
53,2,2
53,2,2
51,2,2
49,2,2
50,2,2
56,2,2
60,2,2
63,2,2
72,2,2
80,2,2
82,2,2
91,2,2
96,2,2
98,2,2
100,2,2
101,2,2
92,2,2
78,2,2
58,2,2
39,2,2
21,2,2
14,2,2
11,2,2
9,2,2
9,2,2
9,2,2
15,2,2
17,2,2
21,2,2
22,2,2
22,2,2
24,2,2
25,2,2
24,2,2
25,2,2
24,2,2
18,2,2
17,2,2
20,2,2
20,2,2
19,2,2
19,2,2
13,2,2
12,2,2
11,2,2
11,2,2
10,2,2
12,2,2
12,2,2
13,2,2
12,2,2
12,2,2
13,2,2
14,2,2
16,2,2
19,2,2
24,2,2
27,2,2
31,2,2
33,2,2
36,2,2
41,2,2
46,2,2
52,2,2
56,2,2
59,2,2
60,2,2
61,2,2
62,2,2
63,2,2
65,2,2
67,2,2
70,2,2
72,2,2
69,2,2
72,2,2
75,2,2
77,2,2
78,2,2
79,2,2
78,2,2
76,2,2
76,2,2
74,2,2
73,2,2
75,2,2
78,2,2
77,2,2
75,2,2
77,2,2
77,2,2
81,2,2
84,2,2
87,2,2
91,2,2
90,2,2
87,2,2
87,2,2
86,2,2
86,2,2
86,2,2
86,2,2
86,2,2
86,2,2
86,2,2
85,2,2
86,2,2
87,2,2
89,2,2
91,2,2
93,2,2
94,2,2
93,2,2
92,2,2
94,2,2
94,2,2
0,1,3
0,1,3
3,1,3
4,1,3
1,1,3
0,1,3
3,1,3
53,1,3
114,1,3
120,1,3
120,1,3
115,1,3
109,1,3
106,1,3
108,1,3
110,1,3
106,1,3
106,1,3
104,1,3
104,1,3
101,1,3
99,1,3
97,1,3
98,1,3
98,1,3
101,1,3
104,1,3
103,1,3
101,1,3
102,1,3
102,1,3
104,1,3
103,1,3
103,1,3
102,1,3
102,1,3
102,1,3
102,1,3
102,1,3
103,1,3
104,1,3
104,1,3
105,1,3
105,1,3
104,1,3
103,1,3
102,1,3
101,1,3
98,1,3
98,1,3
98,1,3
99,1,3
100,1,3
100,1,3
102,1,3
103,1,3
105,1,3
107,1,3
107,1,3
109,1,3
111,1,3
111,1,3
110,1,3
111,1,3
111,1,3
109,1,3
109,1,3
109,1,3
108,1,3
108,1,3
109,1,3
109,1,3
110,1,3
110,1,3
107,1,3
102,1,3
97,1,3
92,1,3
90,1,3
89,1,3
89,1,3
89,1,3
87,1,3
86,1,3
82,1,3
81,1,3
79,1,3
77,1,3
75,1,3
74,1,3
74,1,3
76,1,3
76,1,3
77,1,3
77,1,3
78,1,3
79,1,3
79,1,3
77,1,3
75,1,3
72,1,3
69,1,3
69,1,3
68,1,3
68,1,3
66,1,3
60,1,3
56,1,3
52,1,3
50,1,3
47,1,3
45,1,3
39,1,3
35,1,3
31,1,3
27,1,3
25,1,3
23,1,3
23,1,3
25,1,3
26,1,3
30,1,3
33,1,3
36,1,3
41,1,3
43,1,3
45,1,3
48,1,3
43,1,3
44,1,3
45,1,3
46,1,3
47,1,3
47,1,3
46,1,3
45,1,3
44,1,3
41,1,3
44,1,3
49,1,3
54,1,3
57,1,3
65,1,3
73,1,3
77,1,3
86,1,3
93,1,3
96,1,3
95,1,3
94,1,3
82,1,3
68,1,3
49,1,3
33,1,3
19,1,3
14,1,3
12,1,3
12,1,3
10,1,3
8,1,3
14,1,3
15,1,3
19,1,3
21,1,3
21,1,3
23,1,3
23,1,3
22,1,3
20,1,3
20,1,3
17,1,3
17,1,3
21,1,3
24,1,3
23,1,3
26,1,3
18,1,3
18,1,3
17,1,3
17,1,3
17,1,3
16,1,3
15,1,3
15,1,3
16,1,3
17,1,3
18,1,3
21,1,3
24,1,3
28,1,3
32,1,3
35,1,3
37,1,3
40,1,3
45,1,3
50,1,3
55,1,3
58,1,3
60,1,3
61,1,3
60,1,3
61,1,3
61,1,3
62,1,3
64,1,3
67,1,3
70,1,3
73,1,3
71,1,3
74,1,3
78,1,3
79,1,3
80,1,3
80,1,3
79,1,3
78,1,3
78,1,3
76,1,3
74,1,3
76,1,3
80,1,3
78,1,3
77,1,3
79,1,3
81,1,3
85,1,3
88,1,3
90,1,3
91,1,3
88,1,3
85,1,3
85,1,3
86,1,3
86,1,3
86,1,3
86,1,3
85,1,3
85,1,3
85,1,3
84,1,3
86,1,3
87,1,3
88,1,3
90,1,3
92,1,3
92,1,3
91,1,3
90,1,3
89,1,3
89,1,3
0,0,0
0,0,0
3,0,0
4,0,0
1,0,0
0,0,0
1,0,0
53,0,0
114,0,0
121,0,0
121,0,0
115,0,0
110,0,0
107,0,0
109,0,0
112,0,0
109,0,0
108,0,0
107,0,0
104,0,0
102,0,0
99,0,0
99,0,0
98,0,0
97,0,0
101,0,0
103,0,0
103,0,0
103,0,0
103,0,0
104,0,0
105,0,0
104,0,0
104,0,0
104,0,0
104,0,0
104,0,0
103,0,0
103,0,0
103,0,0
104,0,0
104,0,0
105,0,0
105,0,0
105,0,0
104,0,0
103,0,0
102,0,0
100,0,0
100,0,0
100,0,0
101,0,0
101,0,0
103,0,0
104,0,0
104,0,0
106,0,0
107,0,0
107,0,0
108,0,0
111,0,0
110,0,0
110,0,0
110,0,0
110,0,0
109,0,0
109,0,0
108,0,0
107,0,0
108,0,0
109,0,0
110,0,0
110,0,0
110,0,0
107,0,0
102,0,0
98,0,0
93,0,0
90,0,0
88,0,0
89,0,0
89,0,0
89,0,0
88,0,0
85,0,0
83,0,0
81,0,0
80,0,0
75,0,0
75,0,0
76,0,0
76,0,0
77,0,0
79,0,0
80,0,0
80,0,0
83,0,0
82,0,0
81,0,0
77,0,0
74,0,0
72,0,0
70,0,0
68,0,0
67,0,0
65,0,0
62,0,0
58,0,0
56,0,0
53,0,0
49,0,0
47,0,0
40,0,0
35,0,0
30,0,0
26,0,0
24,0,0
22,0,0
21,0,0
21,0,0
25,0,0
28,0,0
32,0,0
35,0,0
40,0,0
42,0,0
43,0,0
45,0,0
39,0,0
40,0,0
40,0,0
41,0,0
40,0,0
40,0,0
38,0,0
38,0,0
36,0,0
36,0,0
39,0,0
43,0,0
45,0,0
47,0,0
54,0,0
64,0,0
72,0,0
81,0,0
88,0,0
91,0,0
89,0,0
84,0,0
70,0,0
55,0,0
40,0,0
26,0,0
17,0,0
15,0,0
16,0,0
16,0,0
15,0,0
12,0,0
13,0,0
16,0,0
18,0,0
21,0,0
22,0,0
24,0,0
23,0,0
21,0,0
18,0,0
20,0,0
21,0,0
22,0,0
24,0,0
26,0,0
27,0,0
33,0,0
25,0,0
26,0,0
27,0,0
27,0,0
28,0,0
27,0,0
25,0,0
21,0,0
21,0,0
22,0,0
25,0,0
30,0,0
35,0,0
41,0,0
44,0,0
46,0,0
49,0,0
52,0,0
56,0,0
60,0,0
64,0,0
64,0,0
