R,G,B
14,20,18
7,20,18
1,20,18
4,20,18
10,20,18
8,20,18
8,20,18
12,20,18
16,20,18
17,20,18
14,20,18
11,20,18
10,20,18
7,20,18
7,20,18
9,20,18
8,20,18
9,20,18
8,20,18
5,20,18
4,20,18
5,20,18
9,20,18
9,20,18
13,20,18
18,20,18
23,20,18
25,20,18
29,20,18
32,20,18
32,20,18
30,20,18
28,20,18
27,20,18
25,20,18
22,20,18
22,20,18
23,20,18
19,20,18
15,20,18
13,20,18
9,20,18
8,20,18
7,20,18
7,20,18
7,20,18
5,20,18
2,20,18
3,20,18
4,20,18
5,20,18
6,20,18
6,20,18
5,20,18
5,20,18
6,20,18
6,20,18
6,20,18
6,20,18
7,20,18
8,20,18
8,20,18
7,20,18
6,20,18
5,20,18
5,20,18
5,20,18
7,20,18
6,20,18
7,20,18
6,20,18
6,20,18
6,20,18
6,20,18
4,20,18
5,20,18
6,20,18
6,20,18
6,20,18
5,20,18
7,20,18
7,20,18
7,20,18
7,20,18
7,20,18
7,20,18
7,20,18
7,20,18
7,20,18
7,20,18
7,20,18
7,20,18
7,20,18
7,20,18
7,20,18
7,20,18
5,20,18
5,20,18
6,20,18
6,20,18
7,20,18
7,20,18
6,20,18
6,20,18
5,20,18
5,20,18
5,20,18
5,20,18
4,20,18
4,20,18
4,20,18
4,20,18
5,20,18
5,20,18
5,20,18
5,20,18
6,20,18
6,20,18
6,20,18
6,20,18
7,20,18
5,20,18
6,20,18
7,20,18
6,20,18
6,20,18
6,20,18
4,20,18
3,20,18
0,20,18
0,20,18
3,20,18
3,20,18
3,20,18
6,20,18
7,20,18
7,20,18
10,20,18
11,20,18
10,20,18
13,20,18
14,20,18
14,20,18
15,20,18
18,20,18
17,20,18
18,20,18
21,20,18
25,20,18
26,20,18
24,20,18
25,20,18
26,20,18
26,20,18
25,20,18
25,20,18
25,20,18
26,20,18
27,20,18
27,20,18
29,20,18
29,20,18
30,20,18
30,20,18
31,20,18
32,20,18
32,20,18
33,20,18
33,20,18
33,20,18
34,20,18
34,20,18
35,20,18
36,20,18
36,20,18
36,20,18
36,20,18
36,20,18
37,20,18
37,20,18
38,20,18
39,20,18
39,20,18
39,20,18
38,20,18
38,20,18
39,20,18
40,20,18
41,20,18
41,20,18
40,20,18
40,20,18
41,20,18
41,20,18
41,20,18
42,20,18
43,20,18
44,20,18
44,20,18
45,20,18
44,20,18
45,20,18
45,20,18
46,20,18
46,20,18
46,20,18
46,20,18
46,20,18
47,20,18
48,20,18
48,20,18
49,20,18
49,20,18
50,20,18
52,20,18
53,20,18
54,20,18
55,20,18
55,20,18
56,20,18
56,20,18
57,20,18
58,20,18
60,20,18
57,20,18
57,20,18
56,20,18
56,20,18
57,20,18
57,20,18
57,20,18
58,20,18
58,20,18
59,20,18
60,20,18
62,20,18
63,20,18
66,20,18
66,20,18
67,20,18
65,20,18
65,20,18
64,20,18
65,20,18
65,20,18
65,20,18
66,20,18
66,20,18
66,20,18
66,20,18
11,12,10
6,12,10
1,12,10
4,12,10
11,12,10
13,12,10
13,12,10
16,12,10
19,12,10
21,12,10
19,12,10
16,12,10
15,12,10
12,12,10
9,12,10
9,12,10
7,12,10
8,12,10
7,12,10
4,12,10
4,12,10
7,12,10
9,12,10
11,12,10
15,12,10
19,12,10
24,12,10
28,12,10
32,12,10
34,12,10
34,12,10
32,12,10
31,12,10
30,12,10
28,12,10
26,12,10
25,12,10
26,12,10
21,12,10
17,12,10
13,12,10
9,12,10
8,12,10
7,12,10
6,12,10
6,12,10
5,12,10
3,12,10
3,12,10
4,12,10
5,12,10
6,12,10
5,12,10
5,12,10
5,12,10
5,12,10
5,12,10
5,12,10
5,12,10
5,12,10
5,12,10
5,12,10
4,12,10
