R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
62,0,0
105,0,0
107,0,0
107,0,0
102,0,0
100,0,0
100,0,0
102,0,0
104,0,0
105,0,0
100,0,0
86,0,0
62,0,0
37,0,0
21,0,0
16,0,0
26,0,0
43,0,0
65,0,0
83,0,0
97,0,0
107,0,0
109,0,0
107,0,0
101,0,0
103,0,0
102,0,0
103,0,0
106,0,0
106,0,0
106,0,0
109,0,0
108,0,0
103,0,0
98,0,0
100,0,0
101,0,0
99,0,0
101,0,0
107,0,0
104,0,0
97,0,0
69,0,0
40,0,0
20,0,0
26,0,0
62,0,0
92,0,0
112,0,0
112,0,0
110,0,0
110,0,0
112,0,0
112,0,0
108,0,0
107,0,0
112,0,0
112,0,0
110,0,0
103,0,0
106,0,0
95,0,0
79,0,0
43,0,0
24,0,0
20,0,0
35,0,0
84,0,0
99,0,0
101,0,0
103,0,0
104,0,0
104,0,0
104,0,0
104,0,0
102,0,0
101,0,0
101,0,0
100,0,0
100,0,0
96,0,0
96,0,0
96,0,0
94,0,0
86,0,0
73,0,0
53,0,0
35,0,0
17,0,0
47,0,0
81,0,0
115,0,0
110,0,0
104,0,0
107,0,0
117,0,0
114,0,0
109,0,0
110,0,0
117,0,0
122,0,0
119,0,0
109,0,0
101,0,0
99,0,0
99,0,0
98,0,0
100,0,0
106,0,0
115,0,0
121,0,0
123,0,0
120,0,0
120,0,0
119,0,0
118,0,0
117,0,0
117,0,0
117,0,0
118,0,0
116,0,0
110,0,0
110,0,0
112,0,0
113,0,0
114,0,0
109,0,0
100,0,0
92,0,0
92,0,0
92,0,0
113,0,0
112,0,0
119,0,0
112,0,0
115,0,0
116,0,0
116,0,0
114,0,0
114,0,0
115,0,0
115,0,0
115,0,0
115,0,0
115,0,0
116,0,0
116,0,0
115,0,0
115,0,0
116,0,0
116,0,0
116,0,0
115,0,0
114,0,0
112,0,0
112,0,0
112,0,0
113,0,0
117,0,0
123,0,0
123,0,0
97,0,0
72,0,0
70,0,0
75,0,0
57,0,0
26,0,0
11,0,0
9,0,0
15,0,0
17,0,0
12,0,0
12,0,0
14,0,0
13,0,0
10,0,0
