R,G,B
68,52,19
68,52,19
70,52,19
70,52,19
70,52,19
70,52,19
70,52,19
71,52,19
71,52,19
72,52,19
73,52,19
75,52,19
75,52,19
75,52,19
75,52,19
75,52,19
73,52,19
73,52,19
76,52,19
77,52,19
77,52,19
77,52,19
77,52,19
77,52,19
77,52,19
77,52,19
77,52,19
75,52,19
76,52,19
75,52,19
75,52,19
75,52,19
76,52,19
75,52,19
75,52,19
74,52,19
75,52,19
77,52,19
75,52,19
75,52,19
77,52,19
77,52,19
77,52,19
78,52,19
78,52,19
80,52,19
80,52,19
80,52,19
80,52,19
80,52,19
80,52,19
80,52,19
80,52,19
80,52,19
80,52,19
80,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
82,52,19
81,52,19
78,52,19
77,52,19
74,52,19
71,52,19
68,52,19
61,52,19
54,52,19
48,52,19
43,52,19
40,52,19
42,52,19
42,52,19
42,52,19
43,52,19
41,52,19
40,52,19
40,52,19
42,52,19
44,52,19
44,52,19
46,52,19
47,52,19
50,52,19
53,52,19
56,52,19
58,52,19
60,52,19
62,52,19
63,52,19
63,52,19
63,52,19
64,52,19
64,52,19
63,52,19
64,52,19
64,52,19
64,52,19
64,52,19
65,52,19
64,52,19
64,52,19
63,52,19
63,52,19
62,52,19
62,52,19
61,52,19
60,52,19
60,52,19
59,52,19
57,52,19
58,52,19
58,52,19
56,52,19
56,52,19
55,52,19
55,52,19
54,52,19
54,52,19
53,52,19
54,52,19
55,52,19
55,52,19
55,52,19
55,52,19
55,52,19
55,52,19
55,52,19
55,52,19
54,52,19
53,52,19
53,52,19
54,52,19
55,52,19
55,52,19
56,52,19
56,52,19
57,52,19
59,52,19
60,52,19
61,52,19
62,52,19
62,52,19
64,52,19
65,52,19
66,52,19
66,52,19
65,52,19
63,52,19
62,52,19
61,52,19
61,52,19
60,52,19
60,52,19
60,52,19
60,52,19
59,52,19
58,52,19
56,52,19
55,52,19
54,52,19
51,52,19
50,52,19
50,52,19
48,52,19
47,52,19
49,52,19
52,52,19
52,52,19
52,52,19
52,52,19
52,52,19
52,52,19
52,52,19
52,52,19
52,52,19
53,52,19
55,52,19
57,52,19
59,52,19
60,52,19
60,52,19
60,52,19
56,52,19
57,52,19
58,52,19
59,52,19
60,52,19
61,52,19
63,52,19
64,52,19
65,52,19
65,52,19
65,52,19
64,52,19
64,52,19
63,52,19
62,52,19
62,52,19
61,52,19
61,52,19
61,52,19
60,52,19
60,52,19
59,52,19
58,52,19
58,52,19
58,52,19
57,52,19
57,52,19
57,52,19
57,52,19
57,52,19
58,52,19
58,52,19
58,52,19
57,52,19
55,52,19
52,52,19
49,52,19
48,52,19
47,52,19
48,52,19
46,52,19
47,52,19
49,52,19
50,52,19
51,52,19
49,52,19
46,52,19
43,52,19
39,52,19
37,52,19
35,52,19
34,52,19
36,52,19
36,52,19
35,52,19
32,52,19
30,52,19
29,52,19
68,52,19
68,52,19
70,52,19
70,52,19
70,52,19
70,52,19
70,52,19
71,52,19
71,52,19
72,52,19
73,52,19
75,52,19
75,52,19
75,52,19
75,52,19
75,52,19
73,52,19
73,52,19
76,52,19
77,52,19
77,52,19
77,52,19
77,52,19
77,52,19
77,52,19
77,52,19
77,52,19
75,52,19
76,52,19
75,52,19
75,52,19
75,52,19
76,52,19
75,52,19
75,52,19
74,52,19
75,52,19
77,52,19
75,52,19
75,52,19
77,52,19
77,52,19
77,52,19
78,52,19
78,52,19
80,52,19
80,52,19
80,52,19
80,52,19
80,52,19
80,52,19
80,52,19
80,52,19
80,52,19
80,52,19
80,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
81,52,19
82,52,19
81,52,19
78,52,19
77,52,19
74,52,19
72,52,19
68,52,19
61,52,19
55,52,19
48,52,19
43,52,19
40,52,19
40,52,19
40,52,19
40,52,19
41,52,19
40,52,19
40,52,19
40,52,19
42,52,19
43,52,19
44,52,19
46,52,19
47,52,19
49,52,19
52,52,19
55,52,19
58,52,19
60,52,19
62,52,19
63,52,19
62,52,19
62,52,19
63,52,19
63,52,19
63,52,19
63,52,19
63,52,19
63,52,19
63,52,19
64,52,19
64,52,19
63,52,19
62,52,19
63,52,19
62,52,19
61,52,19
61,52,19
60,52,19
60,52,19
59,52,19
57,52,19
58,52,19
58,52,19
57,52,19
56,52,19
56,52,19
55,52,19
55,52,19
55,52,19
54,52,19
55,52,19
56,52,19
56,52,19
56,52,19
55,52,19
56,52,19
56,52,19
56,52,19
56,52,19
55,52,19
54,52,19
54,52,19
54,52,19
55,52,19
56,52,19
56,52,19
56,52,19
57,52,19
59,52,19
60,52,19
61,52,19
62,52,19
62,52,19
64,52,19
65,52,19
66,52,19
66,52,19
65,52,19
63,52,19
62,52,19
61,52,19
61,52,19
60,52,19
60,52,19
60,52,19
60,52,19
59,52,19
58,52,19
56,52,19
55,52,19
54,52,19
51,52,19
50,52,19
50,52,19
48,52,19
47,52,19
49,52,19
52,52,19
52,52,19
52,52,19
52,52,19
52,52,19
52,52,19
52,52,19
52,52,19
52,52,19
53,52,19
55,52,19
57,52,19
59,52,19
60,52,19
60,52,19
60,52,19
56,52,19
57,52,19
58,52,19
59,52,19
60,52,19
61,52,19
62,52,19
64,52,19
65,52,19
65,52,19
65,52,19
64,52,19
63,52,19
63,52,19
62,52,19
62,52,19
61,52,19
61,52,19
61,52,19
61,52,19
60,52,19
60,52,19
59,52,19
59,52,19
58,52,19
58,52,19
58,52,19
57,52,19
57,52,19
58,52,19
58,52,19
58,52,19
58,52,19
57,52,19
55,52,19
52,52,19
50,52,19
48,52,19
48,52,19
48,52,19
46,52,19
47,52,19
49,52,19
51,52,19
51,52,19
49,52,19
46,52,19
43,52,19
39,52,19
37,52,19
35,52,19
34,52,19
36,52,19
36,52,19
35,52,19
32,52,19
30,52,19
29,52,19
68,51,19
68,51,19
70,51,19
70,51,19
70,51,19
70,51,19
70,51,19
71,51,19
71,51,19
72,51,19
73,51,19
75,51,19
75,51,19
75,51,19
75,51,19
75,51,19
73,51,19
73,51,19
76,51,19
77,51,19
77,51,19
77,51,19
77,51,19
77,51,19
77,51,19
77,51,19
77,51,19
75,51,19
76,51,19
75,51,19
75,51,19
75,51,19
76,51,19
75,51,19
75,51,19
74,51,19
75,51,19
77,51,19
75,51,19
75,51,19
77,51,19
77,51,19
77,51,19
78,51,19
78,51,19
80,51,19
80,51,19
80,51,19
80,51,19
80,51,19
80,51,19
80,51,19
80,51,19
80,51,19
80,51,19
80,51,19
81,51,19
81,51,19
81,51,19
81,51,19
81,51,19
81,51,19
81,51,19
81,51,19
81,51,19
81,51,19
81,51,19
81,51,19
82,51,19
81,51,19
78,51,19
77,51,19
74,51,19
72,51,19
69,51,19
62,51,19
56,51,19
49,51,19
43,51,19
39,51,19
37,51,19
37,51,19
38,51,19
39,51,19
38,51,19
39,51,19
39,51,19
42,51,19
43,51,19
44,51,19
46,51,19
47,51,19
49,51,19
52,51,19
55,51,19
57,51,19
59,51,19
61,51,19
62,51,19
61,51,19
61,51,19
62,51,19
62,51,19
62,51,19
63,51,19
62,51,19
62,51,19
62,51,19
63,51,19
63,51,19
62,51,19
61,51,19
62,51,19
61,51,19
61,51,19
61,51,19
60,51,19
60,51,19
60,51,19
58,51,19
60,51,19
59,51,19
58,51,19
57,51,19
57,51,19
56,51,19
56,51,19
56,51,19
56,51,19
57,51,19
58,51,19
58,51,19
57,51,19
57,51,19
57,51,19
57,51,19
58,51,19
57,51,19
56,51,19
56,51,19
55,51,19
56,51,19
56,51,19
57,51,19
56,51,19
57,51,19
57,51,19
58,51,19
59,51,19
60,51,19
61,51,19
62,51,19
63,51,19
64,51,19
66,51,19
66,51,19
65,51,19
63,51,19
62,51,19
61,51,19
61,51,19
60,51,19
60,51,19
60,51,19
60,51,19
59,51,19
58,51,19
56,51,19
55,51,19
54,51,19
51,51,19
50,51,19
50,51,19
48,51,19
47,51,19
49,51,19
52,51,19
52,51,19
52,51,19
52,51,19
52,51,19
52,51,19
52,51,19
52,51,19
52,51,19
54,51,19
56,51,19
58,51,19
59,51,19
60,51,19
61,51,19
61,51,19
57,51,19
58,51,19
59,51,19
60,51,19
60,51,19
61,51,19
62,51,19
63,51,19
65,51,19
64,51,19
64,51,19
63,51,19
63,51,19
63,51,19
62,51,19
62,51,19
61,51,19
62,51,19
62,51,19
62,51,19
61,51,19
61,51,19
60,51,19
60,51,19
59,51,19
59,51,19
58,51,19
58,51,19
58,51,19
58,51,19
59,51,19
59,51,19
58,51,19
58,51,19
56,51,19
53,51,19
50,51,19
48,51,19
48,51,19
48,51,19
47,51,19
48,51,19
49,51,19
51,51,19
51,51,19
49,51,19
46,51,19
44,51,19
39,51,19
37,51,19
35,51,19
34,51,19
36,51,19
36,51,19
35,51,19
32,51,19
30,51,19
29,51,19
68,51,19
68,51,19
70,51,19
70,51,19
70,51,19
70,51,19
70,51,19
71,51,19
71,51,19
72,51,19
73,51,19
75,51,19
75,51,19
75,51,19
75,51,19
75,51,19
73,51,19
73,51,19
76,51,19
77,51,19
77,51,19
77,51,19
77,51,19
77,51,19
77,51,19
77,51,19
77,51,19
75,51,19
76,51,19
75,51,19
75,51,19
75,51,19
76,51,19
75,51,19
75,51,19
74,51,19
75,51,19
77,51,19
75,51,19
75,51,19
77,51,19
77,51,19
77,51,19
78,51,19
78,51,19
80,51,19
80,51,19
80,51,19
80,51,19
80,51,19
80,51,19
