R,G,B
0,1,0
0,1,0
1,1,0
3,1,0
3,1,0
3,1,0
0,1,0
0,1,0
27,1,0
184,1,0
180,1,0
176,1,0
176,1,0
174,1,0
176,1,0
176,1,0
176,1,0
175,1,0
175,1,0
174,1,0
174,1,0
174,1,0
174,1,0
174,1,0
174,1,0
173,1,0
173,1,0
172,1,0
171,1,0
171,1,0
170,1,0
170,1,0
169,1,0
169,1,0
168,1,0
168,1,0
168,1,0
168,1,0
168,1,0
167,1,0
166,1,0
166,1,0
166,1,0
166,1,0
166,1,0
166,1,0
166,1,0
166,1,0
165,1,0
165,1,0
164,1,0
164,1,0
163,1,0
163,1,0
163,1,0
163,1,0
162,1,0
162,1,0
162,1,0
162,1,0
162,1,0
161,1,0
160,1,0
160,1,0
161,1,0
160,1,0
159,1,0
158,1,0
158,1,0
158,1,0
158,1,0
159,1,0
157,1,0
157,1,0
156,1,0
156,1,0
156,1,0
155,1,0
155,1,0
155,1,0
156,1,0
156,1,0
156,1,0
155,1,0
155,1,0
154,1,0
154,1,0
154,1,0
155,1,0
154,1,0
154,1,0
154,1,0
153,1,0
153,1,0
153,1,0
153,1,0
155,1,0
154,1,0
153,1,0
153,1,0
154,1,0
154,1,0
153,1,0
153,1,0
153,1,0
152,1,0
150,1,0
150,1,0
150,1,0
150,1,0
150,1,0
149,1,0
150,1,0
149,1,0
148,1,0
148,1,0
149,1,0
149,1,0
149,1,0
149,1,0
149,1,0
147,1,0
146,1,0
145,1,0
146,1,0
147,1,0
147,1,0
148,1,0
147,1,0
147,1,0
147,1,0
146,1,0
146,1,0
145,1,0
145,1,0
145,1,0
145,1,0
145,1,0
145,1,0
145,1,0
145,1,0
144,1,0
143,1,0
142,1,0
143,1,0
143,1,0
143,1,0
143,1,0
143,1,0
143,1,0
143,1,0
143,1,0
141,1,0
140,1,0
141,1,0
142,1,0
142,1,0
140,1,0
139,1,0
140,1,0
138,1,0
138,1,0
138,1,0
140,1,0
140,1,0
141,1,0
141,1,0
141,1,0
140,1,0
139,1,0
138,1,0
140,1,0
139,1,0
140,1,0
141,1,0
143,1,0
140,1,0
151,1,0
151,1,0
117,1,0
69,1,0
48,1,0
51,1,0
49,1,0
47,1,0
47,1,0
48,1,0
47,1,0
42,1,0
40,1,0
41,1,0
38,1,0
42,1,0
41,1,0
39,1,0
38,1,0
37,1,0
36,1,0
36,1,0
36,1,0
40,1,0
39,1,0
36,1,0
33,1,0
33,1,0
37,1,0
41,1,0
42,1,0
37,1,0
35,1,0
33,1,0
34,1,0
35,1,0
34,1,0
34,1,0
36,1,0
36,1,0
36,1,0
35,1,0
35,1,0
36,1,0
37,1,0
35,1,0
31,1,0
29,1,0
30,1,0
31,1,0
31,1,0
31,1,0
31,1,0
32,1,0
34,1,0
29,1,0
30,1,0
31,1,0
31,1,0
33,1,0
36,1,0
37,1,0
36,1,0
38,1,0
38,1,0
37,1,0
36,1,0
36,1,0
35,1,0
34,1,0
34,1,0
31,1,0
31,1,0
0,1,0
