R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4,0,0
7,0,0
60,0,0
74,0,0
75,0,0
76,0,0
76,0,0
76,0,0
76,0,0
76,0,0
77,0,0
78,0,0
78,0,0
79,0,0
77,0,0
77,0,0
77,0,0
77,0,0
77,0,0
77,0,0
77,0,0
77,0,0
77,0,0
77,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
78,0,0
81,0,0
83,0,0
83,0,0
81,0,0
81,0,0
84,0,0
84,0,0
82,0,0
82,0,0
81,0,0
79,0,0
79,0,0
79,0,0
80,0,0
80,0,0
80,0,0
80,0,0
80,0,0
80,0,0
80,0,0
80,0,0
80,0,0
80,0,0
80,0,0
79,0,0
80,0,0
82,0,0
83,0,0
82,0,0
82,0,0
81,0,0
81,0,0
79,0,0
82,0,0
83,0,0
81,0,0
82,0,0
85,0,0
87,0,0
87,0,0
87,0,0
87,0,0
86,0,0
85,0,0
84,0,0
86,0,0
83,0,0
82,0,0
84,0,0
84,0,0
83,0,0
83,0,0
83,0,0
83,0,0
83,0,0
84,0,0
85,0,0
85,0,0
85,0,0
86,0,0
87,0,0
87,0,0
86,0,0
84,0,0
85,0,0
87,0,0
87,0,0
87,0,0
87,0,0
85,0,0
85,0,0
87,0,0
87,0,0
87,0,0
86,0,0
86,0,0
87,0,0
87,0,0
88,0,0
88,0,0
87,0,0
87,0,0
87,0,0
88,0,0
89,0,0
89,0,0
89,0,0
88,0,0
87,0,0
88,0,0
88,0,0
88,0,0
88,0,0
88,0,0
88,0,0
89,0,0
89,0,0
89,0,0
89,0,0
90,0,0
90,0,0
90,0,0
91,0,0
91,0,0
89,0,0
88,0,0
88,0,0
88,0,0
88,0,0
88,0,0
88,0,0
88,0,0
89,0,0
89,0,0
89,0,0
88,0,0
86,0,0
85,0,0
81,0,0
73,0,0
