R,G,B
182,171,167
181,171,167
178,171,167
177,171,167
176,171,167
176,171,167
177,171,167
178,171,167
176,171,167
176,171,167
176,171,167
176,171,167
176,171,167
176,171,167
177,171,167
177,171,167
178,171,167
178,171,167
178,171,167
177,171,167
177,171,167
177,171,167
177,171,167
177,171,167
176,171,167
177,171,167
177,171,167
177,171,167
178,171,167
177,171,167
177,171,167
177,171,167
177,171,167
177,171,167
177,171,167
178,171,167
178,171,167
178,171,167
178,171,167
179,171,167
179,171,167
179,171,167
180,171,167
180,171,167
181,171,167
181,171,167
181,171,167
180,171,167
182,171,167
182,171,167
181,171,167
181,171,167
181,171,167
181,171,167
181,171,167
182,171,167
180,171,167
180,171,167
182,171,167
182,171,167
177,171,167
169,171,167
161,171,167
153,171,167
141,171,167
128,171,167
116,171,167
106,171,167
93,171,167
79,171,167
68,171,167
60,171,167
54,171,167
46,171,167
42,171,167
43,171,167
43,171,167
43,171,167
45,171,167
45,171,167
44,171,167
44,171,167
41,171,167
39,171,167
40,171,167
44,171,167
46,171,167
46,171,167
42,171,167
43,171,167
42,171,167
42,171,167
42,171,167
44,171,167
43,171,167
42,171,167
43,171,167
44,171,167
44,171,167
42,171,167
42,171,167
43,171,167
44,171,167
43,171,167
41,171,167
43,171,167
43,171,167
42,171,167
41,171,167
43,171,167
43,171,167
43,171,167
42,171,167
43,171,167
42,171,167
41,171,167
43,171,167
49,171,167
57,171,167
68,171,167
79,171,167
96,171,167
114,171,167
127,171,167
139,171,167
151,171,167
161,171,167
168,171,167
179,171,167
183,171,167
187,171,167
190,171,167
190,171,167
189,171,167
190,171,167
190,171,167
189,171,167
189,171,167
190,171,167
190,171,167
190,171,167
191,171,167
191,171,167
191,171,167
189,171,167
189,171,167
190,171,167
190,171,167
190,171,167
191,171,167
191,171,167
192,171,167
193,171,167
193,171,167
192,171,167
191,171,167
191,171,167
190,171,167
190,171,167
191,171,167
190,171,167
190,171,167
190,171,167
190,171,167
190,171,167
190,171,167
189,171,167
189,171,167
190,171,167
190,171,167
189,171,167
190,171,167
191,171,167
192,171,167
191,171,167
191,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
191,171,167
191,171,167
190,171,167
190,171,167
190,171,167
190,171,167
191,171,167
191,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
192,171,167
