R,G,B
26,39,107
25,39,107
25,39,107
24,39,107
24,39,107
23,39,107
24,39,107
24,39,107
18,39,107
23,39,107
29,39,107
31,39,107
31,39,107
31,39,107
29,39,107
28,39,107
33,39,107
32,39,107
59,39,107
127,39,107
199,39,107
231,39,107
230,39,107
227,39,107
227,39,107
224,39,107
207,39,107
189,39,107
194,39,107
214,39,107
225,39,107
225,39,107
231,39,107
235,39,107
238,39,107
240,39,107
240,39,107
242,39,107
243,39,107
244,39,107
243,39,107
243,39,107
243,39,107
243,39,107
243,39,107
244,39,107
244,39,107
244,39,107
245,39,107
245,39,107
245,39,107
245,39,107
245,39,107
245,39,107
244,39,107
244,39,107
243,39,107
244,39,107
244,39,107
245,39,107
245,39,107
244,39,107
242,39,107
242,39,107
234,39,107
238,39,107
241,39,107
240,39,107
238,39,107
236,39,107
222,39,107
204,39,107
154,39,107
119,39,107
79,39,107
51,39,107
32,39,107
26,39,107
31,39,107
38,39,107
25,39,107
27,39,107
27,39,107
24,39,107
25,39,107
23,39,107
21,39,107
22,39,107
27,39,107
27,39,107
32,39,107
30,39,107
20,39,107
21,39,107
21,39,107
18,39,107
22,39,107
17,39,107
19,39,107
23,39,107
21,39,107
21,39,107
24,39,107
24,39,107
24,39,107
23,39,107
24,39,107
25,39,107
26,39,107
29,39,107
31,39,107
33,39,107
32,39,107
31,39,107
31,39,107
31,39,107
32,39,107
33,39,107
32,39,107
32,39,107
32,39,107
32,39,107
31,39,107
29,39,107
28,39,107
27,39,107
26,39,107
25,39,107
28,39,107
32,39,107
42,39,107
81,39,107
175,39,107
218,39,107
217,39,107
226,39,107
228,39,107
227,39,107
227,39,107
229,39,107
225,39,107
223,39,107
224,39,107
221,39,107
219,39,107
219,39,107
218,39,107
218,39,107
218,39,107
219,39,107
219,39,107
220,39,107
219,39,107
219,39,107
219,39,107
220,39,107
220,39,107
220,39,107
221,39,107
221,39,107
221,39,107
220,39,107
220,39,107
220,39,107
219,39,107
219,39,107
219,39,107
218,39,107
218,39,107
218,39,107
217,39,107
217,39,107
217,39,107
216,39,107
216,39,107
216,39,107
215,39,107
215,39,107
216,39,107
216,39,107
219,39,107
219,39,107
219,39,107
220,39,107
220,39,107
220,39,107
220,39,107
220,39,107
218,39,107
219,39,107
219,39,107
221,39,107
227,39,107
228,39,107
227,39,107
226,39,107
225,39,107
225,39,107
225,39,107
226,39,107
227,39,107
237,39,107
229,39,107
232,39,107
228,39,107
220,39,107
222,39,107
208,39,107
166,39,107
115,39,107
79,39,107
69,39,107
67,39,107
67,39,107
68,39,107
63,39,107
67,39,107
68,39,107
68,39,107
66,39,107
