R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
13,0,0
16,0,0
15,0,0
18,0,0
16,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
19,0,0
16,0,0
13,0,0
14,0,0
16,0,0
17,0,0
16,0,0
16,0,0
16,0,0
17,0,0
20,0,0
22,0,0
23,0,0
25,0,0
28,0,0
18,0,0
19,0,0
18,0,0
16,0,0
18,0,0
21,0,0
21,0,0
19,0,0
20,0,0
16,0,0
17,0,0
31,0,0
44,0,0
51,0,0
61,0,0
71,0,0
79,0,0
88,0,0
97,0,0
104,0,0
113,0,0
120,0,0
126,0,0
131,0,0
137,0,0
141,0,0
148,0,0
153,0,0
156,0,0
157,0,0
160,0,0
164,0,0
164,0,0
163,0,0
163,0,0
163,0,0
163,0,0
164,0,0
164,0,0
164,0,0
164,0,0
164,0,0
163,0,0
163,0,0
162,0,0
162,0,0
162,0,0
163,0,0
161,0,0
160,0,0
158,0,0
156,0,0
156,0,0
155,0,0
153,0,0
152,0,0
151,0,0
151,0,0
150,0,0
152,0,0
152,0,0
153,0,0
152,0,0
153,0,0
152,0,0
151,0,0
149,0,0
151,0,0
150,0,0
147,0,0
144,0,0
141,0,0
139,0,0
136,0,0
133,0,0
131,0,0
124,0,0
119,0,0
112,0,0
106,0,0
100,0,0
94,0,0
86,0,0
77,0,0
71,0,0
67,0,0
58,0,0
48,0,0
45,0,0
40,0,0
36,0,0
38,0,0
38,0,0
35,0,0
34,0,0
34,0,0
32,0,0
32,0,0
24,0,0
24,0,0
24,0,0
22,0,0
27,0,0
25,0,0
26,0,0
32,0,0
31,0,0
26,0,0
26,0,0
29,0,0
29,0,0
28,0,0
38,0,0
39,0,0
40,0,0
40,0,0
40,0,0
42,0,0
48,0,0
57,0,0
