R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
11,0,0
52,0,0
92,0,0
126,0,0
131,0,0
135,0,0
140,0,0
145,0,0
150,0,0
154,0,0
159,0,0
163,0,0
162,0,0
158,0,0
154,0,0
148,0,0
134,0,0
124,0,0
117,0,0
111,0,0
105,0,0
104,0,0
108,0,0
111,0,0
118,0,0
130,0,0
142,0,0
144,0,0
142,0,0
142,0,0
136,0,0
130,0,0
125,0,0
120,0,0
119,0,0
117,0,0
117,0,0
117,0,0
119,0,0
121,0,0
117,0,0
118,0,0
127,0,0
134,0,0
143,0,0
157,0,0
174,0,0
180,0,0
164,0,0
136,0,0
121,0,0
117,0,0
113,0,0
113,0,0
113,0,0
115,0,0
117,0,0
120,0,0
124,0,0
126,0,0
124,0,0
121,0,0
118,0,0
116,0,0
113,0,0
111,0,0
111,0,0
111,0,0
111,0,0
110,0,0
108,0,0
106,0,0
101,0,0
98,0,0
103,0,0
114,0,0
125,0,0
131,0,0
132,0,0
135,0,0
130,0,0
119,0,0
111,0,0
113,0,0
117,0,0
119,0,0
120,0,0
123,0,0
123,0,0
117,0,0
106,0,0
102,0,0
107,0,0
114,0,0
121,0,0
121,0,0
118,0,0
115,0,0
111,0,0
104,0,0
101,0,0
105,0,0
109,0,0
112,0,0
115,0,0
118,0,0
115,0,0
103,0,0
89,0,0
82,0,0
84,0,0
87,0,0
94,0,0
107,0,0
121,0,0
124,0,0
117,0,0
112,0,0
104,0,0
96,0,0
89,0,0
90,0,0
101,0,0
112,0,0
115,0,0
112,0,0
112,0,0
106,0,0
100,0,0
91,0,0
90,0,0
88,0,0
84,0,0
94,0,0
101,0,0
115,0,0
121,0,0
131,0,0
138,0,0
131,0,0
121,0,0
112,0,0
110,0,0
107,0,0
104,0,0
108,0,0
112,0,0
113,0,0
112,0,0
110,0,0
111,0,0
106,0,0
98,0,0
94,0,0
93,0,0
91,0,0
91,0,0
95,0,0
99,0,0
102,0,0
107,0,0
111,0,0
114,0,0
117,0,0
117,0,0
116,0,0
108,0,0
101,0,0
98,0,0
101,0,0
102,0,0
103,0,0
102,0,0
99,0,0
