R,G,B
243,49,73
243,49,73
246,49,73
251,49,73
255,49,73
253,49,73
248,49,73
243,49,73
237,49,73
239,49,73
240,49,73
235,49,73
227,49,73
220,49,73
217,49,73
213,49,73
211,49,73
211,49,73
210,49,73
211,49,73
212,49,73
212,49,73
209,49,73
207,49,73
208,49,73
208,49,73
208,49,73
208,49,73
208,49,73
208,49,73
208,49,73
208,49,73
206,49,73
206,49,73
203,49,73
203,49,73
202,49,73
201,49,73
200,49,73
198,49,73
197,49,73
197,49,73
197,49,73
199,49,73
199,49,73
199,49,73
199,49,73
199,49,73
197,49,73
197,49,73
197,49,73
197,49,73
197,49,73
196,49,73
196,49,73
195,49,73
195,49,73
195,49,73
195,49,73
195,49,73
195,49,73
195,49,73
195,49,73
195,49,73
196,49,73
196,49,73
196,49,73
196,49,73
196,49,73
195,49,73
195,49,73
195,49,73
195,49,73
195,49,73
195,49,73
195,49,73
195,49,73
195,49,73
195,49,73
195,49,73
196,49,73
196,49,73
196,49,73
197,49,73
197,49,73
197,49,73
197,49,73
197,49,73
197,49,73
197,49,73
196,49,73
196,49,73
196,49,73
194,49,73
194,49,73
193,49,73
194,49,73
193,49,73
193,49,73
192,49,73
192,49,73
192,49,73
190,49,73
189,49,73
189,49,73
187,49,73
187,49,73
187,49,73
186,49,73
186,49,73
186,49,73
186,49,73
186,49,73
185,49,73
185,49,73
185,49,73
185,49,73
184,49,73
184,49,73
183,49,73
183,49,73
183,49,73
181,49,73
181,49,73
180,49,73
179,49,73
179,49,73
179,49,73
177,49,73
177,49,73
176,49,73
176,49,73
175,49,73
175,49,73
173,49,73
173,49,73
172,49,73
172,49,73
173,49,73
173,49,73
173,49,73
174,49,73
173,49,73
173,49,73
171,49,73
171,49,73
171,49,73
171,49,73
171,49,73
171,49,73
170,49,73
170,49,73
169,49,73
169,49,73
166,49,73
166,49,73
166,49,73
166,49,73
166,49,73
166,49,73
164,49,73
164,49,73
164,49,73
163,49,73
163,49,73
163,49,73
163,49,73
160,49,73
162,49,73
161,49,73
160,49,73
160,49,73
161,49,73
160,49,73
160,49,73
159,49,73
154,49,73
154,49,73
154,49,73
154,49,73
153,49,73
153,49,73
151,49,73
151,49,73
150,49,73
150,49,73
149,49,73
149,49,73
149,49,73
149,49,73
149,49,73
149,49,73
145,49,73
145,49,73
145,49,73
145,49,73
146,49,73
146,49,73
146,49,73
148,49,73
148,49,73
150,49,73
150,49,73
150,49,73
152,49,73
152,49,73
151,49,73
151,49,73
150,49,73
150,49,73
150,49,73
152,49,73
153,49,73
153,49,73
153,49,73
154,49,73
153,49,73
155,49,73
156,49,73
157,49,73
159,49,73
160,49,73
161,49,73
161,49,73
169,49,73
169,49,73
170,49,73
171,49,73
171,49,73
173,49,73
173,49,73
173,49,73
172,49,73
172,49,73
174,49,73
174,49,73
175,49,73
175,49,73
176,49,73
176,49,73
181,49,73
181,49,73
182,49,73
183,49,73
183,49,73
184,49,73
184,49,73
186,49,73
185,49,73
185,49,73
240,40,64
242,40,64
245,40,64
250,40,64
253,40,64
254,40,64
251,40,64
246,40,64
243,40,64
242,40,64
238,40,64
229,40,64
218,40,64
213,40,64
213,40,64
213,40,64
211,40,64
210,40,64
209,40,64
210,40,64
211,40,64
211,40,64
209,40,64
208,40,64
207,40,64
207,40,64
207,40,64
207,40,64
207,40,64
207,40,64
207,40,64
207,40,64
205,40,64
205,40,64
203,40,64
202,40,64
202,40,64
200,40,64
200,40,64
197,40,64
197,40,64
197,40,64
197,40,64
199,40,64
199,40,64
199,40,64
199,40,64
199,40,64
197,40,64
197,40,64
197,40,64
197,40,64
196,40,64
196,40,64
196,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
196,40,64
196,40,64
196,40,64
196,40,64
196,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
195,40,64
196,40,64
196,40,64
196,40,64
196,40,64
196,40,64
196,40,64
195,40,64
195,40,64
194,40,64
194,40,64
193,40,64
191,40,64
193,40,64
193,40,64
193,40,64
191,40,64
191,40,64
191,40,64
189,40,64
188,40,64
187,40,64
187,40,64
187,40,64
186,40,64
186,40,64
186,40,64
186,40,64
186,40,64
186,40,64
186,40,64
185,40,64
185,40,64
184,40,64
184,40,64
184,40,64
183,40,64
183,40,64
181,40,64
181,40,64
180,40,64
179,40,64
179,40,64
179,40,64
178,40,64
177,40,64
177,40,64
176,40,64
175,40,64
174,40,64
172,40,64
172,40,64
172,40,64
171,40,64
171,40,64
172,40,64
172,40,64
172,40,64
171,40,64
173,40,64
172,40,64
171,40,64
171,40,64
171,40,64
171,40,64
171,40,64
171,40,64
170,40,64
170,40,64
168,40,64
166,40,64
166,40,64
166,40,64
166,40,64
166,40,64
166,40,64
165,40,64
164,40,64
163,40,64
163,40,64
163,40,64
163,40,64
162,40,64
160,40,64
160,40,64
161,40,64
160,40,64
160,40,64
159,40,64
160,40,64
160,40,64
159,40,64
159,40,64
154,40,64
154,40,64
153,40,64
153,40,64
153,40,64
151,40,64
150,40,64
150,40,64
150,40,64
150,40,64
149,40,64
149,40,64
149,40,64
149,40,64
149,40,64
149,40,64
146,40,64
146,40,64
146,40,64
147,40,64
147,40,64
147,40,64
149,40,64
149,40,64
150,40,64
150,40,64
150,40,64
153,40,64
153,40,64
152,40,64
152,40,64
152,40,64
152,40,64
152,40,64
152,40,64
153,40,64
153,40,64
153,40,64
154,40,64
155,40,64
155,40,64
156,40,64
159,40,64
160,40,64
161,40,64
161,40,64
161,40,64
161,40,64
170,40,64
170,40,64
171,40,64
172,40,64
174,40,64
174,40,64
174,40,64
174,40,64
172,40,64
173,40,64
174,40,64
174,40,64
175,40,64
176,40,64
177,40,64
177,40,64
181,40,64
181,40,64
182,40,64
182,40,64
183,40,64
184,40,64
183,40,64
185,40,64
185,40,64
185,40,64
240,31,57
242,31,57
245,31,57
249,31,57
252,31,57
254,31,57
251,31,57
248,31,57
245,31,57
240,31,57
231,31,57
219,31,57
208,31,57
205,31,57
207,31,57
210,31,57
210,31,57
209,31,57
209,31,57
209,31,57
210,31,57
210,31,57
209,31,57
208,31,57
206,31,57
206,31,57
206,31,57
206,31,57
206,31,57
206,31,57
206,31,57
206,31,57
205,31,57
204,31,57
202,31,57
202,31,57
200,31,57
200,31,57
199,31,57
197,31,57
197,31,57
197,31,57
197,31,57
197,31,57
199,31,57
199,31,57
199,31,57
199,31,57
197,31,57
197,31,57
196,31,57
196,31,57
196,31,57
196,31,57
195,31,57
194,31,57
195,31,57
195,31,57
195,31,57
195,31,57
195,31,57
195,31,57
195,31,57
195,31,57
196,31,57
195,31,57
195,31,57
195,31,57
195,31,57
195,31,57
195,31,57
195,31,57
194,31,57
194,31,57
194,31,57
194,31,57
194,31,57
194,31,57
194,31,57
193,31,57
194,31,57
194,31,57
194,31,57
194,31,57
194,31,57
196,31,57
196,31,57
196,31,57
195,31,57
195,31,57
195,31,57
194,31,57
194,31,57
193,31,57
190,31,57
190,31,57
190,31,57
190,31,57
190,31,57
190,31,57
191,31,57
190,31,57
189,31,57
188,31,57
186,31,57
186,31,57
185,31,57
185,31,57
185,31,57
184,31,57
184,31,57
184,31,57
186,31,57
186,31,57
185,31,57
184,31,57
184,31,57
184,31,57
183,31,57
183,31,57
182,31,57
180,31,57
180,31,57
179,31,57
179,31,57
178,31,57
178,31,57
178,31,57
175,31,57
175,31,57
175,31,57
174,31,57
173,31,57
171,31,57
171,31,57
170,31,57
170,31,57
170,31,57
170,31,57
171,31,57
171,31,57
171,31,57
172,31,57
172,31,57
170,31,57
170,31,57
170,31,57
170,31,57
170,31,57
169,31,57
169,31,57
169,31,57
168,31,57
166,31,57
166,31,57
166,31,57
166,31,57
165,31,57
165,31,57
164,31,57
163,31,57
163,31,57
163,31,57
163,31,57
162,31,57
160,31,57
160,31,57
160,31,57
160,31,57
159,31,57
158,31,57
158,31,57
159,31,57
157,31,57
156,31,57
156,31,57
153,31,57
153,31,57
153,31,57
150,31,57
150,31,57
150,31,57
150,31,57
150,31,57
149,31,57
148,31,57
148,31,57
148,31,57
148,31,57
148,31,57
148,31,57
148,31,57
147,31,57
147,31,57
147,31,57
147,31,57
149,31,57
149,31,57
149,31,57
150,31,57
150,31,57
153,31,57
153,31,57
153,31,57
154,31,57
154,31,57
154,31,57
154,31,57
154,31,57
154,31,57
154,31,57
155,31,57
155,31,57
155,31,57
156,31,57
156,31,57
159,31,57
159,31,57
161,31,57
162,31,57
164,31,57
164,31,57
164,31,57
164,31,57
172,31,57
173,31,57
174,31,57
174,31,57
175,31,57
175,31,57
176,31,57
175,31,57
174,31,57
174,31,57
174,31,57
176,31,57
177,31,57
177,31,57
178,31,57
178,31,57
181,31,57
181,31,57
182,31,57
182,31,57
183,31,57
183,31,57
183,31,57
183,31,57
185,31,57
185,31,57
244,23,50
246,23,50
249,23,50
251,23,50
252,23,50
250,23,50
250,23,50
247,23,50
243,23,50
235,23,50
224,23,50
212,23,50
203,23,50
203,23,50
206,23,50
209,23,50
211,23,50
210,23,50
209,23,50
208,23,50
209,23,50
209,23,50
208,23,50
208,23,50
206,23,50
206,23,50
206,23,50
206,23,50
206,23,50
206,23,50
206,23,50
206,23,50
204,23,50
202,23,50
202,23,50
201,23,50
200,23,50
200,23,50
197,23,50
197,23,50
196,23,50
196,23,50
196,23,50
196,23,50
198,23,50
198,23,50
198,23,50
198,23,50
196,23,50
196,23,50
196,23,50
196,23,50
196,23,50
195,23,50
194,23,50
194,23,50
195,23,50
195,23,50
195,23,50
195,23,50
195,23,50
194,23,50
194,23,50
194,23,50
195,23,50
195,23,50
195,23,50
195,23,50
195,23,50
195,23,50
195,23,50
195,23,50
194,23,50
194,23,50
193,23,50
193,23,50
193,23,50
193,23,50
193,23,50
193,23,50
192,23,50
193,23,50
193,23,50
194,23,50
194,23,50
195,23,50
195,23,50
195,23,50
194,23,50
195,23,50
194,23,50
194,23,50
194,23,50
191,23,50
190,23,50
190,23,50
190,23,50
190,23,50
190,23,50
190,23,50
190,23,50
190,23,50
189,23,50
186,23,50
185,23,50
184,23,50
184,23,50
184,23,50
183,23,50
183,23,50
183,23,50
183,23,50
184,23,50
184,23,50
184,23,50
184,23,50
184,23,50
183,23,50
183,23,50
181,23,50
180,23,50
180,23,50
179,23,50
178,23,50
178,23,50
176,23,50
