R,G,B
121,121,121
115,121,121
117,121,121
118,121,121
114,121,121
119,121,121
124,121,121
118,121,121
112,121,121
118,121,121
120,121,121
118,121,121
118,121,121
118,121,121
117,121,121
118,121,121
114,121,121
108,121,121
122,121,121
158,121,121
211,121,121
252,121,121
255,121,121
250,121,121
253,121,121
254,121,121
255,121,121
254,121,121
254,121,121
254,121,121
254,121,121
253,121,121
254,121,121
253,121,121
254,121,121
246,121,121
197,121,121
136,121,121
115,121,121
118,121,121
113,121,121
116,121,121
117,121,121
120,121,121
124,121,121
123,121,121
121,121,121
122,121,121
124,121,121
123,121,121
121,121,121
119,121,121
117,121,121
117,121,121
118,121,121
120,121,121
121,121,121
120,121,121
118,121,121
118,121,121
119,121,121
122,121,121
125,121,121
127,121,121
131,121,121
125,121,121
116,121,121
115,121,121
116,121,121
111,121,121
96,121,121
82,121,121
70,121,121
63,121,121
62,121,121
69,121,121
75,121,121
73,121,121
71,121,121
69,121,121
67,121,121
63,121,121
64,121,121
68,121,121
72,121,121
75,121,121
77,121,121
76,121,121
78,121,121
80,121,121
80,121,121
78,121,121
74,121,121
72,121,121
74,121,121
76,121,121
69,121,121
70,121,121
72,121,121
72,121,121
70,121,121
65,121,121
60,121,121
56,121,121
51,121,121
54,121,121
53,121,121
54,121,121
57,121,121
58,121,121
54,121,121
51,121,121
52,121,121
54,121,121
53,121,121
51,121,121
48,121,121
53,121,121
72,121,121
95,121,121
106,121,121
104,121,121
101,121,121
106,121,121
121,121,121
135,121,121
145,121,121
153,121,121
148,121,121
144,121,121
145,121,121
145,121,121
144,121,121
148,121,121
155,121,121
160,121,121
160,121,121
166,121,121
164,121,121
153,121,121
139,121,121
130,121,121
127,121,121
125,121,121
120,121,121
117,121,121
116,121,121
114,121,121
113,121,121
110,121,121
110,121,121
109,121,121
110,121,121
112,121,121
113,121,121
116,121,121
116,121,121
117,121,121
117,121,121
116,121,121
114,121,121
114,121,121
114,121,121
114,121,121
114,121,121
113,121,121
113,121,121
113,121,121
118,121,121
115,121,121
110,121,121
107,121,121
105,121,121
107,121,121
110,121,121
112,121,121
122,121,121
120,121,121
121,121,121
86,121,121
46,121,121
20,121,121
28,121,121
31,121,121
33,121,121
30,121,121
30,121,121
34,121,121
36,121,121
35,121,121
32,121,121
31,121,121
29,121,121
30,121,121
30,121,121
33,121,121
38,121,121
39,121,121
38,121,121
41,121,121
37,121,121
34,121,121
32,121,121
30,121,121
30,121,121
27,121,121
29,121,121
31,121,121
34,121,121
43,121,121
37,121,121
30,121,121
45,121,121
60,121,121
49,121,121
29,121,121
31,121,121
56,121,121
101,121,121
163,121,121
217,121,121
246,121,121
252,121,121
238,121,121
244,121,121
245,121,121
255,121,121
255,121,121
255,121,121
255,121,121
229,121,121
172,121,121
130,121,121
142,121,121
150,121,121
154,121,121
156,121,121
159,121,121
164,121,121
167,121,121
159,121,121
159,121,121
160,121,121
162,121,121
163,121,121
164,121,121
166,121,121
166,121,121
167,121,121
167,121,121
207,206,206
206,206,206
210,206,206
212,206,206
207,206,206
206,206,206
209,206,206
207,206,206
204,206,206
206,206,206
208,206,206
210,206,206
211,206,206
209,206,206
205,206,206
204,206,206
199,206,206
201,206,206
210,206,206
218,206,206
236,206,206
251,206,206
250,206,206
249,206,206
254,206,206
255,206,206
255,206,206
255,206,206
254,206,206
254,206,206
253,206,206
253,206,206
253,206,206
253,206,206
254,206,206
245,206,206
196,206,206
135,206,206
115,206,206
118,206,206
113,206,206
116,206,206
117,206,206
119,206,206
121,206,206
121,206,206
120,206,206
121,206,206
123,206,206
122,206,206
121,206,206
119,206,206
117,206,206
117,206,206
118,206,206
119,206,206
118,206,206
119,206,206
122,206,206
124,206,206
125,206,206
124,206,206
123,206,206
122,206,206
122,206,206
122,206,206
120,206,206
117,206,206
120,206,206
121,206,206
113,206,206
100,206,206
79,206,206
67,206,206
59,206,206
60,206,206
65,206,206
68,206,206
69,206,206
65,206,206
62,206,206
60,206,206
63,206,206
68,206,206
70,206,206
71,206,206
72,206,206
70,206,206
71,206,206
75,206,206
75,206,206
72,206,206
67,206,206
65,206,206
66,206,206
68,206,206
62,206,206
63,206,206
65,206,206
66,206,206
64,206,206
62,206,206
59,206,206
56,206,206
60,206,206
57,206,206
50,206,206
48,206,206
50,206,206
51,206,206
52,206,206
54,206,206
54,206,206
52,206,206
50,206,206
50,206,206
59,206,206
75,206,206
100,206,206
125,206,206
142,206,206
138,206,206
132,206,206
131,206,206
139,206,206
146,206,206
147,206,206
147,206,206
139,206,206
137,206,206
136,206,206
136,206,206
137,206,206
146,206,206
151,206,206
154,206,206
149,206,206
153,206,206
155,206,206
149,206,206
140,206,206
134,206,206
132,206,206
129,206,206
115,206,206
114,206,206
114,206,206
113,206,206
112,206,206
111,206,206
111,206,206
110,206,206
109,206,206
111,206,206
113,206,206
116,206,206
117,206,206
118,206,206
117,206,206
118,206,206
115,206,206
115,206,206
115,206,206
115,206,206
114,206,206
114,206,206
114,206,206
114,206,206
115,206,206
115,206,206
114,206,206
114,206,206
113,206,206
113,206,206
113,206,206
113,206,206
120,206,206
118,206,206
123,206,206
95,206,206
56,206,206
28,206,206
33,206,206
32,206,206
28,206,206
27,206,206
29,206,206
35,206,206
36,206,206
33,206,206
32,206,206
33,206,206
32,206,206
31,206,206
31,206,206
33,206,206
35,206,206
37,206,206
39,206,206
41,206,206
41,206,206
39,206,206
35,206,206
33,206,206
32,206,206
34,206,206
34,206,206
36,206,206
32,206,206
29,206,206
28,206,206
37,206,206
39,206,206
30,206,206
29,206,206
39,206,206
68,206,206
127,206,206
181,206,206
211,206,206
229,206,206
240,206,206
248,206,206
250,206,206
233,206,206
241,206,206
252,206,206
255,206,206
240,206,206
212,206,206
176,206,206
144,206,206
137,206,206
145,206,206
149,206,206
154,206,206
156,206,206
160,206,206
164,206,206
165,206,206
157,206,206
159,206,206
160,206,206
160,206,206
162,206,206
164,206,206
164,206,206
166,206,206
166,206,206
166,206,206
255,252,252
253,252,252
252,252,252
253,252,252
252,252,252
250,252,252
251,252,252
253,252,252
255,252,252
253,252,252
250,252,252
251,252,252
254,252,252
254,252,252
251,252,252
249,252,252
246,252,252
248,252,252
245,252,252
234,252,252
238,252,252
249,252,252
250,252,252
253,252,252
254,252,252
255,252,252
255,252,252
255,252,252
254,252,252
253,252,252
253,252,252
252,252,252
253,252,252
253,252,252
254,252,252
245,252,252
196,252,252
134,252,252
114,252,252
118,252,252
115,252,252
118,252,252
118,252,252
118,252,252
118,252,252
117,252,252
117,252,252
119,252,252
121,252,252
121,252,252
120,252,252
119,252,252
118,252,252
118,252,252
118,252,252
118,252,252
117,252,252
120,252,252
124,252,252
128,252,252
128,252,252
126,252,252
122,252,252
120,252,252
117,252,252
124,252,252
125,252,252
121,252,252
125,252,252
131,252,252
128,252,252
119,252,252
106,252,252
89,252,252
72,252,252
65,252,252
66,252,252
70,252,252
68,252,252
62,252,252
58,252,252
57,252,252
60,252,252
64,252,252
64,252,252
66,252,252
65,252,252
62,252,252
63,252,252
65,252,252
66,252,252
64,252,252
63,252,252
60,252,252
59,252,252
60,252,252
53,252,252
55,252,252
56,252,252
57,252,252
58,252,252
58,252,252
58,252,252
57,252,252
53,252,252
51,252,252
48,252,252
48,252,252
48,252,252
48,252,252
49,252,252
54,252,252
56,252,252
56,252,252
56,252,252
70,252,252
95,252,252
122,252,252
142,252,252
155,252,252
164,252,252
162,252,252
155,252,252
153,252,252
158,252,252
160,252,252
155,252,252
148,252,252
148,252,252
145,252,252
143,252,252
141,252,252
144,252,252
153,252,252
159,252,252
157,252,252
147,252,252
148,252,252
147,252,252
141,252,252
133,252,252
130,252,252
127,252,252
125,252,252
114,252,252
114,252,252
114,252,252
112,252,252
112,252,252
111,252,252
111,252,252
110,252,252
109,252,252
111,252,252
113,252,252
116,252,252
117,252,252
119,252,252
119,252,252
120,252,252
116,252,252
116,252,252
116,252,252
115,252,252
115,252,252
114,252,252
114,252,252
114,252,252
111,252,252
112,252,252
113,252,252
114,252,252
114,252,252
113,252,252
112,252,252
111,252,252
111,252,252
112,252,252
119,252,252
94,252,252
58,252,252
24,252,252
26,252,252
26,252,252
26,252,252
26,252,252
29,252,252
33,252,252
32,252,252
30,252,252
32,252,252
34,252,252
35,252,252
34,252,252
34,252,252
34,252,252
34,252,252
34,252,252
35,252,252
36,252,252
