R,G,B
1,1,1
0,1,1
0,1,1
0,1,1
30,1,1
84,1,1
86,1,1
88,1,1
90,1,1
91,1,1
90,1,1
92,1,1
100,1,1
111,1,1
121,1,1
125,1,1
120,1,1
120,1,1
120,1,1
118,1,1
116,1,1
113,1,1
113,1,1
113,1,1
112,1,1
115,1,1
116,1,1
115,1,1
113,1,1
112,1,1
112,1,1
113,1,1
111,1,1
110,1,1
110,1,1
109,1,1
108,1,1
108,1,1
107,1,1
107,1,1
105,1,1
105,1,1
106,1,1
107,1,1
107,1,1
107,1,1
106,1,1
106,1,1
107,1,1
106,1,1
106,1,1
107,1,1
107,1,1
108,1,1
107,1,1
102,1,1
91,1,1
82,1,1
72,1,1
64,1,1
61,1,1
60,1,1
61,1,1
62,1,1
62,1,1
64,1,1
66,1,1
67,1,1
66,1,1
65,1,1
65,1,1
65,1,1
64,1,1
63,1,1
63,1,1
63,1,1
63,1,1
63,1,1
63,1,1
63,1,1
63,1,1
63,1,1
63,1,1
63,1,1
63,1,1
63,1,1
64,1,1
64,1,1
63,1,1
63,1,1
63,1,1
63,1,1
63,1,1
62,1,1
61,1,1
61,1,1
61,1,1
60,1,1
60,1,1
60,1,1
60,1,1
58,1,1
58,1,1
59,1,1
59,1,1
58,1,1
56,1,1
54,1,1
52,1,1
51,1,1
52,1,1
52,1,1
53,1,1
55,1,1
55,1,1
54,1,1
52,1,1
51,1,1
49,1,1
47,1,1
47,1,1
46,1,1
43,1,1
42,1,1
41,1,1
41,1,1
40,1,1
39,1,1
40,1,1
40,1,1
41,1,1
42,1,1
43,1,1
42,1,1
40,1,1
38,1,1
41,1,1
41,1,1
42,1,1
43,1,1
42,1,1
42,1,1
41,1,1
40,1,1
35,1,1
36,1,1
41,1,1
43,1,1
44,1,1
43,1,1
43,1,1
42,1,1
40,1,1
39,1,1
39,1,1
42,1,1
45,1,1
46,1,1
45,1,1
44,1,1
44,1,1
43,1,1
42,1,1
42,1,1
42,1,1
43,1,1
44,1,1
45,1,1
45,1,1
44,1,1
42,1,1
40,1,1
40,1,1
40,1,1
41,1,1
41,1,1
45,1,1
45,1,1
45,1,1
44,1,1
44,1,1
44,1,1
46,1,1
47,1,1
47,1,1
48,1,1
48,1,1
47,1,1
45,1,1
43,1,1
42,1,1
43,1,1
44,1,1
48,1,1
49,1,1
51,1,1
64,1,1
67,1,1
62,1,1
74,1,1
81,1,1
91,1,1
89,1,1
86,1,1
92,1,1
93,1,1
88,1,1
90,1,1
93,1,1
96,1,1
93,1,1
92,1,1
91,1,1
94,1,1
101,1,1
96,1,1
89,1,1
85,1,1
83,1,1
86,1,1
89,1,1
90,1,1
91,1,1
93,1,1
93,1,1
89,1,1
89,1,1
89,1,1
89,1,1
88,1,1
90,1,1
93,1,1
86,1,1
82,1,1
81,1,1
79,1,1
74,1,1
75,1,1
78,1,1
75,1,1
81,1,1
88,1,1
93,1,1
97,1,1
104,1,1
103,1,1
98,1,1
94,1,1
84,1,1
78,1,1
1,0,0
0,0,0
0,0,0
0,0,0
29,0,0
83,0,0
86,0,0
89,0,0
90,0,0
90,0,0
90,0,0
92,0,0
99,0,0
111,0,0
121,0,0
125,0,0
120,0,0
120,0,0
120,0,0
118,0,0
115,0,0
113,0,0
113,0,0
112,0,0
113,0,0
116,0,0
116,0,0
115,0,0
114,0,0
113,0,0
112,0,0
113,0,0
111,0,0
111,0,0
110,0,0
109,0,0
108,0,0
108,0,0
107,0,0
107,0,0
105,0,0
105,0,0
107,0,0
107,0,0
108,0,0
107,0,0
106,0,0
105,0,0
106,0,0
105,0,0
106,0,0
107,0,0
107,0,0
108,0,0
107,0,0
102,0,0
92,0,0
82,0,0
72,0,0
64,0,0
61,0,0
60,0,0
61,0,0
62,0,0
62,0,0
64,0,0
66,0,0
67,0,0
66,0,0
66,0,0
65,0,0
65,0,0
64,0,0
64,0,0
64,0,0
64,0,0
63,0,0
63,0,0
63,0,0
63,0,0
63,0,0
63,0,0
63,0,0
63,0,0
63,0,0
63,0,0
63,0,0
64,0,0
63,0,0
63,0,0
63,0,0
63,0,0
63,0,0
62,0,0
61,0,0
61,0,0
61,0,0
60,0,0
60,0,0
60,0,0
60,0,0
58,0,0
58,0,0
59,0,0
58,0,0
57,0,0
56,0,0
54,0,0
52,0,0
52,0,0
52,0,0
53,0,0
53,0,0
55,0,0
55,0,0
54,0,0
53,0,0
52,0,0
50,0,0
48,0,0
47,0,0
46,0,0
44,0,0
42,0,0
41,0,0
41,0,0
40,0,0
40,0,0
40,0,0
40,0,0
41,0,0
42,0,0
43,0,0
42,0,0
40,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
43,0,0
42,0,0
41,0,0
40,0,0
35,0,0
37,0,0
41,0,0
43,0,0
44,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
40,0,0
43,0,0
45,0,0
46,0,0
45,0,0
44,0,0
43,0,0
43,0,0
42,0,0
42,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
44,0,0
42,0,0
41,0,0
40,0,0
40,0,0
41,0,0
42,0,0
45,0,0
45,0,0
45,0,0
44,0,0
44,0,0
44,0,0
46,0,0
47,0,0
47,0,0
48,0,0
48,0,0
47,0,0
45,0,0
43,0,0
43,0,0
43,0,0
42,0,0
46,0,0
48,0,0
52,0,0
66,0,0
70,0,0
64,0,0
75,0,0
84,0,0
93,0,0
91,0,0
87,0,0
93,0,0
94,0,0
89,0,0
89,0,0
92,0,0
94,0,0
91,0,0
90,0,0
89,0,0
91,0,0
96,0,0
90,0,0
88,0,0
81,0,0
76,0,0
78,0,0
81,0,0
82,0,0
83,0,0
83,0,0
85,0,0
84,0,0
84,0,0
86,0,0
87,0,0
85,0,0
87,0,0
89,0,0
84,0,0
75,0,0
72,0,0
72,0,0
70,0,0
68,0,0
71,0,0
73,0,0
78,0,0
85,0,0
92,0,0
99,0,0
103,0,0
101,0,0
94,0,0
89,0,0
79,0,0
75,0,0
0,1,0
0,1,0
0,1,0
0,1,0
28,1,0
82,1,0
86,1,0
89,1,0
90,1,0
90,1,0
89,1,0
92,1,0
99,1,0
111,1,0
121,1,0
124,1,0
120,1,0
120,1,0
120,1,0
118,1,0
115,1,0
113,1,0
112,1,0
112,1,0
114,1,0
116,1,0
116,1,0
116,1,0
114,1,0
113,1,0
112,1,0
113,1,0
111,1,0
111,1,0
110,1,0
109,1,0
108,1,0
108,1,0
107,1,0
107,1,0
104,1,0
105,1,0
107,1,0
108,1,0
108,1,0
107,1,0
106,1,0
105,1,0
105,1,0
104,1,0
105,1,0
106,1,0
107,1,0
108,1,0
108,1,0
103,1,0
94,1,0
84,1,0
73,1,0
65,1,0
