R,G,B
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
1,1,3
5,1,3
19,1,3
19,1,3
17,1,3
16,1,3
15,1,3
14,1,3
12,1,3
11,1,3
12,1,3
17,1,3
16,1,3
16,1,3
17,1,3
14,1,3
13,1,3
13,1,3
14,1,3
15,1,3
14,1,3
15,1,3
15,1,3
14,1,3
16,1,3
16,1,3
14,1,3
13,1,3
16,1,3
17,1,3
15,1,3
16,1,3
17,1,3
17,1,3
14,1,3
11,1,3
12,1,3
14,1,3
16,1,3
16,1,3
15,1,3
15,1,3
17,1,3
14,1,3
15,1,3
16,1,3
16,1,3
15,1,3
14,1,3
11,1,3
11,1,3
14,1,3
15,1,3
13,1,3
11,1,3
13,1,3
14,1,3
13,1,3
13,1,3
19,1,3
19,1,3
17,1,3
14,1,3
14,1,3
17,1,3
19,1,3
19,1,3
20,1,3
18,1,3
20,1,3
25,1,3
27,1,3
25,1,3
25,1,3
28,1,3
28,1,3
27,1,3
25,1,3
24,1,3
24,1,3
24,1,3
23,1,3
22,1,3
22,1,3
21,1,3
23,1,3
25,1,3
25,1,3
23,1,3
21,1,3
19,1,3
16,1,3
17,1,3
19,1,3
23,1,3
26,1,3
28,1,3
27,1,3
25,1,3
27,1,3
25,1,3
30,1,3
32,1,3
30,1,3
35,1,3
48,1,3
56,1,3
61,1,3
63,1,3
64,1,3
62,1,3
59,1,3
58,1,3
60,1,3
64,1,3
62,1,3
64,1,3
67,1,3
69,1,3
71,1,3
71,1,3
71,1,3
70,1,3
68,1,3
69,1,3
71,1,3
73,1,3
74,1,3
73,1,3
72,1,3
71,1,3
72,1,3
72,1,3
71,1,3
72,1,3
73,1,3
73,1,3
71,1,3
70,1,3
68,1,3
71,1,3
74,1,3
74,1,3
72,1,3
73,1,3
73,1,3
74,1,3
75,1,3
76,1,3
73,1,3
71,1,3
75,1,3
82,1,3
80,1,3
74,1,3
82,1,3
82,1,3
82,1,3
81,1,3
81,1,3
81,1,3
83,1,3
85,1,3
85,1,3
84,1,3
85,1,3
88,1,3
89,1,3
87,1,3
87,1,3
88,1,3
87,1,3
87,1,3
87,1,3
85,1,3
83,1,3
81,1,3
79,1,3
78,1,3
80,1,3
81,1,3
82,1,3
82,1,3
81,1,3
80,1,3
80,1,3
81,1,3
76,1,3
74,1,3
77,1,3
75,1,3
70,1,3
79,1,3
82,1,3
72,1,3
61,1,3
39,1,3
20,1,3
13,1,3
13,1,3
15,1,3
16,1,3
13,1,3
14,1,3
13,1,3
14,1,3
15,1,3
14,1,3
12,1,3
14,1,3
19,1,3
22,1,3
23,1,3
21,1,3
19,1,3
17,1,3
14,1,3
7,1,3
1,1,3
0,1,3
3,1,3
7,1,3
9,1,3
9,1,3
6,1,3
8,1,3
15,1,3
13,1,3
12,1,3
12,1,3
15,1,3
18,1,3
20,1,3
21,1,3
21,1,3
20,1,3
20,1,3
20,1,3
20,1,3
20,1,3
21,1,3
21,1,3
20,1,3
21,1,3
18,1,3
0,0,2
0,0,2
1,0,2
0,0,2
0,0,2
0,0,2
8,0,2
30,0,2
25,0,2
22,0,2
21,0,2
20,0,2
18,0,2
16,0,2
16,0,2
18,0,2
20,0,2
17,0,2
18,0,2
20,0,2
18,0,2
17,0,2
17,0,2
17,0,2
16,0,2
16,0,2
17,0,2
17,0,2
17,0,2
18,0,2
19,0,2
16,0,2
12,0,2
14,0,2
15,0,2
13,0,2
13,0,2
15,0,2
14,0,2
12,0,2
12,0,2
12,0,2
14,0,2
16,0,2
16,0,2
15,0,2
15,0,2
16,0,2
15,0,2
15,0,2
16,0,2
16,0,2
15,0,2
15,0,2
14,0,2
12,0,2
13,0,2
15,0,2
13,0,2
12,0,2
13,0,2
14,0,2
14,0,2
14,0,2
18,0,2
18,0,2
17,0,2
16,0,2
16,0,2
19,0,2
21,0,2
21,0,2
20,0,2
19,0,2
21,0,2
25,0,2
26,0,2
25,0,2
26,0,2
28,0,2
29,0,2
28,0,2
26,0,2
25,0,2
25,0,2
25,0,2
25,0,2
24,0,2
22,0,2
22,0,2
23,0,2
23,0,2
22,0,2
21,0,2
20,0,2
19,0,2
18,0,2
18,0,2
19,0,2
22,0,2
24,0,2
27,0,2
26,0,2
25,0,2
27,0,2
25,0,2
29,0,2
32,0,2
31,0,2
38,0,2
50,0,2
56,0,2
64,0,2
64,0,2
62,0,2
60,0,2
57,0,2
57,0,2
59,0,2
62,0,2
63,0,2
64,0,2
67,0,2
70,0,2
71,0,2
72,0,2
71,0,2
71,0,2
68,0,2
69,0,2
71,0,2
74,0,2
74,0,2
74,0,2
73,0,2
72,0,2
72,0,2
71,0,2
71,0,2
71,0,2
71,0,2
72,0,2
71,0,2
71,0,2
69,0,2
72,0,2
74,0,2
74,0,2
74,0,2
72,0,2
73,0,2
74,0,2
75,0,2
73,0,2
70,0,2
69,0,2
73,0,2
81,0,2
82,0,2
79,0,2
79,0,2
80,0,2
82,0,2
84,0,2
84,0,2
83,0,2
82,0,2
81,0,2
83,0,2
83,0,2
84,0,2
86,0,2
86,0,2
82,0,2
81,0,2
81,0,2
83,0,2
83,0,2
82,0,2
82,0,2
81,0,2
80,0,2
80,0,2
80,0,2
81,0,2
82,0,2
82,0,2
82,0,2
80,0,2
78,0,2
77,0,2
77,0,2
75,0,2
75,0,2
78,0,2
76,0,2
73,0,2
75,0,2
73,0,2
64,0,2
47,0,2
29,0,2
16,0,2
13,0,2
13,0,2
15,0,2
16,0,2
13,0,2
15,0,2
14,0,2
14,0,2
15,0,2
14,0,2
12,0,2
15,0,2
20,0,2
24,0,2
24,0,2
21,0,2
19,0,2
17,0,2
13,0,2
6,0,2
0,0,2
1,0,2
4,0,2
8,0,2
12,0,2
12,0,2
9,0,2
11,0,2
16,0,2
15,0,2
14,0,2
14,0,2
16,0,2
18,0,2
20,0,2
20,0,2
20,0,2
19,0,2
19,0,2
19,0,2
18,0,2
18,0,2
18,0,2
18,0,2
18,0,2
19,0,2
17,0,2
0,1,3
0,1,3
1,1,3
2,1,3
0,1,3
0,1,3
18,1,3
58,1,3
52,1,3
47,1,3
38,1,3
30,1,3
23,1,3
18,1,3
15,1,3
15,1,3
19,1,3
16,1,3
16,1,3
18,1,3
18,1,3
17,1,3
18,1,3
17,1,3
17,1,3
16,1,3
17,1,3
17,1,3
16,1,3
18,1,3
18,1,3
14,1,3
14,1,3
16,1,3
15,1,3
13,1,3
12,1,3
14,1,3
14,1,3
12,1,3
14,1,3
14,1,3
14,1,3
16,1,3
17,1,3
16,1,3
15,1,3
16,1,3
15,1,3
15,1,3
15,1,3
15,1,3
15,1,3
15,1,3
14,1,3
14,1,3
15,1,3
14,1,3
13,1,3
12,1,3
14,1,3
15,1,3
15,1,3
15,1,3
16,1,3
17,1,3
18,1,3
18,1,3
19,1,3
21,1,3
22,1,3
22,1,3
21,1,3
19,1,3
21,1,3
24,1,3
25,1,3
25,1,3
26,1,3
28,1,3
29,1,3
27,1,3
25,1,3
24,1,3
24,1,3
25,1,3
25,1,3
23,1,3
23,1,3
23,1,3
22,1,3
21,1,3
21,1,3
21,1,3
21,1,3
21,1,3
20,1,3
19,1,3
19,1,3
21,1,3
22,1,3
26,1,3
25,1,3
25,1,3
25,1,3
25,1,3
29,1,3
32,1,3
34,1,3
41,1,3
51,1,3
57,1,3
65,1,3
63,1,3
60,1,3
57,1,3
57,1,3
59,1,3
61,1,3
62,1,3
64,1,3
66,1,3
68,1,3
71,1,3
72,1,3
72,1,3
71,1,3
71,1,3
66,1,3
68,1,3
70,1,3
73,1,3
74,1,3
74,1,3
73,1,3
73,1,3
71,1,3
71,1,3
71,1,3
70,1,3
70,1,3
70,1,3
71,1,3
72,1,3
71,1,3
73,1,3
74,1,3
73,1,3
73,1,3
72,1,3
72,1,3
73,1,3
74,1,3
71,1,3
68,1,3
68,1,3
71,1,3
75,1,3
78,1,3
80,1,3
81,1,3
82,1,3
84,1,3
86,1,3
87,1,3
86,1,3
85,1,3
83,1,3
86,1,3
86,1,3
87,1,3
88,1,3
85,1,3
81,1,3
78,1,3
77,1,3
77,1,3
77,1,3
78,1,3
78,1,3
79,1,3
80,1,3
80,1,3
81,1,3
81,1,3
82,1,3
82,1,3
81,1,3
79,1,3
77,1,3
76,1,3
75,1,3
74,1,3
74,1,3
74,1,3
76,1,3
77,1,3
72,1,3
60,1,3
49,1,3
30,1,3
18,1,3
12,1,3
13,1,3
14,1,3
15,1,3
16,1,3
13,1,3
15,1,3
15,1,3
15,1,3
16,1,3
15,1,3
14,1,3
18,1,3
22,1,3
26,1,3
24,1,3
21,1,3
19,1,3
17,1,3
13,1,3
5,1,3
0,1,3
2,1,3
6,1,3
10,1,3
15,1,3
17,1,3
14,1,3
13,1,3
17,1,3
17,1,3
16,1,3
16,1,3
17,1,3
19,1,3
20,1,3
20,1,3
19,1,3
17,1,3
17,1,3
17,1,3
17,1,3
17,1,3
16,1,3
16,1,3
16,1,3
17,1,3
16,1,3
3,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
35,0,0
95,0,0
91,0,0
81,0,0
67,0,0
54,0,0
44,0,0
36,0,0
30,0,0
25,0,0
27,0,0
21,0,0
18,0,0
18,0,0
17,0,0
17,0,0
18,0,0
17,0,0
19,0,0
18,0,0
19,0,0
19,0,0
18,0,0
20,0,0
19,0,0
15,0,0
17,0,0
18,0,0
17,0,0
14,0,0
13,0,0
15,0,0
16,0,0
14,0,0
15,0,0
15,0,0
15,0,0
16,0,0
16,0,0
16,0,0
15,0,0
14,0,0
13,0,0
13,0,0
13,0,0
13,0,0
14,0,0
14,0,0
14,0,0
14,0,0
15,0,0
17,0,0
16,0,0
14,0,0
16,0,0
16,0,0
16,0,0
16,0,0
15,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
21,0,0
20,0,0
20,0,0
19,0,0
20,0,0
23,0,0
24,0,0
24,0,0
25,0,0
27,0,0
26,0,0
25,0,0
23,0,0
22,0,0
22,0,0
21,0,0
22,0,0
22,0,0
23,0,0
23,0,0
22,0,0
22,0,0
22,0,0
22,0,0
21,0,0
21,0,0
19,0,0
19,0,0
19,0,0
20,0,0
22,0,0
25,0,0
25,0,0
24,0,0
24,0,0
27,0,0
31,0,0
33,0,0
36,0,0
44,0,0
53,0,0
58,0,0
63,0,0
60,0,0
58,0,0
58,0,0
61,0,0
65,0,0
66,0,0
65,0,0
67,0,0
68,0,0
70,0,0
72,0,0
72,0,0
71,0,0
70,0,0
69,0,0
64,0,0
65,0,0
68,0,0
70,0,0
71,0,0
72,0,0
71,0,0
71,0,0
70,0,0
71,0,0
70,0,0
69,0,0
69,0,0
70,0,0
72,0,0
73,0,0
72,0,0
73,0,0
74,0,0
75,0,0
73,0,0
71,0,0
72,0,0
72,0,0
73,0,0
71,0,0
71,0,0
72,0,0
70,0,0
68,0,0
71,0,0
76,0,0
82,0,0
83,0,0
84,0,0
83,0,0
82,0,0
83,0,0
85,0,0
87,0,0
88,0,0
88,0,0
88,0,0
86,0,0
84,0,0
81,0,0
78,0,0
76,0,0
75,0,0
76,0,0
76,0,0
77,0,0
78,0,0
79,0,0
79,0,0
79,0,0
78,0,0
79,0,0
79,0,0
79,0,0
79,0,0
78,0,0
77,0,0
76,0,0
73,0,0
72,0,0
69,0,0
72,0,0
76,0,0
65,0,0
43,0,0
31,0,0
19,0,0
12,0,0
11,0,0
14,0,0
14,0,0
15,0,0
16,0,0
15,0,0
17,0,0
16,0,0
17,0,0
17,0,0
17,0,0
17,0,0
20,0,0
24,0,0
26,0,0
23,0,0
19,0,0
19,0,0
17,0,0
12,0,0
4,0,0
0,0,0
3,0,0
7,0,0
12,0,0
16,0,0
19,0,0
16,0,0
13,0,0
15,0,0
17,0,0
17,0,0
17,0,0
18,0,0
19,0,0
20,0,0
19,0,0
18,0,0
17,0,0
17,0,0
17,0,0
18,0,0
18,0,0
17,0,0
17,0,0
18,0,0
18,0,0
17,0,0
3,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
46,0,0
125,0,0
118,0,0
109,0,0
96,0,0
86,0,0
80,0,0
74,0,0
65,0,0
59,0,0
50,0,0
41,0,0
33,0,0
28,0,0
23,0,0
21,0,0
21,0,0
20,0,0
21,0,0
20,0,0
21,0,0
22,0,0
22,0,0
24,0,0
23,0,0
20,0,0
18,0,0
19,0,0
17,0,0
14,0,0
13,0,0
16,0,0
16,0,0
15,0,0
16,0,0
16,0,0
16,0,0
15,0,0
15,0,0
15,0,0
15,0,0
14,0,0
12,0,0
11,0,0
11,0,0
12,0,0
13,0,0
14,0,0
14,0,0
14,0,0
17,0,0
19,0,0
18,0,0
15,0,0
16,0,0
16,0,0
15,0,0
16,0,0
16,0,0
16,0,0
18,0,0
20,0,0
20,0,0
19,0,0
18,0,0
18,0,0
19,0,0
19,0,0
20,0,0
21,0,0
23,0,0
23,0,0
24,0,0
25,0,0
24,0,0
23,0,0
21,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
23,0,0
24,0,0
23,0,0
22,0,0
21,0,0
19,0,0
18,0,0
18,0,0
18,0,0
19,0,0
21,0,0
23,0,0
26,0,0
25,0,0
24,0,0
24,0,0
29,0,0
34,0,0
35,0,0
39,0,0
46,0,0
56,0,0
61,0,0
62,0,0
60,0,0
59,0,0
62,0,0
67,0,0
69,0,0
69,0,0
67,0,0
70,0,0
71,0,0
72,0,0
73,0,0
72,0,0
71,0,0
69,0,0
67,0,0
62,0,0
63,0,0
65,0,0
67,0,0
69,0,0
69,0,0
69,0,0
69,0,0
70,0,0
70,0,0
71,0,0
70,0,0
70,0,0
70,0,0
72,0,0
74,0,0
73,0,0
74,0,0
76,0,0
74,0,0
72,0,0
71,0,0
72,0,0
73,0,0
71,0,0
73,0,0
78,0,0
78,0,0
73,0,0
67,0,0
67,0,0
72,0,0
78,0,0
81,0,0
81,0,0
80,0,0
77,0,0
77,0,0
81,0,0
85,0,0
87,0,0
86,0,0
83,0,0
82,0,0
80,0,0
79,0,0
78,0,0
76,0,0
75,0,0
76,0,0
77,0,0
78,0,0
78,0,0
78,0,0
77,0,0
76,0,0
75,0,0
75,0,0
76,0,0
76,0,0
76,0,0
76,0,0
76,0,0
75,0,0
71,0,0
71,0,0
69,0,0
68,0,0
64,0,0
47,0,0
27,0,0
18,0,0
17,0,0
13,0,0
14,0,0
15,0,0
14,0,0
15,0,0
17,0,0
16,0,0
18,0,0
18,0,0
18,0,0
19,0,0
19,0,0
20,0,0
23,0,0
25,0,0
26,0,0
22,0,0
18,0,0
18,0,0
17,0,0
11,0,0
4,0,0
0,0,0
3,0,0
7,0,0
12,0,0
16,0,0
19,0,0
16,0,0
12,0,0
13,0,0
15,0,0
16,0,0
16,0,0
17,0,0
19,0,0
19,0,0
19,0,0
18,0,0
17,0,0
17,0,0
19,0,0
21,0,0
21,0,0
19,0,0
19,0,0
21,0,0
20,0,0
20,0,0
1,1,0
1,1,0
1,1,0
3,1,0
0,1,0
0,1,0
50,1,0
139,1,0
134,1,0
129,1,0
122,1,0
117,1,0
113,1,0
108,1,0
98,1,0
90,1,0
81,1,0
71,1,0
61,1,0
52,1,0
40,1,0
34,1,0
31,1,0
28,1,0
25,1,0
23,1,0
23,1,0
23,1,0
